,Rank,Player (age that year),Situ. Wins Added (WPA/LI),Year,Bats
204,205.,Barry Bonds (26),5.96,1991,L
205,205.,George Brett+ (27),5.96,1980,L
206,205.,Jose Canseco (23),5.96,1988,R
207,205.,Willie McCovey+ (30),5.96,1968,L
208,205.,Ron Santo+ (24),5.96,1964,R
209,210.,Mark McGwire (32),5.95,1996,R
210,211.,Paul Goldschmidt (27),5.93,2015,R
211,212.,Bobby Abreu (30),5.91,2004,L
212,212.,Miguel Cabrera (29),5.91,2012,R
213,212.,Ralph Kiner+ (28),5.91,1951,R
214,212.,Stan Musial+ (25),5.91,1946,L
215,212.,David Ortiz (29),5.91,2005,L
216,212.,Mike Trout (23),5.91,2015,R
217,218.,Lou Gehrig+ (32),5.90,1935,L
218,219.,Miguel Cabrera (27),5.89,2010,R
219,219.,Jason Giambi (31),5.89,2002,L
220,221.,Hank Aaron+ (35),5.88,1969,R
221,222.,Joe Morgan+ (28),5.87,1972,L
222,222.,Mel Ott+ (23),5.87,1932,L
223,222.,Albert Pujols (21),5.87,2001,R
224,225.,Chris Davis (27),5.86,2013,L
225,225.,Christian Yelich (26),5.86,2018,L
226,227.,Barry Bonds (25),5.85,1990,L
227,227.,Ralph Kiner+ (24),5.85,1947,R
228,227.,Chuck Klein+ (26),5.85,1931,L
229,230.,Jeff Bagwell+ (31),5.84,1999,R
230,230.,Lance Berkman (28),5.84,2004,B
231,230.,Mel Ott+ (25),5.84,1934,L
232,230.,Frank Thomas+ (27),5.84,1995,R
233,234.,Lance Berkman (30),5.83,2006,B
234,234.,Joe Medwick+ (23),5.83,1935,R
235,234.,Mike Trout (25),5.83,2017,R
236,237.,Edgar Martinez+ (33),5.82,1996,R
237,238.,Jackie Robinson+ (30),5.81,1949,R
238,238.,Mike Trout (20),5.81,2012,R
239,240.,Earl Averill+ (34),5.80,1936,L
240,240.,Jimmie Foxx+ (21),5.80,1929,R
241,240.,Jim Gentile (27),5.80,1961,L
242,240.,Chipper Jones+ (29),5.80,2001,B
243,244.,J.D. Drew (28),5.78,2004,L
244,244.,Jim Edmonds (34),5.78,2004,L
245,244.,Frank Robinson+ (25),5.78,1961,R
246,247.,Hank Aaron+ (33),5.77,1967,R
247,247.,Jack Fournier (35),5.77,1925,L
248,247.,Ralph Kiner+ (26),5.77,1949,R
249,247.,Tris Speaker+ (37),5.77,1925,L
250,251.,Dick Allen (22),5.76,1964,R
251,251.,Al Simmons+ (29),5.76,1931,R
252,253.,Rickey Henderson+ (31),5.75,1990,R
253,253.,Dale Murphy (29),5.75,1985,R
254,255.,Rogers Hornsby+ (24),5.74,1920,R
255,256.,Alex Bregman (25),5.73,2019,R
256,257.,Hank Greenberg+ (26),5.72,1937,R
257,257.,Stan Musial+ (32),5.72,1953,L
258,257.,Mike Schmidt+ (30),5.72,1980,R
259,260.,Chipper Jones+ (26),5.71,1998,B
260,260.,Chuck Klein+ (25),5.71,1930,L
261,260.,Mark McGwire (33),5.71,1997,R
