,Rank,Player (age that year),Total Zone Runs as 2B (s.1953),Year,Throws
151,147.,Mark Ellis (28),11,2005,R
152,147.,Mark Ellis (31),11,2008,R
153,147.,Nellie Fox+ (26),11,1954,R
154,147.,Mike Gallego (29),11,1990,R
155,147.,Brent Gates (25),11,1995,R
156,147.,Dick Green (23),11,1964,R
157,147.,Dick Green (29),11,1970,R
158,147.,Bobby Grich (36),11,1985,R
159,147.,Tim Hulett (34),11,1994,R
160,147.,Davey Johnson (29),11,1972,R
161,147.,Adam Kennedy (30),11,2006,R
162,147.,Ian Kinsler (33),11,2015,R
163,147.,Chuck Knoblauch (24),11,1993,R
164,147.,Chuck Knoblauch (27),11,1996,R
165,147.,Bobby Knoop (30),11,1969,R
166,147.,Bobby Morgan (31),11,1957,R
167,147.,Joe Morgan+ (29),11,1973,R
168,147.,Danny O'Connell (28),11,1957,R
169,147.,Dustin Pedroia (25),11,2009,R
170,147.,Dustin Pedroia (29),11,2013,R
171,147.,Marty Perez (28),11,1974,R
172,147.,Tony Phillips (31),11,1990,R
173,147.,Placido Polanco (32),11,2008,R
174,147.,Willie Randolph (23),11,1978,R
175,147.,Harold Reynolds (28),11,1989,R
176,147.,Lenn Sakata (30),11,1984,R
177,147.,Red Schoendienst+ (31),11,1954,R
178,147.,Red Schoendienst+ (32),11,1955,R
179,147.,Rennie Stennett (28),11,1979,R
180,147.,Doug Strange (29),11,1993,R
181,147.,Manny Trillo (28),11,1979,R
182,147.,Chase Utley (26),11,2005,R
183,147.,Joey Wendle (28),11,2018,R
184,147.,Lou Whitaker (34),11,1991,R
185,147.,Frank White (35),11,1986,R
186,147.,Kolten Wong (27),11,2018,R
187,188.,Bernie Allen (28),10,1967,R
188,188.,Gene Baker (30),10,1955,R
189,188.,Robinson Cano (23),10,2006,R
190,188.,Robinson Cano (29),10,2012,R
191,188.,Bill Doran (25),10,1983,R
192,188.,Mark Ellis (35),10,2012,R
193,188.,Nellie Fox+ (35),10,1963,R
194,188.,Dick Green (28),10,1969,R
195,188.,Dick Green (33),10,1974,R
196,188.,Aaron Hill (27),10,2009,R
197,188.,Tim Hulett (26),10,1986,R
198,188.,Pat Kelly (25),10,1993,R
199,188.,Howie Kendrick (27),10,2011,R
200,188.,Jason Kipnis (25),10,2012,R
201,188.,Mike Lansing (27),10,1995,R
202,188.,Steve Lombardozzi (27),10,1987,R
203,188.,Bill Mazeroski+ (33),10,1970,R
204,188.,Mickey Morandini (32),10,1998,R
205,188.,Dustin Pedroia (28),10,2012,R
206,188.,Brandon Phillips (32),10,2013,R
207,188.,Bob Randall (30),10,1978,R
208,188.,Willie Randolph (30),10,1985,R
209,188.,Willie Randolph (33),10,1988,R
210,188.,Willie Randolph (35),10,1990,R
211,188.,Johnny Ray (25),10,1982,R
212,188.,Jerry Remy (22),10,1975,R
213,188.,Jonathan Schoop (24),10,2016,R
214,188.,Billy Smith (23),10,1977,R
215,188.,Rennie Stennett (25),10,1976,R
216,188.,Danny Thompson (23),10,1970,R
217,188.,Chase Utley (30),10,2009,R
218,188.,Fernando Vina (31),10,2000,R
219,188.,Al Weis (26),10,1964,R
220,188.,Al Weis (28),10,1966,R
221,188.,Lou Whitaker (21),10,1978,R
222,188.,Lou Whitaker (29),10,1986,R
223,188.,Lou Whitaker (33),10,1990,R
224,188.,Rob Wilfong (32),10,1986,R
225,188.,Davey Williams (26),10,1954,R
226,188.,Bump Wills (25),10,1978,R
227,228.,Edgardo Alfonzo (25),9,1999,R
228,228.,Marlon Anderson (27),9,2001,R
229,228.,Gene Baker (31),9,1956,R
230,228.,Clint Barmes (30),9,2009,R
231,228.,Ronnie Belliard (30),9,2005,R
232,228.,Rocky Bridges (25),9,1953,R
233,228.,Larry Brown (24),9,1964,R
234,228.,Robinson Cano (35),9,2018,R
235,228.,Dave Cash (27),9,1975,R
236,228.,Luis Castillo (20),9,1996,R
237,228.,Chuck Cottier (26),9,1962,R
238,228.,Delino DeShields (26),9,1995,R
239,228.,Tony Fernandez (35),9,1997,R
240,228.,Pedro Gonzalez (28),9,1966,R
241,228.,Craig Grebeck (26),9,1991,R
242,228.,Doug Griffin (27),9,1974,R
243,228.,Aaron Hill (29),9,2011,R
244,228.,Orlando Hudson (26),9,2004,R
245,228.,Orlando Hudson (27),9,2005,R
246,228.,Chuck Knoblauch (26),9,1995,R
247,228.,Mike Lansing (29),9,1997,R
248,228.,Jim Lefebvre (23),9,1965,R
249,228.,DJ LeMahieu (30),9,2019,R
250,228.,Steve Lombardozzi (25),9,1985,R
251,228.,Davey Lopes (32),9,1977,R
252,228.,Hector Lopez (28),9,1958,R
253,228.,Jerry Lumpe (33),9,1966,R
254,228.,Bill Mazeroski+ (29),9,1966,R
255,228.,Gil McDougald (26),9,1954,R
256,228.,Gil McDougald (32),9,1960,R
257,228.,Danny O'Connell (26),9,1955,R
258,228.,Jose Oquendo (27),9,1991,R
259,228.,Dustin Pedroia (27),9,2011,R
260,228.,Tony Phillips (30),9,1989,R
261,228.,Nick Punto (27),9,2005,R
262,228.,Billy Ripken (25),9,1990,R
263,228.,Bip Roberts (32),9,1996,R
264,228.,Pete Runnels (32),9,1960,R
265,228.,Ryne Sandberg+ (32),9,1992,R
266,228.,Red Schoendienst+ (35),9,1958,R
267,228.,Jonathan Schoop (25),9,2017,R
268,228.,Ted Sizemore (33),9,1978,R
269,228.,Tim Teufel (25),9,1984,R
270,228.,Ron Theobald (27),9,1971,R
271,228.,Jeff Treadway (25),9,1988,R
272,228.,Dan Uggla (32),9,2012,R
273,228.,Chase Utley (28),9,2007,R
274,228.,Lou Whitaker (22),9,1979,R
275,228.,Bump Wills (26),9,1979,R
276,228.,Kolten Wong (28),9,2019,R
277,278.,Jerry Adair (24),8,1961,R
278,278.,Gene Alley (27),8,1968,R
279,278.,Roberto Alomar+ (31),8,1999,R
280,278.,Rich Amaral (31),8,1993,R
281,278.,Bret Barberie (27),8,1995,R
282,278.,Bret Boone (27),8,1996,R
283,278.,Robinson Cano (31),8,2014,R
284,278.,John Castino (27),8,1982,R
285,278.,Luis Castillo (29),8,2005,R
286,278.,Horace Clarke (28),8,1967,R
287,278.,Craig Counsell (30),8,2001,R
288,278.,Rich Dauer (26),8,1979,R
289,278.,Bill Doran (26),8,1984,R
290,278.,Mark Ellis (33),8,2010,R
291,278.,Scott Fletcher (33),8,1992,R
292,278.,Scott Fletcher (35),8,1994,R
293,278.,Doug Flynn (29),8,1980,R
294,278.,Nick Franklin (22),8,2013,R
295,278.,Mike Gallego (32),8,1993,R
296,278.,Damaso Garcia (23),8,1980,R
297,278.,Ryan Goins (26),8,2014,R
298,278.,Dick Green (25),8,1966,R
299,278.,Bobby Grich (25),8,1974,R
300,278.,Mark Grudzielanek (32),8,2002,R
301,278.,Mark Grudzielanek (36),8,2006,R
302,278.,Granny Hamner (26),8,1953,R
303,278.,Enrique Hernandez (27),8,2019,R
304,278.,Brandon Hicks (28),8,2014,R
305,278.,Glenn Hubbard (26),8,1984,R
306,278.,Ken Hubbs (21),8,1963,R
307,278.,Omar Infante (24),8,2006,R
308,278.,Omar Infante (30),8,2012,R
309,278.,Julian Javier (29),8,1966,R
310,278.,Davey Johnson (26),8,1969,R
311,278.,Matt Kata (26),8,2004,R
312,278.,Howie Kendrick (28),8,2012,R
313,278.,Adam Kennedy (29),8,2005,R
314,278.,Adam Kennedy (32),8,2008,R
315,278.,Ian Kinsler (31),8,2013,R
316,278.,Chuck Knoblauch (23),8,1992,R
317,278.,Hal Lanier (23),8,1966,R
318,278.,DJ LeMahieu (25),8,2014,R
319,278.,Keith Lockhart (31),8,1996,R
320,278.,Bobby Malkmus (29),8,1961,R
321,278.,Norberto Martin (31),8,1998,R
322,278.,Bill Mazeroski+ (20),8,1957,R
323,278.,Bill Mazeroski+ (24),8,1961,R
324,278.,Bill Mazeroski+ (30),8,1967,R
325,278.,Frank Menechino (30),8,2001,R
326,278.,Felix Millan (25),8,1969,R
327,278.,Don Money (30),8,1977,R
328,278.,Danny O'Connell (25),8,1954,R
329,278.,Ron Oester (25),8,1981,R
330,278.,Jose Oquendo (24),8,1988,R
331,278.,Dustin Pedroia (32),8,2016,R
332,278.,Willie Randolph (28),8,1983,R
333,278.,Willie Randolph (34),8,1989,R
334,278.,Bobby Richardson (21),8,1957,R
335,278.,Billy Ripken (24),8,1989,R
336,278.,Billy Ripken (27),8,1992,R
337,278.,Cookie Rojas (31),8,1970,R
338,278.,Tyler Saladino (27),8,2017,R
339,278.,Ryne Sandberg+ (28),8,1988,R
340,278.,Ramon Santiago (32),8,2012,R
341,278.,Red Schoendienst+ (34),8,1957,R
342,278.,Ted Sizemore (32),8,1977,R
343,278.,Wayne Terwilliger (30),8,1955,R
344,278.,Tim Teufel (29),8,1988,R
345,278.,Devon Travis (25),8,2016,R
346,278.,Manny Trillo (27),8,1978,R
347,278.,Chase Utley (27),8,2006,R
348,278.,Quilvio Veras (30),8,2001,R
349,278.,Frank White (38),8,1989,R
350,278.,Rob Wilfong (28),8,1982,R
351,278.,Rob Wilfong (31),8,1985,R
352,353.,Roberto Alomar+ (20),7,1988,R
353,353.,Roberto Alomar+ (32),7,2000,R
354,353.,Sandy Alomar (31),7,1975,R
355,353.,Ken Aspromonte (29),7,1961,R
356,353.,Bobby Avila (32),7,1956,R
357,353.,Jose Baez (23),7,1977,R
358,353.,Darwin Barney (27),7,2013,R
359,353.,Marty Barrett (26),7,1984,R
360,353.,Mike Benjamin (32),7,1998,R
361,353.,Tony Bernazard (24),7,1981,R
362,353.,Frank Bolling (25),7,1957,R
363,353.,Marv Breeding (27),7,1961,R
364,353.,Jack Brohamer (22),7,1972,R
365,353.,Jerry Buchek (23),7,1965,R
366,353.,Homer Bush (26),7,1999,R
367,353.,John Castino (28),7,1983,R
368,353.,Horace Clarke (30),7,1969,R
369,353.,Jeff Cox (24),7,1980,R
370,353.,Julio Cruz (23),7,1978,R
371,353.,Julio Cruz (24),7,1979,R
372,353.,Mark Ellis (26),7,2003,R
373,353.,Nellie Fox+ (30),7,1958,R
374,353.,Adam Frazier (27),7,2019,R
375,353.,Phil Garner (26),7,1975,R
376,353.,Billy Goodman (27),7,1953,R
377,353.,Billy Goodman (30),7,1956,R
378,353.,Milt Graff (26),7,1957,R
379,353.,Tony Graffanino (34),7,2006,R
380,353.,Doug Griffin (24),7,1971,R
381,353.,Granny Hamner (27),7,1954,R
382,353.,Terry Harmon (27),7,1971,R
383,353.,Donnie Hill (26),7,1987,R
384,353.,Glenn Hubbard (30),7,1988,R
385,353.,Ron Hunt (31),7,1972,R
386,353.,Julian Javier (25),7,1962,R
387,353.,Adam Kennedy (25),7,2001,R
388,353.,Jason Kipnis (27),7,2014,R
389,353.,Hal Lanier (24),7,1967,R
390,353.,Vance Law (29),7,1986,R
391,353.,DJ LeMahieu (23),7,2012,R
392,353.,DJ LeMahieu (24),7,2013,R
393,353.,DJ LeMahieu (26),7,2015,R
394,353.,Eddie Leon (23),7,1970,R
395,353.,Jose Lind (24),7,1988,R
396,353.,Keith Lockhart (33),7,1998,R
397,353.,Davey Lopes (28),7,1973,R
398,353.,Jose Lopez (24),7,2008,R
399,353.,Jed Lowrie (34),7,2018,R
400,353.,Jerry Lumpe (29),7,1962,R
401,353.,Fred Manrique (25),7,1987,R
402,353.,Ramon Martinez (26),7,1999,R
403,353.,Bill Mazeroski+ (25),7,1962,R
404,353.,Dick McAuliffe (28),7,1968,R
405,353.,Felix Millan (29),7,1973,R
406,353.,Billy Moran (28),7,1962,R
407,353.,Joe Morgan+ (28),7,1972,R
408,353.,Al Newman (30),7,1990,R
409,353.,Rougned Odor (23),7,2017,R
410,353.,Dustin Pedroia (23),7,2007,R
411,353.,Neifi Perez (31),7,2004,R
412,353.,Tomas Perez (22),7,1996,R
413,353.,Johnny Ray (27),7,1984,R
414,353.,Jeff Reboulet (33),7,1997,R
415,353.,Harold Reynolds (26),7,1987,R
416,353.,Brian Roberts (35),7,2013,R
417,353.,Daniel Robertson (24),7,2018,R
418,353.,Jonathan Schoop (28),7,2020,R
419,353.,Eric Sogard (28),7,2014,R
420,353.,Scott Spiezio (24),7,1997,R
421,353.,Rennie Stennett (23),7,1974,R
422,353.,Manny Trillo (34),7,1985,R
423,353.,Mike Tyson (26),7,1976,R
424,353.,Chase Utley (31),7,2010,R
425,353.,Chase Utley (32),7,2011,R
426,353.,Fernando Vina (28),7,1997,R
427,353.,Lou Whitaker (23),7,1980,R
428,353.,Frank White (32),7,1983,R
429,353.,Frank White (37),7,1988,R
430,353.,Eric Young Sr. (29),7,1996,R
431,353.,Don Zimmer (29),7,1960,R
432,433.,Dustin Ackley (25),6,2013,R
433,433.,Ozzie Albies (21),6,2018,R
434,433.,Ozzie Albies (23),6,2020,R
435,433.,Luis Alicea (26),6,1992,R
436,433.,Luis Alicea (31),6,1997,R
437,433.,Gene Alley (24),6,1965,R
438,433.,Roberto Alomar+ (22),6,1990,R
439,433.,Jose Altuve (26),6,2016,R
440,433.,Rob Andrews (23),6,1976,R
441,433.,Ken Aspromonte (28),6,1960,R
442,433.,Carlos Baerga (23),6,1992,R
443,433.,David Bell (23),6,1996,R
444,433.,Craig Biggio+ (33),6,1999,R
445,433.,Lance Blankenship (28),6,1992,R
446,433.,Don Blasingame (30),6,1962,R
447,433.,Robinson Cano (26),6,2009,R
448,433.,Rod Carew+ (23),6,1969,R
449,433.,Rod Carew+ (26),6,1972,R
450,433.,Rod Carew+ (29),6,1975,R
451,433.,Alexi Casilla (26),6,2011,R
452,433.,Wayne Causey (30),6,1967,R
453,433.,Horace Clarke (33),6,1972,R
454,433.,Julio Cruz (30),6,1985,R
455,433.,Tim Cullen (29),6,1971,R
456,433.,Rich Dauer (27),6,1980,R
457,433.,Jerry DaVanon (30),6,1976,R
458,433.,Wilmer Difo (26),6,2018,R
459,433.,John Donaldson (25),6,1968,R
460,433.,Denny Doyle (33),6,1977,R
461,433.,Ray Durham (29),6,2001,R
462,433.,Damion Easley (37),6,2007,R
463,433.,David Eckstein (35),6,2010,R
464,433.,Danny Espinosa (24),6,2011,R
465,433.,Danny Espinosa (26),6,2013,R
466,433.,Carlos Febles (24),6,2000,R
467,433.,Ryan Flaherty (26),6,2013,R
468,433.,Nellie Fox+ (25),6,1953,R
469,433.,Nellie Fox+ (34),6,1962,R
470,433.,Adam Frazier (28),6,2020,R
471,433.,Mike Freeman (31),6,2019,R
472,433.,Jim Gantner (29),6,1982,R
473,433.,Jim Gantner (30),6,1983,R
474,433.,Carlos Garcia (26),6,1994,R
475,433.,Chris Getz (29),6,2013,R
476,433.,Marcus Giles (26),6,2004,R
477,433.,Jim Gilliam (26),6,1955,R
478,433.,Jim Gilliam (32),6,1961,R
479,433.,Julio Gonzalez (24),6,1977,R
480,433.,Billy Goodman (28),6,1954,R
481,433.,Tony Graffanino (25),6,1997,R
482,433.,Tony Graffanino (26),6,1998,R
483,433.,Jedd Gyorko (27),6,2016,R
484,433.,Woodie Held (31),6,1963,R
485,433.,Tommy Helms (33),6,1974,R
486,433.,Tom Herr (25),6,1981,R
487,433.,Orlando Hudson (25),6,2003,R
488,433.,Damian Jackson (31),6,2005,R
489,433.,D'Angelo Jimenez (24),6,2002,R
490,433.,Davey Johnson (27),6,1970,R
491,433.,Kelly Johnson (27),6,2009,R
492,433.,Howie Kendrick (30),6,2014,R
493,433.,Jeff Kent (33),6,2001,R
494,433.,Ian Kinsler (28),6,2010,R
495,433.,Jim Lefebvre (24),6,1966,R
496,433.,Mark Lemke (28),6,1994,R
497,433.,Mark Lemke (32),6,1998,R
498,433.,Jose Lind (26),6,1990,R
499,433.,Jose Lind (27),6,1991,R
