,Rank,Player (age that year),Caught Stealing %,Year,Throws
89,90.,Walter Schmidt (31),59.12,1918,R
90,91.,Gabby Hartnett+ (33),59.02,1934,R
91,92.,Jamie Quirk (31),58.97,1986,R
92,93.,Ben Egan (28),58.95,1912,R
93,94.,Duke Farrell (24),58.82,1891,R
94,95.,Mickey O'Neil (23),58.62,1921,R
95,96.,Earl Battey (25),58.57,1960,R
96,97.,Roy Campanella+ (27),58.54,1949,R
97,98.,Jimmy Archer (28),58.28,1911,R
98,99.,Roxy Walters (24),58.23,1917,R
99,100.,Henry Blanco (28),58.21,2000,R
100,101.,Bob Boone (34),58.18,1982,R
101,101.,Frank House (24),58.18,1954,R
102,103.,Muddy Ruel (33),58.00,1929,R
103,104.,Ernie Lombardi+ (27),57.90,1935,R
104,104.,Clyde Manion (33),57.90,1930,R
105,106.,Jimmy Archer (27),57.78,1910,R
106,107.,Rick Dempsey (27),57.75,1977,R
107,107.,Ellie Rodriguez (25),57.75,1971,R
108,109.,Bill Carrigan (30),57.69,1914,R
109,109.,Walker Cooper (27),57.69,1942,R
110,109.,Clay Dalrymple (30),57.69,1967,R
111,112.,Yogi Berra+ (25),57.63,1950,R
112,112.,Mike Ryan (26),57.63,1968,R
113,114.,Johnny Kling (30),57.52,1906,R
114,115.,Rick Ferrell+ (33),57.50,1939,R
115,115.,Clyde Kluttz (29),57.50,1947,R
116,117.,Ed Bailey (28),57.45,1959,R
117,117.,Patsy Gharrity (28),57.45,1920,R
118,117.,Shanty Hogan (25),57.45,1931,R
119,117.,Bennie Tate (28),57.45,1930,R
120,121.,Fred Carisch (30),57.41,1912,R
121,121.,Farmer Vaughn (34),57.41,1898,R
122,123.,Mickey O'Neil (25),57.39,1923,R
123,124.,Johnny Bench+ (21),57.14,1969,R
124,124.,Lou Berberet (26),57.14,1956,R
125,124.,Charlie Berry (27),57.14,1930,R
126,124.,Hank Gowdy (25),57.14,1915,R
127,124.,John Henry (22),57.14,1912,R
128,124.,Ray Mueller (34),57.14,1946,R
129,124.,Walter Schmidt (34),57.14,1921,R
130,131.,Ivan Rodriguez+ (25),56.98,1997,R
131,132.,Wally Schang (36),56.94,1926,R
132,133.,Sammy White (30),56.82,1958,R
133,134.,Frank Snyder (26),56.79,1920,R
134,135.,Ray Mueller (31),56.76,1943,R
135,135.,Ray Schalk+ (33),56.76,1926,R
136,135.,Tim Thompson (32),56.76,1956,R
137,138.,Art Wilson (28),56.73,1914,R
138,139.,Ira Thomas (31),56.63,1912,R
139,140.,Jimmy Archer (35),56.60,1918,R
140,141.,Hank Severeid (31),56.45,1922,R
141,142.,Mike González (35),56.41,1926,R
142,143.,Johnny Bench+ (24),56.36,1972,R
143,143.,Charlie Berry (29),56.36,1932,R
144,143.,Wally Mayer (23),56.36,1914,R
145,143.,Mickey Owen (26),56.36,1942,R
146,147.,Jerry Grote (26),56.34,1969,R
147,148.,Jack Warner (31),56.33,1904,R
148,149.,Ivan Rodriguez+ (26),56.32,1998,R
149,150.,Bill Dickey+ (26),56.25,1933,R
150,150.,Pat Moran (30),56.25,1906,R
151,150.,Eddie Phillips (33),56.25,1934,R
152,153.,Jim Sundberg (26),56.12,1977,R
153,154.,Tom Needham (32),56.10,1911,R
154,155.,Yogi Berra+ (32),56.06,1957,R
155,155.,Nig Clarke (25),56.06,1908,R
156,157.,Ron Hassey (28),56.00,1981,R
157,157.,Walter Schmidt (37),56.00,1924,R
158,159.,Ray Fosse (26),55.91,1973,R
159,160.,Red Dooin (29),55.90,1908,R
160,161.,Bill Dickey+ (36),55.88,1943,R
161,161.,Bill Sarni (26),55.88,1954,R
162,163.,Lou Berberet (29),55.81,1959,R
163,163.,Dick Brown (26),55.81,1961,R
164,163.,Jake Early (31),55.81,1946,R
165,163.,Al Lopez+ (32),55.81,1941,R
166,167.,Hank Gowdy (30),55.79,1920,R
167,168.,Del Crandall (25),55.74,1955,R
168,169.,Yogi Berra+ (29),55.56,1954,R
169,169.,Chris Cannizzaro (24),55.56,1962,R
170,169.,Clay Dalrymple (24),55.56,1961,R
171,169.,Jim French (28),55.56,1970,R
172,169.,Steve Lake (28),55.56,1985,R
173,169.,Paddy Livingston (29),55.56,1909,R
174,169.,Sherm Lollar (28),55.56,1953,R
175,169.,Jimmie Wilson (32),55.56,1933,R
176,177.,Roger Bresnahan+ (26),55.48,1905,R
177,178.,Jimmie Wilson (30),55.39,1931,R
178,179.,Rowdy Elliott (29),55.36,1920,R
179,179.,Al Evans (30),55.36,1947,R
180,179.,Charlie O'Brien (37),55.36,1997,R
181,182.,Les Nunamaker (25),55.35,1914,R
182,183.,Sammy White (24),55.32,1952,R
183,184.,Ivey Wingo (31),55.29,1922,R
184,185.,Ira Thomas (30),55.28,1911,R
185,186.,Gabby Hartnett+ (38),55.26,1939,R
186,186.,Zack Taylor (30),55.26,1929,R
187,188.,Tim McCarver (25),55.22,1967,R
188,189.,Zack Taylor (25),55.14,1924,R
189,190.,Earl Smith (28),55.07,1925,R
190,191.,Eddie Ainsmith (32),55.00,1922,R
191,191.,Andy Etchebarren (28),55.00,1971,R
192,191.,Jim Hegan (28),55.00,1949,R
193,191.,Frankie Pytlak (27),55.00,1936,R
194,191.,Bob Swift (32),55.00,1947,R
195,196.,Yogi Berra+ (33),54.90,1958,R
196,196.,Mickey O'Neil (22),54.90,1920,R
197,198.,Mickey O'Neil (24),54.88,1922,R
198,199.,Mike Kahoe (25),54.84,1899,R
199,199.,Ray Mueller (26),54.84,1938,R
200,199.,Gus Niarhos (30),54.84,1951,R
201,202.,Bill Killefer (24),54.80,1912,R
202,203.,Truck Hannah (29),54.78,1918,R
203,203.,Wally Schang (32),54.78,1922,R
204,205.,Elston Howard (33),54.76,1962,R
205,205.,Jerry McNertney (30),54.76,1967,R
206,207.,Jimmy Archer (29),54.69,1912,R
207,208.,Ivan Rodriguez+ (27),54.67,1999,R
208,208.,Billy Sullivan (36),54.67,1911,R
209,210.,Harry Danning (25),54.55,1937,R
210,210.,Ray Fosse (23),54.55,1970,R
211,210.,Wes Westrum (30),54.55,1953,R
212,210.,Jimmie Wilson (34),54.55,1935,R
213,210.,Red Wilson (27),54.55,1956,R
214,215.,Jim Stephens (24),54.43,1908,R
215,216.,George Gibson (31),54.42,1912,R
216,217.,Frank Bowerman (35),54.41,1904,R
217,217.,Al Lopez+ (24),54.41,1933,R
218,219.,Sherm Lollar (35),54.39,1960,R
219,219.,Al Lopez+ (31),54.39,1940,R
220,219.,Chief Meyers (35),54.39,1916,R
221,222.,Bruce Edwards (22),54.35,1946,R
222,223.,Ray Schalk+ (24),54.30,1917,R
223,224.,Moe Berg (30),54.29,1932,R
224,224.,Jack Hiatt (26),54.29,1969,R
225,226.,Bill Killefer (27),54.23,1915,R
226,227.,Mike González (33),54.12,1924,R
227,228.,Roy Spencer (30),54.10,1930,R
228,229.,Gabby Hartnett+ (24),54.08,1925,R
