,Rank,Player (age that year),Adj. Batting Wins,Year,Bats
193,183.,Benny Kauff (24),6.0,1914,L
194,183.,Matt Kemp (26),6.0,2011,R
195,183.,Sherry Magee (25),6.0,1910,R
196,183.,Willie Mays+ (32),6.0,1963,R
197,183.,Mark McGwire (32),6.0,1996,R
198,183.,Johnny Mize+ (27),6.0,1940,L
199,183.,Mel Ott+ (23),6.0,1932,L
200,183.,Albert Pujols (26),6.0,2006,R
201,183.,Orator Shafer (32),6.0,1884,L
202,183.,Tris Speaker+ (25),6.0,1913,L
203,183.,Willie Stargell+ (31),6.0,1971,L
204,183.,Honus Wagner+ (30),6.0,1904,R
205,183.,Honus Wagner+ (33),6.0,1907,R
206,207.,Jeff Bagwell+ (31),5.9,1999,R
207,207.,Jimmie Foxx+ (31),5.9,1939,R
208,207.,Hank Greenberg+ (29),5.9,1940,R
209,207.,Todd Helton (30),5.9,2004,L
210,207.,Mickey Mantle+ (23),5.9,1955,B
211,207.,Stan Musial+ (31),5.9,1952,L
212,207.,Stan Musial+ (33),5.9,1954,L
213,207.,David Ortiz (31),5.9,2007,L
214,207.,Albert Pujols (25),5.9,2005,R
215,207.,George Sisler+ (29),5.9,1922,L
216,207.,Duke Snider+ (27),5.9,1954,L
217,218.,Hank Aaron+ (35),5.8,1969,R
218,218.,Dick Allen (24),5.8,1966,R
219,218.,Dan Brouthers+ (33),5.8,1891,L
220,218.,Pete Browning (26),5.8,1887,R
221,218.,Eddie Collins+ (28),5.8,1915,L
222,218.,Roger Connor+ (27),5.8,1885,B
223,218.,Ed Delahanty+ (34),5.8,1902,R
224,218.,Steve Evans (29),5.8,1914,L
225,218.,Prince Fielder (25),5.8,2009,L
226,218.,Bob Johnson (38),5.8,1944,R
227,218.,Aaron Judge (25),5.8,2017,R
228,218.,Ralph Kiner+ (24),5.8,1947,R
229,218.,Mickey Mantle+ (30),5.8,1962,B
230,218.,Eddie Mathews+ (21),5.8,1953,L
231,218.,Willie Mays+ (23),5.8,1954,R
232,218.,Willie Mays+ (24),5.8,1955,R
233,218.,Willie Mays+ (26),5.8,1957,R
234,218.,Mark McGwire (35),5.8,1999,R
235,218.,Joe Morgan+ (31),5.8,1975,L
236,218.,Frank Robinson+ (31),5.8,1967,R
237,218.,Mike Trout (27),5.8,2019,R
238,218.,Billy Williams+ (34),5.8,1972,L
239,240.,Ken Caminiti (33),5.7,1996,B
240,240.,Jose Canseco (23),5.7,1988,R
241,240.,Eddie Collins+ (22),5.7,1909,L
242,240.,Roger Connor+ (34),5.7,1892,B
243,240.,Hank Greenberg+ (24),5.7,1935,R
244,240.,Ken Griffey Jr.+ (23),5.7,1993,L
245,240.,Pedro Guerrero (29),5.7,1985,R
246,240.,Ryan Howard (26),5.7,2006,L
247,240.,Shoeless Joe Jackson (32),5.7,1920,L
248,240.,Chuck Klein+ (27),5.7,1932,L
249,240.,Fred Lynn (27),5.7,1979,L
250,240.,J.D. Martinez (30),5.7,2018,R
251,240.,Willie Mays+ (33),5.7,1964,R
252,240.,Johnny Mize+ (24),5.7,1937,L
253,240.,Manny Ramirez (27),5.7,1999,R
254,240.,Honus Wagner+ (31),5.7,1905,R
255,256.,Cap Anson+ (34),5.6,1886,R
256,256.,Albert Belle (28),5.6,1995,R
257,256.,Ty Cobb+ (26),5.6,1913,L
258,256.,Hugh Duffy+ (27),5.6,1894,R
259,256.,Jimmie Foxx+ (21),5.6,1929,R
260,256.,Billy Hamilton+ (28),5.6,1894,L
261,256.,Todd Helton (27),5.6,2001,L
262,256.,Edgar Martinez+ (34),5.6,1997,R
263,256.,Victor Martinez (35),5.6,2014,B
264,256.,Don Mattingly (25),5.6,1986,L
265,256.,John Mayberry (26),5.6,1975,L
266,256.,Johnny Mize+ (25),5.6,1938,L
267,256.,Lefty O'Doul (32),5.6,1929,L
268,256.,Magglio Ordonez (33),5.6,2007,R
269,256.,Gary Sheffield (31),5.6,2000,R
270,256.,Tris Speaker+ (29),5.6,1917,L
271,256.,Giancarlo Stanton (27),5.6,2017,R
272,256.,Mike Trout (22),5.6,2014,R
273,256.,Joey Votto (26),5.6,2010,L
274,256.,Ted Williams+ (32),5.6,1951,L
275,256.,Christian Yelich (27),5.6,2019,L
276,277.,Hank Aaron+ (28),5.5,1962,R
277,277.,Home Run Baker+ (26),5.5,1912,L
278,277.,Cody Bellinger (23),5.5,2019,L
279,277.,Lou Boudreau+ (30),5.5,1948,R
280,277.,Dan Brouthers+ (30),5.5,1888,L
281,277.,Miguel Cabrera (29),5.5,2012,R
282,277.,Rocky Colavito (24),5.5,1958,R
283,277.,Ed Delahanty+ (33),5.5,1901,R
284,277.,Mike Donlin (27),5.5,1905,L
285,277.,Prince Fielder (27),5.5,2011,L
286,277.,Lou Gehrig+ (26),5.5,1929,L
287,277.,Hank Greenberg+ (27),5.5,1938,R
288,277.,Harry Heilmann+ (26),5.5,1921,R
289,277.,Willie Mays+ (27),5.5,1958,R
290,277.,Willie Mays+ (31),5.5,1962,R
291,277.,John McGraw+ (26),5.5,1899,L
292,277.,Mel Ott+ (25),5.5,1934,L
293,277.,Manny Ramirez (28),5.5,2000,R
294,277.,Duke Snider+ (26),5.5,1953,L
295,277.,Duke Snider+ (28),5.5,1955,L
296,277.,Rusty Staub (25),5.5,1969,L
297,277.,Frank Thomas+ (32),5.5,2000,R
298,277.,Honus Wagner+ (35),5.5,1909,R
299,277.,Dixie Walker (33),5.5,1944,L
300,277.,Ken Williams (33),5.5,1923,L
301,277.,Ted Williams+ (36),5.5,1955,L
302,277.,Jim Wynn (27),5.5,1969,R
303,277.,Robin Yount+ (26),5.5,1982,R
304,305.,Hank Aaron+ (33),5.4,1967,R
305,305.,Lance Berkman (25),5.4,2001,B
306,305.,Lance Berkman (28),5.4,2004,B
307,305.,Barry Bonds (30),5.4,1995,L
308,305.,Roberto Clemente+ (32),5.4,1967,R
309,305.,Gavvy Cravath (34),5.4,1915,R
310,305.,Chris Davis (27),5.4,2013,L
311,305.,Elmer Flick+ (24),5.4,1900,L
312,305.,Travis Hafner (29),5.4,2006,L
313,305.,Jeff Kent (32),5.4,2000,R
314,305.,Nap Lajoie+ (31),5.4,1906,R
315,305.,Mickey Mantle+ (32),5.4,1964,B
316,305.,Edgar Martinez+ (33),5.4,1996,R
317,305.,Eddie Mathews+ (27),5.4,1959,L
318,305.,Willie McCovey+ (30),5.4,1968,L
319,305.,Andrew McCutchen (27),5.4,2014,R
320,305.,John Olerud (29),5.4,1998,L
321,305.,Mel Ott+ (20),5.4,1929,L
322,305.,Buster Posey (25),5.4,2012,R
323,305.,Pete Rose (28),5.4,1969,B
324,305.,Ron Santo+ (24),5.4,1964,R
325,305.,Mike Schmidt+ (30),5.4,1980,R
326,305.,Al Simmons+ (28),5.4,1930,R
327,305.,Joey Votto (29),5.4,2013,L
328,305.,Honus Wagner+ (26),5.4,1900,R
329,330.,Hank Aaron+ (23),5.3,1957,R
330,330.,José Abreu (27),5.3,2014,R
331,330.,Dick Allen (22),5.3,1964,R
332,330.,Home Run Baker+ (27),5.3,1913,L
333,330.,Albert Belle (27),5.3,1994,R
334,330.,Alex Bregman (25),5.3,2019,R
335,330.,Pete Browning (24),5.3,1885,R
336,330.,Cupid Childs (22),5.3,1890,L
337,330.,Ty Cobb+ (35),5.3,1922,L
338,330.,Gavvy Cravath (32),5.3,1913,R
339,330.,Carlos Delgado (31),5.3,2003,L
340,330.,Joe DiMaggio+ (22),5.3,1937,R
341,330.,Joe DiMaggio+ (24),5.3,1939,R
342,330.,Jim Edmonds (34),5.3,2004,L
343,330.,George Foster (28),5.3,1977,R
344,330.,Paul Goldschmidt (25),5.3,2013,R
345,330.,Ken Griffey Jr.+ (27),5.3,1997,L
346,330.,Vladimir Guerrero+ (27),5.3,2002,R
347,330.,Frank Howard (31),5.3,1968,R
348,330.,Howard Johnson (28),5.3,1989,B
349,330.,Chuck Klein+ (25),5.3,1930,L
350,330.,Ted Kluszewski (29),5.3,1954,L
351,330.,Eddie Mathews+ (28),5.3,1960,L
352,330.,Joe Mauer (26),5.3,2009,L
353,330.,Stan Musial+ (29),5.3,1950,L
354,330.,Stan Musial+ (36),5.3,1957,L
355,330.,Mel Ott+ (33),5.3,1942,L
356,330.,Rico Petrocelli (26),5.3,1969,R
357,330.,Manny Ramirez (30),5.3,2002,R
358,330.,Manny Ramirez (36),5.3,2008,R
359,330.,Alex Rodriguez (25),5.3,2001,R
360,330.,Babe Ruth+ (38),5.3,1933,L
361,330.,Jimmy Ryan (25),5.3,1888,R
362,330.,Gary Sheffield (34),5.3,2003,R
363,330.,Ken Singleton (30),5.3,1977,B
364,330.,Jim Thome+ (30),5.3,2001,L
365,330.,Joey Votto (32),5.3,2016,L
366,330.,Dave Winfield+ (27),5.3,1979,R
367,368.,Hank Aaron+ (27),5.2,1961,R
368,368.,Cap Anson+ (36),5.2,1888,R
369,368.,Wade Boggs+ (27),5.2,1985,L
370,368.,Wade Boggs+ (28),5.2,1986,L
371,368.,Barry Bonds (25),5.2,1990,L
372,368.,Dan Brouthers+ (27),5.2,1885,L
373,368.,Miguel Cabrera (23),5.2,2006,R
374,368.,Orlando Cepeda+ (29),5.2,1967,R
375,368.,Jack Clark (31),5.2,1987,R
376,368.,Ty Cobb+ (21),5.2,1908,L
377,368.,Eddie Collins+ (26),5.2,1913,L
378,368.,Adrian Gonzalez (27),5.2,2009,L
379,368.,Rogers Hornsby+ (27),5.2,1923,R
380,368.,Al Kaline+ (32),5.2,1967,R
381,368.,Roger Maris (26),5.2,1961,L
382,368.,Eddie Mathews+ (22),5.2,1954,L
383,368.,Eddie Mathews+ (23),5.2,1955,L
384,368.,Fred McGriff (25),5.2,1989,L
385,368.,Mark McGwire (33),5.2,1997,R
386,368.,Bobby Murcer (26),5.2,1972,L
387,368.,Bill Nicholson (28),5.2,1943,L
388,368.,Dave Orr (26),5.2,1886,R
389,368.,Cal Ripken Jr.+ (30),5.2,1991,R
390,368.,Alex Rodriguez (24),5.2,2000,R
391,368.,Ron Santo+ (26),5.2,1966,R
392,368.,Al Simmons+ (29),5.2,1931,R
393,368.,Sammy Sosa (31),5.2,2000,R
394,368.,Mike Trout (20),5.2,2012,R
395,368.,Mike Trout (25),5.2,2017,R
396,368.,Ted Williams+ (39),5.2,1958,L
397,368.,Heinie Zimmerman (25),5.2,1912,R
398,399.,Ross Barnes (26),5.1,1876,R
399,399.,Johnny Bench+ (24),5.1,1972,R
400,399.,Ryan Braun (27),5.1,2011,R
401,399.,Jeff Burroughs (23),5.1,1974,R
402,399.,Will Clark (24),5.1,1988,L
403,399.,Ty Cobb+ (31),5.1,1918,L
404,399.,Eddie Collins+ (25),5.1,1912,L
405,399.,Sam Crawford+ (31),5.1,1911,L
406,399.,Cecil Fielder (26),5.1,1990,R
407,399.,Jack Fournier (34),5.1,1924,L
408,399.,Augie Galan (32),5.1,1944,B
409,399.,Mike Greenwell (24),5.1,1988,L
410,399.,Tony Gwynn+ (27),5.1,1987,L
411,399.,Harry Heilmann+ (30),5.1,1925,R
412,399.,Chipper Jones+ (29),5.1,2001,B
413,399.,Chipper Jones+ (36),5.1,2008,B
414,399.,Al Kaline+ (20),5.1,1955,R
415,399.,Andrew McCutchen (25),5.1,2012,R
416,399.,Lefty O'Doul (35),5.1,1932,L
417,399.,David Ortiz (40),5.1,2016,L
418,399.,Carlos Pena (29),5.1,2007,L
419,399.,Frank Robinson+ (25),5.1,1961,R
420,399.,Frank Robinson+ (28),5.1,1964,R
421,399.,Frank Robinson+ (33),5.1,1969,R
422,399.,Alex Rodriguez (20),5.1,1996,R
423,399.,Gary Sheffield (23),5.1,1992,R
424,399.,Reggie Smith (32),5.1,1977,B
425,399.,Tris Speaker+ (34),5.1,1922,L
426,399.,Bill Terry+ (31),5.1,1930,L
427,399.,Jim Thome+ (25),5.1,1996,L
428,399.,Sam Thompson+ (35),5.1,1895,L
429,399.,Tommy Tucker (25),5.1,1889,B
430,399.,Joey Votto (27),5.1,2011,L
431,399.,Honus Wagner+ (32),5.1,1906,R
432,399.,Zack Wheat+ (36),5.1,1924,L
433,399.,Ken Williams (32),5.1,1922,L
434,399.,Ted Williams+ (21),5.1,1940,L
435,399.,Christian Yelich (26),5.1,2018,L
436,399.,Ross Youngs+ (23),5.1,1920,L
437,438.,Jose Altuve (27),5.0,2017,R
438,438.,Jose Bautista (29),5.0,2010,R
439,438.,Jose Bautista (33),5.0,2014,R
440,438.,Adrian Beltre (25),5.0,2004,R
441,438.,Lance Berkman (30),5.0,2006,B
442,438.,Lance Berkman (32),5.0,2008,B
443,438.,Jesse Burkett+ (30),5.0,1899,L
444,438.,Dolph Camilli (29),5.0,1936,L
445,438.,Dolph Camilli (30),5.0,1937,L
446,438.,Rico Carty (30),5.0,1970,R
447,438.,Ty Cobb+ (20),5.0,1907,L
448,438.,Roger Connor+ (28),5.0,1886,B
449,438.,Roger Connor+ (30),5.0,1888,B
450,438.,Joe DiMaggio+ (25),5.0,1940,R
451,438.,Darrell Evans (26),5.0,1973,L
452,438.,Adrian Gonzalez (29),5.0,2011,L
453,438.,Shoeless Joe Jackson (28),5.0,1916,L
454,438.,Reggie Jackson+ (34),5.0,1980,L
455,438.,Charlie Keller (25),5.0,1942,L
456,438.,Joe Kelley+ (24),5.0,1896,R
457,438.,King Kelly+ (26),5.0,1884,R
458,438.,Eddie Murray+ (28),5.0,1984,B
459,438.,Bill Nicholson (29),5.0,1944,L
460,438.,Dave Orr (25),5.0,1885,R
461,438.,David Ortiz (29),5.0,2005,L
462,438.,David Ortiz (30),5.0,2006,L
463,438.,Dave Parker (27),5.0,1978,L
464,438.,Mike Piazza+ (27),5.0,1996,R
465,438.,Boog Powell (28),5.0,1970,L
466,438.,Manny Ramirez (31),5.0,2003,R
467,438.,Hardy Richardson (31),5.0,1886,R
468,438.,Alex Rodriguez (26),5.0,2002,R
469,438.,Tim Salmon (26),5.0,1995,R
470,438.,Mike Schmidt+ (31),5.0,1981,R
471,438.,Jimmy Sheckard (22),5.0,1901,L
472,438.,Sammy Sosa (29),5.0,1998,R
473,438.,Tris Speaker+ (22),5.0,1910,L
474,438.,Giancarlo Stanton (24),5.0,2014,R
475,438.,Willie Stargell+ (34),5.0,1974,L
476,438.,Paul Waner+ (33),5.0,1936,L
477,438.,Billy Williams+ (27),5.0,1965,L
478,438.,Ted Williams+ (20),5.0,1939,L
479,480.,Hank Aaron+ (31),4.9,1965,R
480,480.,Dick Allen (25),4.9,1967,R
481,480.,Jose Altuve (26),4.9,2016,R
482,480.,Jeff Bagwell+ (30),4.9,1998,R
483,480.,Albert Belle (29),4.9,1996,R
484,480.,Barry Bonds (26),4.9,1991,L
485,480.,Ryan Braun (28),4.9,2012,R
486,480.,Pete Browning (29),4.9,1890,R
487,480.,Dolph Camilli (34),4.9,1941,L
488,480.,Phil Cavarretta (28),4.9,1945,L
489,480.,Orlando Cepeda+ (25),4.9,1963,R
490,480.,Fred Clarke+ (24),4.9,1897,L
491,480.,Rocky Colavito (27),4.9,1961,R
492,480.,Jack Fournier (35),4.9,1925,L
493,480.,Freddie Freeman (26),4.9,2016,L
494,480.,Brian Giles (29),4.9,2000,L
495,480.,Josh Hamilton (29),4.9,2010,L
496,480.,Derek Jeter+ (25),4.9,1999,R
497,480.,Chipper Jones+ (35),4.9,2007,B
498,480.,Charlie Keller (26),4.9,1943,L
499,480.,Joe Kelley+ (22),4.9,1894,R
500,480.,Harmon Killebrew+ (30),4.9,1966,R
501,480.,Harmon Killebrew+ (34),4.9,1970,R
502,480.,Edgar Martinez+ (35),4.9,1998,R
503,480.,Don Mattingly (24),4.9,1985,L
504,480.,John Mayberry (23),4.9,1972,L
505,480.,Willie Mays+ (30),4.9,1961,R
506,480.,Andrew McCutchen (26),4.9,2013,R
507,480.,Fred McGriff (28),4.9,1992,L
508,480.,Mark McGwire (28),4.9,1992,R
509,480.,Joe Morgan+ (30),4.9,1974,L
510,480.,Dale Murphy (31),4.9,1987,R
511,480.,Albert Pujols (21),4.9,2001,R
512,480.,Albert Pujols (27),4.9,2007,R
513,480.,Jim Rice+ (25),4.9,1978,R
514,480.,Gary Sheffield (32),4.9,2001,R
515,480.,Roy Sievers (30),4.9,1957,R
516,480.,Ken Singleton (28),4.9,1975,B
517,480.,Lonnie Smith (33),4.9,1989,R
518,480.,Darryl Strawberry (26),4.9,1988,L
519,480.,Joey Votto (28),4.9,2012,L
520,480.,Larry Walker+ (34),4.9,2001,L
521,480.,Paul Waner+ (25),4.9,1928,L
