,Rank,Player (age that year),Outs Made,Year,Bats
158,156.,Nomar Garciaparra (23),502,1997,R
159,156.,Steve Garvey (36),502,1985,R
160,156.,Derek Jeter+ (38),502,2012,R
161,156.,Cal Ripken Jr.+ (26),502,1987,R
162,156.,Brian Roberts (26),502,2004,B
163,156.,Alfonso Soriano (27),502,2003,R
164,156.,Trea Turner (25),502,2018,R
165,166.,Tommie Agee (23),501,1966,R
166,166.,Garret Anderson (29),501,2001,L
167,166.,Elvis Andrus (24),501,2013,R
168,166.,Enos Cabell (28),501,1978,R
169,166.,Doc Cramer (35),501,1941,L
170,166.,Kid Gleason (38),501,1905,B
171,166.,Cristian Guzman (22),501,2000,B
172,166.,Ron LeFlore (30),501,1978,R
173,166.,Rabbit Maranville+ (24),501,1916,R
174,166.,Bill Mazeroski+ (30),501,1967,R
175,166.,Billy Moran (28),501,1962,R
176,166.,Bill Russell (28),501,1977,R
177,166.,Leon Wagner (30),501,1964,L
178,179.,Jay Bell (24),500,1990,R
179,179.,Rick Bosetti (25),500,1979,R
180,179.,Starlin Castro (21),500,2011,R
181,179.,Vince Coleman (23),500,1985,B
182,179.,Vince Coleman (26),500,1988,B
183,179.,Curt Flood (26),500,1964,R
184,179.,Doug Glanville (29),500,2000,R
185,179.,Mark Grudzielanek (27),500,1997,R
186,179.,Derek Jeter+ (23),500,1997,R
187,179.,Cal Ripken Jr.+ (31),500,1992,R
188,179.,Jimmy Rollins (26),500,2005,B
189,179.,Roy Schalk (35),500,1944,R
190,191.,Garret Anderson (28),499,2000,L
191,191.,Carl Furillo (29),499,1951,R
192,191.,Francisco Lindor (24),499,2018,B
193,191.,Rabbit Maranville+ (30),499,1922,R
194,191.,Dave Philley (30),499,1950,B
195,191.,Ray Powell (31),499,1920,L
196,191.,Albert Pujols (34),499,2014,R
197,191.,Pete Rose (39),499,1980,B
198,191.,Juan Samuel (27),499,1988,R
199,191.,Ryne Sandberg+ (23),499,1983,R
200,191.,Red Schoendienst+ (27),499,1950,B
201,191.,George Springer (26),499,2016,R
202,191.,Gorman Thomas (29),499,1980,R
203,191.,Mark Trumbo (27),499,2013,R
204,205.,Jose Altuve (23),498,2013,R
205,205.,Albert Belle (30),498,1997,R
206,205.,Jay Bell (25),498,1991,R
207,205.,Todd Benzinger (26),498,1989,B
208,205.,Bill Buckner (36),498,1986,L
209,205.,Starlin Castro (29),498,2019,R
210,205.,Tony Fernandez (28),498,1990,B
211,205.,Nellie Fox+ (28),498,1956,L
212,205.,Doug Glanville (30),498,2001,R
213,205.,Paul Molitor+ (25),498,1982,R
214,205.,Ivy Olson (35),498,1921,R
215,205.,Johnny Ray (25),498,1982,B
216,205.,Marcus Semien (27),498,2018,R
217,205.,Devon White (29),498,1992,B
218,219.,Luis Aparicio+ (25),497,1959,R
219,219.,Glenn Beckert (24),497,1965,R
220,219.,Hank Blalock (24),497,2005,L
221,219.,Julio Franco (26),497,1985,R
222,219.,Ralph Garr (27),497,1973,L
223,219.,Manny Machado (24),497,2017,R
224,219.,Whit Merrifield (30),497,2019,R
225,219.,Neifi Perez (27),497,2000,B
226,219.,Tim Raines+ (22),497,1982,B
227,219.,Steve Sax (22),497,1982,R
228,219.,Omar Vizquel (34),497,2001,B
229,230.,Bill Almon (24),496,1977,R
230,230.,Lou Bierbauer (26),496,1892,L
231,230.,Jose Canseco (22),496,1987,R
232,230.,Starlin Castro (22),496,2012,R
233,230.,Sam Dente (28),496,1950,R
234,230.,Chone Figgins (27),496,2005,B
235,230.,Nellie Fox+ (33),496,1961,L
236,230.,Todd Frazier (29),496,2015,R
237,230.,Derek Jeter+ (30),496,2004,R
238,230.,Brian McRae (23),496,1991,B
239,230.,Freddy Parent (29),496,1905,R
240,230.,Vada Pinson (26),496,1965,L
241,230.,Cal Ripken Jr.+ (35),496,1996,R
242,230.,Steve Sax (23),496,1983,R
243,230.,Miguel Tejada (34),496,2008,R
244,230.,Maury Wills (35),496,1968,B
245,230.,Chris Young (24),496,2008,R
246,230.,Eric Young Sr. (30),496,1997,R
247,248.,Lou Brock+ (29),495,1968,L
248,248.,Horace Clarke (32),495,1971,B
249,248.,Dain Clay (25),495,1945,R
250,248.,Andre Dawson+ (24),495,1979,R
251,248.,Steve Finley (39),495,2004,L
252,248.,Rafael Furcal (24),495,2002,B
253,248.,Marquis Grissom (29),495,1996,R
254,248.,Mike Lansing (28),495,1996,R
255,248.,Francisco Lindor (23),495,2017,B
256,248.,Felix Millan (29),495,1973,R
257,248.,Steve Sax (29),495,1989,R
258,248.,Cesar Tovar (29),495,1970,R
259,248.,Willie Wilson (24),495,1980,B
260,261.,Elvis Andrus (23),494,2012,R
261,261.,Richie Ashburn+ (22),494,1949,L
262,261.,Tony Batista (30),494,2004,R
263,261.,Jose Bautista (36),494,2017,R
264,261.,George Case (25),494,1941,R
265,261.,Dave Cash (29),494,1977,R
266,261.,Darin Erstad (27),494,2001,L
267,261.,Steve Finley (31),494,1996,L
268,261.,Jim Fregosi (26),494,1968,R
269,261.,Don Gutteridge (30),494,1942,R
270,261.,Ernie Johnson (34),494,1922,L
271,261.,Hi Myers (26),494,1915,R
272,261.,Jorge Orta (25),494,1976,L
273,261.,Phil Rizzuto+ (31),494,1949,R
274,261.,Ryne Sandberg+ (22),494,1982,R
275,261.,Ichiro Suzuki (31),494,2005,L
276,261.,Ossie Vitt (26),494,1916,R
277,261.,Maury Wills (31),494,1964,B
278,279.,Sandy Alomar (28),493,1972,B
279,279.,Buddy Bell (21),493,1973,R
280,279.,Don Blasingame (25),493,1957,L
281,279.,Doc Cramer (34),493,1940,L
282,279.,Jim Fregosi (24),493,1966,R
283,279.,Tito Fuentes (27),493,1971,B
284,279.,Steve Garvey (31),493,1980,R
285,279.,Jimmy Johnston (30),493,1920,R
286,279.,Ruppert Jones (24),493,1979,L
287,279.,Don Kessinger (27),493,1970,B
288,279.,Harvey Kuenn (23),493,1954,R
289,279.,Dave Parker (35),493,1986,L
290,279.,Jimmy Rollins (33),493,2012,B
291,279.,Pete Rose (41),493,1982,B
292,279.,Ron Santo+ (22),493,1962,R
293,279.,Alfonso Soriano (30),493,2006,R
294,279.,Vernon Wells (24),493,2003,R
295,279.,Vernon Wells (30),493,2009,R
296,279.,Tony Womack (28),493,1998,L
297,298.,Derek Bell (27),492,1996,R
298,298.,Carlos Beltran (25),492,2002,B
299,298.,Michael Bourn (28),492,2011,L
300,298.,Lou Brock+ (34),492,1973,L
301,298.,Johnny Callison (25),492,1964,L
302,298.,Joe Carter (37),492,1997,R
303,298.,Eddie Grant (26),492,1909,L
304,298.,Cristian Guzman (24),492,2002,B
305,298.,Don Kessinger (28),492,1971,B
306,298.,Hunter Pence (31),492,2014,R
307,298.,Bobby Richardson (30),492,1966,R
308,298.,Ozzie Smith+ (23),492,1978,B
309,298.,Ichiro Suzuki (34),492,2008,L
310,298.,Roy White (32),492,1976,B
311,298.,Bobby Young (26),492,1951,L
312,298.,Delmon Young (21),492,2007,R
313,298.,Michael Young (27),492,2004,R
314,315.,Roberto Alomar+ (21),491,1989,B
315,315.,Brady Anderson (28),491,1992,L
316,315.,Tony Armas (30),491,1984,R
317,315.,Lou Brock+ (31),491,1970,L
318,315.,Melky Cabrera (26),491,2011,B
319,315.,Ivan Calderon (28),491,1990,R
320,315.,Joe Carter (32),491,1992,R
321,315.,Joe Carter (36),491,1996,R
322,315.,Doc Cramer (27),491,1933,L
323,315.,Al Dark (32),491,1954,R
324,315.,Alfredo Griffin (21),491,1979,B
325,315.,Willie Horton (36),491,1979,R
326,315.,Andruw Jones (24),491,2001,R
327,315.,Mark Koenig (29),491,1934,B
328,315.,Evan Longoria (28),491,2014,R
329,315.,Daniel Murphy (28),491,2013,L
330,315.,Brooks Robinson+ (32),491,1969,R
331,315.,Jimmy Rollins (24),491,2003,B
332,315.,Steve Sax (31),491,1991,R
333,315.,Denard Span (26),491,2010,L
334,315.,Vern Stephens (27),491,1948,R
335,315.,B.J. Surhoff (34),491,1999,L
336,315.,Tony Taylor (27),491,1963,R
337,315.,Burgess Whitehead (26),491,1936,R
338,339.,José Abreu (32),490,2019,R
339,339.,Bobby Bonds (27),490,1973,R
340,339.,Aaron Boone (29),490,2002,R
341,339.,Ed Brinkman (28),490,1970,R
342,339.,Dave Concepcion (32),490,1980,R
343,339.,Del Ennis (31),490,1956,R
344,339.,Alcides Escobar (26),490,2013,R
345,339.,Granny Hamner (23),490,1950,R
346,339.,Roberto Kelly (25),490,1990,R
347,339.,Matt Kemp (25),490,2010,R
348,339.,Ray Knight (27),490,1980,R
349,339.,Dale Murphy (32),490,1988,R
350,339.,Al Oliver (26),490,1973,L
351,339.,Terry Pendleton (32),490,1993,B
352,339.,Vada Pinson (21),490,1960,L
353,339.,Alexei Ramírez (31),490,2013,R
354,339.,Jose Reyes (29),490,2012,B
355,339.,Jim Rice+ (25),490,1978,R
356,339.,Cookie Rojas (27),490,1966,R
357,339.,Marcus Semien (28),490,2019,R
358,339.,Rusty Staub (33),490,1977,L
359,339.,Billy Williams+ (28),490,1966,L
360,339.,Gerald Williams (33),490,2000,R
361,339.,Carl Yastrzemski+ (22),490,1962,L
362,363.,Bobby Adams (30),489,1952,R
363,363.,Tony Armas (29),489,1983,R
364,363.,Bobby Bonds (26),489,1972,R
365,363.,Ed Brinkman (24),489,1966,R
366,363.,Lou Brock+ (26),489,1965,L
367,363.,Jeff Burroughs (25),489,1976,R
368,363.,Doc Cramer (36),489,1942,L
369,363.,Ivan de Jesus (24),489,1977,R
370,363.,Tony Fernandez (30),489,1992,B
371,363.,Don Kessinger (32),489,1975,B
372,363.,Ian Kinsler (29),489,2011,R
373,363.,Carl Lind (24),489,1928,R
374,363.,Kenny Lofton (29),489,1996,L
375,363.,Jerry Lumpe (31),489,1964,L
376,363.,Nick Markakis (29),489,2013,L
377,363.,Roy McMillan (24),489,1954,R
378,363.,Brian McRae (25),489,1993,B
379,363.,Charlie Neal (28),489,1959,R
380,363.,Jose Offerman (24),489,1993,B
381,363.,Ivy Olson (34),489,1920,R
382,363.,Jerry Priddy (30),489,1950,R
383,363.,Steve Sax (28),489,1988,R
384,363.,Steve Sax (30),489,1990,R
385,363.,Grady Sizemore (22),489,2005,L
386,363.,Roy Smalley (26),489,1979,B
387,363.,Gary Sutherland (29),489,1974,R
388,363.,Miguel Tejada (30),489,2004,R
389,363.,Garry Templeton (22),489,1978,B
390,363.,Johnny Temple (28),489,1956,R
391,363.,Zoilo Versalles (27),489,1967,R
392,363.,Jonathan Villar (28),489,2019,B
393,363.,Devon White (28),489,1991,B
394,395.,Ozzie Albies (21),488,2018,B
395,395.,Luis Aparicio+ (27),488,1961,R
396,395.,Gene Baker (30),488,1955,R
397,395.,Marty Barrett (28),488,1986,R
398,395.,Tony Batista (28),488,2002,R
399,395.,Rick Burleson (28),488,1979,R
400,395.,Orlando Cabrera (29),488,2004,R
401,395.,Joe Carter (31),488,1991,R
402,395.,Ivan de Jesus (25),488,1978,R
403,395.,Ivan de Jesus (27),488,1980,R
404,395.,Curt Flood (28),488,1966,R
405,395.,Nellie Fox+ (34),488,1962,L
406,395.,Jim Gilliam (28),488,1957,B
407,395.,Harry Hooper+ (24),488,1912,L
408,395.,Adam Jones (27),488,2013,R
409,395.,Bobby Knoop (27),488,1966,R
410,395.,Hal McRae (32),488,1978,R
411,395.,Aurelio Rodriguez (22),488,1970,R
412,395.,Jimmy Rollins (25),488,2004,B
413,395.,Pete Rose (22),488,1963,B
414,395.,Ruben Sierra (25),488,1991,B
415,395.,Chris Speier (21),488,1971,R
416,395.,Michael Young (26),488,2003,R
417,418.,Glenn Beckert (25),487,1966,R
418,418.,Melky Cabrera (30),487,2015,B
419,418.,Bert Campaneris (31),487,1973,R
420,418.,Joe Carter (26),487,1986,R
421,418.,Vince Coleman (24),487,1986,B
422,418.,Shano Collins (29),487,1915,R
423,418.,Cecil Cooper (33),487,1983,L
424,418.,Frankie Crosetti (26),487,1937,R
425,418.,Andre Dawson+ (28),487,1983,R
426,418.,Bucky Dent (23),487,1975,R
427,418.,Curt Flood (25),487,1963,R
428,418.,Nellie Fox+ (24),487,1952,L
429,418.,Brandon Inge (28),487,2005,R
430,418.,Sam Jethroe (35),487,1952,B
431,418.,Tom Jones (30),487,1904,R
432,418.,Eric Karros (25),487,1993,R
433,418.,Eric Karros (29),487,1997,R
434,418.,Davey Lopes (30),487,1975,R
435,418.,Brandon Phillips (29),487,2010,R
436,418.,Stan Rojek (29),487,1948,R
437,418.,Pete Rose (33),487,1974,B
438,418.,Roy Smalley (24),487,1977,B
439,418.,Rickie Weeks (27),487,2010,R
440,418.,Maury Wills (36),487,1969,B
441,418.,Mookie Wilson (27),487,1983,B
442,418.,Dave Winfield+ (33),487,1985,R
443,418.,Michael Young (31),487,2008,R
444,445.,Roberto Alomar+ (23),486,1991,B
445,445.,Luis Aparicio+ (34),486,1968,R
446,445.,Marty Barrett (30),486,1988,R
447,445.,Bret Boone (30),486,1999,R
448,445.,Larry Bowa (32),486,1978,B
449,445.,Lou Brock+ (27),486,1966,L
450,445.,Bill Buckner (32),486,1982,L
451,445.,George Burns (32),486,1922,R
452,445.,Orlando Cabrera (26),486,2001,R
453,445.,George Case (24),486,1940,R
454,445.,Johnny Damon (24),486,1998,L
455,445.,Al Dark (31),486,1953,R
456,445.,Alcides Escobar (28),486,2015,R
457,445.,Rafael Furcal (28),486,2006,B
458,445.,Nomar Garciaparra (29),486,2003,R
459,445.,Steve Garvey (28),486,1977,R
460,445.,Curtis Granderson (28),486,2009,L
461,445.,Billy Herman+ (28),486,1938,R
462,445.,Adam Jones (26),486,2012,R
463,445.,Harvey Kuenn (22),486,1953,R
464,445.,Duane Kuiper (27),486,1977,L
465,445.,Felipe Lopez (27),486,2007,B
466,445.,Jo-Jo Moore (26),486,1935,L
467,445.,Alexei Ramírez (29),486,2011,R
468,445.,George Scott (22),486,1966,R
469,445.,Ruben Sierra (22),486,1988,B
470,445.,Andrelton Simmons (23),486,2013,R
471,445.,Mookie Wilson (26),486,1982,B
472,445.,Randy Winn (30),486,2004,B
473,474.,Elvis Andrus (28),485,2017,R
474,474.,Tony Armas (26),485,1980,R
475,474.,Frank Baumholtz (28),485,1947,L
476,474.,Lou Brock+ (35),485,1974,L
477,474.,Bill Bruton (27),485,1953,L
478,474.,Brett Butler (27),485,1984,L
479,474.,Chico Carrasquel (28),485,1954,R
480,474.,Steve Garvey (30),485,1979,R
481,474.,Ozzie Guillen (25),485,1989,L
482,474.,Corey Hart (26),485,2008,R
483,474.,Ender Inciarte (26),485,2017,L
484,474.,Eric Karros (28),485,1996,R
485,474.,Matt Kemp (31),485,2016,R
486,474.,Jose Lopez (24),485,2008,R
487,474.,Willie Montanez (23),485,1971,L
488,474.,Corey Patterson (24),485,2004,L
489,474.,Hunter Pence (29),485,2012,R
490,474.,Jim Piersall (27),485,1957,R
491,474.,Kirby Puckett+ (26),485,1986,R
492,474.,Rafael Ramirez (24),485,1982,R
493,474.,Pee Wee Reese+ (32),485,1951,R
494,474.,Cal Ripken Jr.+ (22),485,1983,R
495,474.,Ryne Sandberg+ (28),485,1988,R
496,474.,Tony Taylor (26),485,1962,R
497,474.,Miguel Tejada (28),485,2002,R
498,474.,Miguel Tejada (31),485,2005,R
499,474.,Miguel Tejada (36),485,2010,R
500,474.,Cesar Tovar (30),485,1971,R
501,474.,Bill Wambsganss (26),485,1920,R
