,Rank,Player (age that year),Defensive WAR,Year,Bats
63,63.,Ernie Banks+ (28),3.5,1959,R
64,63.,Mark Belanger (30),3.5,1974,R
65,63.,Michael Bourn (27),3.5,2010,L
66,63.,Craig Counsell (34),3.5,2005,L
67,63.,Art Fletcher (33),3.5,1918,R
68,63.,Rogers Hornsby+ (21),3.5,1917,R
69,63.,Travis Jackson+ (24),3.5,1928,R
70,63.,Manny Machado (20),3.5,2013,R
71,63.,Cal Ripken Jr.+ (28),3.5,1989,R
72,63.,Cal Ripken Jr.+ (30),3.5,1991,R
73,63.,Ozzie Smith+ (25),3.5,1980,B
74,63.,Ozzie Smith+ (27),3.5,1982,B
75,63.,Chase Utley (29),3.5,2008,L
76,63.,Robin Ventura (30),3.5,1998,L
77,63.,Jack Wilson (31),3.5,2009,R
78,79.,Mark Belanger (33),3.4,1977,R
79,79.,Buddy Bell (29),3.4,1981,R
80,79.,Clete Boyer (24),3.4,1961,R
81,79.,Brandon Crawford (29),3.4,2016,L
82,79.,George Davis+ (33),3.4,1904,B
83,79.,Willie Davis (24),3.4,1964,L
84,79.,Brett Gardner (26),3.4,2010,L
85,79.,Ken Griffey Jr.+ (26),3.4,1996,L
86,79.,Ozzie Guillen (24),3.4,1988,L
87,79.,Marty Marion (26),3.4,1943,R
88,79.,Cal Ripken Jr.+ (29),3.4,1990,R
89,79.,Phil Rizzuto+ (24),3.4,1942,R
90,79.,Rey Sanchez (33),3.4,2001,R
91,79.,Ozzie Smith+ (30),3.4,1985,B
92,79.,Bobby Wallace+ (27),3.4,1901,R
93,79.,Bobby Wallace+ (34),3.4,1908,R
94,95.,Javier Baez (26),3.3,2019,R
95,95.,Dave Bancroft+ (30),3.3,1921,B
96,95.,Lou Boudreau+ (25),3.3,1943,R
97,95.,Ed Brinkman (24),3.3,1966,R
98,95.,Ed Brinkman (27),3.3,1969,R
99,95.,Bert Campaneris (31),3.3,1973,R
100,95.,Jody Davis (29),3.3,1986,R
101,95.,Paul DeJong (25),3.3,2019,R
102,95.,Adam Everett (28),3.3,2005,R
103,95.,Johnny Evers+ (25),3.3,1907,L
104,95.,Chone Figgins (31),3.3,2009,B
105,95.,Lonny Frey (29),3.3,1940,L
106,95.,Bobby Knoop (25),3.3,1964,R
107,95.,Nap Lajoie+ (32),3.3,1907,R
108,95.,Bill Mazeroski+ (26),3.3,1963,R
109,95.,Eddie Miller (27),3.3,1944,R
110,95.,Kirby Puckett+ (24),3.3,1984,R
111,95.,Ivan Rodriguez+ (24),3.3,1996,R
112,95.,Scott Rolen (29),3.3,2004,R
113,95.,Andrelton Simmons (28),3.3,2018,R
114,95.,Lee Tannehill (23),3.3,1904,R
115,116.,Clint Barmes (27),3.2,2006,R
116,116.,Tucker Barnhart (26),3.2,2017,L
117,116.,Clete Boyer (25),3.2,1962,R
118,116.,Ed Brinkman (28),3.2,1970,R
119,116.,Jimmy Cooney (31),3.2,1926,R
120,116.,Brandon Crawford (28),3.2,2015,L
121,116.,Bucky Dent (27),3.2,1979,R
122,116.,Lenny Dykstra (27),3.2,1990,L
123,116.,Art Fletcher (30),3.2,1915,R
124,116.,Art Fletcher (31),3.2,1916,R
125,116.,Rafael Furcal (27),3.2,2005,B
126,116.,Ozzie Guillen (22),3.2,1986,L
127,116.,Buck Herzog (29),3.2,1915,R
128,116.,Travis Jackson+ (25),3.2,1929,R
129,116.,Juan Lagares (24),3.2,2013,R
130,116.,Rabbit Maranville+ (24),3.2,1916,R
131,116.,Gerardo Parra (26),3.2,2013,L
132,116.,Freddie Patek (27),3.2,1972,R
133,116.,Jim Piersall (26),3.2,1956,R
134,116.,Pokey Reese (26),3.2,1999,R
135,116.,Phil Rizzuto+ (34),3.2,1952,R
136,116.,Brendan Ryan (27),3.2,2009,R
137,116.,Brian Schneider (27),3.2,2004,L
138,116.,Germany Smith (33),3.2,1892,R
139,116.,Ozzie Smith+ (33),3.2,1988,B
140,116.,Dickie Thon (25),3.2,1983,R
141,116.,Terry Turner (26),3.2,1907,R
142,143.,Adrian Beltre (29),3.1,2008,R
143,143.,Bob Boone (34),3.1,1982,R
144,143.,Lou Boudreau+ (29),3.1,1947,R
145,143.,Chico Carrasquel (28),3.1,1954,R
