,Rank,Player (age that year),Putouts as 3B,Year,Throws
461,459.,Bill Joyce (26),152,1894,R
462,459.,Buddy Lewis (19),152,1936,R
463,459.,Hector Lopez (26),152,1956,R
464,459.,Denny Lyons (26),152,1892,R
465,459.,Barry McCormick (23),152,1898,R
466,459.,Marty McManus (30),152,1930,R
467,459.,Bobby Reeves (25),152,1929,R
468,459.,Harry Steinfeldt (29),152,1905,R
469,459.,Ryan Zimmerman (21),152,2006,R
470,471.,Joe Battin (29),151,1883,R
471,471.,Les Bell (23),151,1925,R
472,471.,Ossie Bluege (30),151,1931,R
473,471.,Ray Boone (32),151,1956,R
474,471.,Clete Boyer (24),151,1961,R
475,471.,Bill Bradley (25),151,1903,R
476,471.,Charlie Deal (25),151,1917,R
477,471.,Jim Finigan (25),151,1954,R
478,471.,Stan Hack (27),151,1937,R
479,471.,Frank Hankinson (25),151,1881,R
480,471.,Fred Hartman (36),151,1901,R
481,471.,Pinky Higgins (27),151,1936,R
482,471.,Carney Lansford (23),151,1980,R
483,471.,Freddie Lindstrom+ (20),151,1926,R
484,471.,Denny Lyons (25),151,1891,R
485,471.,Frank Malzone (27),151,1957,R
486,471.,Frank Malzone (33),151,1963,R
487,471.,Chippy McGarr (27),151,1890,R
488,471.,Joe Mulvey (25),151,1884,R
489,471.,Tony Perez+ (26),151,1968,R
490,471.,Brooks Robinson+ (21),151,1958,R
491,471.,Brooks Robinson+ (24),151,1961,R
492,471.,Red Rolfe (29),151,1938,R
493,471.,Red Rolfe (30),151,1939,R
494,471.,Al Rosen (26),151,1950,R
495,471.,Tim Wallach (25),151,1983,R
496,471.,Rollie Zeider (30),151,1914,R
497,498.,Bob Aspromonte (24),150,1962,R
498,498.,Ossie Bluege (27),150,1928,R
499,498.,Ed Charles (32),150,1965,R
