,Rank,Player (age that year),Range Factor/Game as 2B,Year,Throws
154,155.,Billy Herman+ (28),6.099,1938,R
155,156.,Hughie Critz (25),6.097,1926,R
156,157.,Jimmy Johnston (33),6.095,1923,R
157,158.,Jackie Hayes (26),6.094,1933,R
158,159.,John Farrell (25),6.093,1902,R
159,159.,Irv Hall (26),6.093,1945,R
160,161.,Dave Shean (26),6.088,1910,R
161,162.,Charley Bassett (26),6.087,1889,R
162,162.,Bobby Doerr+ (21),6.087,1939,R
163,164.,Bill McClellan (30),6.085,1886,L
164,165.,Lou Bierbauer (20),6.083,1886,R
165,165.,Joe Gerhardt (23),6.083,1878,R
166,167.,Bob Ferguson (36),6.082,1881,R
167,168.,Snuffy Stirnweiss (26),6.079,1945,R
168,169.,Billy Herman+ (25),6.078,1935,R
169,170.,Fred Dunlap (30),6.074,1889,R
170,171.,Bobby Lowe (29),6.070,1895,R
171,172.,Hod Ford (26),6.069,1924,R
172,173.,Boze Berger (25),6.067,1935,R
173,174.,Burgess Whitehead (29),6.066,1939,R
174,175.,John Ward+ (33),6.060,1893,R
175,176.,Billy Goodman (26),6.058,1952,R
176,177.,Yank Robinson (26),6.056,1886,R
177,178.,Nap Lajoie+ (32),6.055,1907,R
178,178.,Fred Pfeffer (34),6.055,1894,R
179,180.,Jackie Hayes (25),6.052,1932,R
180,181.,Red Schoendienst+ (31),6.049,1954,R
181,182.,Bobby Grich (26),6.047,1975,R
182,183.,Fresco Thompson (26),6.040,1928,R
183,184.,Sam LaRocque (27),6.039,1890,R
184,185.,Billy Herman+ (30),6.030,1940,R
185,186.,Billy Herman+ (22),6.026,1932,R
186,187.,Charley Bassett (24),6.025,1887,R
187,187.,Connie Ryan (24),6.025,1944,R
188,189.,George Creamer (25),6.024,1880,R
189,189.,Fred Pfeffer (33),6.024,1893,R
190,191.,Bucky Harris+ (26),6.021,1923,R
191,192.,Clyde Beck (27),6.020,1927,R
192,192.,Bill Mazeroski+ (24),6.020,1961,R
193,194.,Jerry Priddy (28),6.014,1948,R
194,195.,Eddie Collins+ (33),6.013,1920,R
195,195.,Jack Farrell (22),6.013,1880,R
196,197.,Bucky Harris+ (31),6.010,1928,R
197,197.,Johnny Hodapp (27),6.010,1933,R
198,199.,Fresco Thompson (28),6.009,1930,R
199,200.,Ski Melillo (32),6.007,1932,R
200,201.,Sam Bohne (26),6.000,1923,R
201,201.,Bobby Doerr+ (31),6.000,1949,R
202,201.,Hod Ford (23),6.000,1921,R
203,201.,John Morrill (21),6.000,1876,R
204,201.,Elias Peak (25),6.000,1884,
205,206.,Buddy Myer (29),5.992,1933,R
206,207.,Bill Wambsganss (29),5.989,1923,R
207,208.,Danny Richardson (26),5.984,1889,R
208,209.,Charlie Gehringer+ (33),5.981,1936,R
209,210.,Bobby Doerr+ (28),5.980,1946,R
210,211.,George Creamer (26),5.975,1881,R
211,212.,Hughie Critz (29),5.974,1930,R
212,212.,Al Myers (26),5.974,1890,R
213,212.,Burgess Whitehead (27),5.974,1937,R
214,215.,Billy Herman+ (24),5.973,1934,R
215,216.,Lonny Frey (32),5.972,1943,R
216,217.,Marty McManus (25),5.968,1925,R
217,218.,Footsie Blair (29),5.965,1930,R
218,219.,Red Schoendienst+ (26),5.964,1949,R
219,220.,Kid Gleason (32),5.959,1899,R
220,221.,Tom Burns (25),5.954,1882,R
221,222.,Fred Dunlap (27),5.951,1886,R
222,223.,Sparky Adams (31),5.949,1926,R
223,223.,Don Blasingame (24),5.949,1956,R
224,225.,Fred Pfeffer (32),5.948,1892,R
225,225.,Rennie Stennett (23),5.948,1974,R
226,227.,George Grantham (23),5.947,1923,R
227,228.,Joe Gerhardt (30),5.946,1885,R
228,229.,Reddy Mack (21),5.945,1887,
229,229.,Cub Stricker (31),5.945,1890,R
230,231.,Joe Quest (31),5.943,1884,R
231,232.,Fresco Thompson (25),5.941,1927,R
232,233.,Eddie Stanky (27),5.939,1943,R
233,234.,Lonny Frey (28),5.936,1939,R
234,234.,Rennie Stennett (25),5.936,1976,R
235,236.,Danny Richardson (24),5.935,1887,R
236,236.,Snuffy Stirnweiss (25),5.935,1944,R
237,238.,Ski Melillo (26),5.932,1926,R
238,239.,Germany Schaefer (30),5.930,1906,R
239,240.,Woody Williams (31),5.929,1944,R
240,241.,Taylor Shafer (23),5.928,1890,R
241,242.,Bobby Lowe (27),5.926,1893,R
242,243.,Jack Crooks (29),5.924,1895,R
243,243.,Bob Ferguson (37),5.924,1882,R
244,243.,George Grantham (24),5.924,1924,R
245,243.,Pete Kilduff (28),5.924,1921,R
246,247.,Mickey Witek (27),5.922,1943,R
247,248.,Cub Stricker (32),5.921,1891,R
248,249.,Lou Stringer (24),5.920,1941,R
249,249.,Zeb Terry (31),5.920,1922,R
250,251.,Sam Bohne (25),5.918,1922,R
251,252.,Johnny Evers+ (22),5.915,1904,R
252,252.,Nap Lajoie+ (31),5.915,1906,R
253,254.,Cupid Childs (22),5.912,1890,R
254,255.,Luke Boone (24),5.911,1914,R
255,255.,Freddie Maguire (31),5.911,1930,R
256,257.,Lou Bierbauer (25),5.909,1891,R
257,257.,Tony Cuccinello (24),5.909,1932,R
258,257.,Charlie Sweasy (28),5.909,1876,R
259,260.,Sam Wise (32),5.908,1890,R
260,261.,Manny Trillo (29),5.907,1980,R
261,262.,Bill Wambsganss (26),5.902,1920,R
262,263.,Joe Gordon+ (28),5.901,1943,R
263,264.,Charlie Gehringer+ (28),5.897,1931,R
264,265.,Don Heffner (29),5.896,1940,R
265,266.,Jackie Hayes (30),5.895,1937,R
266,267.,Tito Fuentes (31),5.894,1975,R
267,267.,Danny Murtaugh (25),5.894,1943,R
268,269.,Jack Farrell (24),5.893,1882,R
269,270.,Charlie Sweasy (30),5.891,1878,R
270,271.,Bobby Lowe (32),5.890,1898,R
271,272.,Eddie Mayo (34),5.888,1944,R
272,273.,Tom Daly (33),5.887,1899,R
273,274.,George Cutshaw (33),5.884,1920,R
274,275.,Bill Regan (31),5.882,1930,R
275,276.,Germany Smith (25),5.881,1884,R
276,276.,Bump Wills (28),5.881,1981,R
277,278.,Del Pratt (28),5.880,1916,R
278,279.,Whitey Alpermann (27),5.878,1907,R
279,280.,Charlie Gehringer+ (26),5.877,1929,R
280,280.,Bid McPhee+ (37),5.877,1897,R
281,282.,George Cutshaw (27),5.876,1914,R
282,282.,Pop Smith (30),5.876,1887,R
283,284.,Bill Mazeroski+ (25),5.874,1962,R
284,285.,Joe Gordon+ (23),5.873,1938,R
285,285.,Rabbit Maranville+ (40),5.873,1932,R
286,287.,Charlie Pick (32),5.872,1920,R
287,288.,Tony Cuccinello (26),5.871,1934,R
288,288.,Owen Friend (23),5.871,1950,R
289,290.,Paul Molitor+ (23),5.868,1980,R
290,291.,Al Myers (27),5.867,1891,R
291,292.,Bobby Doerr+ (32),5.866,1950,R
292,292.,Marty McManus (24),5.866,1924,R
293,294.,Nellie Fox+ (23),5.864,1951,R
294,295.,Hobe Ferris (26),5.862,1901,R
295,295.,Charlie Gehringer+ (29),5.862,1932,R
296,297.,John Farrell (24),5.861,1901,R
297,298.,Kid Gleason (34),5.859,1901,R
298,298.,Don Kolloway (28),5.859,1947,R
299,300.,Cupid Childs (23),5.858,1891,R
300,300.,Bill Mazeroski+ (29),5.858,1966,R
301,302.,Andy Cohen (23),5.857,1928,R
302,303.,Bobby Grich (25),5.856,1974,R
303,303.,Frank O'Rourke (33),5.856,1925,R
304,305.,Joe Quest (29),5.854,1882,R
305,306.,Lonny Frey (29),5.853,1940,R
306,307.,Lou Bierbauer (29),5.848,1895,R
307,308.,Lou Bierbauer (28),5.847,1894,R
308,308.,Red Schoendienst+ (28),5.847,1951,R
309,308.,Rennie Stennett (24),5.847,1975,R
310,311.,Cupid Childs (30),5.846,1898,R
311,311.,Miller Huggins+ (27),5.846,1905,R
312,313.,Nellie Fox+ (29),5.845,1957,R
313,314.,Bill Cissell (30),5.844,1934,R
314,314.,Charlie Gehringer+ (27),5.844,1930,R
315,314.,Jerry Priddy (31),5.844,1951,R
316,317.,Lou Chiozza (25),5.842,1935,R
317,317.,Danny O'Connell (26),5.842,1955,R
318,319.,Jerry Priddy (26),5.841,1946,R
319,320.,Bobby Doerr+ (25),5.839,1943,R
320,321.,Bobby Doerr+ (24),5.838,1942,R
321,322.,Joe Gedeon (24),5.837,1918,R
322,323.,Roy Hughes (25),5.836,1936,R
323,323.,Ted Sizemore (29),5.836,1974,R
324,325.,Bobby Doerr+ (22),5.834,1940,R
325,326.,Bucky Harris+ (24),5.831,1921,R
326,327.,Buddy Myer (30),5.830,1934,R
327,327.,Gracie Pierce (22),5.830,1882,R
328,329.,Kid Gleason (33),5.829,1900,R
329,330.,Cass Michaels (24),5.827,1950,R
330,331.,Emil Verban (31),5.826,1947,R
331,332.,Willie Randolph (21),5.823,1976,R
332,333.,Cupid Childs (26),5.822,1894,R
333,334.,Duke Kenworthy (27),5.821,1914,R
334,335.,Jack Crooks (25),5.819,1891,R
335,335.,Rogers Hornsby+ (24),5.819,1920,R
336,337.,Reddy Mack (22),5.813,1888,
337,338.,Carl Lind (24),5.812,1928,R
338,339.,Tony Bernazard (25),5.810,1982,R
339,339.,Reddy Mack (20),5.810,1886,
340,341.,Rabbit Warstler (31),5.809,1935,R
341,342.,Nap Lajoie+ (23),5.808,1898,R
342,343.,Charlie Gehringer+ (30),5.807,1933,R
343,344.,Joe Gordon+ (31),5.806,1946,R
344,345.,Bobby Grich (34),5.805,1983,R
345,346.,Bobby Grich (24),5.803,1973,R
346,346.,Eddie Moore (26),5.803,1925,R
347,348.,Eddie Mayo (35),5.798,1945,R
348,349.,Tom Carey (29),5.797,1936,R
349,349.,John O'Brien (32),5.797,1899,R
350,351.,Red Schoendienst+ (29),5.796,1952,R
351,352.,Wayne Terwilliger (30),5.795,1955,R
352,353.,Julio Cruz (26),5.794,1981,R
353,353.,Rabbit Warstler (30),5.794,1934,R
354,355.,Bobby Doerr+ (33),5.793,1951,R
355,355.,Jack Farrell (23),5.793,1881,R
356,357.,Kid Gleason (31),5.792,1898,R
357,357.,Tommy Helms (30),5.792,1971,R
358,359.,Hobe Ferris (27),5.790,1902,R
359,359.,Bobby Grich (32),5.790,1981,R
360,359.,Aaron Ward (26),5.790,1923,R
361,362.,Ted Lepcio (24),5.788,1954,R
362,362.,Fred Pfeffer (26),5.788,1886,R
363,364.,John Ward+ (24),5.787,1884,R
364,365.,Eddie Miksis (24),5.786,1951,R
365,366.,Julio Cruz (24),5.785,1979,R
366,367.,Jerry Priddy (23),5.784,1943,R
367,368.,George Cutshaw (26),5.782,1913,R
368,368.,Roy Schalk (36),5.782,1945,R
369,370.,Al Myers (22),5.780,1886,R
370,371.,Jimmy Williams (24),5.777,1901,R
371,372.,Max Bishop (24),5.775,1924,R
372,372.,Morrie Rath (31),5.775,1919,R
373,372.,Claude Ritchey (34),5.775,1908,R
374,375.,Jack Burdock (30),5.771,1882,R
375,375.,Bucky Harris+ (28),5.771,1925,R
376,377.,Yank Robinson (27),5.769,1887,R
377,377.,Dan Shannon (24),5.769,1889,
378,379.,Bobby Doerr+ (30),5.768,1948,R
379,379.,Joe Quest (30),5.768,1883,R
380,381.,Bobby Doerr+ (29),5.767,1947,R
381,382.,Andy Cohen (24),5.766,1929,R
382,383.,Nellie Fox+ (32),5.765,1960,R
383,383.,Manny Trillo (27),5.765,1978,R
384,385.,Frankie Frisch+ (28),5.764,1926,R
385,386.,Horace Clarke (29),5.763,1968,R
386,387.,Del Pratt (30),5.762,1918,R
387,388.,Hub Collins (25),5.761,1889,R
388,388.,Bill Greenwood (27),5.761,1884,L
389,390.,George Grantham (30),5.759,1930,R
390,391.,Billy Hitchcock (33),5.757,1950,R
391,391.,Del Pratt (31),5.757,1919,R
392,393.,Tom Daly (27),5.756,1893,R
393,394.,Paul Molitor+ (22),5.754,1979,R
394,394.,Dick Padden (26),5.754,1897,R
395,396.,Jimmy Bloodworth (25),5.752,1943,R
396,396.,Glenn Hubbard (22),5.752,1980,R
397,398.,Bill Sweeney (25),5.750,1911,R
398,399.,Charlie Gehringer+ (34),5.747,1937,R
399,400.,John Farrell (27),5.746,1904,R
400,400.,Pete Kilduff (27),5.746,1920,R
401,400.,Bobby Lowe (28),5.746,1894,R
402,403.,Felix Millan (27),5.745,1971,R
403,404.,Freddie Maguire (32),5.743,1931,R
404,405.,Don Blasingame (25),5.740,1957,R
405,405.,Charlie Gehringer+ (25),5.740,1928,R
406,405.,Bill Mazeroski+ (28),5.740,1965,R
407,408.,Ryne Sandberg+ (23),5.739,1983,R
408,409.,Frank White (32),5.738,1983,R
409,410.,Johnny Berardino (22),5.737,1939,R
410,410.,John Ward+ (32),5.737,1892,R
411,412.,Don Kolloway (27),5.733,1946,R
412,412.,Johnny Rawlings (28),5.733,1921,R
413,412.,Curt Roberts (24),5.733,1954,R
414,412.,Aaron Ward (27),5.733,1924,R
415,416.,Don Gutteridge (30),5.731,1942,R
416,416.,Johnny Rawlings (30),5.731,1923,R
417,418.,Dots Miller (30),5.728,1917,R
418,419.,Nellie Fox+ (27),5.727,1955,R
419,420.,Tony Lazzeri+ (28),5.724,1932,R
420,421.,Cotton Tierney (29),5.722,1923,R
421,422.,John Farrell (26),5.720,1903,R
422,422.,Rogers Hornsby+ (28),5.720,1924,R
423,424.,Don Kolloway (24),5.718,1943,R
424,425.,Tito Fuentes (32),5.717,1976,R
425,426.,Sam Bohne (24),5.716,1921,R
426,427.,Hughie Critz (31),5.715,1932,R
427,427.,Connie Ryan (30),5.715,1950,R
428,429.,Tommy Helms (31),5.712,1972,R
429,430.,Heinie Reitz (30),5.711,1897,R
430,431.,Jimmy Bloodworth (24),5.709,1942,R
431,431.,Bill Mazeroski+ (23),5.709,1960,R
432,433.,Sandy Alomar (27),5.708,1971,R
433,433.,Hughie Critz (28),5.708,1929,R
434,435.,Marty McManus (23),5.707,1923,R
435,436.,Tom Evers (32),5.706,1884,L
436,437.,Damaso Garcia (23),5.703,1980,R
437,437.,Al Glossop (27),5.703,1942,R
438,439.,Ralph Young (30),5.700,1919,R
439,440.,Pete Suder (35),5.699,1951,R
440,441.,John Ward+ (34),5.696,1894,R
441,442.,Nellie Fox+ (25),5.695,1953,R
442,442.,Bucky Harris+ (30),5.695,1927,R
443,444.,Del Pratt (29),5.689,1917,R
444,445.,Gene Baker (30),5.688,1955,R
445,445.,Bernie Friberg (25),5.688,1925,R
446,445.,Cass Michaels (23),5.688,1949,R
447,448.,Eddie Stanky (29),5.686,1945,R
448,449.,Rogers Hornsby+ (31),5.684,1927,R
449,450.,Larry Schlafly (27),5.683,1906,R
450,451.,Sparky Adams (33),5.682,1928,R
451,451.,Tony Cuccinello (23),5.682,1931,R
452,453.,Jack Burdock (29),5.681,1881,R
453,454.,Tom Herr (25),5.680,1981,R
454,454.,Tony Lazzeri+ (25),5.680,1929,R
455,456.,Red Schoendienst+ (30),5.679,1953,R
456,456.,Dave Shean (33),5.679,1917,R
457,458.,Johnny Hodapp (25),5.678,1931,R
458,459.,Buck Herzog (32),5.677,1918,R
459,460.,Tony Cuccinello (31),5.675,1939,R
460,460.,Nellie Fox+ (28),5.675,1956,R
461,462.,Frankie Frisch+ (35),5.674,1933,R
462,462.,Glenn Hubbard (24),5.674,1982,R
463,464.,Bruno Betzel (21),5.673,1916,R
464,465.,Joe Gordon+ (25),5.671,1940,R
465,466.,Kid Gleason (35),5.670,1902,R
466,467.,Jerry Priddy (29),5.669,1949,R
467,468.,John Kerr (32),5.667,1931,R
468,468.,George Strief (25),5.667,1882,R
469,470.,Bill Hallman (28),5.664,1895,R
470,471.,Heinie Reitz (26),5.662,1893,R
471,472.,Jack Crooks (26),5.660,1892,R
472,473.,Dasher Troy (27),5.658,1883,R
473,474.,Tony Cuccinello (29),5.656,1937,R
474,474.,Charlie Gehringer+ (31),5.656,1934,R
475,474.,Rogers Hornsby+ (26),5.656,1922,R
476,477.,Marty McManus (22),5.654,1922,R
477,477.,Al Myers (23),5.654,1887,R
478,479.,Nellie Fox+ (22),5.653,1950,R
479,480.,Ray Mack (27),5.651,1944,R
480,481.,Bobby Avila (29),5.650,1953,R
481,481.,Joe Gerhardt (31),5.650,1886,R
482,481.,Robby Thompson (30),5.650,1992,R
483,484.,George Cutshaw (28),5.649,1915,R
484,484.,Manny Trillo (30),5.649,1981,R
485,486.,Dave Cash (26),5.648,1974,R
486,487.,Sam Barkley (30),5.647,1888,R
487,487.,Danny Murtaugh (23),5.647,1941,R
488,489.,Bump Wills (27),5.646,1980,R
489,490.,Rocky Bridges (25),5.644,1953,R
490,491.,Fred Pfeffer (36),5.643,1896,R
491,491.,Del Pratt (32),5.643,1920,R
492,493.,Jerry Lumpe (28),5.640,1961,R
493,494.,Jake Flowers (26),5.638,1928,R
494,495.,Mickey Doolin (38),5.637,1918,R
495,496.,Jim Gantner (28),5.636,1981,R
496,496.,Bobby Grich (27),5.636,1976,R
497,496.,Ian Kinsler (26),5.636,2008,R
498,499.,Lou Bierbauer (21),5.635,1887,R
499,499.,Frankie Gustine (21),5.635,1941,R
