,Rank,Player (age that year),AB per SO,Year,Bats
136,137.,William Coon (21),55.00,1876,
137,137.,Frankie Frisch+ (36),55.00,1934,B
138,139.,Nellie Fox+ (23),54.91,1951,L
139,140.,Sam Rice+ (37),54.82,1927,L
140,141.,Andy Leonard (31),54.40,1877,R
141,142.,Pop Corkhill (29),54.10,1887,L
142,143.,Lou Boudreau+ (29),53.80,1947,R
143,144.,Lloyd Waner+ (29),53.70,1935,L
144,145.,Dummy Hoy (33),53.63,1895,L
145,146.,Doggie Miller (29),53.44,1894,R
146,147.,Frankie Frisch+ (25),53.42,1923,B
147,148.,Eddie Collins+ (38),53.13,1925,L
148,149.,Andy High (28),52.89,1926,L
149,150.,Lou Bierbauer (28),52.80,1894,L
150,151.,Nellie Fox+ (26),52.58,1954,L
151,152.,Ed Delahanty+ (34),52.56,1902,R
152,153.,Hank Severeid (30),52.44,1921,R
153,154.,Tris Speaker+ (30),52.33,1918,L
154,155.,Edd Roush+ (28),52.25,1921,L
155,156.,Del Pratt (33),52.10,1921,R
156,157.,Pie Traynor+ (28),52.09,1927,R
157,158.,Bill Lange (28),52.00,1899,R
158,159.,Nellie Fox+ (34),51.75,1962,L
159,160.,Shoeless Joe Jackson (31),51.60,1919,L
160,160.,Deacon White+ (30),51.60,1878,L
161,162.,Arthur Irwin (23),51.50,1881,L
162,162.,Rip Radcliff (30),51.50,1936,L
163,164.,Lloyd Waner+ (26),51.36,1932,L
164,165.,Sadie Houck (25),51.33,1881,R
165,166.,Jimmy Cooney (31),51.30,1926,R
166,167.,Dave Cash (28),51.23,1976,R
167,168.,Fred Treacey (29),51.20,1876,
168,169.,Lloyd Waner+ (28),50.92,1934,L
169,170.,Joe Start (39),50.86,1882,L
170,171.,Billy Hamilton+ (27),50.71,1893,L
171,172.,Billy Southworth+ (33),50.70,1926,L
172,173.,Lloyd Waner+ (22),50.69,1928,L
173,174.,Joe Quinn (31),50.63,1894,R
174,175.,Stuffy McInnis (32),50.58,1923,R
175,176.,Nellie Fox+ (33),50.50,1961,L
176,176.,Andy Leonard (30),50.50,1876,R
177,178.,Harvey Kuenn (23),50.46,1954,R
178,179.,Don Mueller (28),50.42,1955,L
179,180.,Buttercup Dickerson (21),50.40,1880,L
180,181.,Nap Lajoie+ (27),50.29,1902,R
181,182.,Dan Brouthers+ (24),50.14,1882,L
182,183.,Doggie Miller (25),49.91,1890,R
183,184.,Yogi Berra+ (25),49.75,1950,L
184,185.,Cap Anson+ (30),49.71,1882,R
185,185.,Joe Start (38),49.71,1881,L
186,187.,Sam Rice+ (33),49.58,1923,L
187,188.,Charlie Gehringer+ (33),49.31,1936,L
188,189.,Ivy Olson (33),49.17,1919,R
189,190.,Tommy Corcoran (26),49.09,1895,R
190,191.,Bob Addy (35),49.00,1877,L
191,191.,Jack Tobin (31),49.00,1923,L
192,191.,Walt Wilmot (29),49.00,1893,B
193,194.,Lave Cross (39),48.92,1905,R
194,195.,Charlie Comiskey+ (27),48.91,1887,R
195,195.,Sam Thompson+ (35),48.91,1895,L
196,197.,Jack Rowe (30),48.82,1887,L
197,198.,George Cutshaw (33),48.80,1920,R
198,198.,Kid Elberfeld (27),48.80,1902,R
199,200.,Hughie Jennings+ (28),48.78,1897,R
200,201.,Sam Rice+ (32),48.69,1922,L
201,202.,George Davis+ (23),48.60,1894,B
202,203.,Harry Wolverton (28),48.13,1902,B
203,204.,Patsy Donovan (29),48.08,1894,L
204,205.,Nellie Fox+ (31),48.00,1959,L
205,205.,Sam Rice+ (42),48.00,1932,L
206,207.,Lloyd Waner+ (36),47.83,1942,L
207,208.,Eddie Collins+ (34),47.82,1921,L
208,209.,Andy High (27),47.71,1925,L
209,210.,Nellie Fox+ (29),47.62,1957,L
210,211.,Lou Boudreau+ (31),47.50,1949,R
211,212.,Jack Tobin (32),47.42,1924,L
212,213.,Hughie Jennings+ (27),47.36,1896,R
213,214.,Suter Sullivan (26),47.30,1899,
214,215.,Carson Bigbee (27),47.23,1922,L
215,216.,Ed Cogswell (25),47.20,1879,R
216,217.,Joe Battin (22),47.17,1876,R
217,218.,Jack O'Connor (28),47.14,1894,R
218,219.,Willie Keeler+ (23),47.08,1895,L
219,220.,Nat Hicks (31),47.00,1876,R
