,Rank,Player (age that year),Hits,Year,Throws
461,460.,Wes Ferrell (27),336,1935,R
462,460.,Sam Gray (31),336,1929,R
463,460.,Mickey Lolich (30),336,1971,L
464,460.,Jimmy Ring (28),336,1923,R
465,466.,Pete Alexander+ (33),335,1920,R
466,466.,Ed Morris (21),335,1884,L
467,466.,Hank O'Day+ (24),335,1884,R
468,466.,Jack Quinn (30),335,1914,R
469,470.,Jim Conway (30),334,1889,R
470,470.,Red Faber+ (33),334,1922,R
471,470.,Chick Fraser (23),334,1897,R
472,470.,Cowboy Jones (25),334,1900,L
473,470.,Brickyard Kennedy (28),334,1896,R
474,470.,Bobo Newsom (30),334,1938,R
475,470.,Eppa Rixey+ (32),334,1923,L
476,470.,Ed Siever (26),334,1901,L
477,470.,Mickey Welch+ (22),334,1882,R
478,479.,Nig Cuppy (22),333,1892,R
479,479.,Harry Howell (24),333,1901,R
480,479.,Joe Yeager (22),333,1898,R
481,482.,Frank Dwyer (25),332,1893,R
482,482.,Red Faber+ (31),332,1920,R
483,482.,Cy Falkenberg (34),332,1914,R
484,482.,Carl Mays (29),332,1921,R
485,482.,Ed Walsh+ (31),332,1912,R
486,487.,Wilbur Cooper (31),331,1923,L
487,487.,Hooks Dauss (33),331,1923,R
488,487.,Paul Derringer (29),331,1936,R
489,487.,Ted Lyons+ (29),331,1930,R
490,487.,Jumbo McGinnis (30),331,1884,
491,487.,Casey Patten (28),331,1902,L
492,487.,Deacon Phillippe (27),331,1899,R
493,487.,Adonis Terry (22),331,1887,R
494,487.,Lee Viau (21),331,1888,R
495,496.,Wilbur Cooper (30),330,1922,L
496,496.,Joe Corbett (21),330,1897,R
497,496.,Wes Ferrell (28),330,1936,R
498,496.,George Haddock (24),330,1891,R
499,496.,Al Mays (21),330,1886,R
500,496.,Sloppy Thurston (25),330,1924,R
