,Rank,Player (age that year),Earned Runs,Year,Throws
76,76.,Bill Hutchison (31),175,1891,R
77,76.,Al Maul (27),175,1893,R
78,79.,Al Atkinson (25),174,1886,R
79,79.,Guy Hecker (27),174,1883,R
80,79.,Lee Richmond (24),174,1881,L
81,82.,Mike Morrison (20),173,1887,R
82,82.,Amos Rusie+ (22),173,1893,R
83,84.,Red Donahue (23),172,1896,R
84,84.,Jouett Meekin (27),172,1894,R
85,84.,Jack Taylor (25),172,1898,R
86,84.,Snake Wiltse (30),172,1902,L
87,88.,Bert Cunningham (22),171,1888,R
88,88.,Lee Richmond (25),171,1882,L
89,88.,Amos Rusie+ (21),171,1892,R
90,91.,Mark Baldwin (28),170,1892,R
91,91.,Kid Carsey (20),170,1893,R
92,91.,Ed Crane (28),170,1890,R
93,91.,Jim Hughey (30),170,1899,R
94,91.,Old Hoss Radbourn+ (31),170,1886,R
95,91.,Wild Bill Widner (22),170,1889,R
96,97.,Theodore Breitenstein (27),169,1896,L
97,97.,John Keefe (22),169,1890,L
98,97.,Frank Killen (21),169,1892,L
99,97.,Gus Weyhing (32),169,1899,R
100,101.,Frank Killen (22),168,1893,L
101,101.,Sadie McMahon (25),168,1893,R
102,101.,Jock Menefee (26),168,1894,R
103,101.,Win Mercer (22),168,1896,R
104,101.,Will White (29),168,1884,R
105,106.,Frank Killen (26),167,1897,L
106,106.,Jack Taylor (22),167,1895,R
107,108.,Dan Casey (27),166,1890,L
108,108.,Dad Clarke (31),166,1896,R
109,108.,Frank Dwyer (23),166,1891,R
110,108.,Pink Hawley (24),166,1897,R
111,108.,Tim Keefe+ (26),166,1883,R
112,108.,Kid Nichols+ (23),166,1893,R
113,108.,Adonis Terry (30),166,1895,R
114,108.,Mickey Welch+ (26),166,1886,R
115,116.,Henry Boyle (28),165,1889,R
116,116.,Dad Clarkson (27),165,1894,R
117,116.,Pud Galvin+ (28),165,1885,R
118,116.,Tim Keefe+ (30),165,1887,R
119,116.,Sam Weaver (27),165,1883,R
120,121.,Charlie Ferguson (21),164,1884,R
121,121.,Frank Killen (25),164,1896,L
122,121.,Silver King (19),164,1887,R
123,121.,Bobby Mathews (24),164,1876,R
124,121.,Harry Staley (22),164,1889,R
125,121.,Jack Stivetts (22),164,1890,R
126,127.,Kid Gleason (24),163,1891,R
127,127.,Amos Rusie+ (24),163,1895,R
128,129.,Jersey Bakley (26),162,1890,R
129,129.,Frank Foreman (26),162,1889,R
130,129.,Brickyard Kennedy (27),162,1895,R
131,129.,Dickey Kerr (27),162,1921,L
132,129.,Mickey Welch+ (20),162,1880,R
133,134.,Pud Galvin+ (30),161,1887,R
134,134.,George Hemming (25),161,1894,R
135,134.,Henry Porter (28),161,1886,R
136,137.,Nig Cuppy (24),160,1894,R
137,137.,Henry Gruber (27),160,1891,R
138,137.,John Harkins (25),160,1884,R
139,137.,Silver King (21),160,1889,R
140,137.,Cinders O'Brien (22),160,1889,R
141,137.,Tom Parrott (27),160,1895,R
142,137.,Toad Ramsey (21),160,1886,L
143,137.,Stump Weidman (26),160,1887,R
144,145.,Bobby Mathews (32),159,1884,R
145,145.,Tony Mullane (25),159,1884,R
146,145.,Henry Porter (29),159,1887,R
147,145.,Gus Weyhing (24),159,1891,R
148,149.,Pud Galvin+ (32),158,1889,R
149,149.,Brickyard Kennedy (25),158,1893,R
150,149.,Fred Klobedanz (26),158,1897,L
151,149.,Harry Staley (27),158,1894,R
152,149.,Stump Weidman (22),158,1883,R
153,149.,Cy Young+ (26),158,1893,R
154,155.,Pud Galvin+ (25),157,1882,R
155,155.,Pink Hawley (22),157,1895,R
156,155.,Jim McCormick (25),157,1882,R
157,155.,Sadie McMahon (23),157,1891,R
158,155.,Lee Viau (22),157,1889,R
159,160.,Jack Knott (29),156,1936,R
160,160.,Amos Rusie+ (19),156,1890,R
161,160.,Gus Weyhing (23),156,1890,R
162,163.,Guy Bush (28),155,1930,R
163,163.,Bob Caruthers (25),155,1889,R
164,163.,Red Ehret (26),155,1895,R
165,163.,Phil Knell (29),155,1894,L
166,163.,Willie McGill (19),155,1893,L
167,163.,Bill Sweeney (26),155,1884,R
168,163.,Mickey Welch+ (24),155,1884,R
169,170.,Mark Baldwin (29),154,1893,R
170,170.,George Bradley (26),154,1879,R
171,170.,Ed Crane (30),154,1892,R
172,170.,Clark Griffith+ (25),154,1895,R
173,170.,Ray Kremer (35),154,1930,R
174,170.,Jim McCormick (30),154,1887,R
175,170.,Win Mercer (21),154,1895,R
176,170.,Hank O'Day+ (30),154,1890,R
177,178.,Ice Box Chamberlain (24),153,1892,R
178,178.,Wes Ferrell (29),153,1937,R
179,178.,Danny Friend (23),153,1896,L
180,178.,Bill Hill (21),153,1896,L
181,178.,Bill Hutchison (35),153,1895,R
182,178.,Sam Kimber (31),153,1884,R
183,178.,Tony Mullane (32),153,1891,R
184,178.,Lev Shreve (22),153,1888,R
185,186.,Pat Caraway (25),152,1931,L
186,186.,Dan Daub (26),152,1894,R
187,186.,Pretzels Getzien (23),152,1887,R
188,186.,Tim Keefe+ (29),152,1886,R
189,186.,Matt Kilroy (23),152,1889,L
190,186.,Jack Lynch (28),152,1885,R
191,186.,Harry McCormick (23),152,1879,R
192,186.,Ed Morris (22),152,1885,L
193,186.,Ed Morris (24),152,1887,L
194,186.,George Pechiney (24),152,1886,R
195,186.,Willie Sudhoff (23),152,1898,R
196,186.,Jim Whitney (23),152,1881,R
197,198.,Bert Cunningham (23),151,1889,R
198,198.,Joe McGinnity+ (30),151,1901,R
199,198.,Ed Morris (23),151,1886,L
200,201.,Pud Galvin+ (22),150,1879,R
201,201.,Pink Hawley (23),150,1896,R
202,201.,Brickyard Kennedy (28),150,1896,R
203,201.,Silver King (24),150,1892,R
204,201.,Phil Knell (26),150,1891,L
205,201.,Tom Lovett (27),150,1891,R
206,201.,Jim McCormick (27),150,1884,R
207,201.,Tony Mullane (28),150,1887,R
208,201.,Harry Staley (26),150,1893,R
209,201.,Jack Stivetts (27),150,1895,R
210,201.,Jack Stivetts (28),150,1896,R
211,201.,Mike Sullivan (27),150,1894,R
212,201.,George Uhle (24),150,1923,R
213,201.,Will White (24),150,1879,R
214,215.,Pete Conway (19),149,1886,R
215,215.,Denny Driscoll (27),149,1883,L
216,215.,Bump Hadley (27),149,1932,R
217,215.,Brickyard Kennedy (29),149,1897,R
218,215.,Henry Porter (27),149,1885,R
219,215.,Jack Taylor (24),149,1897,R
220,215.,Gus Weyhing (28),149,1895,R
221,215.,Cy Young+ (29),149,1896,R
222,223.,John Clarkson+ (26),148,1888,R
223,223.,Kid Gleason (23),148,1890,R
224,223.,Kid Gleason (25),148,1892,R
225,223.,Kid Nichols+ (25),148,1895,R
226,223.,Phil Niekro+ (38),148,1977,R
227,223.,Jack Taylor (25),148,1899,R
228,229.,Al Atkinson (23),147,1884,R
229,229.,Theodore Breitenstein (23),147,1892,L
230,229.,Ed Cushman (38),147,1890,L
231,229.,Jack Lynch (27),147,1884,R
232,229.,Jim McCormick (22),147,1879,R
233,229.,Bobo Newsom (29),147,1937,R
234,229.,Robin Roberts+ (29),147,1956,R
235,229.,Willie Sudhoff (24),147,1899,R
236,229.,Gus Weyhing (22),147,1889,R
237,238.,Tommy Bond (24),146,1880,R
238,238.,John Clarkson+ (31),146,1893,R
239,238.,Ed Cushman (35),146,1887,L
240,238.,George Earnshaw (30),146,1930,R
241,238.,Dave Foutz (30),146,1887,R
242,238.,Chick Fraser (24),146,1898,R
243,238.,Sam Gray (33),146,1931,R
244,238.,Bert Inks (24),146,1895,L
245,238.,Jack Neagle (25),146,1883,R
246,238.,Jack Powell (24),146,1899,R
247,238.,Billy Serad (22),146,1884,R
248,238.,Mike Smith (19),146,1887,L
249,238.,Tom Vickery (23),146,1890,R
250,238.,Jack Wadsworth (26),146,1894,R
251,238.,Jim Whitney (27),146,1885,R
252,253.,Pedro Astacio (29),145,1998,R
253,253.,George Bradley (24),145,1877,R
254,253.,Harry Byrd (28),145,1953,R
255,253.,Ad Gumbert (24),145,1892,R
256,253.,Bill Hoffer (26),145,1897,R
257,253.,Tim Keefe+ (24),145,1881,R
258,253.,Jose Lima (27),145,2000,R
259,253.,Win Mercer (20),145,1894,R
260,253.,Al Orth (24),145,1897,R
261,253.,Bill Phillips (32),145,1901,R
262,253.,Ben Sanders (25),145,1890,R
263,253.,Harry Staley (23),145,1890,R
264,253.,Herm Wehmeier (23),145,1950,R
265,253.,Jim Whitney (29),145,1887,R
266,267.,Jimmie DeShong (27),144,1937,R
267,267.,Matt Kilroy (22),144,1888,L
268,267.,Harley Payne (29),144,1897,L
269,267.,Nels Potter (27),144,1939,R
270,267.,Old Hoss Radbourn+ (28),144,1883,R
271,272.,Ray Benge (28),143,1930,R
272,272.,John Clarkson+ (29),143,1891,R
273,272.,Frank Foreman (28),143,1891,R
274,272.,Clark Griffith+ (24),143,1894,R
275,272.,Jim McCormick (24),143,1881,R
276,272.,Sadie McMahon (24),143,1892,R
277,272.,Kid Nichols+ (22),143,1892,R
278,272.,Al Orth (29),143,1902,R
279,272.,Toad Ramsey (25),143,1890,L
280,272.,Billy Rhines (26),143,1895,R
281,272.,Dupee Shaw (27),143,1886,L
282,272.,Les Sweetland (28),143,1930,L
283,272.,Rube Walberg (35),143,1932,L
284,285.,Clark Griffith+ (27),142,1897,R
285,285.,George Keefe (23),142,1890,L
286,285.,Mickey Lolich (33),142,1974,L
287,285.,Jouett Meekin (29),142,1896,R
288,285.,Jack Powell (25),142,1900,R
289,285.,Amos Rusie+ (20),142,1891,R
290,285.,Adonis Terry (22),142,1887,R
291,292.,Pete Dowling (24),141,1901,L
292,292.,Pud Galvin+ (27),141,1884,R
293,292.,Milt Gaston (31),141,1927,R
294,292.,Vern Kennedy (29),141,1936,R
295,292.,Charlie Knepper (28),141,1899,R
296,292.,Claude Passeau (28),141,1937,R
297,292.,Bill Reidy (27),141,1901,R
298,292.,Lee Richmond (23),141,1880,L
299,292.,Ed Seward (22),141,1889,R
300,292.,Cy Young+ (30),141,1897,R
301,302.,Charlie Buffinton (23),140,1884,R
302,302.,Jim Devlin (28),140,1877,R
303,302.,Duke Esper (26),140,1894,L
304,302.,Wes Ferrell (28),140,1936,R
305,302.,Chick Fraser (27),140,1901,R
306,302.,Darryl Kile (30),140,1999,R
307,302.,Jack Stivetts (23),140,1891,R
308,302.,Jack Stivetts (24),140,1892,R
309,302.,John Ward+ (19),140,1879,R
310,311.,Ray Benge (27),139,1929,R
311,311.,Jim Bibby (29),139,1974,R
312,311.,Charlie Buffinton (24),139,1885,R
313,311.,Bill Carrick (28),139,1902,R
314,311.,Ice Box Chamberlain (21),139,1889,R
315,311.,John Clarkson+ (28),139,1890,R
316,311.,Nig Cuppy (25),139,1895,R
317,311.,Bob Emslie (25),139,1884,R
318,311.,Egyptian Healy (21),139,1888,R
319,311.,Terry Larkin (23),139,1879,R
320,311.,Hank O'Day+ (28),139,1888,R
321,311.,Jack Russell (24),139,1930,R
322,311.,Dupee Shaw (25),139,1884,L
323,311.,Jack Stivetts (25),139,1893,R
324,311.,Gus Weyhing (25),139,1892,R
325,326.,Larry Corcoran (24),138,1884,R
326,326.,Bert Cunningham (33),138,1899,R
327,326.,Pud Galvin+ (23),138,1880,R
328,326.,Burleigh Grimes+ (31),138,1925,R
329,326.,Bump Hadley (28),138,1933,R
330,326.,Bill Hart (29),138,1895,R
331,326.,Vern Kennedy (33),138,1940,R
332,326.,Silver King (22),138,1890,R
333,326.,Mike McDermott (20),138,1895,R
334,326.,Gordon Rhodes (28),138,1936,R
335,326.,Ben Sanders (24),138,1889,R
336,326.,Wilbur Wood (31),138,1973,L
337,338.,Charlie Buffinton (28),137,1889,R
338,338.,Joe Coleman (27),137,1974,R
339,338.,Pretzels Getzien (24),137,1888,R
340,338.,Burleigh Grimes+ (28),137,1922,R
341,338.,Alex Kellner (25),137,1950,L
342,338.,Vern Kennedy (32),137,1939,R
343,338.,Jack Kramer (21),137,1939,R
344,338.,Hugh Mulcahy (24),137,1938,R
345,338.,Bobo Newsom (28),137,1936,R
346,338.,Amos Rusie+ (23),137,1894,R
347,348.,Brian Bohanon (30),136,1999,L
348,348.,George Caster (30),136,1938,R
349,348.,Ed Doheny (25),136,1899,L
350,348.,Chief Hogsett (32),136,1936,L
351,348.,Tim Keefe+ (32),136,1889,R
352,348.,Hank O'Day+ (24),136,1884,R
353,348.,Togie Pittinger (31),136,1903,R
354,355.,George Blaeholder (28),135,1932,R
355,355.,Theodore Breitenstein (24),135,1893,L
356,355.,Charlie Buffinton (26),135,1887,R
357,355.,Bill Carrick (27),135,1901,R
358,355.,Hugh Daily (36),135,1884,R
359,355.,Kid Madden (19),135,1887,L
360,355.,Jim McCormick (23),135,1880,R
361,355.,Willie McGill (20),135,1894,L
362,355.,Jouett Meekin (26),135,1893,R
363,355.,Jaime Navarro (30),135,1997,R
364,355.,Jack Neagle (26),135,1884,R
365,355.,Al Orth (30),135,1903,R
366,355.,Casey Patten (28),135,1902,L
367,355.,Ed Scott (29),135,1900,R
368,355.,Jack Taylor (21),135,1894,R
369,355.,Dick Tidrow (26),135,1973,R
370,355.,Claude Willoughby (30),135,1929,R
371,372.,Varney Anderson (29),134,1895,R
372,372.,Mark Baldwin (27),134,1891,R
373,372.,George Blaeholder (29),134,1933,R
374,372.,Bill Carrick (26),134,1900,R
375,372.,Fred Goldsmith (27),134,1883,R
376,372.,Tom Gordon (28),134,1996,R
377,372.,Guy Hecker (28),134,1884,R
378,372.,Guy Hecker (30),134,1886,R
379,372.,Doc Landis (27),134,1882,
380,372.,Sam Leever (27),134,1899,R
381,372.,Al Maul (28),134,1894,R
382,372.,Jouett Meekin (31),134,1898,R
383,372.,Eric Milton (29),134,2005,L
384,372.,Ed Stein (25),134,1895,R
385,372.,Will White (28),134,1883,R
386,372.,Cy Young+ (24),134,1891,R
387,372.,Cy Young+ (28),134,1895,R
388,389.,Ted Blankenship (26),133,1927,R
389,389.,Henry Boyle (26),133,1887,R
390,389.,Howard Ehmke (29),133,1923,R
391,389.,Larry French (22),133,1930,L
392,389.,George Haddock (25),133,1892,R
393,389.,John Harkins (28),133,1887,R
394,389.,Bill Hawke (24),133,1894,R
395,389.,Matt Keough (26),133,1982,R
396,389.,Darryl Kile (29),133,1998,R
397,389.,Silver King (23),133,1891,R
398,389.,Bill Magee (22),133,1898,R
399,389.,Doc McJames (21),133,1896,R
400,389.,Jouett Meekin (28),133,1895,R
401,389.,Jack Powell (26),133,1901,R
402,389.,Amos Rusie+ (18),133,1889,R
403,389.,Jack Russell (25),133,1931,R
404,389.,Lefty Stewart (31),133,1932,L
405,389.,Earl Whitehill (36),133,1935,L
406,389.,Wilbur Wood (33),133,1975,L
407,408.,Elden Auker (30),132,1941,R
408,408.,Vida Blue (29),132,1979,L
409,408.,Jack Coombs (28),132,1911,R
410,408.,General Crowder (34),132,1933,R
411,408.,Pete Dowling (21),132,1898,L
412,408.,Frank Dwyer (25),132,1893,R
413,408.,Frank Dwyer (27),132,1895,R
414,408.,Chick Fraser (23),132,1897,R
415,408.,Burleigh Grimes+ (30),132,1924,R
416,408.,Ad Gumbert (27),132,1895,R
417,408.,Guy Hecker (31),132,1887,R
418,408.,Liván Hernández (26),132,2001,R
419,408.,Al Mays (21),132,1886,R
420,408.,Red Ruffing+ (24),132,1929,R
