,Rank,Player (age that year),Putouts as SS,Year,Throws
72,73.,George Davis+ (33),347,1904,R
73,74.,Pee Wee Reese+ (22),346,1941,R
74,75.,Herman Long (25),345,1891,R
75,75.,Joe Tinker+ (24),345,1905,R
76,77.,Jimmy Cooney (31),344,1926,R
77,77.,Tommy Corcoran (36),344,1905,R
78,77.,Tommy Thevenow (26),344,1930,R
79,77.,Honus Wagner+ (35),344,1909,R
80,81.,Monte Cross (31),343,1901,R
81,81.,Hughie Jennings+ (23),343,1892,R
82,81.,Rabbit Maranville+ (38),343,1930,R
83,81.,Ivy Olson (35),343,1921,R
84,85.,Buck Weaver (21),342,1912,R
85,86.,Rabbit Maranville+ (25),341,1917,R
86,86.,George McBride (28),341,1909,R
87,86.,Roy McMillan (24),341,1954,R
88,86.,Honus Wagner+ (38),341,1912,R
89,90.,Donie Bush (27),340,1915,R
90,90.,Phil Rizzuto+ (29),340,1947,R
91,92.,Dick Bartell (27),339,1935,R
92,92.,Lou Boudreau+ (26),339,1944,R
93,92.,Monte Cross (30),339,1900,R
94,92.,George Davis+ (26),339,1897,R
95,92.,Lyn Lary (30),339,1936,R
96,97.,Mickey Doolin (33),338,1913,R
97,97.,Charlie Gelbert (23),338,1929,R
98,97.,Bobby Wallace+ (33),338,1907,R
99,97.,Glenn Wright (24),338,1925,R
100,101.,Bob Allen (22),337,1890,R
101,101.,Pee Wee Reese+ (23),337,1942,R
102,101.,Honus Wagner+ (36),337,1910,R
103,104.,Dave Bancroft+ (24),336,1915,R
104,104.,Leo Cardenas (25),336,1964,R
105,104.,Joe Cronin+ (23),336,1930,R
106,104.,Eddie Miller (24),336,1941,R
107,108.,Luke Appling+ (28),335,1935,R
108,108.,Hughie Jennings+ (28),335,1897,R
109,108.,Herman Long (23),335,1889,R
110,108.,Eddie Miller (26),335,1943,R
111,108.,Pee Wee Reese+ (29),335,1948,R
112,108.,George Scharein (22),335,1937,R
113,108.,Zoilo Versalles (22),335,1962,R
114,115.,Wally Gerber (31),334,1923,R
115,115.,Honus Wagner+ (32),334,1906,R
116,117.,Buddy Kerr (22),333,1945,R
117,117.,Heinie Sand (26),333,1924,R
118,117.,Joe Tinker+ (30),333,1911,R
119,120.,Kid Elberfeld (26),332,1901,R
120,120.,Woody English (23),332,1929,R
121,120.,Charlie Hollocher (26),332,1922,R
122,120.,Travis Jackson+ (20),332,1924,R
123,120.,Rabbit Maranville+ (31),332,1923,R
124,120.,Roy Smalley (24),332,1950,R
125,120.,Heinie Wagner (31),332,1912,R
126,127.,Bob Allen (24),331,1892,R
127,127.,Donie Bush (25),331,1913,R
128,129.,George Davis+ (34),330,1905,R
129,129.,Dick Groat (24),330,1955,R
130,129.,Everett Scott (27),330,1920,R
131,129.,Arky Vaughan+ (27),330,1939,R
132,133.,Monte Cross (27),329,1897,R
133,133.,Travis Jackson+ (25),329,1929,R
134,133.,Marty Marion (30),329,1947,R
135,133.,Phil Rizzuto+ (31),329,1949,R
136,133.,Arky Vaughan+ (22),329,1934,R
137,138.,Lou Boudreau+ (25),328,1943,R
138,138.,Buddy Kerr (21),328,1944,R
139,140.,Mickey Doolin (27),327,1907,R
140,140.,Doc Lavan (29),327,1920,R
141,140.,Freddy Parent (28),327,1904,R
142,140.,Joe Tinker+ (23),327,1904,R
143,140.,Arky Vaughan+ (24),327,1936,R
144,140.,Bobby Wallace+ (26),327,1900,R
145,146.,Dave Bancroft+ (25),326,1916,R
146,146.,Kid Elberfeld (27),326,1902,R
147,146.,Herman Long (32),326,1898,R
148,146.,George McBride (34),326,1915,R
149,146.,Charley O'Leary (30),326,1906,R
150,146.,Billy Rogell (28),326,1933,R
151,146.,Joe Sewell+ (27),326,1926,R
152,146.,Bobby Wallace+ (27),326,1901,R
153,154.,Al Bridwell (23),325,1907,R
154,154.,Ron Hansen (22),325,1960,R
155,154.,Eddie Joost (32),325,1948,R
156,154.,Eddie Joost (35),325,1951,R
157,154.,Lyn Lary (31),325,1937,R
158,154.,Rabbit Maranville+ (29),325,1921,R
159,160.,Al Dark (30),324,1952,R
160,160.,Buck Herzog (28),324,1914,R
161,160.,Johnny Logan (28),324,1954,R
162,160.,Phil Rizzuto+ (24),324,1942,R
163,160.,Everett Scott (21),324,1914,R
164,165.,Tommy Corcoran (27),323,1896,R
165,165.,Joe Cronin+ (24),323,1931,R
166,165.,Frankie Crosetti (28),323,1939,R
167,165.,Billy Rogell (32),323,1937,R
168,169.,Bobby Bragan (23),322,1941,R
169,169.,Al Bridwell (22),322,1906,R
170,169.,Woody English (25),322,1931,R
171,169.,Charlie Gelbert (24),322,1930,R
172,169.,Wally Gerber (30),322,1922,R
173,169.,Everett Scott (31),322,1924,R
174,169.,Honus Wagner+ (40),322,1914,R
175,176.,Ray Chapman (27),321,1918,R
176,176.,Bill Dahlen (30),321,1900,R
177,176.,Chick Galloway (25),321,1922,R
178,176.,Red Kress (33),321,1938,R
179,176.,Lyn Lary (25),321,1931,R
180,176.,Lyn Lary (29),321,1935,R
181,182.,Luke Appling+ (29),320,1936,R
182,182.,Frankie Crosetti (25),320,1936,R
183,182.,Shawon Dunston (23),320,1986,R
184,182.,Leo Durocher+ (28),320,1934,R
185,182.,Johnny Pesky (23),320,1942,R
186,182.,Joe Tinker+ (28),320,1909,R
187,188.,Lena Blackburne (31),319,1918,R
