,Rank,Player (age that year),Range Factor/Game as 1B,Year,Throws
355,356.,Lu Blue (30),10.654,1927,L
356,356.,Chris Chambliss (32),10.654,1981,R
357,358.,Pat Newnam (29),10.651,1910,R
358,359.,Bob Horner (28),10.648,1986,R
359,359.,Perry Werden (29),10.648,1891,R
360,361.,John Morrill (23),10.644,1878,R
361,362.,Jason Thompson (21),10.641,1976,L
362,363.,Hal Chase (23),10.640,1906,L
363,364.,Ed Konetchy (29),10.638,1915,R
364,365.,Dan McGann (30),10.636,1902,R
365,366.,Jack Fournier (26),10.635,1916,R
366,366.,Earl Sheely (30),10.635,1923,R
367,368.,Fred Beck (27),10.631,1914,L
368,369.,Johnny Mize+ (29),10.630,1942,R
369,370.,Joe Adcock (33),10.628,1961,R
370,370.,Art Croft (23),10.628,1878,
371,372.,Dick Siebert (33),10.626,1945,L
372,373.,Boileryard Clarke (34),10.625,1903,R
373,373.,Peek-A-Boo Veach (28),10.625,1890,R
374,375.,Dan Brouthers+ (26),10.624,1884,L
375,375.,Bud Sharpe (28),10.624,1910,R
376,377.,Kitty Bransfield (34),10.623,1909,R
377,377.,Fred Merkle (25),10.623,1914,R
378,377.,Wally Pipp (34),10.623,1927,L
379,380.,Jake Virtue (27),10.619,1892,L
380,381.,Elbie Fletcher (22),10.616,1938,L
381,382.,Zeke Bonura (30),10.615,1939,R
382,383.,Chick Gandil (25),10.614,1913,R
383,383.,Ivy Griffin (23),10.614,1920,R
384,383.,Fritz Mollwitz (25),10.614,1915,R
385,386.,Lu Blue (33),10.613,1930,L
386,387.,Harry Davis (33),10.611,1907,R
387,388.,Bill Buckner (33),10.604,1983,L
388,388.,Joe Start (42),10.604,1885,L
389,390.,Dan Brouthers+ (28),10.603,1886,L
390,391.,Fred Merkle (28),10.599,1917,R
391,392.,Bill Buckner (32),10.596,1982,L
392,393.,Ed Morgan (28),10.592,1932,R
393,394.,Harry Taylor (25),10.589,1891,
394,395.,Jack Fournier (30),10.587,1920,R
395,396.,Jake Beckley+ (32),10.586,1900,L
396,397.,Hap Myers (26),10.585,1913,R
397,398.,Bill Terry+ (33),10.584,1932,L
398,399.,George Burns (33),10.583,1926,R
399,400.,Lou Gehrig+ (23),10.574,1926,L
400,401.,Eddie Murray+ (28),10.572,1984,R
401,402.,Harry Heilmann+ (24),10.571,1919,R
402,403.,Jake Beckley+ (21),10.566,1889,L
403,404.,Jerry Freeman (28),10.565,1908,R
404,405.,Jason Thompson (23),10.563,1978,L
405,406.,Jack Carney (24),10.562,1891,R
406,407.,Charlie Grimm (22),10.560,1921,L
407,408.,Dan McGann (33),10.559,1905,R
408,409.,Jake Daubert (27),10.557,1911,L
409,409.,Bob Unglaub (29),10.557,1910,R
410,411.,Harry Heilmann+ (25),10.549,1920,R
411,412.,Dan Brouthers+ (34),10.546,1892,L
412,413.,Mark Grace (27),10.544,1991,L
413,414.,Joe Hauser (23),10.543,1922,L
414,415.,John Morrill (26),10.541,1881,R
415,415.,Tommy Tucker (32),10.541,1896,R
416,417.,George Burns (34),10.532,1927,R
417,417.,Charlie Hickman (28),10.532,1904,R
418,419.,Steve Brady (31),10.531,1883,
419,420.,Perry Werden (30),10.530,1892,R
420,421.,George Burns (31),10.528,1924,R
421,422.,Don Hurst (23),10.526,1929,L
422,422.,Candy LaChance (31),10.526,1901,R
423,424.,Jimmy Dykes (30),10.524,1927,R
424,425.,Paul Hines (34),10.523,1889,R
425,425.,Dave Hostetler (26),10.523,1982,R
426,427.,Buck Jordan (27),10.521,1934,R
427,428.,John Reilly (27),10.518,1886,R
428,429.,Hal Trosky (31),10.515,1944,R
429,430.,Frank Chance+ (26),10.512,1903,R
430,431.,Harry Taylor (27),10.511,1893,
431,432.,Frank McCormick (34),10.510,1945,R
432,432.,Harry Stovey (27),10.510,1884,R
433,434.,Ed Morgan (26),10.504,1930,R
434,435.,Ed Delahanty+ (32),10.500,1900,R
435,435.,Mox McQuery (24),10.500,1885,
436,435.,George Sisler+ (27),10.500,1920,L
437,438.,Ernie Banks+ (31),10.497,1962,R
438,439.,Candy LaChance (29),10.496,1899,R
439,439.,Dan McGann (28),10.496,1900,R
440,441.,Lu Blue (35),10.495,1932,L
441,442.,Scoops Carey (31),10.492,1902,R
442,443.,Tony Lupien (26),10.490,1943,L
443,444.,Charlie Comiskey+ (30),10.489,1890,R
444,444.,Doc Johnston (25),10.489,1913,L
445,446.,Fred Tenney (27),10.487,1899,L
446,447.,Cecil Cooper (31),10.485,1981,L
447,447.,Dan McGann (29),10.485,1901,R
448,449.,Fred Luderus (27),10.484,1913,R
449,450.,Stuffy McInnis (33),10.480,1924,R
450,450.,Albert Pujols (24),10.480,2004,R
451,452.,Dave Foutz (32),10.478,1889,R
452,452.,Ray Grimes (28),10.478,1922,R
453,454.,Jack Doyle (29),10.474,1899,R
454,454.,Dick Gernert (29),10.474,1958,R
455,456.,Rod Carew+ (37),10.472,1983,R
456,456.,Donn Clendenon (31),10.472,1967,R
457,458.,Dolph Camilli (32),10.471,1939,L
458,458.,Harry Davis (30),10.471,1904,R
459,460.,Pop Dillon (30),10.470,1904,R
460,461.,Rod Carew+ (31),10.464,1977,R
461,461.,Henry Larkin (30),10.464,1890,R
462,463.,Steve Balboni (28),10.463,1985,R
463,464.,Lou Finney (25),10.462,1936,R
464,465.,Mike Lehane (26),10.460,1891,
465,466.,Lu Blue (32),10.457,1929,L
466,466.,Hal Chase (34),10.457,1917,L
467,468.,Tim Jordan (28),10.455,1907,R
468,468.,Tommy Tucker (26),10.455,1890,R
469,470.,Jimmie Foxx+ (26),10.450,1934,R
470,470.,George Sisler+ (26),10.450,1919,L
471,472.,Charlie Grimm (28),10.449,1927,L
472,473.,Harvey Hendrick (34),10.447,1932,R
473,474.,Jack Doyle (24),10.446,1894,R
474,475.,Fred Luderus (26),10.445,1912,R
475,476.,Frank McCormick (31),10.444,1942,R
476,477.,Steve Garvey (33),10.443,1982,R
477,478.,Ed Konetchy (26),10.437,1912,R
478,479.,Emil Huhn (23),10.436,1915,R
479,480.,Ed Konetchy (33),10.432,1919,R
480,481.,George Sisler+ (33),10.430,1926,L
481,482.,Dude Esterbrook (31),10.429,1888,R
482,483.,Albert Pujols (29),10.428,2009,R
483,484.,Ed Cogswell (26),10.426,1880,R
484,485.,George Metkovich (24),10.423,1945,L
485,486.,Shano Collins (34),10.422,1920,R
486,486.,Harry Davis (28),10.422,1902,R
487,488.,Harry Stovey (24),10.421,1881,R
488,489.,Dick Hoblitzell (25),10.420,1914,R
489,490.,Dan Brouthers+ (27),10.418,1885,L
490,490.,Milt Scott (23),10.418,1884,
491,492.,Ray Knight (29),10.417,1982,R
492,493.,Charlie Grimm (33),10.416,1932,L
493,494.,Roger Connor+ (28),10.415,1886,L
494,495.,Buck Freeman (29),10.414,1901,L
495,496.,Chick Gandil (30),10.412,1918,R
496,496.,Mickey Vernon (31),10.412,1949,L
497,498.,Rod Carew+ (35),10.411,1981,R
498,499.,Willie Montanez (28),10.410,1976,L
499,500.,Buck Ewing+ (36),10.406,1896,R
