,Rank,Player (age that year),Assists as RF (s.1901),Year,Throws
211,200.,Gavvy Cravath (36),17,1917,R
212,200.,Jose Cruz (29),17,2003,R
213,200.,Kiki Cuyler+ (29),17,1928,R
214,200.,Frank Demaree (27),17,1937,R
215,200.,Jermaine Dye (25),17,1999,R
216,200.,Steve Evans (26),17,1911,L
217,200.,Avisail Garcia (24),17,2015,R
218,200.,Doc Gessler (28),17,1909,L
219,200.,Grover Gilmore (26),17,1915,L
220,200.,Jose Guillen (22),17,1998,R
221,200.,George Harper (36),17,1928,R
222,200.,Babe Herman (29),17,1932,L
223,200.,Harry Hooper+ (30),17,1918,R
224,200.,Jackie Jensen (25),17,1952,R
225,200.,Nemo Leibold (28),17,1920,R
226,200.,Buddy Lewis (24),17,1941,R
227,200.,Billy Maloney (27),17,1905,R
228,200.,Nick Markakis (24),17,2008,L
229,200.,Willard Marshall (26),17,1947,R
230,200.,Earl McNeely (30),17,1928,R
231,200.,Danny Moeller (27),17,1912,R
232,200.,Danny Murphy (32),17,1909,R
233,200.,Harry Rice (25),17,1927,R
234,200.,Sam Rice+ (36),17,1926,R
235,200.,Dave Robertson (26),17,1916,L
236,200.,Pete Rose (27),17,1968,R
237,200.,Braggo Roth (24),17,1917,R
238,200.,Spike Shannon (29),17,1904,R
239,200.,Ruben Sierra (21),17,1987,R
240,200.,Enos Slaughter+ (23),17,1939,R
241,200.,Elmer Smith (28),17,1921,R
242,200.,Cory Snyder (26),17,1989,R
243,200.,Homer Summa (27),17,1926,R
244,200.,Doug Taitt (25),17,1928,R
245,200.,Mark Teahen (25),17,2007,R
246,200.,Dixie Walker (30),17,1941,R
247,200.,Dixie Walker (34),17,1945,R
248,200.,Chief Wilson (24),17,1908,R
249,200.,Dave Winfield+ (28),17,1980,R
250,200.,Harry Wolter (26),17,1911,R
251,200.,Ross Youngs+ (27),17,1924,R
252,253.,Jesse Barfield (27),16,1987,R
253,253.,Derek Bell (27),16,1996,R
254,253.,Bobby Bonds (32),16,1978,R
255,253.,Buzz Boyle (27),16,1935,L
256,253.,George Browne (32),16,1908,R
257,253.,Max Carey+ (37),16,1927,R
258,253.,Jack Clark (22),16,1978,R
259,253.,Roberto Clemente+ (20),16,1955,R
260,253.,Roberto Clemente+ (31),16,1966,R
261,253.,Otis Clymer (32),16,1908,R
262,253.,Shano Collins (27),16,1913,R
263,253.,Gavvy Cravath (31),16,1912,R
264,253.,Gavvy Cravath (37),16,1918,R
265,253.,Sam Crawford+ (31),16,1911,L
266,253.,Max Flack (30),16,1920,L
267,253.,Jeff Francoeur (27),16,2011,R
268,253.,Carl Furillo (28),16,1950,R
269,253.,Ival Goodman (26),16,1935,R
270,253.,Ival Goodman (30),16,1939,R
271,253.,Tommy Griffith (28),16,1918,R
272,253.,Brad Hawpe (27),16,2006,L
273,253.,Cliff Heathcote (28),16,1926,L
274,253.,Harry Heilmann+ (35),16,1930,R
275,253.,Bill Hinchman (32),16,1915,R
276,253.,Tommy Holmes (29),16,1946,L
277,253.,Frank Howard (25),16,1962,R
278,253.,Al Kaline+ (19),16,1954,R
279,253.,Willie Keeler+ (32),16,1904,L
280,253.,Willie Keeler+ (34),16,1906,L
281,253.,Lee King (24),16,1917,R
282,253.,Sixto Lezcano (28),16,1982,R
283,253.,Tom Long (25),16,1915,R
284,253.,Harry Lumley (26),16,1907,L
285,253.,Willard Marshall (27),16,1948,R
286,253.,Paul Meloan (21),16,1910,R
287,253.,Mike Mitchell (28),16,1908,R
288,253.,Mike Mitchell (30),16,1910,R
289,253.,Raul Mondesi (23),16,1994,R
290,253.,Wally Moses (26),16,1937,L
291,253.,Hunter Pence (25),16,2008,R
292,253.,Hunter Pence (26),16,2009,R
293,253.,Dave Philley (33),16,1953,R
294,253.,Sam Rice+ (29),16,1919,R
295,253.,Jim Rivera (33),16,1955,L
296,253.,Cory Snyder (24),16,1987,R
297,253.,Sammy Sosa (28),16,1997,R
298,253.,Charlie Spikes (23),16,1974,R
299,253.,Rusty Staub (25),16,1969,R
300,253.,Casey Stengel+ (29),16,1920,L
301,253.,Curt Walker (26),16,1923,R
302,253.,Dixie Walker (35),16,1946,R
303,253.,Larry Walker+ (25),16,1992,R
304,253.,Paul Waner+ (31),16,1934,L
305,253.,Paul Waner+ (33),16,1936,L
306,253.,Dave Winfield+ (25),16,1977,R
307,253.,Delmon Young (21),16,2007,R
308,253.,Ross Youngs+ (21),16,1918,R
309,253.,Ross Youngs+ (29),16,1926,R
310,311.,Tony Armas (26),15,1980,R
311,311.,Bob Bailor (27),15,1979,R
312,311.,Bill Barrett (29),15,1929,R
313,311.,Buzz Boyle (26),15,1934,L
314,311.,Bruce Campbell (22),15,1932,R
315,311.,Vin Campbell (27),15,1915,R
316,311.,Bernie Carbo (24),15,1972,R
317,311.,Jose Cardenal (30),15,1974,R
318,311.,Roberto Clemente+ (30),15,1965,R
319,311.,Sam Crawford+ (32),15,1912,L
320,311.,Bert Daniels (30),15,1913,R
321,311.,Mike Davis (24),15,1983,L
322,311.,Rob Deer (29),15,1990,R
323,311.,Josh Devore (23),15,1911,R
324,311.,Patsy Donovan (39),15,1904,L
325,311.,Adam Eaton (27),15,2016,L
326,311.,Dwight Evans (23),15,1975,R
327,311.,Dwight Evans (24),15,1976,R
328,311.,Dwight Evans (27),15,1979,R
329,311.,Steve Evans (25),15,1910,L
330,311.,Max Flack (25),15,1915,L
331,311.,Emil Frisk (30),15,1905,R
332,311.,Cito Gaston (29),15,1973,R
333,311.,Goose Goslin+ (32),15,1933,R
334,311.,Greg Gross (21),15,1974,L
335,311.,Vladimir Guerrero+ (24),15,1999,R
336,311.,George Harper (32),15,1924,R
337,311.,Mike Hershberger (27),15,1967,R
338,311.,Bobby Higginson (27),15,1998,R
339,311.,Harry Hooper+ (35),15,1923,R
340,311.,Torii Hunter (35),15,2011,R
341,311.,Reggie Jackson+ (25),15,1971,L
342,311.,Jackie Jensen (30),15,1957,R
343,311.,Mike Kingery (26),15,1987,L
344,311.,Willie Kirkland (26),15,1960,R
345,311.,Chuck Klein+ (31),15,1936,R
346,311.,Mark Kotsay (22),15,1998,L
347,311.,Buddy Lewis (29),15,1946,R
348,311.,Al Libke (27),15,1946,R
349,311.,Willard Marshall (31),15,1952,R
350,311.,Dave Martinez (35),15,2000,L
351,311.,J.D. Martinez (27),15,2015,R
352,311.,Herbie Moran (29),15,1913,R
353,311.,Walt Moryn (30),15,1956,R
354,311.,Wally Moses (31),15,1942,L
355,311.,Danny Murphy (33),15,1910,R
356,311.,Dale Murphy (32),15,1988,R
357,311.,Eddie Murphy (22),15,1914,R
358,311.,Stan Musial+ (22),15,1943,L
359,311.,Bill Nicholson (28),15,1943,R
360,311.,Magglio Ordonez (26),15,2000,R
361,311.,Dave Parker (28),15,1979,R
362,311.,Gerardo Parra (26),15,2013,L
363,311.,Jim Piersall (23),15,1953,R
364,311.,Wally Post (24),15,1954,R
365,311.,Wally Post (26),15,1956,R
366,311.,Lance Richbourg (31),15,1929,R
367,311.,Braggo Roth (27),15,1920,R
368,311.,Tim Salmon (28),15,1997,R
369,311.,Enos Slaughter+ (26),15,1942,R
370,311.,Sammy Sosa (27),15,1996,R
371,311.,Leroy Stanton (29),15,1975,R
372,311.,Rusty Staub (26),15,1970,R
373,311.,Rusty Staub (29),15,1973,R
374,311.,Rusty Staub (31),15,1975,R
375,311.,Casey Stengel+ (23),15,1914,L
376,311.,Jack Tobin (28),15,1920,L
377,311.,Jack Tobin (32),15,1924,L
378,311.,Curt Walker (30),15,1927,R
379,311.,Ken Walters (26),15,1960,R
380,311.,Paul Waner+ (26),15,1929,L
381,311.,Paul Waner+ (34),15,1937,L
382,311.,Earl Webb (34),15,1932,R
383,311.,Vic Wertz (24),15,1949,R
384,311.,Vic Wertz (28),15,1953,R
385,311.,Dave Winfield+ (24),15,1976,R
386,387.,Hank Aaron+ (30),14,1964,R
387,387.,Bob Allison (26),14,1961,R
388,387.,Harold Baines+ (27),14,1986,L
389,387.,Jesse Barfield (22),14,1982,R
390,387.,Mookie Betts (23),14,2016,R
391,387.,Dante Bichette (27),14,1991,R
392,387.,Dante Bichette (29),14,1993,R
393,387.,George Browne (31),14,1907,R
394,387.,Tom Brunansky (23),14,1984,R
395,387.,Jay Buhner (26),14,1991,R
396,387.,Jay Buhner (27),14,1992,R
397,387.,Bruce Campbell (24),14,1934,R
398,387.,Shin-Soo Choo (27),14,2010,L
399,387.,Jack Clark (25),14,1981,R
400,387.,Rocky Colavito (24),14,1958,R
401,387.,Al Cowens (25),14,1977,R
402,387.,Al Cowens (30),14,1982,R
403,387.,Dick Cox (29),14,1925,R
404,387.,Sam Crawford+ (33),14,1913,L
405,387.,Roy Cullenbine (29),14,1943,R
406,387.,Kiki Cuyler+ (30),14,1929,R
407,387.,Del Ennis (23),14,1948,R
408,387.,Dwight Evans (26),14,1978,R
409,387.,Max Flack (27),14,1917,L
410,387.,Ira Flagstead (25),14,1919,R
411,387.,Jeff Francoeur (24),14,2008,R
412,387.,Buck Freeman (32),14,1904,L
413,387.,Frank Gilhooley (26),14,1918,R
414,387.,Joe Grace (27),14,1941,R
415,387.,Vladimir Guerrero+ (26),14,2001,R
416,387.,Vladimir Guerrero+ (27),14,2002,R
417,387.,George Harper (30),14,1922,R
418,387.,George Harper (35),14,1927,R
419,387.,Roy Hartzell (26),14,1908,R
420,387.,Cliff Heathcote (33),14,1931,L
421,387.,Jeff Heath (26),14,1941,R
422,387.,Harry Heilmann+ (22),14,1917,R
423,387.,Harry Heilmann+ (33),14,1928,R
424,387.,Tommy Henrich (25),14,1938,L
425,387.,Mike Hershberger (26),14,1966,R
426,387.,Richard Hidalgo (29),14,2004,R
427,387.,Harry Hooper+ (33),14,1921,R
428,387.,Torii Hunter (36),14,2012,R
429,387.,Jackie Jensen (31),14,1958,R
430,387.,Felix Jose (26),14,1991,R
431,387.,Frank Jude (21),14,1906,R
432,387.,Al Kaline+ (20),14,1955,R
433,387.,Al Kaline+ (21),14,1956,R
434,387.,Al Kaline+ (32),14,1967,R
435,387.,Willie Keeler+ (33),14,1905,L
436,387.,Chuck Klein+ (30),14,1935,R
437,387.,Nick Markakis (27),14,2011,L
438,387.,Sam Mele (31),14,1953,R
439,387.,Orlando Merced (29),14,1996,R
440,387.,Benny Meyer (29),14,1914,R
441,387.,Herbie Moran (31),14,1915,R
442,387.,Walt Moryn (31),14,1957,R
443,387.,Don Mueller (27),14,1954,R
444,387.,Dale Murphy (31),14,1987,R
445,387.,Eddie Murphy (21),14,1913,R
446,387.,Eddie Murphy (23),14,1915,R
447,387.,Tony Oliva (30),14,1969,R
448,387.,Dave Parker (29),14,1980,R
449,387.,Dave Philley (29),14,1949,R
450,387.,Josh Reddick (25),14,2012,R
451,387.,Babe Ruth+ (29),14,1924,L
452,387.,Frank Schulte (26),14,1909,R
453,387.,Gary Sheffield (28),14,1997,R
454,387.,Ruben Sierra (25),14,1991,R
455,387.,Reggie Smith (35),14,1980,R
456,387.,Cory Snyder (25),14,1988,R
457,387.,Sammy Sosa (21),14,1990,R
458,387.,Sammy Sosa (29),14,1998,R
459,387.,Casey Stengel+ (25),14,1916,L
460,387.,Ron Swoboda (24),14,1968,R
461,387.,John Titus (36),14,1912,L
462,387.,Jack Tobin (30),14,1922,L
463,387.,Dixie Walker (32),14,1943,R
464,387.,Larry Walker+ (35),14,2002,R
465,387.,Paul Waner+ (29),14,1932,L
466,387.,Frank Welch (24),14,1922,R
467,387.,Frank Welch (25),14,1923,R
468,387.,Mark Whiten (25),14,1992,R
469,387.,Cy Williams (37),14,1925,L
470,387.,Cy Williams (38),14,1926,L
471,387.,Chief Wilson (29),14,1913,R
472,387.,Dave Winfield+ (27),14,1979,R
473,474.,Hank Aaron+ (26),13,1960,R
474,474.,Hank Aaron+ (34),13,1968,R
475,474.,Bobby Abreu (26),13,2000,R
476,474.,Bobby Abreu (30),13,2004,R
477,474.,Buzz Arlett (32),13,1931,R
478,474.,Clyde Barnhart (27),13,1923,R
479,474.,Hank Bauer (29),13,1952,R
480,474.,Jose Bautista (30),13,2011,R
481,474.,Gus Bell (31),13,1960,R
482,474.,Ollie Brown (25),13,1969,R
483,474.,Jay Bruce (26),13,2013,L
484,474.,Tom Brunansky (24),13,1985,R
485,474.,Jeromy Burnitz (32),13,2001,R
486,474.,Bruce Campbell (28),13,1938,R
487,474.,Jose Cardenal (29),13,1973,R
488,474.,Roberto Clemente+ (21),13,1956,R
489,474.,Roberto Clemente+ (29),13,1964,R
490,474.,Roberto Clemente+ (34),13,1969,R
491,474.,Rocky Colavito (30),13,1964,R
492,474.,Shano Collins (28),13,1914,R
493,474.,Doc Cook (28),13,1914,R
494,474.,Dick Cox (30),13,1926,R
495,474.,Bobby Darwin (30),13,1973,R
496,474.,Cozy Dolan (31),13,1904,L
497,474.,Jeff Francoeur (21),13,2005,R
498,474.,Jeff Francoeur (22),13,2006,R
499,474.,Carl Furillo (27),13,1949,R
