,Rank,Player (age that year),Range Factor/Game as RF (s.1901),Year,Throws
251,250.,Jose Guillen (29),2.200,2005,R
252,250.,Austin Kearns (22),2.200,2002,R
253,250.,Bing Miller (34),2.200,1929,R
254,250.,Tony Oliva (27),2.200,1966,R
255,250.,Anthony Santander (25),2.200,2020,R
256,257.,Harold Baines+ (27),2.199,1986,L
257,258.,Tony Gwynn+ (32),2.197,1992,L
258,259.,Avisail Garcia (27),2.195,2018,R
259,259.,Jacque Jones (30),2.195,2005,L
260,259.,Ichiro Suzuki (29),2.195,2003,R
261,262.,Dante Bichette (29),2.194,1993,R
262,262.,Jackie Jensen (34),2.194,1961,R
263,264.,Dwight Evans (30),2.193,1982,R
264,264.,Al Kaline+ (19),2.193,1954,R
265,266.,Bob Allison (28),2.192,1963,R
266,266.,Buzz Arlett (32),2.192,1931,R
267,266.,Mookie Betts (27),2.192,2020,R
268,266.,Lou Clinton (25),2.192,1963,R
269,266.,Alex Rios (31),2.192,2012,R
270,266.,Reggie Sanders (26),2.192,1994,R
271,266.,Chief Wilson (30),2.192,1914,R
272,273.,Greasy Neale (27),2.191,1919,R
273,273.,Justin Upton (21),2.191,2009,R
274,275.,Jeremy Hermida (23),2.190,2007,R
275,275.,Reggie Sanders (34),2.190,2002,R
276,277.,Johnny Callison (30),2.186,1969,R
277,278.,Sixto Lezcano (26),2.185,1980,R
278,279.,Hank Aaron+ (22),2.184,1956,R
279,280.,Ival Goodman (28),2.183,1937,R
280,280.,Richard Hidalgo (28),2.183,2003,R
281,282.,Shawn Green (29),2.180,2002,L
282,283.,Paul O'Neill (31),2.178,1994,L
283,284.,Bobby Bonds (26),2.177,1972,R
284,285.,George Harper (35),2.176,1927,R
285,285.,Raul Mondesi (26),2.176,1997,R
286,287.,Dan Ford (31),2.175,1983,R
287,287.,Wally Moses (26),2.175,1937,L
288,289.,Dante Bichette (27),2.174,1991,R
289,289.,Willie Kirkland (27),2.174,1961,R
290,289.,Reggie Smith (29),2.174,1974,R
291,292.,Hank Aaron+ (26),2.173,1960,R
292,292.,Jay Buhner (27),2.173,1992,R
293,294.,Al Libke (26),2.171,1945,R
294,295.,Roberto Clemente+ (37),2.170,1972,R
295,295.,Jermaine Dye (33),2.170,2007,R
296,295.,Sixto Lezcano (25),2.170,1979,R
297,295.,Babe Ruth+ (32),2.170,1927,L
298,295.,Billy Southworth+ (28),2.170,1921,R
299,300.,Dan Ford (27),2.169,1979,R
300,300.,Vladimir Guerrero+ (24),2.169,1999,R
301,300.,Glenn Wilson (28),2.169,1987,R
302,303.,Warren Cromartie (29),2.168,1983,L
303,303.,Juan Encarnacion (27),2.168,2003,R
304,303.,Willard Marshall (26),2.168,1947,R
305,303.,Lance Richbourg (29),2.168,1927,R
306,303.,Alex Rios (32),2.168,2013,R
307,303.,Vic Wertz (28),2.168,1953,R
308,309.,Sammy Sosa (29),2.167,1998,R
309,310.,Aubrey Huff (28),2.165,2005,R
310,310.,Bake McBride (31),2.165,1980,R
311,310.,Tony Oliva (30),2.165,1969,R
312,313.,Al Cowens (27),2.164,1979,R
313,313.,Justin Upton (23),2.164,2011,R
314,315.,Roy Cullenbine (31),2.163,1945,R
315,315.,Bill Nicholson (31),2.163,1946,R
316,315.,Sam Rice+ (33),2.163,1923,R
317,318.,Hank Aaron+ (33),2.162,1967,R
318,318.,Shin-Soo Choo (32),2.162,2015,L
319,318.,Randy Moore (27),2.162,1933,R
320,318.,Babe Ruth+ (33),2.162,1928,L
321,322.,Ben Grieve (26),2.161,2002,R
322,322.,Tommy Griffith (32),2.161,1922,R
323,322.,Nomar Mazara (21),2.161,2016,L
