,Rank,Player (age that year),Range Factor/Game as OF,Year,Throws
384,385.,Dan Gladden (26),2.824,1984,R
385,385.,Frank Thomas (25),2.824,1954,R
386,387.,Sam Rice+ (31),2.823,1921,R
387,388.,Willie Mays+ (25),2.822,1956,R
388,388.,Alex Sanchez (26),2.822,2003,L
389,390.,Andy Van Slyke (28),2.821,1989,R
390,391.,Vada Pinson (20),2.818,1959,L
391,391.,Bill Wilson (25),2.818,1954,R
392,393.,Dain Clay (24),2.816,1944,R
393,394.,Adam Comorosky (27),2.815,1932,R
394,394.,Chick Fullis (32),2.815,1933,R
395,394.,Roy Weatherly (25),2.815,1940,R
396,394.,Cy Williams (33),2.815,1921,L
397,394.,Willie Wilson (26),2.815,1982,R
398,399.,Johnny Frederick (29),2.814,1931,L
399,399.,Wally Judnich (25),2.814,1941,L
400,399.,Dwayne Murphy (24),2.814,1979,R
401,402.,Mike Devereaux (29),2.813,1992,R
402,402.,Bill North (28),2.813,1976,R
403,402.,Tris Speaker+ (33),2.813,1921,L
404,402.,Mickey Stanley (31),2.813,1974,R
405,406.,Taylor Douthit (29),2.812,1930,R
406,406.,Fred Lynn (26),2.812,1978,L
407,408.,Richie Ashburn+ (23),2.810,1950,R
408,408.,Al Bumbry (35),2.810,1982,R
409,408.,Dom DiMaggio (29),2.810,1946,R
410,408.,Ken Griffey Jr.+ (26),2.810,1996,L
411,408.,Al Simmons+ (33),2.810,1935,R
412,413.,Coco Crisp (33),2.809,2013,R
413,413.,Andre Dawson+ (28),2.809,1983,R
414,413.,Willie McGee (31),2.809,1990,R
415,416.,Ethan Allen (31),2.808,1935,R
416,416.,Babe Herman (29),2.808,1932,L
417,416.,Jim Piersall (31),2.808,1961,R
418,419.,Paul Blair (25),2.807,1969,R
419,419.,Doug Glanville (30),2.807,2001,R
420,419.,Bob Johnson (32),2.807,1938,R
421,422.,Liz Funk (25),2.806,1930,L
422,422.,Bake McBride (25),2.806,1974,R
423,422.,Rick Miller (30),2.806,1978,L
424,425.,Mike Cameron (28),2.805,2001,R
425,425.,Aaron Rowand (30),2.805,2008,R
426,425.,Andy Van Slyke (31),2.805,1992,R
427,425.,Mitch Webster (31),2.805,1990,L
428,429.,Tommy Holmes (26),2.803,1943,L
429,429.,Leonys Martín (26),2.803,2014,R
430,431.,Rich Becker (24),2.801,1996,L
431,431.,Carlos Beltran (30),2.801,2007,R
432,431.,Sam Jethroe (35),2.801,1952,R
433,434.,Joe DiMaggio+ (25),2.800,1940,R
434,435.,Sam Chapman (24),2.798,1940,R
435,435.,Leon Culberson (24),2.798,1943,R
436,437.,Andre Dawson+ (23),2.797,1978,R
437,438.,George Hendrick (27),2.796,1977,R
438,438.,Hunter Pence (24),2.796,2007,R
439,440.,Darin Erstad (27),2.795,2001,L
440,441.,Tommy Leach (32),2.794,1910,R
441,442.,Dave Henderson (31),2.793,1990,R
442,442.,Devon White (30),2.793,1993,R
443,444.,Dom DiMaggio (24),2.792,1941,R
444,444.,Rondell White (26),2.792,1998,R
445,446.,Ethan Allen (24),2.791,1928,R
446,446.,Doc Cramer (26),2.791,1932,R
447,446.,Jim Edmonds (27),2.791,1997,L
448,446.,Fred Schulte (30),2.791,1931,R
449,450.,Curtis Granderson (26),2.790,2007,R
450,450.,Dave May (28),2.790,1972,R
451,450.,Gorman Thomas (31),2.790,1982,R
452,453.,Adam Eaton (27),2.789,2016,L
453,453.,Mike Trout (23),2.789,2015,R
454,453.,Cy Williams (32),2.789,1920,L
455,456.,Buster Adams (28),2.788,1943,R
456,456.,Ken Griffey (31),2.788,1981,L
457,456.,Randy Winn (28),2.788,2002,R
458,459.,Ichiro Suzuki (33),2.787,2007,R
459,460.,Brett Butler (29),2.786,1986,L
460,460.,Brady Clark (32),2.786,2005,R
461,460.,Chet Lemon (21),2.786,1976,R
462,460.,Willy Taveras (27),2.786,2009,R
463,464.,Ray Powell (28),2.784,1917,R
464,465.,Harry Heilmann+ (35),2.783,1930,R
465,466.,Lloyd Moseby (23),2.782,1983,R
466,466.,Pete Reiser (22),2.782,1941,R
467,468.,Ruppert Jones (27),2.781,1982,L
468,468.,Johnny Mostil (26),2.781,1922,R
469,470.,Max Carey+ (36),2.780,1926,R
470,471.,Carlos Gomez (27),2.779,2013,R
471,471.,Tommy Holmes (25),2.779,1942,L
472,471.,Tris Speaker+ (38),2.779,1926,L
473,474.,Larry Doby+ (30),2.778,1954,R
474,475.,Lance Johnson (27),2.777,1991,L
