,Rank,Player (age that year),Wild Pitches,Year,Throws
194,174.,Dupee Shaw (25),24,1884,L
195,174.,Lev Shreve (22),24,1888,R
196,174.,Scott Stratton (18),24,1888,R
197,174.,Will White (29),24,1884,R
198,199.,Bob Caruthers (24),23,1888,R
199,199.,Matt Clement (25),23,2000,R
200,199.,Fred Corey (27),23,1882,R
201,199.,Billy Crowell (21),23,1887,R
202,199.,Bert Cunningham (25),23,1891,R
203,199.,Hugh Daily (35),23,1883,R
204,199.,Bob Emslie (26),23,1885,R
205,199.,Dave Foutz (29),23,1886,R
206,199.,Charlie Geggus (22),23,1884,
207,199.,Pud Galvin+ (22),23,1879,R
208,199.,Pretzels Getzien (24),23,1888,R
209,199.,Silver King (20),23,1888,R
210,199.,Phil Knell (26),23,1891,L
211,199.,Lon Knight (23),23,1876,R
212,199.,Tim Leary (31),23,1990,R
213,199.,Bobby Mathews (32),23,1884,R
214,199.,Christy Mathewson+ (20),23,1901,R
215,199.,Charlie McCullough (24),23,1890,R
216,199.,Old Hoss Radbourn+ (27),23,1882,R
217,199.,Tom Vickery (23),23,1890,R
218,219.,Kirtley Baker (21),22,1890,R
219,219.,Lady Baldwin (27),22,1886,L
220,219.,Bob Barr (29),22,1886,R
221,219.,Henry Boyle (27),22,1888,R
222,219.,Bob Caruthers (25),22,1889,R
223,219.,Tony Cloninger (24),22,1965,R
224,219.,Jim Conway (30),22,1889,R
225,219.,Ed Crane (24),22,1886,R
226,219.,Chick Fraser (23),22,1897,R
227,219.,Bill George (22),22,1887,L
228,219.,Jack Hamilton (23),22,1962,R
229,219.,Silver King (23),22,1891,R
230,219.,Jim McCormick (25),22,1882,R
231,219.,Jumbo McGinnis (32),22,1886,
232,219.,Jouett Meekin (27),22,1894,R
233,219.,Mike Moore (32),22,1992,R
234,219.,Ed Morris (21),22,1884,L
235,219.,Ed Morris (23),22,1886,L
236,219.,Bill Mountjoy (25),22,1884,R
237,219.,Tricky Nichols (26),22,1877,R
238,219.,Old Hoss Radbourn+ (31),22,1886,R
239,219.,Garrett Richards (26),22,2014,R
240,219.,Bobby Witt (22),22,1986,R
241,242.,Norm Baker (22),21,1885,
242,242.,Joe Borden (22),21,1876,R
243,242.,Ice Box Chamberlain (23),21,1891,R
244,242.,John Clarkson+ (28),21,1890,R
245,242.,Pete Conway (18),21,1885,R
246,242.,Ed Crane (29),21,1891,R
247,242.,Ed Cushman (34),21,1886,L
248,242.,Bill Daley (22),21,1890,L
249,242.,Ed Doheny (25),21,1899,L
250,242.,Mike Dorgan (30),21,1884,R
251,242.,Jesse Duryea (29),21,1889,R
252,242.,John Fox (22),21,1881,
253,242.,Pud Galvin+ (28),21,1885,R
254,242.,Hank Gastright (26),21,1891,R
255,242.,George Haddock (25),21,1892,R
256,242.,Pink Hawley (21),21,1894,R
257,242.,Guy Hecker (30),21,1886,R
258,242.,Ken Howell (28),21,1989,R
259,242.,Mickey Hughes (21),21,1888,R
260,242.,Walter Johnson+ (22),21,1910,R
261,242.,Tim Keefe+ (31),21,1888,R
262,242.,Brickyard Kennedy (26),21,1894,R
263,242.,Silver King (24),21,1892,R
264,242.,Tom Lovett (27),21,1891,R
265,242.,Bobby Mathews (34),21,1886,R
266,242.,Jim McCormick (23),21,1880,R
267,242.,Doc McJames (22),21,1897,R
268,242.,Jouett Meekin (24),21,1891,R
269,242.,Bill Mountjoy (26),21,1885,R
270,242.,Frank Mountain (23),21,1883,R
271,242.,Joe Niekro (40),21,1985,R
272,242.,The Only Nolan (22),21,1878,R
273,242.,Nolan Ryan+ (30),21,1977,R
274,242.,John Sowders (22),21,1889,L
275,242.,George Van Haltren (22),21,1888,L
276,242.,Lee Viau (24),21,1891,R
277,242.,Gus Weyhing (23),21,1890,R
278,242.,Scott Williamson (24),21,2000,R
279,242.,Earl Wilson (28),21,1963,R
280,242.,Pete Wood (18),21,1885,R
281,282.,Red Ames (24),20,1907,R
282,282.,Ice Box Chamberlain (21),20,1889,R
283,282.,José Contreras (33),20,2005,R
284,282.,Billy Crowell (22),20,1888,R
285,282.,Jim Devlin (28),20,1877,R
286,282.,Larry Dierker (21),20,1968,R
287,282.,Dave Foutz (28),20,1885,R
288,282.,Freddy Garcia (28),20,2005,R
289,282.,Henry Gruber (27),20,1891,R
290,282.,John Harkins (27),20,1886,R
291,282.,Guy Hecker (27),20,1883,R
292,282.,Bill Hutchison (32),20,1892,R
293,282.,Edwin Jackson (26),20,2010,R
294,282.,Terry Larkin (23),20,1879,R
295,282.,Dave Lemanczyk (26),20,1977,R
296,282.,Denny Lemaster (25),20,1964,L
297,282.,Old Hoss Radbourn+ (32),20,1887,R
298,282.,J.R. Richard (25),20,1975,R
299,282.,John Smoltz+ (24),20,1991,R
300,282.,Adonis Terry (21),20,1886,R
301,302.,Charlie Buffinton (30),19,1891,R
302,302.,Oyster Burns (20),19,1885,R
303,302.,Larry Cheney (27),19,1913,R
304,302.,Larry Corcoran (20),19,1880,R
305,302.,Larry Corcoran (23),19,1883,R
306,302.,Ed Correa (20),19,1986,R
307,302.,Ed Daily (27),19,1890,R
308,302.,Ed Doheny (24),19,1898,L
309,302.,Pud Galvin+ (25),19,1882,R
310,302.,Pretzels Getzien (22),19,1886,R
311,302.,Ed Green (30),19,1890,
312,302.,Jack Harper (23),19,1901,R
313,302.,Egyptian Healy (21),19,1888,R
314,302.,Silver King (19),19,1887,R
315,302.,Tom Lovett (21),19,1885,R
316,302.,Jim Maloney (23),19,1963,R
317,302.,Jim Maloney (25),19,1965,R
318,302.,Bobby Mathews (33),19,1885,R
319,302.,Mike Mattimore (29),19,1888,L
320,302.,Mike Mattimore (31),19,1890,L
321,302.,George Meakim (24),19,1890,R
322,302.,Joe Niekro (34),19,1979,R
323,302.,Joe Niekro (37),19,1982,R
324,302.,Phil Niekro+ (28),19,1967,R
325,302.,Hideo Nomo (26),19,1995,R
326,302.,Cinders O'Brien (23),19,1890,R
327,302.,Steve Renko (29),19,1974,R
328,302.,J.R. Richard (29),19,1979,R
329,302.,Nolan Ryan+ (42),19,1989,R
330,302.,Cy Seymour (25),19,1898,L
331,302.,Happy Townsend (25),19,1904,R
332,302.,John Ward+ (20),19,1880,R
333,302.,John Ward+ (23),19,1883,R
334,302.,Will White (27),19,1882,R
335,336.,Mark Baldwin (24),18,1888,R
336,336.,Tommy Bond (21),18,1877,R
337,336.,Larry Cheney (26),18,1912,R
338,336.,Ed Crane (27),18,1889,R
339,336.,Pretzels Getzien (23),18,1887,R
340,336.,Henry Gruber (25),18,1889,R
341,336.,Jack Hamilton (27),18,1966,R
342,336.,Felix Hernandez (28),18,2014,R
343,336.,Otto Hess (26),18,1905,L
344,336.,Frank Killen (21),18,1892,L
345,336.,Phil Knell (27),18,1892,L
346,336.,John Lackey (26),18,2005,R
347,336.,Terry Larkin (21),18,1877,R
348,336.,Tom Lovett (26),18,1890,R
349,336.,Lance Lynn (32),18,2019,R
350,336.,Christy Mathewson+ (22),18,1903,R
351,336.,Al Maul (24),18,1890,R
352,336.,Ernie McAnally (24),18,1971,R
353,336.,Sam McDowell (24),18,1967,L
354,336.,Willie McGill (17),18,1891,L
355,336.,Jack Morris+ (28),18,1983,R
356,336.,Tony Mullane (32),18,1891,R
357,336.,Joe Murphy (19),18,1886,
358,336.,Jaime Navarro (31),18,1998,R
359,336.,Phil Niekro+ (40),18,1979,R
360,336.,Orval Overall (24),18,1905,R
361,336.,Dan Reichert (23),18,2000,R
362,336.,Billy Rhines (22),18,1891,R
363,336.,Rich Robertson (25),18,1970,R
364,336.,Ricky Romero (25),18,2010,L
365,336.,Nolan Ryan+ (25),18,1972,R
366,336.,Nolan Ryan+ (35),18,1982,R
367,336.,Dupee Shaw (27),18,1886,L
368,336.,Charlie Sprague (25),18,1890,L
369,336.,Adonis Terry (24),18,1889,R
370,336.,Bob Veale (28),18,1964,L
371,336.,Lee Viau (22),18,1889,R
372,336.,Mickey Welch+ (29),18,1889,R
373,374.,Mark Baldwin (28),17,1892,R
374,374.,Bob Barr (26),17,1883,R
375,374.,Ed Beatin (23),17,1890,L
376,374.,Buck Becannon (25),17,1885,
377,374.,Ed Bagley (21),17,1885,
378,374.,Frank Bertaina (24),17,1968,L
379,374.,Charlie Buffinton (22),17,1883,R
380,374.,A.J. Burnett (32),17,2009,R
381,374.,Daniel Cabrera (25),17,2006,R
382,374.,Trevor Cahill (25),17,2013,R
383,374.,Steve Carlton+ (35),17,1980,L
384,374.,Ice Box Chamberlain (19),17,1887,R
385,374.,John Clarkson+ (24),17,1886,R
386,374.,David Cone (28),17,1991,R
387,374.,José Contreras (32),17,2004,R
388,374.,Dick Conway (21),17,1887,R
389,374.,Larry Corcoran (22),17,1882,R
390,374.,Dan Daub (26),17,1894,R
391,374.,Dory Dean (23),17,1876,R
392,374.,Darren Dreifort (28),17,2000,R
393,374.,Mike Fiers (31),17,2016,R
394,374.,Chuck Finley (33),17,1996,L
395,374.,Chick Fraser (25),17,1899,R
396,374.,Milt Gaston (33),17,1929,R
397,374.,Kid Gleason (24),17,1891,R
398,374.,Zack Godley (28),17,2018,R
399,374.,Tom Gordon (25),17,1993,R
400,374.,Pink Hawley (23),17,1896,R
401,374.,Felix Hernandez (23),17,2009,R
402,374.,Jason Johnson (31),17,2005,R
403,374.,Walter Johnson+ (23),17,1911,R
404,374.,Tommy John (27),17,1970,L
405,374.,Frank Knauss (21),17,1890,L
406,374.,Sandy Koufax+ (22),17,1958,L
407,374.,Tim Lincecum (24),17,2008,R
408,374.,Tim Lincecum (28),17,2012,R
409,374.,Pat Luby (21),17,1890,R
410,374.,Bobby Mathews (27),17,1879,R
411,374.,Christy Mathewson+ (21),17,1902,R
412,374.,Sam McDowell (22),17,1965,L
413,374.,Sam McDowell (27),17,1970,L
414,374.,Sadie McMahon (25),17,1893,R
415,374.,Fred Mitchell (25),17,1903,R
416,374.,Matt Moore (24),17,2013,L
417,374.,Mike Moore (29),17,1989,R
418,374.,Tom Murphy (25),17,1971,R
419,374.,Phil Niekro+ (38),17,1977,R
420,374.,Hank O'Day+ (28),17,1888,R
421,374.,Blue Moon Odom (23),17,1968,R
422,374.,Manny Parra (25),17,2008,L
423,374.,George Pechiney (24),17,1886,R
424,374.,Gaylord Perry+ (34),17,1973,R
425,374.,Henry Porter (28),17,1886,R
426,374.,Old Hoss Radbourn+ (26),17,1881,R
427,374.,Garrett Richards (27),17,2015,R
428,374.,Don Robinson (25),17,1982,R
429,374.,Amos Rusie+ (20),17,1891,R
430,374.,John Smoltz+ (25),17,1992,R
431,374.,Ed Stein (23),17,1893,R
432,374.,Ed Stein (24),17,1894,R
433,374.,Charlie Sweeney (20),17,1883,R
434,374.,Charlie Sweeney (22),17,1885,R
435,374.,Billy Taylor (28),17,1883,R
436,374.,Bob Veale (29),17,1965,L
437,374.,Justin Verlander (24),17,2007,R
438,374.,Brandon Webb (25),17,2004,R
439,374.,Mickey Welch+ (28),17,1888,R
440,441.,Jake Arrieta (30),16,2016,R
441,441.,Jersey Bakley (26),16,1890,R
442,441.,Bo Belinsky (30),16,1967,L
443,441.,Bruce Berenyi (27),16,1982,R
444,441.,Sumner Bowman (23),16,1890,L
445,441.,Jesse Burkett+ (21),16,1890,L
446,441.,A.J. Burnett (33),16,2010,R
447,441.,Trevor Cahill (29),16,2017,R
448,441.,Dan Casey (24),16,1887,L
449,441.,Ice Box Chamberlain (24),16,1892,R
450,441.,John Clarkson+ (27),16,1889,R
451,441.,José Contreras (34),16,2006,R
452,441.,Doug Crothers (25),16,1885,R
453,441.,Ed Daily (23),16,1886,R
454,441.,Bruce Dal Canton (33),16,1974,R
455,441.,Ron Darling (30),16,1991,R
456,441.,Storm Davis (26),16,1988,R
457,441.,George Derby (24),16,1882,R
458,441.,Jean Dubuc (23),16,1912,R
459,441.,Stu Flythe (24),16,1936,R
460,441.,Kid Gleason (26),16,1893,R
461,441.,Jason Grimsley (32),16,2000,R
462,441.,George Haddock (22),16,1889,R
463,441.,John Harkins (28),16,1887,R
464,441.,Guy Hecker (29),16,1885,R
465,441.,Charlie Hough (38),16,1986,R
466,441.,Nat Hudson (19),16,1888,R
467,441.,Tom Hughes (22),16,1901,R
468,441.,Bill Hutchison (29),16,1889,R
469,441.,Ubaldo Jimenez (24),16,2008,R
470,441.,Ubaldo Jimenez (26),16,2010,R
471,441.,Ubaldo Jimenez (28),16,2012,R
472,441.,Ian Kennedy (25),16,2010,R
473,441.,Ted Kennedy (21),16,1886,R
474,441.,Phil Knell (25),16,1890,L
475,441.,Ed Knouff (18),16,1885,R
476,441.,John Lackey (27),16,2006,R
477,441.,Rick Langford (27),16,1979,R
478,441.,Jim Maloney (24),16,1964,R
479,441.,Jim Maloney (29),16,1969,R
480,441.,Jack Manning (22),16,1876,R
481,441.,Jim McCormick (30),16,1887,R
482,441.,Mike McDermott (20),16,1895,R
483,441.,Doc McJames (24),16,1899,R
484,441.,Sadie McMahon (23),16,1891,R
485,441.,Andy Messersmith (23),16,1969,R
486,441.,Jack Morris+ (35),16,1990,R
487,441.,Tony Mullane (33),16,1892,R
488,441.,Tom Murphy (23),16,1969,R
489,441.,Kid Nichols+ (21),16,1891,R
490,441.,Phil Niekro+ (29),16,1968,R
491,441.,Hideo Nomo (31),16,2000,R
492,441.,Hank O'Day+ (30),16,1890,R
493,441.,Fred Osborne (25),16,1890,L
494,441.,George Pechiney (25),16,1887,R
495,441.,Gary Peters (33),16,1970,L
496,441.,J.R. Richard (28),16,1978,R
497,441.,Jeff Robinson (28),16,1990,R
498,441.,Nolan Ryan+ (34),16,1981,R
499,441.,Mac Suzuki (26),16,2001,R
500,441.,Jack Taylor (24),16,1897,R
501,441.,Edinson Volquez (29),16,2013,R
502,441.,Mickey Welch+ (27),16,1887,R
503,441.,John Wetteland (22),16,1989,R
504,441.,Mike Williams (27),16,1996,R
505,441.,Don Wilson (24),16,1969,R
506,441.,Bobby Witt (24),16,1988,R
507,441.,Matt Young (31),16,1990,L
