,Rank,Player (age that year),Hit By Pitch,Year,Bats
72,63.,F.P. Santangelo (30),23,1998,B
73,63.,Jake Stahl (29),23,1908,R
74,75.,Brady Anderson (32),22,1996,L
75,75.,Charlie Babb (30),22,1903,B
76,75.,Craig Biggio+ (29),22,1995,R
77,75.,Jason Giambi (37),22,2008,L
78,75.,Dick Harley (25),22,1898,L
79,75.,Shea Hillenbrand (29),22,2005,R
80,75.,Bill Joyce (28),22,1896,L
81,75.,Tim Locastro (26),22,2019,R
82,75.,Brandon Nimmo (25),22,2018,L
83,75.,Fernando Vina (32),22,2001,L
84,85.,Pete Alonso (24),21,2019,R
85,85.,Jake Beckley+ (27),21,1895,L
86,85.,Derek Dietrich (28),21,2018,L
87,85.,David Eckstein (26),21,2001,R
88,85.,Jay Faatz (28),21,1888,R
89,85.,Prince Fielder (26),21,2010,L
90,85.,Jason Giambi (32),21,2003,L
91,85.,Carlos Gomez (32),21,2018,R
92,85.,Bucky Harris+ (23),21,1920,R
93,85.,Richard Hidalgo (25),21,2000,R
94,85.,Reed Johnson (29),21,2006,R
95,85.,Chuck Knoblauch (30),21,1999,R
96,85.,Jeff McNeil (27),21,2019,L
97,85.,Minnie Minoso (31),21,1957,R
98,85.,Juan Pierre (32),21,2010,L
99,85.,Alex Rodriguez (31),21,2007,R
100,85.,Aaron Rowand (27),21,2005,R
101,85.,Craig Wilson (25),21,2002,R
102,85.,Eric Young Sr. (29),21,1996,R
103,104.,Don Baylor (27),20,1976,R
104,104.,Jake Beckley+ (25),20,1893,L
105,104.,Jeff Blauser (31),20,1997,R
106,104.,Danny Espinosa (29),20,2016,B
107,104.,Tyler Flowers (31),20,2017,R
108,104.,Bill Freehan (25),20,1967,R
109,104.,Ryan Garko (26),20,2007,R
110,104.,Doc Gessler (30),20,1911,L
111,104.,Billy Gilbert (27),20,1903,R
112,104.,Bobby Grich (25),20,1974,R
113,104.,Solly Hemus (29),20,1952,L
114,104.,Jon Jay (29),20,2014,L
115,104.,Hughie Jennings+ (31),20,1900,R
116,104.,Reed Johnson (26),20,2003,R
117,104.,Jason Kendall (27),20,2001,R
118,104.,Jason Kendall (31),20,2005,R
119,104.,Jason LaRue (29),20,2003,R
120,104.,Chet Lemon (28),20,1983,R
