,Rank,Player (age that year),Double Plays Turned as 2B,Year,Throws
52,50.,Red Schoendienst+ (27),124,1950,R
53,54.,Robinson Cano (33),123,2016,R
54,54.,Joe Gordon+ (34),123,1949,R
55,54.,Ian Kinsler (26),123,2008,R
56,54.,Bobby Knoop (25),123,1964,R
57,54.,Ray Mack (26),123,1943,R
58,54.,Jonathan Schoop (24),123,2016,R
59,54.,Eddie Stanky (31),123,1947,R
60,54.,Frank White (32),123,1983,R
61,62.,Bobby Grich (26),122,1975,R
62,62.,Bill Mazeroski+ (27),122,1964,R
63,64.,Joe Gordon+ (27),121,1942,R
64,64.,Tom Herr (30),121,1986,R
65,64.,Billy Martin (25),121,1953,R
66,64.,Charlie Neal (27),121,1958,R
67,64.,Bobby Richardson (29),121,1965,R
68,64.,Freddy Sanchez (29),121,2007,R
69,64.,Chuck Schilling (23),121,1961,R
70,71.,Bucky Harris+ (26),120,1923,R
71,71.,Tom Herr (29),120,1985,R
72,71.,Glenn Hubbard (28),120,1986,R
73,71.,DJ LeMahieu (26),120,2015,R
74,71.,Eddie Mayo (34),120,1944,R
75,71.,Felix Millan (27),120,1971,R
76,71.,Lou Whitaker (25),120,1982,R
77,71.,Bobby Young (28),120,1953,R
78,71.,Pep Young (30),120,1938,R
79,80.,Sandy Alomar (26),119,1970,R
80,80.,Bobby Doerr+ (30),119,1948,R
81,80.,Bucky Harris+ (25),119,1922,R
82,80.,Gil McDougald (27),119,1955,R
83,80.,Jackie Robinson+ (30),119,1949,R
84,80.,Snuffy Stirnweiss (26),119,1945,R
85,80.,Johnny Temple (27),119,1955,R
86,87.,David Bell (26),118,1999,R
87,87.,Dave Cash (28),118,1976,R
88,87.,Bobby Doerr+ (20),118,1938,R
89,87.,Bobby Doerr+ (22),118,1940,R
90,87.,Bobby Doerr+ (29),118,1947,R
91,87.,Brian Dozier (29),118,2016,R
92,87.,Bill Mazeroski+ (21),118,1958,R
93,87.,Ski Melillo (31),118,1931,R
94,87.,Jerry Priddy (31),118,1951,R
95,87.,Bobby Young (26),118,1951,R
96,97.,Ozzie Albies (22),117,2019,R
97,97.,Craig Biggio+ (33),117,1999,R
98,97.,Nellie Fox+ (30),117,1958,R
99,97.,Jim Morrison (27),117,1980,R
100,97.,Steve Sax (29),117,1989,R
101,97.,Eddie Stanky (35),117,1951,R
102,97.,Johnny Temple (26),117,1954,R
103,97.,Michael Young (26),117,2003,R
104,105.,Tony Bernazard (25),116,1982,R
105,105.,Marv Breeding (26),116,1960,R
106,105.,Phil Garner (31),116,1980,R
107,105.,Charlie Gehringer+ (33),116,1936,R
108,105.,Joe Gordon+ (24),116,1939,R
109,105.,Joe Gordon+ (25),116,1940,R
110,105.,Orlando Hudson (28),116,2006,R
111,105.,Mike Lansing (30),116,1998,R
112,105.,Carl Lind (24),116,1928,R
113,105.,Bobby Richardson (26),116,1962,R
114,105.,Fernando Vina (27),116,1996,R
115,116.,Scott Fletcher (31),115,1990,R
116,116.,Tito Fuentes (33),115,1977,R
117,116.,Charlie Gehringer+ (35),115,1938,R
118,116.,Jackie Hayes (30),115,1937,R
119,116.,Tommy Helms (31),115,1972,R
120,116.,Mark McLemore (31),115,1996,R
121,116.,Rennie Stennett (23),115,1974,R
122,116.,Chase Utley (27),115,2006,R
123,124.,Jose Altuve (23),114,2013,R
124,124.,Bobby Avila (29),114,1953,R
125,124.,Gene Baker (30),114,1955,R
126,124.,Robinson Cano (27),114,2010,R
127,124.,Rod Carew+ (28),114,1974,R
128,124.,Joe Gordon+ (28),114,1943,R
129,124.,Billy Herman+ (23),114,1933,R
130,124.,Aaron Hill (25),114,2007,R
131,124.,Glenn Hubbard (29),114,1987,R
132,124.,Jerry Kindall (27),114,1962,R
133,124.,Jerry Remy (25),114,1978,R
134,124.,Cookie Rojas (34),114,1973,R
135,124.,Pete Suder (32),114,1948,R
136,137.,Tony Cuccinello (24),113,1932,R
137,137.,Damion Easley (31),113,2001,R
138,137.,Billy Gardner (30),113,1958,R
139,137.,Jeff Kent (34),113,2002,R
140,137.,Bill Mazeroski+ (28),113,1965,R
141,137.,Jose Offerman (29),113,1998,R
142,137.,Brandon Phillips (26),113,2007,R
143,137.,Jody Reed (29),113,1992,R
144,137.,Jackie Robinson+ (33),113,1952,R
145,137.,Red Schoendienst+ (28),113,1951,R
146,137.,Red Schoendienst+ (34),113,1957,R
147,137.,Snuffy Stirnweiss (25),113,1944,R
148,149.,Frank Bolling (25),112,1957,R
149,149.,Frank Bolling (29),112,1961,R
150,149.,Horace Clarke (30),112,1969,R
151,149.,Alex Cora (27),112,2003,R
152,149.,Julio Cruz (28),112,1983,R
153,149.,Nellie Fox+ (23),112,1951,R
154,149.,Lonny Frey (32),112,1943,R
155,149.,Damaso Garcia (23),112,1980,R
156,149.,Bobby Grich (33),112,1982,R
157,149.,Placido Polanco (33),112,2009,R
158,149.,Willie Randolph (29),112,1984,R
159,149.,Dan Uggla (26),112,2006,R
160,149.,Davey Williams (26),112,1954,R
161,149.,Bump Wills (27),112,1980,R
162,163.,Brian Dozier (28),111,2015,R
163,163.,Damion Easley (29),111,1999,R
164,163.,Nellie Fox+ (24),111,1952,R
165,163.,Lonny Frey (29),111,1940,R
166,163.,Jim Gantner (31),111,1984,R
167,163.,Pedro Garcia (23),111,1973,R
168,163.,Charlie Gehringer+ (30),111,1933,R
169,163.,Dee Strange-Gordon (27),111,2015,R
170,163.,Bobby Grich (30),111,1979,R
171,163.,Mark Grudzielanek (36),111,2006,R
172,163.,Billy Herman+ (28),111,1938,R
173,163.,Glenn Hubbard (24),111,1982,R
174,163.,Jerry Remy (22),111,1975,R
175,163.,Harold Reynolds (25),111,1986,R
176,163.,Harold Reynolds (26),111,1987,R
177,163.,Harold Reynolds (27),111,1988,R
178,163.,Rennie Stennett (25),111,1976,R
179,163.,Dan Uggla (27),111,2007,R
180,163.,Emil Verban (31),111,1947,R
181,163.,Eric Young Sr. (30),111,1997,R
182,183.,Marty Barrett (27),110,1985,R
183,183.,Gordon Beckham (25),110,2012,R
184,183.,Rich Dauer (27),110,1980,R
185,183.,Brian Dozier (26),110,2013,R
186,183.,Chone Figgins (32),110,2010,R
187,183.,Nellie Fox+ (27),110,1955,R
188,183.,Charlie Gehringer+ (29),110,1932,R
189,183.,Joe Gordon+ (32),110,1947,R
190,183.,Billy Herman+ (26),110,1936,R
191,183.,Ski Melillo (32),110,1932,R
192,183.,Ski Melillo (33),110,1933,R
193,183.,Ski Melillo (34),110,1934,R
194,183.,Charlie Neal (28),110,1959,R
195,183.,Harold Reynolds (29),110,1990,R
196,183.,Harold Reynolds (32),110,1993,R
197,183.,Billy Ripken (23),110,1988,R
198,183.,Brian Roberts (29),110,2007,R
199,183.,Brian Roberts (30),110,2008,R
200,183.,Cookie Rojas (29),110,1968,R
201,183.,Gary Sutherland (24),110,1969,R
202,203.,Bernie Allen (23),109,1962,R
203,203.,Roberto Alomar+ (32),109,2000,R
204,203.,Sandy Alomar (25),109,1969,R
205,203.,Frank Bolling (26),109,1958,R
206,203.,Miguel Cairo (24),109,1998,R
207,203.,Bill Doran (25),109,1983,R
208,203.,Brian Dozier (30),109,2017,R
209,203.,Tito Fuentes (27),109,1971,R
210,203.,Joe Gordon+ (26),109,1941,R
211,203.,Billy Herman+ (25),109,1935,R
212,203.,Akinori Iwamura (29),109,2008,R
213,203.,Ian Kinsler (33),109,2015,R
214,203.,Ian Kinsler (34),109,2016,R
215,203.,Ray Mack (23),109,1940,R
216,203.,Ray Mack (24),109,1941,R
217,203.,Rabbit Maranville+ (32),109,1924,R
218,203.,Jace Peterson (25),109,2015,R
219,203.,Jody Reed (28),109,1991,R
220,203.,Harold Reynolds (28),109,1989,R
221,203.,Roy Schalk (35),109,1944,R
222,203.,Red Schoendienst+ (24),109,1947,R
223,203.,Red Schoendienst+ (30),109,1953,R
224,203.,Ted Sizemore (29),109,1974,R
225,203.,Fresco Thompson (26),109,1928,R
226,203.,Eric Young Sr. (29),109,1996,R
227,228.,Bobby Avila (31),108,1955,R
228,228.,Carlos Baerga (24),108,1993,R
229,228.,Marty Barrett (29),108,1987,R
230,228.,Craig Biggio+ (31),108,1997,R
231,228.,Bill Doran (27),108,1985,R
232,228.,Mark Grudzielanek (35),108,2005,R
233,228.,Irv Hall (26),108,1945,R
234,228.,Willie Randolph (22),108,1977,R
235,228.,Bobby Richardson (28),108,1964,R
236,228.,Yolmer Sanchez (27),108,2019,R
237,228.,Red Schoendienst+ (29),108,1952,R
238,228.,Wayne Terwilliger (28),108,1953,R
239,228.,Neil Walker (25),108,2011,R
240,241.,Jerry Adair (27),107,1964,R
241,241.,Roberto Alomar+ (28),107,1996,R
242,241.,Glenn Beckert (27),107,1968,R
243,241.,Jimmy Bloodworth (23),107,1941,R
244,241.,Frank Bolling (31),107,1963,R
245,241.,Bret Boone (34),107,2003,R
246,241.,Horace Clarke (34),107,1973,R
247,241.,Hughie Critz (25),107,1926,R
248,241.,Odell Hale (25),107,1934,R
249,241.,Bucky Harris+ (28),107,1925,R
250,241.,Tommy Helms (29),107,1970,R
251,241.,Bill Mazeroski+ (31),107,1968,R
252,241.,Ski Melillo (30),107,1930,R
253,241.,Pete Runnels (27),107,1955,R
254,241.,Steve Sax (31),107,1991,R
255,241.,Snuffy Stirnweiss (28),107,1947,R
256,241.,Burgess Whitehead (26),107,1936,R
257,241.,Kolten Wong (24),107,2015,R
258,259.,Bret Boone (26),106,1995,R
259,259.,Jose Castillo (25),106,2006,R
260,259.,Tom Herr (28),106,1984,R
261,259.,Johnny Hodapp (24),106,1930,R
262,259.,Rogers Hornsby+ (33),106,1929,R
263,259.,Davey Johnson (30),106,1973,R
264,259.,Kelly Johnson (28),106,2010,R
265,259.,Adam Kennedy (24),106,2000,R
266,259.,DJ LeMahieu (28),106,2017,R
267,259.,Joe Morgan+ (29),106,1973,R
268,259.,Jose Oquendo (25),106,1989,R
269,259.,Brian Roberts (31),106,2009,R
270,259.,Burgess Whitehead (27),106,1937,R
271,272.,Jose Altuve (24),105,2014,R
272,272.,Hughie Critz (29),105,1930,R
273,272.,Bobby Doerr+ (24),105,1942,R
274,272.,Tito Fuentes (31),105,1975,R
275,272.,Chuck Hiller (27),105,1962,R
276,272.,Billy Hitchcock (33),105,1950,R
277,272.,Jose Lopez (23),105,2007,R
278,272.,Jerry Lumpe (28),105,1961,R
279,272.,Ray Mack (25),105,1942,R
280,272.,Jerry Priddy (23),105,1943,R
281,272.,Jerry Priddy (26),105,1946,R
282,272.,Bobby Richardson (27),105,1963,R
283,272.,Red Schoendienst+ (26),105,1949,R
284,272.,Tony Taylor (23),105,1959,R
285,272.,Emil Verban (28),105,1944,R
286,287.,Marty Barrett (28),104,1986,R
287,287.,Don Blasingame (27),104,1959,R
288,287.,Robinson Cano (32),104,2015,R
289,287.,Horace Clarke (33),104,1972,R
290,287.,Mark Ellis (30),104,2007,R
291,287.,Frankie Frisch+ (29),104,1927,R
292,287.,Jim Gantner (29),104,1982,R
293,287.,Billy Gardner (31),104,1959,R
294,287.,Tommy Helms (32),104,1973,R
295,287.,Jeff Kent (29),104,1997,R
296,287.,Chuck Knoblauch (23),104,1992,R
297,287.,Duane Kuiper (27),104,1977,R
298,287.,Freddie Maguire (31),104,1930,R
299,287.,Willie Randolph (30),104,1985,R
300,287.,Jerry Remy (29),104,1982,R
301,287.,Jerry Remy (30),104,1983,R
302,287.,Freddy Sanchez (30),104,2008,R
303,287.,Ted Sizemore (32),104,1977,R
304,287.,Alfonso Soriano (28),104,2004,R
305,287.,Cotton Tierney (29),104,1923,R
306,287.,Randy Velarde (36),104,1999,R
307,287.,Fernando Vina (33),104,2002,R
308,287.,Tony Womack (28),104,1998,R
309,310.,Luis Alicea (29),103,1995,R
310,310.,Robinson Cano (25),103,2008,R
311,310.,Robinson Cano (31),103,2014,R
312,310.,Nellie Fox+ (26),103,1954,R
313,310.,Don Heffner (27),103,1938,R
314,310.,Tom Herr (31),103,1987,R
315,310.,Glenn Hubbard (25),103,1983,R
316,310.,Ken Hubbs (20),103,1962,R
317,310.,Davey Johnson (28),103,1971,R
318,310.,Ian Kinsler (29),103,2011,R
319,310.,Billy Moran (28),103,1962,R
320,310.,Johnny Ray (30),103,1987,R
321,310.,Bobby Richardson (24),103,1960,R
322,310.,Snuffy Stirnweiss (29),103,1948,R
323,310.,Tony Taylor (22),103,1958,R
324,310.,Fresco Thompson (27),103,1929,R
325,310.,Manny Trillo (24),103,1975,R
326,310.,Manny Trillo (25),103,1976,R
327,310.,Dan Uggla (32),103,2012,R
328,310.,Neil Walker (29),103,2015,R
329,310.,Lou Whitaker (22),103,1979,R
330,310.,Frank White (29),103,1980,R
331,310.,Kolten Wong (28),103,2019,R
332,333.,Roberto Alomar+ (31),102,1999,R
333,333.,Gene Baker (29),102,1954,R
334,333.,Miguel Cairo (25),102,1999,R
335,333.,Jerry Coleman (24),102,1949,R
336,333.,Damion Easley (28),102,1998,R
337,333.,Tito Fuentes (29),102,1973,R
338,333.,Pedro Garcia (24),102,1974,R
339,333.,Charlie Gehringer+ (34),102,1937,R
340,333.,Jim Gilliam (24),102,1953,R
341,333.,Bucky Harris+ (24),102,1921,R
342,333.,Don Heffner (29),102,1940,R
343,333.,Billy Herman+ (22),102,1932,R
344,333.,Cesar Hernandez (26),102,2016,R
345,333.,Rogers Hornsby+ (28),102,1924,R
346,333.,Bobby Knoop (31),102,1970,R
347,333.,Tony Lazzeri+ (25),102,1929,R
348,333.,Eddie Leon (23),102,1970,R
349,333.,Steve Lombardozzi (26),102,1986,R
350,333.,Felipe Lopez (29),102,2009,R
351,333.,Marty McManus (22),102,1922,R
352,333.,Warren Morris (25),102,1999,R
353,333.,Dustin Pedroia (29),102,2013,R
354,333.,Johnny Ray (26),102,1983,R
355,333.,Ryne Sandberg+ (24),102,1984,R
356,333.,Steve Sax (30),102,1990,R
357,333.,Chase Utley (29),102,2008,R
358,333.,Jose Vidro (25),102,2000,R
359,333.,Rickie Weeks (27),102,2010,R
360,333.,Davey Williams (24),102,1952,R
361,362.,Glenn Beckert (24),101,1965,R
362,362.,Julio Cruz (23),101,1978,R
363,362.,Danny Espinosa (24),101,2011,R
364,362.,Carlos Febles (23),101,1999,R
365,362.,Nellie Fox+ (25),101,1953,R
366,362.,Julio Franco (31),101,1990,R
367,362.,Frankie Frisch+ (26),101,1924,R
368,362.,Billy Gardner (32),101,1960,R
369,362.,Charlie Gehringer+ (25),101,1928,R
370,362.,Scooter Gennett (28),101,2018,R
371,362.,Bobby Grich (31),101,1980,R
372,362.,Davey Johnson (27),101,1970,R
373,362.,Ian Kinsler (32),101,2014,R
374,362.,Chuck Knoblauch (28),101,1997,R
375,362.,Mark Loretta (32),101,2004,R
376,362.,Bid McPhee+ (33),101,1893,R
377,362.,Buddy Myer (30),101,1934,R
378,362.,Dustin Pedroia (24),101,2008,R
379,362.,Placido Polanco (31),101,2007,R
380,362.,Alfonso Soriano (29),101,2005,R
381,362.,Eddie Stanky (29),101,1945,R
382,362.,Gary Sutherland (29),101,1974,R
383,362.,Tony Taylor (26),101,1962,R
384,362.,Robby Thompson (30),101,1992,R
385,362.,Manny Trillo (31),101,1982,R
386,362.,Lou Whitaker (28),101,1985,R
387,362.,Frank White (34),101,1985,R
388,389.,Sandy Alomar (27),100,1971,R
389,389.,Bobby Avila (30),100,1954,R
390,389.,Gordon Beckham (23),100,2010,R
391,389.,Bret Boone (29),100,1998,R
392,389.,Chuck Cottier (26),100,1962,R
393,389.,Ray Durham (27),100,1999,R
394,389.,Nellie Fox+ (22),100,1950,R
395,389.,Charlie Gehringer+ (31),100,1934,R
396,389.,Bucky Harris+ (27),100,1924,R
397,389.,Kelly Johnson (30),100,2012,R
398,389.,Ian Kinsler (27),100,2009,R
399,389.,Mark Lemke (27),100,1993,R
400,389.,Pete Mackanin (23),100,1975,R
401,389.,Bill Mazeroski+ (22),100,1959,R
402,389.,Joe Morgan+ (33),100,1977,R
403,389.,Ron Oester (29),100,1985,R
404,389.,Ron Oester (30),100,1986,R
405,389.,Dustin Pedroia (28),100,2012,R
406,389.,Brandon Phillips (28),100,2009,R
407,389.,Placido Polanco (32),100,2008,R
408,389.,Willie Randolph (27),100,1982,R
409,389.,Derrel Thomas (24),100,1975,R
410,389.,Fernando Vina (32),100,2001,R
411,389.,Bill Wambsganss (30),100,1924,R
412,413.,Jerry Adair (28),99,1965,R
413,413.,Carlos Baerga (26),99,1995,R
414,413.,Gene Baker (31),99,1956,R
415,413.,Luis Castillo (25),99,2001,R
416,413.,Luis Castillo (27),99,2003,R
417,413.,Bobby Doerr+ (33),99,1951,R
418,413.,Denny Doyle (30),99,1974,R
419,413.,Charlie Gehringer+ (32),99,1935,R
420,413.,Jim Gilliam (25),99,1954,R
421,413.,Bobby Grich (36),99,1985,R
422,413.,Tommy Helms (33),99,1974,R
423,413.,Orlando Hudson (25),99,2003,R
424,413.,Lou Klein (24),99,1943,R
425,413.,DJ LeMahieu (25),99,2014,R
426,413.,Jose Lopez (24),99,2008,R
427,413.,Mark Loretta (34),99,2006,R
428,413.,Jerry Lumpe (27),99,1960,R
429,413.,Kazuo Matsui (33),99,2009,R
430,413.,Felix Millan (29),99,1973,R
431,413.,Pete Runnels (32),99,1960,R
432,413.,Juan Samuel (26),99,1987,R
433,413.,Ryne Sandberg+ (25),99,1985,R
434,413.,Steve Sax (24),99,1984,R
435,413.,Robby Thompson (25),99,1987,R
436,413.,Manny Trillo (27),99,1978,R
437,413.,Mike Tyson (27),99,1977,R
438,413.,Lou Whitaker (30),99,1987,R
439,413.,Lou Whitaker (32),99,1989,R
440,413.,Frank White (31),99,1982,R
441,413.,Don Zimmer (30),99,1961,R
442,443.,Edgardo Alfonzo (25),98,1999,R
443,443.,Jamey Carroll (32),98,2006,R
444,443.,Julio Cruz (27),98,1982,R
445,443.,Brian Dozier (27),98,2014,R
446,443.,Damion Easley (30),98,2000,R
447,443.,Doug Flynn (28),98,1979,R
448,443.,Joe Gordon+ (23),98,1938,R
449,443.,Dick Green (30),98,1971,R
450,443.,Rogers Hornsby+ (31),98,1927,R
451,443.,Roy Hughes (25),98,1936,R
452,443.,Omar Infante (30),98,2012,R
453,443.,Spook Jacobs (28),98,1954,R
454,443.,Ian Kinsler (25),98,2007,R
455,443.,Chuck Knoblauch (24),98,1993,R
456,443.,Jed Lowrie (33),98,2017,R
457,443.,Ski Melillo (29),98,1929,R
458,443.,Billy Moran (29),98,1963,R
459,443.,Joe Morgan+ (26),98,1970,R
460,443.,Dave Nelson (29),98,1973,R
461,443.,Danny O'Connell (27),98,1956,R
462,443.,Dustin Pedroia (32),98,2016,R
463,443.,Johnny Ray (32),98,1989,R
464,443.,Brian Roberts (28),98,2006,R
465,443.,Rennie Stennett (24),98,1975,R
466,443.,Robby Thompson (29),98,1991,R
467,443.,Lou Whitaker (29),98,1986,R
468,443.,Lou Whitaker (33),98,1990,R
469,470.,Carlos Baerga (29),97,1998,R
470,470.,Marty Barrett (30),97,1988,R
471,470.,Ronnie Belliard (31),97,2006,R
472,470.,Don Blasingame (26),97,1958,R
473,470.,Robinson Cano (28),97,2011,R
474,470.,Robinson Cano (34),97,2017,R
475,470.,Matt Carpenter (27),97,2013,R
476,470.,Luis Castillo (28),97,2004,R
477,470.,Horace Clarke (32),97,1971,R
478,470.,Craig Counsell (34),97,2005,R
479,470.,Nellie Fox+ (33),97,1961,R
480,470.,Charlie Gehringer+ (27),97,1930,R
481,470.,Marcus Giles (27),97,2005,R
482,470.,Joe Gordon+ (33),97,1948,R
483,470.,Mark Grudzielanek (30),97,2000,R
484,470.,Granny Hamner (27),97,1954,R
485,470.,Josh Harrison (28),97,2016,R
486,470.,Billy Herman+ (27),97,1937,R
487,470.,Billy Herman+ (32),97,1942,R
488,470.,Tom Herr (26),97,1982,R
489,470.,Julian Javier (27),97,1964,R
490,470.,D'Angelo Jimenez (25),97,2003,R
491,470.,Jerry Lumpe (29),97,1962,R
492,470.,Gil McDougald (30),97,1958,R
493,470.,Buddy Myer (28),97,1932,R
494,470.,Rougned Odor (21),97,2015,R
495,470.,Willie Randolph (25),97,1980,R
496,470.,Fresco Thompson (25),97,1927,R
497,470.,Robby Thompson (24),97,1986,R
498,470.,Chase Utley (30),97,2009,R
499,470.,Jose Vizcaino (28),97,1996,R
