,Rank,Player (age that year),Range Factor/9Inn as LF (s.1948),Year,Throws
128,127.,Billy Sample (27),2.383,1982,R
129,130.,Monte Irvin+ (34),2.382,1953,R
130,131.,Billy Sample (28),2.380,1983,R
131,132.,Al Smith (26),2.379,1954,R
132,132.,Gus Zernial (27),2.379,1950,R
133,134.,Mel Hall (25),2.377,1986,L
134,135.,Jacque Jones (26),2.376,2001,L
135,135.,Luis Polonia (31),2.376,1995,L
136,137.,Mel Hall (31),2.375,1992,L
137,138.,Rickey Henderson+ (32),2.373,1991,L
138,139.,Rickey Henderson+ (39),2.372,1998,L
139,140.,Whitey Lockman (22),2.370,1949,R
140,140.,Roy White (31),2.370,1975,R
141,142.,Rickey Henderson+ (34),2.369,1993,L
142,142.,Vernon Wells (32),2.369,2011,R
143,144.,Hank Sauer (34),2.367,1951,R
144,145.,Marty Cordova (26),2.366,1996,R
145,145.,Marty Cordova (27),2.366,1997,R
146,147.,Rondell White (30),2.363,2002,R
147,148.,Harry Anderson (27),2.361,1959,R
148,148.,Dan Gladden (31),2.361,1989,R
149,148.,Roy Sievers (27),2.361,1954,R
150,151.,Larry Herndon (31),2.359,1985,R
151,152.,Bobby Higginson (26),2.357,1997,R
152,153.,Miguel Dilone (25),2.356,1980,R
153,154.,Jose Cruz (28),2.353,1976,L
154,155.,Al Bumbry (29),2.352,1976,R
155,155.,Eric Davis (31),2.352,1993,R
156,155.,Dale Mitchell (27),2.352,1949,L
157,158.,Jim Greengrass (25),2.349,1953,R
158,158.,Monte Irvin+ (35),2.349,1954,R
159,160.,Jerald Clark (28),2.348,1992,R
160,160.,Chad Curtis (29),2.348,1998,R
161,160.,Ben Oglivie (30),2.348,1979,L
162,163.,Geoff Jenkins (24),2.347,1999,R
163,164.,Lonnie Smith (30),2.345,1986,R
164,165.,Gene Clines (29),2.344,1976,R
165,165.,Shannon Stewart (26),2.344,2000,R
166,167.,Rusty Greer (27),2.342,1996,L
167,167.,Phil Plantier (24),2.342,1993,R
168,169.,Lonnie Smith (34),2.339,1990,R
169,170.,Brett Gardner (27),2.338,2011,L
170,171.,Carl Crawford (27),2.337,2009,L
171,172.,Joe Adcock (23),2.336,1951,R
172,172.,Lou Piniella (25),2.336,1969,R
173,174.,Jay Payton (34),2.330,2007,R
174,175.,Tyler O'Neill (25),2.329,2020,R
175,175.,Roy White (33),2.329,1977,R
176,177.,Jim Rice+ (33),2.328,1986,R
177,178.,Ron Gant (35),2.327,2000,R
178,178.,Shannon Stewart (29),2.327,2003,R
179,180.,Alex Johnson (31),2.326,1974,R
180,181.,Barry Bonds (23),2.325,1988,L
181,181.,Mitchell Page (25),2.325,1977,R
182,181.,Gus Zernial (30),2.325,1953,R
183,184.,Dale Mitchell (26),2.324,1948,L
184,185.,Phil Bradley (31),2.321,1990,R
185,185.,Bobby Higginson (29),2.321,2000,R
186,187.,Steve Henderson (27),2.320,1980,R
187,187.,Monte Irvin+ (32),2.320,1951,R
188,187.,Gene Woodling (29),2.320,1952,R
189,190.,Rocky Colavito (28),2.315,1962,R
190,191.,Cesar Tovar (30),2.312,1971,R
191,191.,Jim Wohlford (26),2.312,1977,R
192,193.,Willie Norwood (27),2.311,1978,R
193,193.,Mike Young (25),2.311,1985,R
194,195.,Bobby Higginson (31),2.308,2002,R
195,195.,Lonnie Smith (33),2.308,1989,R
196,197.,Jim Greengrass (26),2.307,1954,R
197,197.,Greg Vaughn (26),2.307,1992,R
198,199.,Jose Cruz (33),2.306,1981,L
199,200.,Hector Lopez (30),2.305,1960,R
200,201.,Johnny Damon (25),2.304,1999,L
201,201.,Jim Wynn (34),2.304,1976,R
202,203.,Kevin Mitchell (28),2.303,1990,R
203,204.,Gil Coan (30),2.302,1952,R
204,204.,Geoff Jenkins (32),2.302,2007,R
205,206.,Brett Butler (26),2.300,1983,L
206,206.,Eric Byrnes (31),2.300,2007,R
207,208.,George Foster (33),2.299,1982,R
208,209.,Mark McLemore (37),2.296,2002,R
209,210.,Lou Piniella (30),2.295,1974,R
210,211.,David DeJesus (29),2.294,2009,L
211,211.,Gary Redus (29),2.294,1986,R
212,211.,Clyde Vollmer (31),2.294,1953,R
213,214.,Barry Bonnell (28),2.293,1982,R
214,214.,John Lowenstein (27),2.293,1974,R
215,216.,Rudy Law (28),2.292,1985,L
216,217.,Carl Yastrzemski+ (37),2.291,1977,R
217,218.,Henry Rodriguez (30),2.289,1998,L
218,219.,Alex Gordon (30),2.288,2014,R
219,219.,Randy Winn (29),2.288,2003,R
220,221.,Jason Bay (30),2.286,2009,R
221,221.,Minnie Minoso (29),2.286,1955,R
222,221.,Justin Upton (29),2.286,2017,R
223,224.,Brian Giles (27),2.284,1998,L
224,224.,Billy Hatcher (28),2.284,1989,R
225,226.,Alex Gordon (27),2.283,2011,R
226,226.,Larry Herndon (28),2.283,1982,R
227,226.,Larry Herndon (29),2.283,1983,R
228,226.,Larry Herndon (32),2.283,1986,R
229,230.,Johnny Blatnik (27),2.281,1948,R
230,230.,Jose Cardenal (31),2.281,1975,R
231,230.,Jose Cruz (34),2.281,1982,L
232,230.,Sid Gordon (33),2.281,1951,R
233,230.,Enos Slaughter+ (32),2.281,1948,R
234,235.,Alfonso Soriano (30),2.280,2006,R
235,236.,Bernard Gilkey (29),2.279,1996,R
236,236.,Chris James (24),2.279,1987,R
237,236.,Charlie Maxwell (29),2.279,1956,L
238,236.,Luis Polonia (29),2.279,1993,L
239,240.,Barry Bonds (27),2.278,1992,L
240,240.,Carl Crawford (26),2.278,2008,L
241,240.,Warren Cromartie (25),2.278,1979,L
242,240.,David Peralta (31),2.278,2019,L
243,244.,Adam Dunn (23),2.276,2003,R
244,244.,John Lowenstein (35),2.276,1982,R
245,246.,Garret Anderson (25),2.274,1997,L
246,246.,John Briggs (30),2.274,1974,L
247,246.,Rob Deer (26),2.274,1987,R
248,249.,Brian Downing (31),2.271,1982,R
249,250.,Jeff Conine (38),2.270,2004,R
250,251.,Jacque Jones (28),2.267,2003,L
251,251.,Pete Rose (32),2.267,1973,R
252,251.,Hank Sauer (32),2.267,1949,R
253,254.,Jim Rice+ (25),2.266,1978,R
254,255.,Barry Bonds (26),2.265,1991,L
255,255.,Bob Nieman (29),2.265,1956,R
256,255.,Frank Robinson+ (22),2.265,1958,R
257,258.,Jose Tabata (21),2.264,2010,R
258,259.,Yoenis Céspedes (29),2.263,2015,R
259,259.,Hank Sauer (35),2.263,1952,R
260,261.,Andy Dirks (27),2.259,2013,L
261,261.,Kirk Gibson (31),2.259,1988,L
262,263.,Gary Roenicke (25),2.258,1980,R
263,264.,Jim Rice+ (31),2.257,1984,R
264,264.,Justin Upton (30),2.257,2018,R
265,264.,Ted Williams+ (30),2.257,1949,R
266,267.,Jim Rice+ (28),2.256,1981,R
267,268.,Kevin McReynolds (29),2.255,1989,R
268,269.,Ivan Calderon (29),2.254,1991,R
269,269.,Brian Downing (33),2.254,1984,R
270,269.,Bo Jackson (25),2.254,1988,R
271,269.,Jacque Jones (25),2.254,2000,L
272,269.,Gene Woodling (30),2.254,1953,R
273,274.,Minnie Minoso (33),2.253,1959,R
274,275.,Randy Bush (27),2.252,1986,L
275,275.,Trey Mancini (26),2.252,2018,R
276,275.,Gary Redus (30),2.252,1987,R
277,275.,Jim Rice+ (27),2.252,1980,R
278,279.,Tim Raines+ (34),2.249,1994,R
279,279.,Frank Robinson+ (20),2.249,1956,R
280,281.,Raul Ibanez (32),2.247,2004,R
281,281.,Dick Sisler (29),2.247,1950,R
282,283.,George Foster (28),2.245,1977,R
283,283.,Kirk Gibson (30),2.245,1987,L
284,283.,Bo Jackson (26),2.245,1989,R
285,283.,Mitchell Page (26),2.245,1978,R
286,287.,Alex Gordon (29),2.243,2013,R
287,287.,Pat Tabler (25),2.243,1983,R
288,287.,Brad Wilkerson (26),2.243,2003,L
289,290.,Shannon Stewart (24),2.242,1998,R
290,290.,Roy White (27),2.242,1971,R
291,290.,Dave Winfield+ (30),2.242,1982,R
292,293.,Juan Gonzalez (24),2.240,1994,R
293,294.,Rocky Colavito (27),2.239,1961,R
294,294.,Don Lenhardt (29),2.239,1952,R
295,296.,Jose Canseco (22),2.237,1987,R
296,296.,Roy White (25),2.237,1969,R
297,298.,Mel Hall (27),2.236,1988,L
298,298.,Candy Maldonado (29),2.236,1990,R
299,298.,Jim Wohlford (23),2.236,1974,R
300,301.,Carl Crawford (24),2.235,2006,L
301,301.,Carl Crawford (28),2.235,2010,L
302,301.,Juan Rivera (31),2.235,2010,R
303,304.,Gene Richards (28),2.234,1982,L
304,305.,Pete Incaviglia (26),2.233,1990,R
305,305.,Joe Rudi (31),2.233,1978,R
306,305.,Billy Sample (26),2.233,1981,R
307,305.,Gene Woodling (32),2.233,1955,R
308,309.,Ivan Calderon (28),2.231,1990,R
309,309.,Luis Gonzalez (26),2.231,1994,R
310,309.,Al Oliver (33),2.231,1980,L
311,309.,Norm Siebern (24),2.231,1958,R
312,313.,Chad Allen (24),2.230,1999,R
313,313.,Brady Anderson (30),2.230,1994,L
