,Rank,Player (age that year),Def. Games as 2B,Year,Throws
113,110.,Bret Boone (32),156,2001,R
114,110.,Horace Clarke (30),156,1969,R
115,110.,Horace Clarke (32),156,1971,R
116,110.,Eddie Collins+ (30),156,1917,R
117,110.,Brian Dozier (27),156,2014,R
118,110.,Hobe Ferris (29),156,1904,R
119,110.,Nellie Fox+ (31),156,1959,R
120,110.,Jerry Hairston (25),156,2001,R
121,110.,Billy Herman+ (29),156,1939,R
122,110.,Aaron Hill (27),156,2009,R
123,110.,Rogers Hornsby+ (33),156,1929,R
124,110.,Miller Huggins+ (29),156,1907,R
125,110.,Davey Johnson (30),156,1973,R
126,110.,Nap Lajoie+ (33),156,1908,R
127,110.,Jim Lefebvre (23),156,1965,R
128,110.,Jerry Lumpe (29),156,1962,R
129,110.,Jose Oquendo (25),156,1989,R
130,110.,Brandon Phillips (26),156,2007,R
131,110.,Claude Ritchey (30),156,1904,R
132,110.,Jackie Robinson+ (30),156,1949,R
133,110.,Ryne Sandberg+ (24),156,1984,R
134,110.,Alfonso Soriano (25),156,2001,R
135,110.,Manny Trillo (25),156,1976,R
136,110.,Chase Utley (27),156,2006,R
137,110.,Randy Velarde (36),156,1999,R
138,110.,Bill Wambsganss (30),156,1924,R
139,110.,Bump Wills (25),156,1978,R
140,141.,Roberto Alomar+ (32),155,2000,R
141,141.,Darwin Barney (26),155,2012,R
142,141.,Marty Barrett (27),155,1985,R
143,141.,Glenn Beckert (27),155,1968,R
144,141.,Craig Biggio+ (27),155,1993,R
145,141.,Craig Biggio+ (33),155,1999,R
146,141.,Eddie Collins+ (28),155,1915,R
147,141.,Eddie Collins+ (29),155,1916,R
148,141.,Hughie Critz (25),155,1926,R
149,141.,Bobby Doerr+ (25),155,1943,R
150,141.,Jimmy Dykes (24),155,1921,R
151,141.,Jack Farrell (21),155,1914,R
152,141.,Nellie Fox+ (26),155,1954,R
153,141.,Nellie Fox+ (29),155,1957,R
154,141.,Nellie Fox+ (30),155,1958,R
155,141.,Charlie Gehringer+ (30),155,1933,R
156,141.,Kid Gleason (38),155,1905,R
157,141.,Joe Gordon+ (25),155,1940,R
158,141.,Joe Gordon+ (32),155,1947,R
159,141.,Rogers Hornsby+ (31),155,1927,R
160,141.,Adam Kennedy (24),155,2000,R
161,141.,Steve Lombardozzi (26),155,1986,R
162,141.,Jerry Lumpe (30),155,1963,R
163,141.,Ryne Sandberg+ (29),155,1989,R
164,141.,Alfonso Soriano (26),155,2002,R
165,141.,Alfonso Soriano (27),155,2003,R
166,141.,Chase Utley (30),155,2009,R
167,141.,Emil Verban (29),155,1945,R
168,141.,Emil Verban (31),155,1947,R
169,141.,Woody Williams (31),155,1944,R
170,171.,Sandy Alomar (28),154,1972,R
171,171.,Gene Baker (30),154,1955,R
172,171.,David Bell (26),154,1999,R
173,171.,Craig Biggio+ (35),154,2001,R
174,171.,Don Blasingame (25),154,1957,R
175,171.,Frank Bolling (26),154,1958,R
176,171.,Robinson Cano (29),154,2012,R
177,171.,Eddie Collins+ (35),154,1922,R
178,171.,Tony Cuccinello (23),154,1931,R
179,171.,Tony Cuccinello (24),154,1932,R
180,171.,George Cutshaw (28),154,1915,R
181,171.,George Cutshaw (29),154,1916,R
182,171.,Delino DeShields (27),154,1996,R
183,171.,Nellie Fox+ (25),154,1953,R
184,171.,Nellie Fox+ (27),154,1955,R
185,171.,Nellie Fox+ (28),154,1956,R
186,171.,Nellie Fox+ (34),154,1962,R
187,171.,Jim Gantner (35),154,1988,R
188,171.,Charlie Gehringer+ (25),154,1928,R
189,171.,Charlie Gehringer+ (26),154,1929,R
190,171.,Charlie Gehringer+ (27),154,1930,R
191,171.,Charlie Gehringer+ (31),154,1934,R
192,171.,Charlie Gehringer+ (33),154,1936,R
193,171.,Bucky Harris+ (24),154,1921,R
194,171.,Bucky Harris+ (25),154,1922,R
195,171.,George Hausmann (29),154,1945,R
196,171.,Billy Herman+ (22),154,1932,R
197,171.,Billy Herman+ (25),154,1935,R
198,171.,Cesar Hernandez (28),154,2018,R
199,171.,Johnny Hodapp (24),154,1930,R
200,171.,Rogers Hornsby+ (26),154,1922,R
201,171.,Julian Javier (27),154,1964,R
202,171.,Don Johnson (32),154,1944,R
203,171.,Howie Kendrick (30),154,2014,R
204,171.,Jerry Kindall (27),154,1962,R
205,171.,Chuck Knoblauch (23),154,1992,R
206,171.,Chuck Knoblauch (28),154,1997,R
207,171.,Carl Lind (24),154,1928,R
208,171.,Mark Loretta (32),154,2004,R
209,171.,Marty McManus (25),154,1925,R
210,171.,Cass Michaels (23),154,1949,R
211,171.,Joe Morgan+ (29),154,1973,R
212,171.,Ron Oester (27),154,1983,R
213,171.,Dustin Pedroia (25),154,2009,R
214,171.,Tony Piet (25),154,1932,R
215,171.,Del Pratt (32),154,1920,R
216,171.,Del Pratt (34),154,1922,R
217,171.,Jerry Priddy (31),154,1951,R
218,171.,Jerry Remy (29),154,1982,R
219,171.,Brian Roberts (29),154,2007,R
220,171.,Brian Roberts (30),154,2008,R
221,171.,Connie Ryan (32),154,1952,R
222,171.,Ryne Sandberg+ (30),154,1990,R
223,171.,Steve Sax (26),154,1986,R
224,171.,Steve Sax (30),154,1990,R
225,171.,Rennie Stennett (23),154,1974,R
226,171.,Snuffy Stirnweiss (25),154,1944,R
227,171.,Johnny Temple (28),154,1956,R
228,171.,Todd Walker (29),154,2002,R
229,171.,Eric Young Sr. (30),154,1997,R
230,231.,Jerry Adair (27),153,1964,R
231,231.,Sandy Alomar (26),153,1970,R
232,231.,Jose Altuve (25),153,2015,R
233,231.,Glenn Beckert (24),153,1965,R
234,231.,Pug Bennett (32),153,1906,R
235,231.,Bret Boone (33),153,2002,R
236,231.,Dave Campbell (28),153,1970,R
237,231.,Robinson Cano (30),153,2013,R
238,231.,Dave Cash (29),153,1977,R
239,231.,Eddie Collins+ (23),153,1910,R
240,231.,Eddie Collins+ (25),153,1912,R
241,231.,Eddie Collins+ (33),153,1920,R
242,231.,Hughie Critz (27),153,1928,R
243,231.,George Cutshaw (27),153,1914,R
244,231.,Bill Doran (25),153,1983,R
245,231.,Ray Durham (25),153,1997,R
246,231.,Damion Easley (31),153,2001,R
247,231.,Mark Ellis (26),153,2003,R
248,231.,Johnny Evers+ (24),153,1906,R
249,231.,Frankie Frisch+ (29),153,1927,R
250,231.,Jim Gantner (31),153,1984,R
251,231.,Joe Gedeon (26),153,1920,R
252,231.,Dee Strange-Gordon (29),153,2017,R
253,231.,Bobby Grich (30),153,1979,R
254,231.,Billy Herman+ (23),153,1933,R
255,231.,Billy Herman+ (26),153,1936,R
256,231.,Billy Herman+ (32),153,1942,R
257,231.,Aaron Hill (30),153,2012,R
258,231.,John Hummel (27),153,1910,R
259,231.,Ian Kinsler (33),153,2015,R
260,231.,Mike Lansing (30),153,1998,R
261,231.,DJ LeMahieu (28),153,2017,R
262,231.,Jose Lind (24),153,1988,R
263,231.,Ray Mack (26),153,1943,R
264,231.,Marty McManus (22),153,1922,R
265,231.,Ski Melillo (32),153,1932,R
266,231.,Felix Millan (29),153,1973,R
267,231.,Bob Randall (28),153,1976,R
268,231.,Willie Randolph (24),153,1979,R
269,231.,Claude Ritchey (31),153,1905,R
270,231.,Ryne Sandberg+ (25),153,1985,R
271,231.,Ryne Sandberg+ (26),153,1986,R
272,231.,Ryne Sandberg+ (28),153,1988,R
273,231.,Ted Sizemore (30),153,1975,R
274,231.,Alfonso Soriano (29),153,2005,R
275,231.,Eddie Stanky (29),153,1945,R
276,231.,Bill Sweeney (26),153,1912,R
277,231.,Fresco Thompson (25),153,1927,R
278,231.,Manny Trillo (24),153,1975,R
279,231.,Jose Vidro (25),153,2000,R
280,231.,Bill Wambsganss (26),153,1920,R
281,231.,Burgess Whitehead (26),153,1936,R
282,231.,Frank White (29),153,1980,R
283,231.,Mickey Witek (27),153,1943,R
284,285.,Sparky Anderson+ (25),152,1959,R
285,285.,Glenn Beckert (25),152,1966,R
286,285.,Lou Bierbauer (26),152,1892,R
287,285.,Marv Breeding (26),152,1960,R
288,285.,Luis Castillo (27),152,2003,R
289,285.,Jerry Coleman (25),152,1950,R
290,285.,Eddie Collins+ (22),152,1909,R
291,285.,Eddie Collins+ (27),152,1914,R
292,285.,Hughie Critz (29),152,1930,R
293,285.,Brian Dozier (30),152,2017,R
294,285.,Dick Egan (27),152,1911,R
295,285.,Johnny Evers+ (22),152,1904,R
296,285.,Julio Franco (31),152,1990,R
297,285.,Tito Fuentes (27),152,1971,R
298,285.,Tito Fuentes (28),152,1972,R
299,285.,Charlie Gehringer+ (29),152,1932,R
300,285.,Charlie Gehringer+ (35),152,1938,R
301,285.,Kid Gleason (37),152,1904,R
302,285.,Joe Gordon+ (28),152,1943,R
303,285.,Granny Hamner (27),152,1954,R
304,285.,Tom Herr (30),152,1986,R
305,285.,Ken Hubbs (21),152,1963,R
306,285.,Roy Hughes (25),152,1936,R
307,285.,Akinori Iwamura (29),152,2008,R
308,285.,Jose Lind (26),152,1990,R
309,285.,Davey Lopes (34),152,1979,R
310,285.,Rabbit Maranville+ (32),152,1924,R
311,285.,Bill Mazeroski+ (21),152,1958,R
312,285.,Bill Mazeroski+ (24),152,1961,R
313,285.,Mickey Morandini (32),152,1998,R
314,285.,Jose Offerman (29),152,1998,R
315,285.,Dustin Pedroia (32),152,2016,R
316,285.,Brandon Phillips (29),152,2010,R
317,285.,Del Pratt (26),152,1914,R
318,285.,Jody Reed (28),152,1991,R
319,285.,Jerry Remy (24),152,1977,R
320,285.,Juan Samuel (27),152,1988,R
321,285.,Juan Samuel (30),152,1991,R
322,285.,Steve Sax (23),152,1983,R
323,285.,Steve Sax (27),152,1987,R
324,285.,Ted Sizemore (32),152,1977,R
325,285.,Snuffy Stirnweiss (26),152,1945,R
326,285.,Fresco Thompson (26),152,1928,R
327,285.,Dan Uggla (32),152,2012,R
328,285.,Jose Vidro (27),152,2002,R
329,285.,Aaron Ward (25),152,1922,R
330,285.,Aaron Ward (26),152,1923,R
331,285.,Rickie Weeks (29),152,2012,R
332,285.,Burgess Whitehead (27),152,1937,R
333,285.,Frank White (26),152,1977,R
334,285.,Frank White (36),152,1987,R
335,285.,Tony Womack (27),152,1997,R
336,285.,Tony Womack (28),152,1998,R
337,285.,Michael Young (25),152,2002,R
338,339.,Ronnie Belliard (25),151,2000,R
339,339.,Ronnie Belliard (29),151,2004,R
340,339.,Bret Boone (30),151,1999,R
341,339.,Jerry Browne (23),151,1989,R
342,339.,Joey Cora (28),151,1993,R
343,339.,Joey Cora (33),151,1998,R
344,339.,Hughie Critz (31),151,1932,R
345,339.,Julio Cruz (27),151,1982,R
346,339.,Tony Cuccinello (29),151,1937,R
347,339.,Bobby Doerr+ (22),151,1940,R
348,339.,Bobby Doerr+ (28),151,1946,R
349,339.,Larry Doyle (23),151,1910,R
350,339.,Brian Dozier (29),151,2016,R
351,339.,Ray Durham (28),151,2000,R
352,339.,Johnny Evers+ (25),151,1907,R
353,339.,Scott Fletcher (31),151,1990,R
354,339.,Nellie Fox+ (24),151,1952,R
355,339.,Julio Franco (29),151,1988,R
356,339.,Tito Fuentes (33),151,1977,R
357,339.,Billy Gardner (30),151,1958,R
358,339.,Phil Garner (31),151,1980,R
359,339.,Joe Gordon+ (24),151,1939,R
360,339.,Irv Hall (26),151,1945,R
361,339.,Billy Herman+ (28),151,1938,R
362,339.,Miller Huggins+ (32),151,1910,R
363,339.,Julian Javier (25),151,1962,R
364,339.,Ian Kinsler (34),151,2016,R
365,339.,Jason Kipnis (29),151,2016,R
366,339.,Otto Knabe (24),151,1908,R
367,339.,Chuck Knoblauch (27),151,1996,R
368,339.,Bobby Knoop (29),151,1968,R
369,339.,Jose Lind (25),151,1989,R
370,339.,Bill Mazeroski+ (23),151,1960,R
371,339.,Ski Melillo (31),151,1931,R
372,339.,Billy Moran (29),151,1963,R
373,339.,Joe Morgan+ (33),151,1977,R
374,339.,Danny Murphy (28),151,1905,R
375,339.,Buddy Myer (31),151,1935,R
376,339.,Charlie Neal (28),151,1959,R
377,339.,Ron Oester (30),151,1986,R
378,339.,Brandon Phillips (28),151,2009,R
379,339.,Brandon Phillips (32),151,2013,R
380,339.,Placido Polanco (33),151,2009,R
381,339.,Johnny Ray (26),151,1983,R
382,339.,Johnny Ray (28),151,1985,R
383,339.,Johnny Ray (29),151,1986,R
384,339.,Harold Reynolds (28),151,1989,R
385,339.,Claude Ritchey (32),151,1906,R
386,339.,Germany Schaefer (29),151,1905,R
387,339.,Daryl Spencer (30),151,1959,R
388,339.,Eddie Stanky (34),151,1950,R
389,339.,Dan Uggla (26),151,2006,R
390,339.,Fernando Vina (32),151,2001,R
391,339.,Frank White (35),151,1986,R
392,393.,Roberto Alomar+ (24),150,1992,R
393,393.,Roberto Alomar+ (25),150,1993,R
394,393.,Sandy Alomar (31),150,1975,R
395,393.,Carlos Baerga (24),150,1993,R
396,393.,Marty Barrett (30),150,1988,R
397,393.,Don Blasingame (27),150,1959,R
398,393.,Robinson Cano (31),150,2014,R
399,393.,Robinson Cano (34),150,2017,R
400,393.,Starlin Castro (26),150,2016,R
401,393.,Starlin Castro (28),150,2018,R
402,393.,Eddie Collins+ (37),150,1924,R
403,393.,Tony Cuccinello (28),150,1936,R
404,393.,Ray Durham (24),150,1996,R
405,393.,Ray Durham (29),150,2001,R
406,393.,Mark Ellis (30),150,2007,R
407,393.,Lonny Frey (29),150,1940,R
408,393.,George Grantham (23),150,1923,R
409,393.,Bobby Grich (26),150,1975,R
410,393.,Jeff Kent (32),150,2000,R
411,393.,Chuck Knoblauch (30),150,1999,R
412,393.,Mark Lemke (27),150,1993,R
413,393.,Jose Lopez (22),150,2006,R
414,393.,Mark Loretta (31),150,2003,R
415,393.,Dots Miller (22),150,1909,R
416,393.,Danny Murphy (27),150,1904,R
417,393.,Daniel Murphy (28),150,2013,R
418,393.,Jose Oquendo (26),150,1990,R
419,393.,Jack Perconte (29),150,1984,R
420,393.,Bobby Richardson (27),150,1963,R
421,393.,Luis Rivas (21),150,2001,R
422,393.,Brian Roberts (26),150,2004,R
423,393.,Jackie Robinson+ (32),150,1951,R
424,393.,Cookie Rojas (29),150,1968,R
425,393.,Connie Ryan (27),150,1947,R
426,393.,Tony Taylor (26),150,1962,R
427,393.,Tony Taylor (28),150,1964,R
428,393.,Fernando Vina (33),150,2002,R
429,393.,Lou Whitaker (28),150,1985,R
430,393.,Bump Wills (24),150,1977,R
431,393.,Eric Young Sr. (33),150,2000,R
432,393.,Ralph Young (31),150,1920,R
433,434.,Jose Altuve (27),149,2017,R
434,434.,Bobby Avila (28),149,1952,R
435,434.,Gordon Beckham (24),149,2011,R
436,434.,Gordon Beckham (25),149,2012,R
437,434.,Juan Bonilla (27),149,1983,R
438,434.,Robinson Cano (32),149,2015,R
439,434.,Mike Champion (22),149,1977,R
440,434.,Bobby Doerr+ (32),149,1950,R
441,434.,Dick Egan (28),149,1912,R
442,434.,Nellie Fox+ (32),149,1960,R
443,434.,Damaso Garcia (27),149,1984,R
444,434.,Charlie Gehringer+ (32),149,1935,R
445,434.,Marcus Giles (27),149,2005,R
446,434.,Jim Gilliam (24),149,1953,R
447,434.,Tommy Helms (30),149,1971,R
448,434.,Cesar Hernandez (26),149,2016,R
449,434.,Rogers Hornsby+ (24),149,1920,R
450,434.,Miller Huggins+ (27),149,1905,R
451,434.,Davey Johnson (27),149,1970,R
452,434.,Kelly Johnson (28),149,2010,R
453,434.,Jeff Kent (34),149,2002,R
454,434.,Chuck Knoblauch (29),149,1998,R
455,434.,Al Kozar (26),149,1948,R
456,434.,Duane Kuiper (28),149,1978,R
457,434.,Nap Lajoie+ (35),149,1910,R
458,434.,Tony Lazzeri+ (22),149,1926,R
459,434.,DJ LeMahieu (26),149,2015,R
460,434.,Jose Lind (27),149,1991,R
461,434.,Rabbit Maranville+ (40),149,1932,R
462,434.,Yoan Moncada (23),149,2018,R
463,434.,Joe Morgan+ (28),149,1972,R
464,434.,Ron Oester (29),149,1985,R
465,434.,Johnny Ray (27),149,1984,R
466,434.,Billy Ripken (23),149,1988,R
467,434.,Yolmer Sanchez (27),149,2019,R
468,434.,Steve Sax (22),149,1982,R
469,434.,Steve Sax (31),149,1991,R
470,434.,Red Schoendienst+ (34),149,1957,R
471,434.,Freddy Spurgeon (24),149,1926,R
472,434.,Tony Taylor (23),149,1959,R
473,434.,Tony Taylor (27),149,1963,R
474,434.,Johnny Temple (27),149,1955,R
475,434.,Johnny Temple (31),149,1959,R
476,434.,Robby Thompson (24),149,1986,R
477,434.,Manny Trillo (26),149,1977,R
478,434.,Manny Trillo (27),149,1978,R
479,434.,Manny Trillo (31),149,1982,R
480,434.,Lou Whitaker (25),149,1982,R
481,434.,Frank White (34),149,1985,R
482,434.,Bobby Young (27),149,1952,R
483,434.,Pep Young (30),149,1938,R
484,485.,Jose Altuve (26),148,2016,R
485,485.,Mike Andrews (26),148,1970,R
486,485.,Jay Bell (33),148,1999,R
487,485.,Frank Bolling (29),148,1961,R
488,485.,Bret Boone (35),148,2004,R
489,485.,Miguel Cairo (24),148,1998,R
490,485.,Rod Carew+ (28),148,1974,R
491,485.,Luis Castillo (28),148,2004,R
492,485.,Eddie Collins+ (26),148,1913,R
493,485.,Delino DeShields (22),148,1991,R
494,485.,Brian Dozier (31),148,2018,R
495,485.,Ray Durham (27),148,1999,R
496,485.,Doug Flynn (28),148,1979,R
497,485.,Billy Gardner (29),148,1957,R
498,485.,Jim Gilliam (28),148,1957,R
499,485.,Mark Grudzielanek (30),148,2000,R
