,Rank,Player (age that year),Offensive Win %,Year,Bats
440,440.,Jeff Burroughs (27),.786,1978,R
441,440.,Miguel Cabrera (27),.786,2010,R
442,440.,Sam Crawford+ (22),.786,1902,L
443,440.,Ed Delahanty+ (29),.786,1897,R
444,440.,Jim O'Rourke+ (28),.786,1879,R
445,440.,Pete Reiser (22),.786,1941,L
446,440.,Duke Snider+ (26),.786,1953,L
447,440.,Mike Trout (20),.786,2012,R
448,449.,Ellis Burks (31),.785,1996,R
449,449.,Harry Davis (30),.785,1904,R
450,449.,Lou Gehrig+ (30),.785,1933,L
451,449.,Guy Hecker (30),.785,1886,R
452,449.,Jim Hickman (33),.785,1970,R
453,449.,Ted Kluszewski (29),.785,1954,L
454,449.,Rusty Staub (25),.785,1969,L
455,449.,Harry Stovey (28),.785,1885,R
456,457.,Sam Crawford+ (28),.784,1908,L
457,457.,Mike Donlin (30),.784,1908,L
458,457.,Tony Gwynn+ (34),.784,1994,L
459,457.,Chick Hafey+ (28),.784,1931,R
460,457.,Rickey Henderson+ (26),.784,1985,R
461,457.,Babe Herman (26),.784,1929,L
462,457.,Charley Jones (32),.784,1884,R
463,457.,Willie Mays+ (40),.784,1971,R
464,457.,John Olerud (29),.784,1998,L
465,457.,Christian Yelich (26),.784,2018,L
466,467.,Barry Bonds (33),.783,1998,L
467,467.,Eddie Collins+ (24),.783,1911,L
468,467.,Mike Donlin (26),.783,1904,L
469,467.,Andres Galarraga (32),.783,1993,R
470,467.,Al Kaline+ (31),.783,1966,R
471,467.,Joe Kelley+ (22),.783,1894,R
472,467.,Chuck Klein+ (26),.783,1931,L
473,467.,Denny Lyons (21),.783,1887,R
474,467.,Eddie Mathews+ (23),.783,1955,L
475,467.,John Mayberry (23),.783,1972,L
476,467.,Manny Ramirez (36),.783,2008,R
477,467.,Pete Rose (28),.783,1969,B
478,467.,Orator Shafer (26),.783,1878,L
479,467.,Enos Slaughter+ (26),.783,1942,L
480,467.,Bill Terry+ (31),.783,1930,L
481,482.,Hank Aaron+ (35),.782,1969,R
482,482.,Cap Anson+ (24),.782,1876,R
483,482.,J.D. Drew (28),.782,2004,L
484,482.,Tony Gwynn+ (27),.782,1987,L
485,482.,Tim Raines+ (26),.782,1986,B
486,482.,Tim Raines+ (27),.782,1987,B
487,482.,Babe Ruth+ (38),.782,1933,L
488,482.,Mike Tiernan (22),.782,1889,L
489,482.,Ted Williams+ (21),.782,1940,L
490,491.,Home Run Baker+ (26),.781,1912,L
491,491.,Barry Bonds (25),.781,1990,L
492,491.,Sam Crawford+ (34),.781,1914,L
493,491.,Eric Davis (25),.781,1987,R
494,491.,Hank Greenberg+ (24),.781,1935,R
495,491.,Chipper Jones+ (27),.781,1999,B
496,491.,Aaron Judge (25),.781,2017,R
497,491.,Johnny Mize+ (28),.781,1941,L
498,491.,Bill Nicholson (28),.781,1943,L
499,491.,Mel Ott+ (33),.781,1942,L
500,491.,Paul Waner+ (33),.781,1936,L
