,Rank,Player (age that year),Assists as 1B,Year,Throws
84,85.,George Sisler+ (32),131,1925,L
85,85.,George Sisler+ (34),131,1927,L
86,85.,Willie Upshaw (29),131,1986,L
87,88.,Adrian Gonzalez (26),130,2008,L
88,88.,Derrek Lee (28),130,2004,R
89,88.,Carlos Pena (29),130,2007,L
90,88.,Vic Power (27),130,1955,R
91,88.,Richie Sexson (28),130,2003,R
92,93.,Jeff Bagwell+ (27),129,1995,R
93,93.,Dolph Camilli (32),129,1939,L
94,93.,Richie Sexson (26),129,2001,R
95,96.,Jeff Bagwell+ (30),128,1998,R
96,96.,Donn Clendenon (32),128,1968,R
97,96.,Babe Dahlgren (32),128,1944,R
98,96.,John Jaha (27),128,1993,R
99,96.,Eddie Murray+ (35),128,1991,R
100,96.,Bob Robertson (24),128,1971,R
101,96.,Bill Terry+ (31),128,1930,L
102,96.,Joey Votto (26),128,2010,R
103,104.,Sid Bream (26),127,1987,L
104,104.,Norm Cash (27),127,1961,L
105,104.,Walt Dropo (30),127,1953,R
106,104.,Tito Francona (28),127,1962,L
107,104.,Adrian Gonzalez (28),127,2010,L
108,104.,Norm Siebern (28),127,1962,R
109,104.,Willie Upshaw (30),127,1987,L
110,111.,Elbie Fletcher (22),126,1938,L
111,111.,Mark Grace (25),126,1989,L
112,111.,Gil Hodges (27),126,1951,R
113,111.,Eric Karros (24),126,1992,R
114,111.,Eric Karros (31),126,1999,R
115,111.,Fred McGriff (26),126,1990,L
116,111.,Anthony Rizzo (25),126,2015,L
117,111.,Phil Todt (24),126,1926,L
118,119.,Ed Bouchee (24),125,1957,L
119,119.,Jack Burns (23),125,1931,L
120,119.,Adrian Gonzalez (29),125,2011,L
121,119.,John Olerud (34),125,2003,L
122,119.,Wes Parker (30),125,1970,L
123,119.,Anthony Rizzo (26),125,2016,L
124,119.,George Sisler+ (29),125,1922,L
125,126.,Steve Bilko (24),124,1953,R
126,126.,Bill Buckner (29),124,1979,L
127,126.,Ferris Fain (29),124,1950,L
128,126.,Don Mattingly (23),124,1984,L
129,126.,Fred McGriff (32),124,1996,L
130,126.,George McQuinn (30),124,1940,L
131,126.,Rafael Palmeiro (33),124,1998,L
132,126.,Albert Pujols (27),124,2007,R
133,134.,Rico Brogna (29),123,1999,L
134,134.,Paul Goldschmidt (27),123,2015,R
135,134.,Charlie Grimm (33),123,1932,L
136,134.,Mike Hargrove (32),123,1982,L
137,134.,Anthony Rizzo (29),123,2019,L
138,134.,Pete Rose (39),123,1980,R
139,134.,Pete Rose (41),123,1982,R
140,141.,Ferris Fain (28),122,1949,L
141,141.,Mark Grace (34),122,1998,L
142,141.,Rhys Hoskins (26),122,2019,R
143,141.,Eric Hosmer (23),122,2013,L
144,141.,Ed Konetchy (22),122,1908,R
145,141.,Adam LaRoche (30),122,2010,L
146,141.,Derrek Lee (29),122,2005,R
147,141.,J.T. Snow (31),122,1999,L
148,149.,Rod Carew+ (31),121,1977,R
149,149.,Charlie Carr (27),121,1904,R
150,149.,Gordy Coleman (26),121,1961,R
151,149.,Jim Gentile (28),121,1962,L
152,149.,Buddy Hassett (24),121,1936,L
153,149.,Eric Karros (28),121,1996,R
154,149.,Eric Karros (29),121,1997,R
155,149.,Derrek Lee (26),121,2002,R
156,149.,James Loney (24),121,2008,L
157,149.,John Olerud (32),121,2001,L
158,149.,Joe Pepitone (23),121,1964,L
159,160.,Jeff Bagwell+ (26),120,1994,R
160,160.,Ferris Fain (27),120,1948,L
161,160.,Andres Galarraga (34),120,1995,R
162,160.,Mark Grace (33),120,1997,L
163,160.,Hank Greenberg+ (27),120,1938,R
164,160.,Todd Helton (27),120,2001,L
165,160.,Todd Helton (31),120,2005,L
166,160.,Pete O'Brien (25),120,1983,L
167,160.,John Olerud (28),120,1997,L
168,160.,Richie Sexson (30),120,2005,R
169,160.,George Sisler+ (26),120,1919,L
170,160.,Perry Werden (35),120,1897,R
171,172.,Rico Brogna (27),119,1997,L
172,172.,Will Clark (26),119,1990,L
173,172.,Donn Clendenon (29),119,1965,R
174,172.,Dee Fondy (29),119,1954,L
175,172.,Rafael Palmeiro (24),119,1989,L
176,172.,Rafael Palmeiro (30),119,1995,L
177,172.,Rafael Palmeiro (31),119,1996,L
178,172.,Richie Sexson (27),119,2002,R
179,172.,Earl Sheely (28),119,1921,R
180,172.,Dick Siebert (28),119,1940,L
181,182.,Donn Clendenon (27),118,1963,R
182,182.,Cecil Cooper (27),118,1977,L
183,182.,Jiggs Donahue (26),118,1906,L
184,182.,Elbie Fletcher (25),118,1941,L
185,182.,Elbie Fletcher (26),118,1942,L
186,182.,Adrian Gonzalez (32),118,2014,L
187,182.,Buddy Hassett (30),118,1942,L
188,182.,Wally Joyner (33),118,1995,L
189,182.,Eric Karros (26),118,1994,R
190,182.,Tony Lupien (26),118,1943,L
191,182.,Frank McCormick (34),118,1945,R
192,182.,Johnny Mize+ (34),118,1947,R
193,182.,Al Oliver (36),118,1983,L
194,182.,Anthony Rizzo (24),118,2014,L
195,182.,George Scott (29),118,1973,R
196,182.,Fred Tenney (34),118,1906,L
197,182.,Joey Votto (35),118,2019,R
198,182.,Bob Watson (31),118,1977,R
199,200.,Andres Galarraga (36),117,1997,R
200,200.,Fred Merkle (22),117,1911,R
201,200.,Fred Tenney (36),117,1908,L
202,200.,Willie Upshaw (26),117,1983,L
203,204.,Jeff Bagwell+ (32),116,2000,R
204,204.,Lance Berkman (33),116,2009,L
205,204.,Norm Cash (28),116,1962,L
206,204.,Jimmie Foxx+ (30),116,1938,R
207,204.,Freddie Freeman (24),116,2014,R
208,204.,Andres Galarraga (35),116,1996,R
209,204.,Paul Goldschmidt (28),116,2016,R
210,204.,Adrian Gonzalez (24),116,2006,L
211,204.,Adrian Gonzalez (33),116,2015,L
212,204.,Mike Hargrove (28),116,1978,L
213,204.,Buddy Hassett (25),116,1937,L
214,204.,Gil Hodges (28),116,1952,R
215,204.,Tom Jones (32),116,1906,R
216,204.,Derrek Lee (34),116,2010,R
217,204.,Don Mattingly (31),116,1992,L
218,204.,George McQuinn (29),116,1939,L
219,204.,John Olerud (29),116,1998,L
220,204.,David Segui (31),116,1998,L
221,204.,Joey Votto (28),116,2012,R
222,204.,Rudy York (32),116,1946,R
223,224.,Dee Fondy (28),115,1953,L
224,224.,Mike Hargrove (33),115,1983,L
225,224.,Keith Hernandez (26),115,1980,L
226,224.,Gil Hodges (33),115,1957,R
227,224.,High Pockets Kelly+ (25),115,1921,R
228,224.,Fred McGriff (25),115,1989,L
229,224.,Pete O'Brien (28),115,1986,L
230,224.,Mickey Rocco (29),115,1945,L
231,224.,George Scott (33),115,1977,R
232,224.,Bill Skowron (29),115,1960,R
233,224.,Fred Tenney (32),115,1904,L
234,224.,Mickey Vernon (34),115,1952,L
235,236.,Bruce Bochte (28),114,1979,L
236,236.,Norm Cash (32),114,1966,L
237,236.,Chris Chambliss (24),114,1973,R
238,236.,Jiggs Donahue (25),114,1905,L
239,236.,Darrell Evans (38),114,1985,R
240,236.,Mark Grace (31),114,1995,L
241,236.,Kent Hrbek (25),114,1985,R
242,236.,Don Hurst (27),114,1933,L
243,236.,Derrek Lee (22),114,1998,R
244,236.,Derrek Lee (25),114,2001,R
245,236.,Mark McGwire (25),114,1989,R
246,236.,Eddie Murray+ (27),114,1983,R
247,236.,Pete O'Brien (31),114,1989,L
248,236.,Albert Pujols (24),114,2004,R
249,236.,George Scott (30),114,1974,R
250,251.,Jeff Bagwell+ (25),113,1993,R
251,251.,Glenn Davis (28),113,1989,R
252,251.,Ferris Fain (30),113,1951,L
253,251.,Mike Hegan (27),113,1970,L
254,251.,Todd Helton (28),113,2002,L
255,251.,Eddie Murray+ (34),113,1990,R
256,251.,Lyle Overbay (27),113,2004,L
257,251.,Fred Tenney (35),113,1907,L
258,251.,Mickey Vernon (30),113,1948,L
259,251.,Rudy York (31),113,1945,R
260,261.,Pete Alonso (24),112,2019,R
261,261.,Jeff Bagwell+ (34),112,2002,R
262,261.,Jeff Bagwell+ (35),112,2003,R
263,261.,Norm Cash (33),112,1967,L
264,261.,Orlando Cepeda+ (32),112,1970,R
265,261.,Glenn Davis (26),112,1987,R
266,261.,Jimmie Foxx+ (33),112,1941,R
267,261.,Steve Garvey (31),112,1980,R
268,261.,Mark Grace (29),112,1993,L
269,261.,Tim Harkness (25),112,1963,L
270,261.,Buddy Hassett (27),112,1939,L
271,261.,Don Hurst (23),112,1929,L
272,261.,Rafael Palmeiro (32),112,1997,L
273,261.,George Scott (22),112,1966,R
274,261.,George Sisler+ (31),112,1924,L
275,261.,Jim Spencer (28),112,1976,L
276,261.,Phil Todt (25),112,1927,L
277,261.,Todd Zeile (35),112,2001,R
278,279.,Charlie Carr (26),111,1903,R
279,279.,Chris Chambliss (29),111,1978,R
280,279.,Will Clark (25),111,1989,L
281,279.,Ripper Collins (34),111,1938,L
282,279.,Glenn Davis (25),111,1986,R
283,279.,Cecil Fielder (26),111,1990,R
284,279.,Steve Garvey (33),111,1982,R
285,279.,Paul Goldschmidt (31),111,2019,R
286,279.,Whitey Lockman (25),111,1952,R
287,279.,Johnny Mize+ (35),111,1948,R
288,279.,Justin Morneau (25),111,2006,R
289,279.,Eddie Murray+ (37),111,1993,R
290,279.,Dick Siebert (31),111,1943,L
291,279.,George Sisler+ (36),111,1929,L
292,279.,Bill Terry+ (30),111,1929,L
293,279.,Bill White (22),111,1956,L
294,295.,George Burns (31),110,1924,R
295,295.,Will Clark (27),110,1991,L
296,295.,Ripper Collins (30),110,1934,L
297,295.,Jim Gentile (29),110,1963,L
298,295.,Paul Goldschmidt (30),110,2018,R
299,295.,Mike Hargrove (26),110,1976,L
300,295.,Eric Karros (30),110,1998,R
301,295.,Derrek Lee (32),110,2008,R
302,295.,Tommy McCraw (26),110,1967,L
303,295.,Kevin Millar (36),110,2008,R
304,295.,Tony Perez+ (35),110,1977,R
305,295.,Vic Power (31),110,1959,R
306,295.,Albert Pujols (26),110,2006,R
307,295.,Dave Revering (25),110,1978,R
308,295.,Richie Sexson (31),110,2006,R
309,295.,Earl Torgeson (26),110,1950,L
310,295.,Rudy York (27),110,1941,R
311,312.,Greg Brock (30),109,1987,R
312,312.,Chris Chambliss (27),109,1976,R
313,312.,Pancho Herrera (26),109,1960,R
314,312.,Eric Karros (27),109,1995,R
315,312.,Lee May (27),109,1970,R
316,312.,George McQuinn (31),109,1941,L
317,312.,Dan Meyer (24),109,1977,R
318,312.,Daniel Murphy (34),109,2019,R
319,312.,Wally Pipp (24),109,1917,L
320,312.,George Scott (31),109,1975,R
321,312.,George Stovall (31),109,1909,R
322,312.,Bill White (31),109,1965,L
323,312.,Bill White (32),109,1966,L
324,325.,Rod Carew+ (30),108,1976,R
325,325.,Darrell Evans (39),108,1986,R
326,325.,Cecil Fielder (30),108,1994,R
327,325.,Elbie Fletcher (21),108,1937,L
328,325.,Elbie Fletcher (27),108,1943,L
329,325.,Casey Kotchman (29),108,2012,L
330,325.,Joe Kuhel (35),108,1941,L
331,325.,Adam LaRoche (29),108,2009,L
332,325.,Fred Luderus (33),108,1919,R
333,325.,Fred McGriff (28),108,1992,L
334,325.,George Sisler+ (28),108,1921,L
335,325.,J.T. Snow (29),108,1997,L
336,337.,Jeff Bagwell+ (31),107,1999,R
337,337.,Lu Blue (31),107,1928,L
338,337.,Zeke Bonura (27),107,1936,R
339,337.,Leon Durham (27),107,1985,L
340,337.,Nick Esasky (29),107,1989,R
341,337.,Dee Fondy (30),107,1955,L
342,337.,Lew Fonseca (30),107,1929,R
343,337.,Freddie Freeman (23),107,2013,R
344,337.,Freddie Freeman (26),107,2016,R
345,337.,Mark Grace (32),107,1996,L
346,337.,Keith Hernandez (22),107,1976,L
347,337.,Garrett Jones (33),107,2014,L
348,337.,Willie Montanez (28),107,1976,L
349,337.,Eddie Murray+ (23),107,1979,R
350,337.,George Scott (32),107,1976,R
351,337.,Earl Torgeson (27),107,1951,L
352,337.,Joey Votto (32),107,2016,R
353,337.,Rudy York (26),107,1940,R
354,337.,Rudy York (30),107,1944,R
355,337.,Rudy York (33),107,1947,R
356,357.,Jeff Bagwell+ (23),106,1991,R
357,357.,Ernie Banks+ (31),106,1962,R
358,357.,Greg Brock (26),106,1983,R
359,357.,Chris Chambliss (26),106,1975,R
360,357.,Frank Chance+ (27),106,1904,R
361,357.,Nate Colbert (25),106,1971,R
362,357.,Cecil Cooper (30),106,1980,L
363,357.,Nick Etten (30),106,1944,L
364,357.,Ferris Fain (32),106,1953,L
365,357.,Elbie Fletcher (30),106,1946,L
366,357.,Jimmie Foxx+ (29),106,1937,R
367,357.,Keith Hernandez (23),106,1977,L
368,357.,Eric Hosmer (28),106,2018,L
369,357.,Eric Hosmer (29),106,2019,L
370,357.,Eric Karros (34),106,2002,R
371,357.,Joe Kuhel (37),106,1943,L
372,357.,Tino Martinez (31),106,1999,R
373,357.,Lee May (32),106,1975,R
374,357.,Eddie Murray+ (22),106,1978,R
375,357.,Eddie Murray+ (32),106,1988,R
376,357.,Carlos Pena (30),106,2008,L
377,357.,Gerald Perry (27),106,1988,R
378,357.,Wally Pipp (31),106,1924,L
379,357.,Dick Siebert (29),106,1941,L
380,357.,Andre Thornton (28),106,1978,R
381,382.,Dan Brouthers+ (34),105,1892,L
382,382.,Miguel Cabrera (26),105,2009,R
383,382.,Rod Carew+ (32),105,1978,R
384,382.,Will Clark (28),105,1992,L
385,382.,Ike Davis (23),105,2010,L
386,382.,Carlos Delgado (36),105,2008,R
387,382.,Prince Fielder (28),105,2012,R
388,382.,Chick Gandil (28),105,1916,R
389,382.,Gil Hodges (31),105,1955,R
390,382.,Tom Jones (31),105,1905,R
391,382.,Tino Martinez (29),105,1997,R
392,382.,John Mayberry (27),105,1976,L
393,382.,George McQuinn (32),105,1942,L
394,382.,George McQuinn (35),105,1945,L
395,382.,Pete O'Brien (26),105,1984,L
396,382.,John Olerud (30),105,1999,L
397,382.,Mike Sweeney (28),105,2002,R
398,382.,Fred Tenney (30),105,1902,L
399,382.,Bill Terry+ (28),105,1927,L
400,382.,Bill Terry+ (32),105,1931,L
401,382.,Bill Terry+ (35),105,1934,L
402,382.,Jason Thompson (27),105,1982,L
403,382.,Mickey Vernon (29),105,1947,L
404,382.,Bill White (29),105,1963,L
405,406.,Joe Adcock (32),104,1960,R
406,406.,Sid Bream (29),104,1990,L
407,406.,George Burns (25),104,1918,R
408,406.,Will Clark (24),104,1988,L
409,406.,Jeff Conine (31),104,1997,R
410,406.,Ron Fairly (32),104,1971,L
411,406.,Elbie Fletcher (24),104,1940,L
412,406.,Todd Helton (37),104,2011,L
413,406.,Kent Hrbek (26),104,1986,R
414,406.,Don Hurst (25),104,1931,L
415,406.,Jake Jones (26),104,1947,R
416,406.,Carlos Lee (36),104,2012,R
417,406.,Fred Luderus (26),104,1912,R
418,406.,Willie Montanez (30),104,1978,L
419,406.,Pete Runnels (34),104,1962,R
420,406.,Dick Siebert (30),104,1942,L
421,406.,Dick Stuart (31),104,1964,R
422,406.,Harry Swacina (32),104,1914,R
423,406.,Willie Upshaw (28),104,1985,L
424,406.,Bill White (27),104,1961,L
425,426.,Doug Ault (27),103,1977,L
426,426.,Lance Berkman (31),103,2007,L
427,426.,Curt Blefary (25),103,1969,R
428,426.,Dick Burrus (28),103,1926,L
429,426.,Miguel Cabrera (28),103,2011,R
430,426.,Will Clark (23),103,1987,L
431,426.,Nate Colbert (26),103,1972,R
432,426.,Alvin Davis (24),103,1985,R
433,426.,Glenn Davis (27),103,1988,R
434,426.,Harry Davis (33),103,1907,R
435,426.,Carlos Delgado (29),103,2001,R
436,426.,Carlos Delgado (31),103,2003,R
437,426.,Dee Fondy (27),103,1952,L
438,426.,Andres Galarraga (26),103,1987,R
439,426.,Andres Galarraga (27),103,1988,R
440,426.,Andres Galarraga (32),103,1993,R
441,426.,Chick Gandil (25),103,1913,R
442,426.,Paul Goldschmidt (29),103,2017,R
443,426.,Mark Grace (36),103,2000,L
444,426.,Joe Harris (33),103,1924,R
445,426.,Todd Helton (25),103,1999,L
446,426.,Gil Hodges (32),103,1956,R
447,426.,Eric Hosmer (22),103,2012,L
448,426.,Ryan Howard (27),103,2007,L
449,426.,Tom Jones (33),103,1907,R
450,426.,Tom Jones (35),103,1909,R
451,426.,High Pockets Kelly+ (24),103,1920,R
452,426.,High Pockets Kelly+ (26),103,1922,R
453,426.,High Pockets Kelly+ (33),103,1929,R
454,426.,Norm Larker (31),103,1962,L
455,426.,Tony Lupien (27),103,1944,L
456,426.,Willie McCovey+ (30),103,1968,L
457,426.,Joe Pepitone (22),103,1963,L
458,426.,Earl Sheely (29),103,1922,R
459,426.,J.T. Snow (28),103,1996,L
460,426.,Willie Upshaw (27),103,1984,L
461,462.,Joe Adcock (33),102,1961,R
462,462.,Greg Brock (31),102,1988,R
463,462.,George Burns (34),102,1927,R
464,462.,Tony Clark (26),102,1998,R
465,462.,Jake Daubert (31),102,1915,L
466,462.,Hank Greenberg+ (26),102,1937,R
467,462.,Bob Horner (28),102,1986,R
468,462.,Derrek Lee (24),102,2000,R
469,462.,Art Mahan (27),102,1940,L
470,462.,Lee May (26),102,1969,R
471,462.,Stuffy McInnis (30),102,1921,R
472,462.,Justin Morneau (26),102,2007,R
473,462.,Joe Nealon (21),102,1906,R
474,462.,Lyle Overbay (32),102,2009,L
475,462.,Claude Rossman (27),102,1908,L
476,462.,Norm Siebern (29),102,1963,R
477,462.,Bill Skowron (30),102,1961,R
478,462.,Phil Todt (27),102,1929,L
479,462.,Joe Torre+ (33),102,1974,R
480,462.,Hal Trosky (25),102,1938,R
481,462.,Willie Upshaw (31),102,1988,L
482,462.,Perry Werden (30),102,1892,R
483,484.,Steve Balboni (28),101,1985,R
484,484.,Lu Blue (28),101,1925,L
485,484.,Bill Buckner (34),101,1984,L
486,484.,Jack Burns (24),101,1932,L
487,484.,Orlando Cepeda+ (31),101,1969,R
488,484.,Chris Chambliss (31),101,1980,R
489,484.,Greg Colbrunn (26),101,1996,R
490,484.,Ferris Fain (26),101,1947,L
491,484.,Eric Hosmer (25),101,2015,L
492,484.,Ryan Howard (28),101,2008,L
493,484.,Frank Isbell (25),101,1901,R
494,484.,Joe Judge (28),101,1922,L
495,484.,Ted Kluszewski (29),101,1954,L
496,484.,Tino Martinez (27),101,1995,R
497,484.,Frank McCormick (31),101,1942,R
498,484.,Mark McGwire (27),101,1991,R
499,484.,John Olerud (33),101,2002,L
