,Rank,Player (age that year),Assists as P,Year,Throws
198,194.,George McConnell (37),105,1915,R
199,194.,Joe McGinnity+ (35),105,1906,R
200,194.,Mike Morrison (20),105,1887,R
201,194.,Rube Waddell+ (27),105,1904,L
202,194.,Vic Willis+ (26),105,1902,R
203,194.,Cy Young+ (34),105,1901,R
204,205.,Tommy Bond (21),104,1877,R
205,205.,Dana Fillingim (26),104,1920,R
206,205.,Doc Landis (27),104,1882,
207,205.,Carl Mays (29),104,1921,R
208,205.,Joe McGinnity+ (30),104,1901,R
209,205.,Cy Morgan (31),104,1910,R
210,205.,Jack Quinn (30),104,1914,R
211,205.,Willie Sudhoff (28),104,1903,R
212,205.,Willie Sudhoff (29),104,1904,R
213,214.,Jack Chesbro+ (29),103,1903,R
214,214.,Nig Cuppy (22),103,1892,R
215,214.,Bill Doak (26),103,1917,R
216,214.,Joe Harris (24),103,1906,R
217,214.,Bill Hutchison (31),103,1891,R
218,214.,Frank Killen (22),103,1893,L
219,214.,Win Mercer (28),103,1902,R
220,214.,Frank Mountain (23),103,1883,R
221,214.,Eddie Plank+ (28),103,1904,L
222,214.,Jim Scott (27),103,1915,R
223,214.,Doc White (28),103,1907,L
224,214.,Cy Young+ (37),103,1904,R
225,226.,Pete Alexander+ (27),102,1914,R
226,226.,Pete Alexander+ (29),102,1916,R
227,226.,Nick Altrock (29),102,1906,L
228,226.,Bill Bernhard (33),102,1904,R
229,226.,Cliff Curtis (28),102,1910,R
230,226.,Phil Douglas (27),102,1917,R
231,226.,Fred Glade (29),102,1905,R
232,226.,Walter Johnson+ (26),102,1914,R
233,226.,Tim Keefe+ (30),102,1887,R
234,226.,George Mullin (27),102,1908,R
235,236.,Ed Beatin (23),101,1890,L
236,236.,Hooks Dauss (29),101,1919,R
237,236.,Howard Ehmke (29),101,1923,R
238,236.,Dave Foutz (28),101,1885,R
239,236.,Burleigh Grimes+ (29),101,1923,R
240,236.,Harry Howell (31),101,1908,R
241,236.,Ed Lafitte (28),101,1914,R
242,236.,Jim McCormick (26),101,1883,R
243,236.,Al Orth (33),101,1906,R
244,236.,Babe Ruth+ (22),101,1917,L
245,236.,Frank Smith (28),101,1908,R
246,236.,Willie Sudhoff (24),101,1899,R
247,248.,Theodore Breitenstein (26),100,1895,L
248,248.,Bert Cunningham (33),100,1899,R
249,248.,Hooks Dauss (27),100,1917,R
250,248.,Jim Devlin (27),100,1876,R
251,248.,Kid Gleason (25),100,1892,R
252,248.,Cowboy Jones (25),100,1900,L
253,248.,Gene Krapp (28),100,1915,R
254,248.,Sam Leever (27),100,1899,R
255,248.,Christy Mathewson+ (32),100,1913,R
256,248.,Al Mattern (26),100,1909,L
257,248.,Jim McCormick (25),100,1882,R
258,248.,Jumbo McGinnis (28),100,1882,
259,248.,Cy Morgan (30),100,1909,R
260,248.,Kid Nichols+ (21),100,1891,R
261,248.,Barney Pelty (25),100,1906,R
262,248.,Bill Phillips (32),100,1901,R
263,248.,Lee Richmond (24),100,1881,L
264,248.,Cy Seymour (24),100,1897,L
265,266.,Red Ames (26),99,1909,R
266,266.,Red Ames (31),99,1914,R
267,266.,Bill Carrick (25),99,1899,R
268,266.,Frank Corridon (26),99,1907,R
269,266.,Doc Crandall (27),99,1915,R
270,266.,Denny Driscoll (27),99,1883,L
271,266.,Guy Hecker (27),99,1883,R
272,266.,George Mullin (28),99,1909,R
273,266.,Old Hoss Radbourn+ (35),99,1890,R
274,266.,Phenomenal Smith (22),99,1887,L
275,266.,Jim Whitney (23),99,1881,R
276,266.,Joe Yeager (22),99,1898,R
277,278.,Eddie Cicotte (26),98,1910,R
278,278.,Bob Groom (24),98,1909,R
279,278.,Bob Harmon (23),98,1911,R
280,278.,Gene Krapp (27),98,1914,R
281,278.,Roy Patterson (26),98,1903,R
282,278.,Jack Quinn (31),98,1915,R
283,278.,Jesse Tannehill (24),98,1899,L
284,278.,Doc White (24),98,1903,L
285,278.,Bill Wise (23),98,1884,
286,287.,Jesse Barnes (26),97,1919,R
287,287.,Jack Chesbro+ (31),97,1905,R
288,287.,George Derby (23),97,1881,R
289,287.,Red Donahue (24),97,1897,R
290,287.,Cy Falkenberg (30),97,1910,R
291,287.,Charlie Ferguson (23),97,1886,R
292,287.,Pud Galvin+ (23),97,1880,R
293,287.,Ad Gumbert (24),97,1892,R
294,287.,Guy Hecker (29),97,1885,R
295,287.,George Mullin (29),97,1910,R
296,287.,Art Nehf (25),97,1918,L
297,287.,Lee Richmond (23),97,1880,L
298,287.,Lee Richmond (25),97,1882,L
299,287.,Eppa Rixey+ (30),97,1921,L
300,287.,Eddie Rommel (26),97,1924,R
301,287.,Jesse Tannehill (30),97,1905,L
302,303.,Jesse Barnes (24),96,1917,R
303,303.,Jack Chesbro+ (34),96,1908,R
304,303.,George Cobb (26),96,1892,L
305,303.,Pete Conway (21),96,1888,R
306,303.,Bill Duggleby (27),96,1901,R
307,303.,Pud Galvin+ (28),96,1885,R
308,303.,Ed Karger (24),96,1907,L
309,303.,Christy Mathewson+ (28),96,1909,R
310,303.,Joe McGinnity+ (28),96,1899,R
311,303.,Tony Mullane (24),96,1883,R
312,303.,Al Orth (32),96,1905,R
313,303.,Scott Perry (27),96,1918,R
314,303.,Bob Rhoads (28),96,1908,R
315,303.,Dick Rudolph (26),96,1914,R
316,303.,Harry Salisbury (27),96,1882,
317,303.,Jack Stivetts (24),96,1892,R
318,303.,Willie Sudhoff (30),96,1905,R
319,303.,Bucky Walters (27),96,1936,R
320,321.,Pete Alexander+ (24),95,1911,R
321,321.,Jimmy Callahan (25),95,1899,R
322,321.,Jack Chesbro+ (32),95,1906,R
323,321.,Curt Davis (30),95,1934,R
324,321.,Chick Fraser (22),95,1896,R
325,321.,Kid Gleason (23),95,1890,R
326,321.,Fred Goldsmith (25),95,1881,R
327,321.,Burleigh Grimes+ (26),95,1920,R
328,321.,Pink Hawley (27),95,1900,R
329,321.,Bill Hill (21),95,1896,L
330,321.,Walter Johnson+ (23),95,1911,R
331,321.,Walter Johnson+ (27),95,1915,R
332,321.,George McQuillan (23),95,1908,R
333,321.,Al Orth (29),95,1902,R
334,321.,Al Orth (34),95,1907,R
335,321.,Billy Rhines (22),95,1891,R
336,321.,Ernie Shore (24),95,1915,R
337,321.,Charlie Smith (27),95,1907,R
338,321.,Elmer Stricklett (30),95,1907,R
339,321.,Jack Taylor (32),95,1906,R
340,341.,Bullet Joe Bush (23),94,1916,R
341,341.,Jimmy Callahan (26),94,1900,R
342,341.,Bill Carrick (27),94,1901,R
343,341.,Eddie Cicotte (33),94,1917,R
344,341.,Frank Dwyer (23),94,1891,R
345,341.,Red Faber+ (33),94,1922,R
346,341.,Burleigh Grimes+ (24),94,1918,R
347,341.,Carl Hubbell+ (30),94,1933,L
348,341.,Chief Johnson (29),94,1915,R
349,341.,Ed Killian (30),94,1907,L
350,341.,Joe Lake (28),94,1909,R
351,341.,Lefty Leifield (23),94,1907,L
352,341.,Carl Mays (30),94,1922,R
353,341.,Carl Mays (32),94,1924,R
354,341.,Joe McGinnity+ (32),94,1903,R
355,341.,Joe McGinnity+ (34),94,1905,R
356,341.,Joe McGinnity+ (36),94,1907,R
357,341.,Stoney McGlynn (35),94,1907,R
358,341.,Sadie McMahon (24),94,1892,R
359,341.,Al Schulz (26),94,1915,L
360,341.,Jesse Tannehill (23),94,1898,L
361,341.,Dizzy Trout (29),94,1944,R
362,341.,Ted Wingfield (25),94,1925,R
363,364.,Al Atkinson (23),93,1884,R
364,364.,Jesse Barnes (27),93,1920,R
365,364.,Tommy Bond (20),93,1876,R
366,364.,Bill Doak (23),93,1914,R
367,364.,Red Donahue (30),93,1903,R
368,364.,Howard Ehmke (26),93,1920,R
369,364.,Pud Galvin+ (29),93,1886,R
370,364.,Walter Johnson+ (24),93,1912,R
371,364.,Addie Joss+ (26),93,1906,R
372,364.,Tim Keefe+ (27),93,1884,R
373,364.,Christy Mathewson+ (22),93,1903,R
374,364.,Ed Morris (22),93,1885,L
375,364.,Tony Mullane (27),93,1886,R
376,364.,Tony Mullane (32),93,1891,R
377,364.,Joe Oeschger (29),93,1921,R
378,364.,Henry Porter (27),93,1885,R
379,364.,Eppa Rixey+ (26),93,1917,L
380,364.,Amos Rusie+ (24),93,1895,R
381,364.,Ben Sanders (25),93,1890,R
382,364.,Jim Tobin (29),93,1942,R
383,364.,Jim Tobin (31),93,1944,R
384,364.,Ed Walsh+ (28),93,1909,R
385,364.,Gus Weyhing (21),93,1888,R
386,364.,Jim Whitney (25),93,1883,R
387,364.,Ed Willett (29),93,1913,R
388,389.,Mordecai Brown+ (33),92,1910,R
389,389.,Bob Caruthers (23),92,1887,R
390,389.,Nick Cullop (26),92,1914,L
391,389.,Hooks Dauss (33),92,1923,R
392,389.,Gus Dorner (29),92,1906,R
393,389.,Cy Falkenberg (26),92,1906,R
394,389.,Burleigh Grimes+ (31),92,1925,R
395,389.,George Haddock (25),92,1892,R
396,389.,Bob Harmon (27),92,1915,R
397,389.,Glenn Liebhardt (24),92,1907,R
398,389.,Kid Nichols+ (26),92,1896,R
399,389.,Barney Pelty (24),92,1905,R
400,389.,Old Hoss Radbourn+ (27),92,1882,R
401,389.,Eddie Rommel (23),92,1921,R
402,389.,Eddie Rommel (24),92,1922,R
403,389.,Dick Rudolph (27),92,1915,R
404,389.,Tom Seaton (27),92,1915,R
405,389.,Al Spalding+ (25),92,1876,R
406,389.,Harry Staley (23),92,1890,R
407,389.,Scott Stratton (23),92,1893,R
408,389.,Dummy Taylor (26),92,1901,R
409,389.,Jim Whitney (29),92,1887,R
410,411.,George Bell (32),91,1907,R
411,411.,Bob Caruthers (25),91,1889,R
412,411.,Jean Dubuc (23),91,1912,R
413,411.,Chick Fraser (27),91,1901,R
414,411.,Burleigh Grimes+ (30),91,1924,R
415,411.,Claude Hendrix (23),91,1912,R
416,411.,Ted Lyons+ (25),91,1926,R
417,411.,Christy Mathewson+ (33),91,1914,R
418,411.,Casey Patten (29),91,1903,L
419,411.,Barney Pelty (26),91,1907,R
420,411.,Big Jeff Pfeffer (24),91,1906,R
421,411.,Ed Reulbach (26),91,1909,R
422,411.,Urban Shocker (30),91,1921,R
423,411.,Jack Taylor (29),91,1903,R
424,411.,Ed Willett (25),91,1909,R
425,426.,Pete Alexander+ (36),90,1923,R
426,426.,Charlie Buffinton (26),90,1887,R
427,426.,Stan Coveleski+ (30),90,1920,R
428,426.,Nig Cuppy (25),90,1895,R
429,426.,Red Faber+ (32),90,1921,R
430,426.,Henry Gruber (27),90,1891,R
431,426.,Walter Johnson+ (22),90,1910,R
432,426.,Terry Larkin (22),90,1878,R
433,426.,Christy Mathewson+ (25),90,1906,R
434,426.,Al Mattern (27),90,1910,L
435,426.,Joe McGinnity+ (31),90,1902,R
436,426.,Ed Reulbach (32),90,1915,R
437,426.,Eppa Rixey+ (25),90,1916,L
438,426.,Eppa Rixey+ (29),90,1920,L
439,426.,Jim Scott (25),90,1913,R
440,426.,Ernie Shore (25),90,1916,R
441,426.,Fleury Sullivan (22),90,1884,
442,426.,Ed Summers (23),90,1908,R
443,426.,Will White (23),90,1878,R
444,445.,Nick Altrock (30),89,1907,L
445,445.,Theodore Breitenstein (27),89,1896,L
446,445.,Theodore Breitenstein (29),89,1898,L
447,445.,Bob Caruthers (24),89,1888,R
448,445.,Ice Box Chamberlain (23),89,1891,R
449,445.,Ed Daily (27),89,1890,R
450,445.,Hooks Dauss (24),89,1914,R
451,445.,Bill Duggleby (28),89,1902,R
452,445.,Red Ehret (20),89,1889,R
453,445.,Freddie Fitzsimmons (29),89,1931,R
454,445.,Art Fromme (25),89,1909,R
455,445.,Burleigh Grimes+ (27),89,1921,R
456,445.,Tim Keefe+ (25),89,1882,R
457,445.,Terry Larkin (21),89,1877,R
458,445.,Johnny Lush (20),89,1906,L
459,445.,Win Mercer (22),89,1896,R
460,445.,Wilcy Moore (30),89,1927,R
461,445.,Tony Mullane (34),89,1893,R
462,445.,Deacon Phillippe (29),89,1901,R
463,445.,Jack Quinn (38),89,1922,R
464,445.,Hal Schumacher (24),89,1935,R
465,445.,Harry Staley (22),89,1889,R
466,445.,Ed Summers (24),89,1909,R
467,445.,Jack Taylor (22),89,1895,R
468,445.,Jack Taylor (24),89,1897,R
469,445.,George Uhle (24),89,1923,R
470,445.,Hippo Vaughn (29),89,1917,L
471,445.,Rube Waddell+ (28),89,1905,L
472,445.,Hooks Wiltse (28),89,1908,L
473,445.,Cy Young+ (24),89,1891,R
474,475.,Larry Corcoran (23),88,1883,R
475,475.,Stan Coveleski+ (29),88,1919,R
476,475.,Bill Doak (27),88,1918,R
477,475.,Ed Doheny (25),88,1899,L
478,475.,Howard Ehmke (31),88,1925,R
479,475.,Russ Ford (29),88,1912,R
480,475.,Willis Hudlin (23),88,1929,R
481,475.,Joe Lake (29),88,1910,R
482,475.,Joe Lake (30),88,1911,R
483,475.,Jim McCormick (30),88,1887,R
484,475.,Ed Morris (21),88,1884,L
485,475.,Frank Mountain (24),88,1884,R
486,475.,Kid Nichols+ (22),88,1892,R
487,475.,Roy Patterson (24),88,1901,R
488,475.,Eddie Plank+ (31),88,1907,L
489,475.,Billy Rhines (29),88,1898,R
490,475.,Nap Rucker (26),88,1911,L
491,475.,Cy Seymour (26),88,1899,L
492,475.,Bill Steele (24),88,1911,R
493,475.,Mel Stottlemyre (27),88,1969,R
494,475.,Jack Taylor (25),88,1899,R
495,475.,Lefty Tyler (28),88,1918,L
496,475.,Jim Whitney (24),88,1882,R
497,475.,Cy Young+ (30),88,1897,R
498,475.,Cy Young+ (42),88,1909,R
499,500.,Cy Barger (25),87,1910,R
