,Rank,Player (age that year),Double Plays Turned as LF (s.1901),Year,Throws
365,233.,Jason Kubel (30),3,2012,R
366,233.,Bill Lamar (28),3,1925,R
367,233.,Carlos Lee (29),3,2005,R
368,233.,Carlos Lee (35),3,2011,R
369,233.,Cliff Lee (25),3,1922,R
370,233.,Hal Lee (27),3,1932,R
371,233.,Duffy Lewis (23),3,1911,R
372,233.,Duffy Lewis (25),3,1913,R
373,233.,Duffy Lewis (27),3,1915,R
374,233.,Johnny Lindell (31),3,1948,R
375,233.,Danny Litwhiler (24),3,1941,R
376,233.,Danny Litwhiler (26),3,1943,R
377,233.,Whitey Lockman (23),3,1950,R
378,233.,Bris Lord (26),3,1910,R
379,233.,Harry Lord (30),3,1912,R
380,233.,Ryan Ludwick (32),3,2011,L
381,233.,Jerry Lynch (28),3,1959,R
382,233.,Lee Magee (23),3,1912,R
383,233.,Sherry Magee (26),3,1911,R
384,233.,Sherry Magee (32),3,1917,R
385,233.,Les Mann (25),3,1918,R
386,233.,Heinie Manush+ (27),3,1929,L
387,233.,Heinie Manush+ (30),3,1932,L
388,233.,Carmelo Martinez (24),3,1985,R
389,233.,Hideki Matsui (29),3,2003,R
390,233.,Gary Matthews (31),3,1982,R
391,233.,Jack McCarthy (37),3,1906,L
392,233.,Austin McHenry (22),3,1918,R
393,233.,Austin McHenry (25),3,1921,R
394,233.,Austin McHenry (26),3,1922,R
395,233.,Matty McIntyre (24),3,1904,L
396,233.,Earl McNeely (28),3,1926,R
397,233.,Kevin McReynolds (29),3,1989,R
398,233.,Kevin Mench (27),3,2005,R
399,233.,Mike Menosky (26),3,1921,R
400,233.,Mike Menosky (27),3,1922,R
401,233.,Sam Mertes (32),3,1905,R
402,233.,Bing Miller (26),3,1921,R
403,233.,Hack Miller (28),3,1922,R
404,233.,Ward Miller (29),3,1914,R
405,233.,Ward Miller (30),3,1915,R
406,233.,Minnie Minoso (27),3,1953,R
407,233.,Minnie Minoso (28),3,1954,R
408,233.,Minnie Minoso (29),3,1955,R
409,233.,Minnie Minoso (34),3,1960,R
410,233.,Dale Mitchell (26),3,1948,L
411,233.,Kevin Mitchell (28),3,1990,R
412,233.,Wally Moon (30),3,1960,R
413,233.,Eddie Moore (29),3,1928,R
414,233.,Johnny Moore (31),3,1933,R
415,233.,Jo-Jo Moore (27),3,1936,R
416,233.,Melvin Mora (30),3,2002,R
417,233.,Manny Mota (32),3,1970,R
418,233.,Greasy Neale (24),3,1916,R
419,233.,Warren Newson (27),3,1992,L
420,233.,Troy O'Leary (29),3,1999,L
421,233.,Fred Odwell (31),3,1904,R
422,233.,Rube Oldring (29),3,1913,R
423,233.,Gerardo Parra (31),3,2018,L
424,233.,Tony Phillips (37),3,1996,R
425,233.,Felix Pie (25),3,2010,L
426,233.,Lou Piniella (29),3,1973,R
427,233.,Vada Pinson (33),3,1972,L
428,233.,Phil Plantier (24),3,1993,R
429,233.,Luis Polonia (29),3,1993,L
430,233.,Tim Raines+ (23),3,1983,R
431,233.,Tim Raines+ (31),3,1991,R
432,233.,Randy Ready (29),3,1989,R
433,233.,Gary Redus (27),3,1984,R
434,233.,Gary Redus (30),3,1987,R
435,233.,Carl Reynolds (30),3,1933,R
436,233.,Hal Rice (29),3,1953,R
437,233.,Jim Rice+ (29),3,1982,R
438,233.,Jim Rice+ (31),3,1984,R
439,233.,Juan Rivera (30),3,2009,R
440,233.,Eddie Rosario (23),3,2015,R
441,233.,Pete Rose (33),3,1974,R
442,233.,Jim Russell (24),3,1943,R
443,233.,Babe Ruth+ (23),3,1918,L
444,233.,Babe Ruth+ (31),3,1926,L
445,233.,Babe Ruth+ (38),3,1933,L
446,233.,Hank Sauer (35),3,1952,R
447,233.,Frank Schulte (32),3,1915,R
448,233.,Kip Selbach (32),3,1904,R
449,233.,George Selkirk (30),3,1938,R
450,233.,Howie Shanks (22),3,1913,R
451,233.,Howie Shanks (23),3,1914,R
452,233.,Howie Shanks (25),3,1916,R
453,233.,Jimmy Sheckard (31),3,1910,R
454,233.,Tsuyoshi Shinjo (29),3,2001,R
455,233.,Burt Shotton (30),3,1915,R
456,233.,Al Simmons+ (32),3,1934,R
457,233.,Dick Sisler (30),3,1951,R
458,233.,Earl Smith (26),3,1917,R
459,233.,Earl Smith (27),3,1918,R
460,233.,Earl Smith (31),3,1922,R
461,233.,Moose Solters (31),3,1937,R
462,233.,Moose Solters (32),3,1938,R
463,233.,Shannon Stewart (34),3,2008,R
464,233.,George Stone (32),3,1909,L
465,233.,Franklin Stubbs (28),3,1989,L
466,233.,B.J. Surhoff (32),3,1997,R
467,233.,Nick Swisher (25),3,2006,L
468,233.,Frank Thomas (28),3,1957,R
469,233.,Eric Tipton (28),3,1943,R
470,233.,Eric Tipton (29),3,1944,R
471,233.,John Titus (28),3,1904,L
472,233.,Maurice Van Robays (25),3,1940,R
473,233.,Maurice Van Robays (26),3,1941,R
474,233.,Maurice Van Robays (27),3,1942,R
475,233.,Bobby Veach (25),3,1913,R
476,233.,Bobby Veach (30),3,1918,R
477,233.,Bobby Veach (34),3,1922,R
478,233.,Otto Velez (27),3,1978,R
479,233.,Joe Vosmik (23),3,1933,R
480,233.,Joe Vosmik (25),3,1935,R
481,233.,Gee Walker (31),3,1939,R
482,233.,Tillie Walker (33),3,1921,R
483,233.,Daryle Ward (27),3,2002,L
484,233.,Gary Ward (32),3,1986,R
485,233.,Claudell Washington (22),3,1977,L
486,233.,George Watkins (35),3,1935,R
487,233.,Vic Wertz (23),3,1948,R
488,233.,Max West (24),3,1941,R
489,233.,Max West (29),3,1946,R
490,233.,Zack Wheat+ (26),3,1914,R
491,233.,Zack Wheat+ (33),3,1921,R
492,233.,Zack Wheat+ (38),3,1926,R
493,233.,Terry Whitfield (26),3,1979,R
494,233.,Brad Wilkerson (29),3,2006,L
495,233.,Billy Williams+ (33),3,1971,R
496,233.,Ted Williams+ (30),3,1949,R
497,233.,Jim Wohlford (23),3,1974,R
498,233.,Harry Wolter (32),3,1917,R
499,233.,Smoky Joe Wood (28),3,1918,R
