,Rank,Player (age that year),Range Factor/Game as LF (s.1901),Year,Throws
87,88.,Goose Goslin+ (26),2.428,1927,R
88,88.,Charlie Jamieson (30),2.428,1923,L
89,88.,Willie Wilson (23),2.428,1979,R
90,91.,Paul Lehner (29),2.425,1950,L
91,91.,Irish Meusel (25),2.425,1918,R
92,93.,Minnie Minoso (28),2.423,1954,R
93,94.,Del Ennis (24),2.422,1949,R
94,94.,Bobby Veach (29),2.422,1917,R
95,96.,Bob Johnson (33),2.421,1939,R
96,97.,Ray Blades (26),2.417,1923,R
97,97.,Jeff Heath (24),2.417,1939,R
98,97.,Johnny Lindell (30),2.417,1947,R
99,100.,Luis Gonzalez (25),2.416,1993,R
100,100.,Charlie Keller (24),2.416,1941,R
101,100.,Al Woods (27),2.416,1981,L
102,103.,Clyde Barnhart (31),2.415,1927,R
103,104.,Carson Bigbee (28),2.410,1923,R
104,104.,Hoot Evers (29),2.410,1950,R
105,106.,Adam Comorosky (26),2.409,1931,R
106,106.,Goose Goslin+ (23),2.409,1924,R
107,106.,Ken Williams (37),2.409,1927,R
108,109.,George Case (28),2.407,1944,R
109,109.,Fred Clarke+ (35),2.407,1908,R
110,109.,Rickey Henderson+ (29),2.407,1988,L
111,109.,Mike Menosky (22),2.407,1917,R
112,109.,Fred Odwell (31),2.407,1904,R
113,114.,Moose Solters (29),2.405,1935,R
114,115.,Bob Johnson (29),2.404,1935,R
115,115.,Charlie Maxwell (30),2.404,1957,L
116,115.,Zack Wheat+ (22),2.404,1910,R
117,118.,Clyde Engle (25),2.400,1909,R
118,118.,Rickey Henderson+ (25),2.400,1984,L
119,120.,Al Woods (26),2.398,1980,L
120,121.,Frank Robinson+ (21),2.396,1957,R
121,122.,Jacque Jones (27),2.392,2002,L
122,123.,Dode Paskert (26),2.390,1908,R
123,124.,Carl Crawford (21),2.387,2003,L
124,124.,Luis Gonzalez (24),2.387,1992,R
125,124.,Tony Phillips (37),2.387,1996,R
126,127.,Davy Jones (27),2.385,1907,R
127,128.,Goose Goslin+ (25),2.384,1926,R
128,129.,Gus Felix (28),2.380,1923,R
129,130.,Dan Gladden (30),2.379,1988,R
130,131.,Jim Rice+ (30),2.378,1983,R
131,132.,Steve Kemp (25),2.377,1980,L
132,133.,Ralph Kiner+ (24),2.375,1947,R
133,134.,George Case (25),2.374,1941,R
134,135.,Bobby Veach (28),2.373,1916,R
135,136.,Jim Russell (25),2.371,1944,R
136,137.,Ralph Kiner+ (25),2.370,1948,R
137,137.,Greg Vaughn (25),2.370,1991,R
138,139.,Jack Graney (33),2.368,1919,L
139,140.,Bob Bescher (26),2.367,1910,L
140,141.,Whitey Lockman (23),2.366,1950,R
141,142.,Russ Scarritt (27),2.364,1930,R
142,143.,Ben Oglivie (34),2.363,1983,L
143,144.,Max Carey+ (25),2.360,1915,R
144,145.,Kiki Cuyler+ (25),2.359,1924,R
145,145.,Tillie Walker (26),2.359,1914,R
146,147.,Miguel Dilone (26),2.357,1981,R
147,148.,Nemo Leibold (26),2.354,1918,R
148,149.,Carson Bigbee (22),2.353,1917,R
149,150.,Les Mann (22),2.351,1915,R
