,Rank,Player (age that year),Win Probability Added (WPA),Year,Bats
170,171.,Johnny Mize+ (27),6.46,1940,L
171,172.,Wade Boggs+ (28),6.45,1986,L
172,172.,Ryan Braun (27),6.45,2011,R
173,174.,Dave Parker (27),6.42,1978,L
174,174.,Ted Williams+ (36),6.42,1955,L
175,176.,Ryne Sandberg+ (31),6.41,1991,R
176,176.,Willie Stargell+ (33),6.41,1973,L
177,176.,Mike Trout (24),6.41,2016,R
178,179.,Johnny Mize+ (29),6.39,1942,L
179,179.,Ted Williams+ (39),6.39,1958,L
180,181.,Lance Berkman (28),6.38,2004,B
181,181.,Bill White (29),6.38,1963,L
182,181.,Ted Williams+ (32),6.38,1951,L
183,184.,Ryan Howard (29),6.36,2009,L
184,184.,Carlos May (24),6.36,1972,L
185,184.,Albert Pujols (24),6.36,2004,R
186,187.,Jason Giambi (29),6.35,2000,L
187,187.,Gary Sheffield (27),6.35,1996,R
188,189.,Jeff Bagwell+ (29),6.34,1997,R
189,190.,Albert Pujols (23),6.33,2003,R
190,190.,Carl Yastrzemski+ (30),6.33,1970,L
191,192.,Eric Davis (26),6.32,1988,R
192,193.,Dolph Camilli (34),6.31,1941,L
193,193.,Mickey Mantle+ (23),6.31,1955,B
194,195.,Sammy Sosa (29),6.29,1998,R
195,196.,Mickey Mantle+ (26),6.28,1958,B
196,197.,Dale Murphy (29),6.27,1985,R
197,197.,Magglio Ordonez (33),6.27,2007,R
198,199.,Matt Kemp (26),6.26,2011,R
199,199.,Heinie Manush+ (26),6.26,1928,L
200,199.,Frank Thomas+ (25),6.26,1993,R
201,202.,Bryce Harper (22),6.25,2015,L
202,202.,Willie Mays+ (33),6.25,1964,R
203,202.,Jim Thome+ (31),6.25,2002,L
204,205.,Mike Piazza+ (27),6.24,1996,R
205,205.,Duke Snider+ (28),6.24,1955,L
206,207.,Jacoby Ellsbury (27),6.22,2011,L
207,207.,Johnny Mize+ (23),6.22,1936,L
208,207.,Bill Nicholson (29),6.22,1944,L
209,210.,Harmon Killebrew+ (31),6.20,1967,R
210,211.,Charlie Keller (26),6.19,1943,L
211,211.,Alex Rodriguez (29),6.19,2005,R
212,211.,Joey Votto (31),6.19,2015,L
213,211.,Dixie Walker (33),6.19,1944,L
214,215.,George Brett+ (27),6.18,1980,L
215,215.,Rogers Hornsby+ (28),6.18,1924,R
216,217.,Derek Jeter+ (25),6.17,1999,R
217,218.,Barry Bonds (35),6.16,2000,L
218,218.,Brian Giles (31),6.16,2002,L
219,218.,Josh Hamilton (29),6.16,2010,L
220,221.,Greg Luzinski (26),6.15,1977,R
221,222.,Kris Bryant (23),6.14,2015,R
222,223.,Joey Votto (25),6.13,2009,L
223,223.,Roy White (26),6.13,1970,B
224,225.,Paul Goldschmidt (27),6.12,2015,R
225,225.,Mark McGwire (35),6.12,1999,R
226,225.,Billy Williams+ (33),6.12,1971,L
227,228.,Tito Francona (25),6.11,1959,L
228,228.,Willie Mays+ (40),6.11,1971,R
229,228.,John Olerud (24),6.11,1993,L
230,228.,Joey Votto (28),6.11,2012,L
231,228.,Paul Waner+ (24),6.11,1927,L
232,233.,Mark Teixeira (28),6.10,2008,B
233,234.,Ken Boyer (28),6.09,1959,R
234,235.,Frank Howard (32),6.07,1969,R
235,235.,Dale Murphy (27),6.07,1983,R
236,235.,Stan Musial+ (25),6.07,1946,L
237,235.,Lefty O'Doul (32),6.07,1929,L
238,235.,Larry Walker+ (34),6.07,2001,L
239,240.,George Brett+ (26),6.05,1979,L
240,240.,Eddie Mathews+ (28),6.05,1960,L
241,240.,Willie McCovey+ (30),6.05,1968,L
242,240.,Christian Yelich (26),6.05,2018,L
243,244.,Jackie Robinson+ (30),6.04,1949,R
244,244.,Billy Williams+ (32),6.04,1970,L
245,246.,Lou Gehrig+ (30),6.03,1933,L
246,246.,Mickey Mantle+ (28),6.03,1960,B
247,246.,Willie Mays+ (37),6.03,1968,R
248,246.,Frank Robinson+ (28),6.03,1964,R
249,250.,Barry Bonds (27),6.01,1992,L
250,250.,Heinie Manush+ (30),6.01,1932,L
251,252.,Mookie Betts (25),6.00,2018,R
252,252.,Derek Jeter+ (32),6.00,2006,R
253,254.,Josh Donaldson (29),5.99,2015,R
254,254.,Freddie Freeman (23),5.99,2013,L
255,254.,Harmon Killebrew+ (29),5.99,1965,R
256,254.,Minnie Minoso (28),5.99,1954,R
257,254.,John Olerud (29),5.99,1998,L
258,259.,Cesar Cedeno (22),5.98,1973,R
259,259.,Al Kaline+ (32),5.98,1967,R
260,261.,Bobby Bonds (27),5.97,1973,R
261,261.,Bobby Thomson (27),5.97,1951,R
262,263.,Augie Galan (32),5.95,1944,B
263,263.,Vladimir Guerrero+ (32),5.95,2007,R
264,263.,Joe Morgan+ (28),5.95,1972,L
265,266.,Andy High (26),5.94,1924,L
266,267.,George Foster (29),5.93,1978,R
267,267.,Ken Griffey (26),5.93,1976,L
268,267.,Chipper Jones+ (27),5.93,1999,B
269,270.,Jeff Bagwell+ (26),5.92,1994,R
270,270.,Brian Giles (29),5.92,2000,L
271,270.,Mike Schmidt+ (29),5.92,1979,R
272,273.,Darryl Strawberry (25),5.91,1987,L
273,274.,Dolph Camilli (35),5.90,1942,L
274,275.,Carlos Delgado (33),5.89,2005,L
275,275.,Hank Greenberg+ (26),5.89,1937,R
276,275.,Pedro Guerrero (29),5.89,1985,R
277,275.,Harmon Killebrew+ (28),5.89,1964,R
278,275.,Mike Schmidt+ (30),5.89,1980,R
279,280.,Frank Howard (31),5.88,1968,R
280,281.,George Burns (33),5.86,1926,R
281,281.,Ralph Kiner+ (26),5.86,1949,R
282,281.,Hack Wilson+ (27),5.86,1927,R
283,284.,Boog Powell (27),5.85,1969,L
284,284.,Willie Stargell+ (31),5.85,1971,L
285,286.,Joe Medwick+ (24),5.84,1936,R
286,286.,Mel Ott+ (23),5.84,1932,L
287,286.,Ron Santo+ (24),5.84,1964,R
288,286.,Mike Schmidt+ (31),5.84,1981,R
289,290.,Stan Musial+ (29),5.83,1950,L
290,290.,Gus Suhr (30),5.83,1936,L
291,292.,Jack Clark (31),5.82,1987,R
292,292.,Rogers Hornsby+ (32),5.82,1928,R
293,292.,Willie Mays+ (28),5.82,1959,R
294,295.,Jose Canseco (26),5.80,1991,R
295,295.,Edgar Martinez+ (33),5.80,1996,R
296,297.,Will Clark (27),5.79,1991,L
297,297.,Tris Speaker+ (32),5.79,1920,L
298,299.,Jim Edmonds (34),5.77,2004,L
299,300.,Ken Caminiti (33),5.76,1996,B
300,300.,Chipper Jones+ (33),5.76,2005,B
301,300.,Lonnie Smith (33),5.76,1989,R
302,303.,Mark Grace (29),5.75,1993,L
303,303.,Boog Powell (22),5.75,1964,L
304,303.,Manny Ramirez (27),5.75,1999,R
305,303.,Al Simmons+ (27),5.75,1929,R
306,303.,Rusty Staub (32),5.75,1976,L
307,308.,Roberto Clemente+ (36),5.73,1971,R
308,309.,Andres Galarraga (27),5.72,1988,R
309,309.,Roger Maris (25),5.72,1960,L
310,309.,Merv Rettenmund (28),5.72,1971,R
311,312.,Hack Wilson+ (30),5.71,1930,R
312,313.,Barry Bonds (25),5.70,1990,L
313,313.,Jeff Burroughs (23),5.70,1974,R
314,313.,Shawn Green (28),5.70,2001,L
315,313.,Tom Herr (29),5.70,1985,B
316,313.,Gary Sheffield (23),5.70,1992,R
317,318.,Sixto Lezcano (25),5.69,1979,R
318,318.,Boog Powell (24),5.69,1966,L
319,320.,George Foster (28),5.68,1977,R
320,320.,Jason Giambi (31),5.68,2002,L
321,320.,Ken Harrelson (26),5.68,1968,R
322,320.,Alex Rodriguez (25),5.68,2001,R
323,324.,Alex Bregman (24),5.66,2018,R
324,325.,Lance Berkman (35),5.65,2011,B
325,325.,Tommy Davis (23),5.65,1962,R
326,325.,Dwight Evans (29),5.65,1981,R
327,325.,Dwight Evans (32),5.65,1984,R
328,325.,Manny Ramirez (29),5.65,2001,R
329,325.,Ryne Sandberg+ (25),5.65,1985,R
330,325.,Ken Singleton (30),5.65,1977,B
331,332.,Jason Bay (29),5.64,2008,R
332,332.,Jim Ray Hart (23),5.64,1965,R
333,332.,Mark McGwire (31),5.64,1995,R
334,332.,Bob Watson (26),5.64,1972,R
335,336.,Bobby Bonds (25),5.63,1971,R
336,336.,Todd Helton (29),5.63,2003,L
337,338.,Joe DiMaggio+ (25),5.62,1940,R
338,338.,Rogers Hornsby+ (24),5.62,1920,R
339,338.,Mike Piazza+ (28),5.62,1997,R
340,338.,Roy Sievers (31),5.62,1958,R
341,342.,Hank Aaron+ (34),5.61,1968,R
342,342.,Dick Allen (22),5.61,1964,R
343,342.,Adrian Beltre (25),5.61,2004,R
344,342.,Dante Bichette (32),5.61,1996,R
345,346.,Todd Helton (30),5.60,2004,L
346,346.,Frank McCormick (33),5.60,1944,R
347,346.,Stan Musial+ (28),5.60,1949,L
348,349.,Dolph Camilli (32),5.59,1939,L
349,349.,Dave May (29),5.59,1973,L
350,349.,Bobby Murcer (26),5.59,1972,L
351,352.,Alvin Davis (23),5.57,1984,L
352,352.,Dick Dietz (28),5.57,1970,R
353,352.,Chipper Jones+ (26),5.57,1998,B
354,355.,Earl Averill+ (34),5.56,1936,L
355,355.,Lance Berkman (30),5.56,2006,B
356,357.,Will Clark (24),5.55,1988,L
357,357.,Rogers Hornsby+ (29),5.55,1925,R
358,357.,Bill Terry+ (28),5.55,1927,L
359,357.,Richie Zisk (25),5.55,1974,R
360,361.,Ryan Klesko (30),5.54,2001,L
