,Rank,Player (age that year),WAR for Pitchers,Year,Throws
98,98.,Dick Ellsworth (23),10.2,1963,L
99,98.,Aaron Nola (25),10.2,2018,R
100,98.,Tom Seaver+ (26),10.2,1971,R
101,98.,Stump Weidman (21),10.2,1882,R
102,103.,Bill Hutchison (31),10.1,1891,R
103,103.,Fergie Jenkins+ (28),10.1,1971,R
104,103.,Randy Johnson+ (37),10.1,2001,L
105,103.,Ed Seward (21),10.1,1888,R
106,103.,Dazzy Vance+ (37),10.1,1928,R
107,103.,Smoky Joe Wood (22),10.1,1912,R
108,109.,Bob Feller+ (27),10.0,1946,R
109,109.,Pink Hawley (22),10.0,1895,R
110,109.,Tim Keefe+ (29),10.0,1886,R
111,109.,Jim McCormick (22),10.0,1879,R
112,109.,Phil Niekro+ (39),10.0,1978,R
113,114.,Stan Coveleski+ (28),9.9,1918,R
114,114.,Jacob deGrom (30),9.9,2018,R
115,114.,Bob Feller+ (21),9.9,1940,R
116,114.,Walter Johnson+ (28),9.9,1916,R
117,114.,Christy Mathewson+ (22),9.9,1903,R
118,114.,Kid Nichols+ (25),9.9,1895,R
119,114.,Gus Weyhing (24),9.9,1891,R
120,114.,Cy Young+ (29),9.9,1896,R
121,114.,Irv Young (27),9.9,1905,L
122,123.,Lefty Grove+ (37),9.8,1937,L
123,123.,Pedro Martinez+ (27),9.8,1999,R
124,123.,Robin Roberts+ (26),9.8,1953,R
125,126.,Bert Blyleven+ (22),9.7,1973,R
126,126.,John Clarkson+ (29),9.7,1891,R
127,126.,Nig Cuppy (26),9.7,1896,R
128,126.,Dave Foutz (29),9.7,1886,R
129,126.,Carl Hubbell+ (33),9.7,1936,L
130,126.,Greg Maddux+ (29),9.7,1995,R
131,126.,Christy Mathewson+ (28),9.7,1909,R
132,126.,Sadie McMahon (23),9.7,1891,R
133,126.,Bret Saberhagen (25),9.7,1989,R
134,126.,Cy Young+ (35),9.7,1902,R
135,136.,Eddie Cicotte (35),9.6,1919,R
136,136.,Red Faber+ (33),9.6,1922,R
137,136.,Mark Fidrych (21),9.6,1976,R
138,136.,Ron Guidry (27),9.6,1978,L
139,136.,Christy Mathewson+ (24),9.6,1905,R
140,136.,Joe McGinnity+ (33),9.6,1904,R
141,136.,Hal Newhouser+ (25),9.6,1946,L
142,136.,Kid Nichols+ (21),9.6,1891,R
143,144.,Mordecai Brown+ (32),9.5,1909,R
144,144.,Bob Caruthers (21),9.5,1885,R
145,144.,Jack Coombs (27),9.5,1910,R
146,144.,Lefty Grove+ (32),9.5,1932,L
147,144.,Rick Reuschel (28),9.5,1977,R
148,144.,Cy Young+ (27),9.5,1894,R
149,150.,Ewell Blackwell (24),9.4,1947,R
150,150.,Dean Chance (23),9.4,1964,R
151,150.,Roger Clemens (24),9.4,1987,R
152,150.,Lefty Grove+ (35),9.4,1935,L
153,150.,Teddy Higuera (28),9.4,1986,L
154,150.,Dutch Leonard (22),9.4,1914,L
155,150.,Warren Spahn+ (26),9.4,1947,L
156,150.,Al Spalding+ (25),9.4,1876,R
157,150.,Rube Waddell+ (25),9.4,1902,L
158,150.,Rube Waddell+ (28),9.4,1905,L
159,150.,Cy Young+ (41),9.4,1908,R
160,161.,Kevin Appier (25),9.3,1993,R
161,161.,Theodore Breitenstein (25),9.3,1894,L
162,161.,Dizzy Trout (29),9.3,1944,R
163,164.,Pete Alexander+ (30),9.2,1917,R
164,164.,Mordecai Brown+ (31),9.2,1908,R
165,164.,Ice Box Chamberlain (21),9.2,1889,R
166,164.,Bob Feller+ (20),9.2,1939,R
167,164.,Lefty Gomez+ (28),9.2,1937,L
168,164.,Jose Rijo (28),9.2,1993,R
169,164.,Scott Stratton (20),9.2,1890,R
170,164.,Jack Taylor (28),9.2,1902,R
171,164.,Ed Walsh+ (30),9.2,1911,R
172,164.,Cy Young+ (37),9.2,1904,R
173,174.,Randy Johnson+ (35),9.1,1999,L
174,174.,Greg Maddux+ (26),9.1,1992,R
175,174.,Juan Marichal+ (28),9.1,1966,R
176,174.,Jon Matlack (24),9.1,1974,L
177,174.,Joe McGinnity+ (28),9.1,1899,R
178,174.,George McQuillan (23),9.1,1908,R
179,174.,Ed Reulbach (22),9.1,1905,R
180,181.,Jim Bagby (30),9.0,1920,R
181,181.,Vida Blue (21),9.0,1971,L
182,181.,Jim Bunning+ (34),9.0,1966,R
183,181.,Carl Hubbell+ (30),9.0,1933,L
184,181.,Pedro Martinez+ (25),9.0,1997,R
185,181.,Christy Mathewson+ (20),9.0,1901,R
186,181.,Kid Nichols+ (22),9.0,1892,R
187,181.,Robin Roberts+ (27),9.0,1954,R
188,181.,Gus Weyhing (25),9.0,1892,R
189,181.,Will White (28),9.0,1883,R
190,191.,Dizzy Dean+ (24),8.9,1934,R
191,191.,Pud Galvin+ (22),8.9,1879,R
192,191.,Bob Gibson+ (34),8.9,1970,R
193,191.,Zack Greinke (31),8.9,2015,R
194,191.,Phil Niekro+ (38),8.9,1977,R
195,191.,Reb Russell (24),8.9,1913,L
196,191.,George Uhle (27),8.9,1926,R
197,198.,George Bradley (23),8.8,1876,R
198,198.,Theodore Breitenstein (26),8.8,1895,L
199,198.,Roger Clemens (23),8.8,1986,R
200,198.,Vean Gregg (26),8.8,1911,L
201,198.,Roy Halladay+ (34),8.8,2011,R
202,198.,Bill Hutchison (30),8.8,1890,R
203,198.,Bill Hutchison (32),8.8,1892,R
204,198.,Joe McGinnity+ (31),8.8,1902,R
205,198.,Eddie Plank+ (28),8.8,1904,L
206,198.,Babe Ruth+ (21),8.8,1916,L
207,198.,Curt Schilling (34),8.8,2001,R
208,198.,Bobby Shantz (26),8.8,1952,L
209,198.,Warren Spahn+ (32),8.8,1953,L
210,198.,Charlie Sweeney (21),8.8,1884,R
211,212.,Pete Alexander+ (27),8.7,1914,R
212,212.,Harry Brecheen (33),8.7,1948,L
213,212.,Roger Clemens (29),8.7,1992,R
214,212.,Stan Coveleski+ (30),8.7,1920,R
215,212.,George Derby (23),8.7,1881,R
216,212.,Larry Dierker (22),8.7,1969,R
217,212.,Johan Santana (25),8.7,2004,L
218,212.,Billy Taylor (29),8.7,1884,R
219,212.,Vic Willis+ (25),8.7,1901,R
220,221.,Kevin Brown (33),8.6,1998,R
221,221.,John Clarkson+ (28),8.6,1890,R
222,221.,Curt Davis (30),8.6,1934,R
223,221.,Clark Griffith+ (25),8.6,1895,R
224,221.,Noodles Hahn (23),8.6,1902,L
225,221.,Pat Hentgen (27),8.6,1996,R
226,221.,Randy Johnson+ (31),8.6,1995,L
227,221.,Thornton Lee (34),8.6,1941,L
228,221.,Christy Mathewson+ (26),8.6,1907,R
229,221.,Ed Morris (21),8.6,1884,L
230,221.,Curt Schilling (35),8.6,2002,R
231,221.,Justin Verlander (28),8.6,2011,R
232,233.,Dave Davenport (25),8.5,1915,R
233,233.,Tom Glavine+ (25),8.5,1991,L
234,233.,Roy Halladay+ (33),8.5,2010,R
235,233.,Walter Johnson+ (23),8.5,1911,R
236,233.,Addie Joss+ (28),8.5,1908,R
237,233.,Mark Langston (32),8.5,1993,L
238,233.,Cliff Lee (32),8.5,2011,L
239,233.,Mickey Lolich (30),8.5,1971,L
240,233.,Greg Maddux+ (28),8.5,1994,R
241,233.,Jim McCormick (26),8.5,1883,R
242,233.,Kid Nichols+ (34),8.5,1904,R
243,233.,Gaylord Perry+ (35),8.5,1974,R
244,233.,Nap Rucker (26),8.5,1911,L
245,233.,Johnny Sain (30),8.5,1948,R
246,233.,Luis Tiant (27),8.5,1968,R
247,233.,Rube Waddell+ (26),8.5,1903,L
248,249.,Jesse Duryea (29),8.4,1889,R
249,249.,Pud Galvin+ (24),8.4,1881,R
250,249.,Lefty Gomez+ (25),8.4,1934,L
251,249.,Lefty Grove+ (33),8.4,1933,L
252,249.,Noodles Hahn (20),8.4,1899,L
253,249.,Bill Hands (29),8.4,1969,R
254,249.,Randy Johnson+ (40),8.4,2004,L
255,249.,Frank Kitson (29),8.4,1899,R
256,249.,Jim Palmer+ (29),8.4,1975,R
257,249.,Andy Pettitte (25),8.4,1997,L
258,249.,Toad Ramsey (22),8.4,1887,L
259,249.,Robin Roberts+ (25),8.4,1952,R
260,249.,Amos Rusie+ (20),8.4,1891,R
261,249.,Max Scherzer (33),8.4,2018,R
262,249.,Mike Scott (31),8.4,1986,R
263,249.,Vic Willis+ (26),8.4,1902,R
264,249.,Cy Young+ (32),8.4,1899,R
265,266.,Babe Adams (31),8.3,1913,R
266,266.,Jake Arrieta (29),8.3,2015,R
267,266.,Jim Bagby (27),8.3,1917,R
268,266.,Hal Carlson (34),8.3,1926,R
269,266.,Stan Coveleski+ (27),8.3,1917,R
270,266.,Howard Ehmke (30),8.3,1924,R
271,266.,Cy Falkenberg (34),8.3,1914,R
272,266.,Wes Ferrell (22),8.3,1930,R
273,266.,Silver King (21),8.3,1889,R
274,266.,Sam McDowell (27),8.3,1970,L
275,266.,Frank Tanana (23),8.3,1977,L
276,266.,Tommy Thomas (27),8.3,1927,R
277,266.,Vic Willis+ (30),8.3,1906,R
278,279.,Mike Caldwell (29),8.2,1978,L
279,279.,Mort Cooper (29),8.2,1942,R
280,279.,Bob Feller+ (22),8.2,1941,R
281,279.,Wes Ferrell (27),8.2,1935,R
282,279.,Kyle Freeland (25),8.2,2018,L
283,279.,Rich Gossage+ (23),8.2,1975,R
284,279.,Pink Hawley (23),8.2,1896,R
285,279.,Bill Hoffer (24),8.2,1895,R
286,279.,Jim Maloney (25),8.2,1965,R
287,279.,Sam McDowell (22),8.2,1965,L
288,279.,Mike Mussina+ (23),8.2,1992,R
289,279.,Bobo Newsom (31),8.2,1939,R
290,279.,Scott Perry (27),8.2,1918,R
291,279.,Lee Richmond (23),8.2,1880,L
292,279.,Bucky Walters (30),8.2,1939,R
293,294.,Pete Alexander+ (24),8.1,1911,R
294,294.,Roger Clemens (35),8.1,1998,R
295,294.,Roy Halladay+ (26),8.1,2003,R
296,294.,Catfish Hunter+ (29),8.1,1975,R
297,294.,Randy Johnson+ (36),8.1,2000,L
298,294.,Clayton Kershaw (25),8.1,2013,L
299,294.,Corey Kluber (28),8.1,2014,R
300,294.,Sandy Koufax+ (29),8.1,1965,L
301,294.,Christy Mathewson+ (29),8.1,1910,R
302,294.,Doc McJames (23),8.1,1898,R
303,294.,Denny McLain (25),8.1,1969,R
304,294.,Al Orth (33),8.1,1906,R
305,294.,Herb Pennock+ (30),8.1,1924,L
306,294.,Jimmy Ring (28),8.1,1923,R
307,294.,Nap Rucker (27),8.1,1912,L
308,294.,Bob Shawkey (29),8.1,1920,R
309,294.,John Tudor (31),8.1,1985,L
310,294.,Justin Verlander (29),8.1,2012,R
311,294.,Frank Viola (27),8.1,1987,L
312,313.,Kevin Appier (24),8.0,1992,R
313,313.,Jim Bunning+ (33),8.0,1965,R
314,313.,Mel Harder (24),8.0,1934,R
315,313.,Randy Johnson+ (33),8.0,1997,L
316,313.,Bill Lee (28),8.0,1938,R
317,313.,Pedro Martinez+ (31),8.0,2003,R
318,313.,Joe McGinnity+ (30),8.0,1901,R
319,313.,Kid Nichols+ (24),8.0,1894,R
320,313.,Mel Parnell (27),8.0,1949,L
321,313.,Old Hoss Radbourn+ (35),8.0,1890,R
322,313.,Robin Roberts+ (24),8.0,1951,R
323,313.,Amos Rusie+ (26),8.0,1897,R
324,313.,Bret Saberhagen (23),8.0,1987,R
325,313.,Dupee Shaw (25),8.0,1884,L
326,313.,Fred Toney (26),8.0,1915,R
327,313.,Mickey Welch+ (28),8.0,1888,R
328,329.,Mark Baldwin (26),7.9,1890,R
329,329.,Kevin Brown (31),7.9,1996,R
330,329.,Roger Clemens (28),7.9,1991,R
331,329.,Noodles Hahn (22),7.9,1901,L
332,329.,John Hiller (30),7.9,1973,L
333,329.,Corey Kluber (31),7.9,2017,R
334,329.,Christy Mathewson+ (30),7.9,1911,R
335,329.,Phil Niekro+ (35),7.9,1974,R
336,329.,Tom Seaver+ (32),7.9,1977,R
337,329.,Harry Staley (24),7.9,1891,R
338,329.,Dave Stieb (26),7.9,1984,R
339,340.,Bert Blyleven+ (23),7.8,1974,R
340,340.,Jim Bunning+ (35),7.8,1967,R
341,340.,Roger Clemens (42),7.8,2005,R
342,340.,Nig Cuppy (25),7.8,1895,R
343,340.,Don Drysdale+ (27),7.8,1964,R
344,340.,Burleigh Grimes+ (27),7.8,1921,R
345,340.,Bill James (22),7.8,1914,R
346,340.,Tim Lincecum (24),7.8,2008,R
347,340.,Greg Maddux+ (31),7.8,1997,R
348,340.,Juan Marichal+ (25),7.8,1963,R
349,340.,Juan Marichal+ (31),7.8,1969,R
350,340.,Mike Minor (31),7.8,2019,L
351,340.,Hal Newhouser+ (23),7.8,1944,L
352,340.,Camilo Pascual (25),7.8,1959,R
353,340.,Gaylord Perry+ (34),7.8,1973,R
354,340.,Nolan Ryan+ (30),7.8,1977,R
355,340.,Ben Sanders (23),7.8,1888,R
356,340.,Curt Schilling (37),7.8,2004,R
357,340.,Tom Seaver+ (30),7.8,1975,R
358,340.,Urban Shocker (30),7.8,1921,R
359,340.,Gus Weyhing (23),7.8,1890,R
360,340.,Jim Whitney (23),7.8,1881,R
361,340.,Early Wynn+ (36),7.8,1956,R
362,363.,Roger Clemens (33),7.7,1996,R
363,363.,Charlie Ferguson (24),7.7,1887,R
364,363.,Chuck Finley (27),7.7,1990,L
365,363.,Mark Gubicza (25),7.7,1988,R
366,363.,Noodles Hahn (24),7.7,1903,L
367,363.,Fergie Jenkins+ (31),7.7,1974,R
368,363.,Jim Kaat (36),7.7,1975,L
369,363.,Clayton Kershaw (26),7.7,2014,L
370,363.,Christy Mathewson+ (31),7.7,1912,R
371,363.,Steve Rogers (32),7.7,1982,R
372,363.,Nolan Ryan+ (26),7.7,1973,R
373,363.,Warren Spahn+ (30),7.7,1951,L
374,363.,Jack Stivetts (23),7.7,1891,R
375,363.,Jesse Tannehill (24),7.7,1899,L
376,363.,Justin Thompson (24),7.7,1997,L
377,363.,Luis Tiant (33),7.7,1974,R
378,363.,Dazzy Vance+ (36),7.7,1927,R
379,363.,Hippo Vaughn (30),7.7,1918,L
380,363.,Frank Viola (28),7.7,1988,L
