,Rank,Player (age that year),Total Zone Runs as LF (s.1953),Year,Throws
368,334.,Ender Inciarte (23),7,2014,L
369,334.,Bo Jackson (30),7,1993,R
370,334.,Reed Johnson (33),7,2010,R
371,334.,Brian Jordan (35),7,2002,R
372,334.,Brian Jordan (38),7,2005,R
373,334.,David Justice (34),7,2000,L
374,334.,Jim King (28),7,1961,R
375,334.,John Kruk (27),7,1988,L
376,334.,Jason Kubel (27),7,2009,R
377,334.,Lee Lacy (32),7,1980,R
378,334.,John Lowenstein (27),7,1974,R
379,334.,John Mabry (31),7,2002,R
380,334.,Nick Markakis (22),7,2006,L
381,334.,Starling Marte (24),7,2013,R
382,334.,Tom Paciorek (34),7,1981,R
383,334.,Angel Pagan (34),7,2016,R
384,334.,Jay Payton (32),7,2005,R
385,334.,Steve Pearce (31),7,2014,R
386,334.,Tony Phillips (34),7,1993,R
387,334.,Jim Piersall (34),7,1964,R
388,334.,Tim Raines+ (25),7,1985,R
389,334.,Tim Raines+ (27),7,1987,R
390,334.,Tim Raines+ (28),7,1988,R
391,334.,Tim Raines+ (31),7,1991,R
392,334.,Merv Rettenmund (33),7,1976,R
393,334.,Jim Rice+ (25),7,1978,R
394,334.,Jim Rice+ (28),7,1981,R
395,334.,Derrick Robinson (25),7,2013,L
396,334.,Frank Robinson+ (22),7,1958,R
397,334.,Shane Robinson (31),7,2016,R
398,334.,Gary Roenicke (26),7,1981,R
399,334.,Joe Rudi (23),7,1970,R
400,334.,Michael Saunders (22),7,2009,R
401,334.,Lonnie Smith (36),7,1992,R
402,334.,Alfonso Soriano (35),7,2011,R
403,334.,Al Spangler (26),7,1960,L
404,334.,Shane Spencer (32),7,2004,R
405,334.,Lee Tinsley (28),7,1997,R
406,334.,Mike Vail (23),7,1975,R
407,334.,Scott Van Slyke (27),7,2014,R
408,334.,Greg Vaughn (33),7,1999,R
409,334.,Claudell Washington (20),7,1975,L
410,334.,Jayson Werth (25),7,2004,R
411,334.,Roy White (32),7,1976,R
412,334.,Rondell White (28),7,2000,R
413,334.,Ted Williams+ (36),7,1955,R
414,334.,Dave Winfield+ (22),7,1974,R
415,334.,Randy Winn (29),7,2003,R
416,334.,Gene Woodling (30),7,1953,R
417,334.,Eric Young Jr. (28),7,2013,R
418,419.,Mike Aldrete (27),6,1988,L
419,419.,Felipe Alou (31),6,1966,R
420,419.,Matty Alou (25),6,1964,L
421,419.,Moises Alou (31),6,1998,R
422,419.,Sandy Amoros (25),6,1955,L
423,419.,Sandy Amoros (27),6,1957,L
424,419.,Brady Anderson (29),6,1993,L
425,419.,Nori Aoki (33),6,2015,R
426,419.,Bob Bailor (28),6,1980,R
427,419.,Danny Bautista (26),6,1998,R
428,419.,Don Baylor (24),6,1973,R
429,419.,Lance Berkman (24),6,2000,L
430,419.,Gregor Blanco (29),6,2013,L
431,419.,Barry Bonds (27),6,1992,L
432,419.,Gates Brown (26),6,1965,R
433,419.,Bill Buckner (24),6,1974,L
434,419.,Al Bumbry (29),6,1976,R
435,419.,Eric Byrnes (28),6,2004,R
436,419.,Joe Carter (31),6,1991,R
437,419.,Rico Carty (26),6,1966,R
438,419.,Michael Conforto (25),6,2018,R
439,419.,Jeff Conine (37),6,2003,R
440,419.,Jose Constanza (28),6,2012,L
441,419.,Collin Cowgill (28),6,2014,L
442,419.,Trevor Crowe (26),6,2010,R
443,419.,Jose Cruz (36),6,1984,L
444,419.,Ron Davis (25),6,1967,R
445,419.,David DeJesus (26),6,2006,L
446,419.,Brian Downing (31),6,1982,R
447,419.,Adam Dunn (24),6,2004,R
448,419.,Jim Edmonds (24),6,1994,L
449,419.,Brandon Fahey (25),6,2006,R
450,419.,Derek Fisher (25),6,2019,R
451,419.,George Foster (27),6,1976,R
452,419.,George Foster (31),6,1980,R
453,419.,Sam Fuld (29),6,2011,L
454,419.,Sam Fuld (33),6,2015,L
455,419.,Kirk Gibson (31),6,1988,L
456,419.,Jim Gilliam (27),6,1956,R
457,419.,Jim Gilliam (29),6,1958,R
458,419.,Tom Goodwin (27),6,1996,R
459,419.,Jesus Guzman (28),6,2012,R
460,419.,Josh Hamilton (30),6,2011,L
461,419.,Tommy Harper (23),6,1964,R
462,419.,Jim Holt (26),6,1970,R
463,419.,Thomas Howard (27),6,1992,R
464,419.,Wilbur Howard (28),6,1977,R
465,419.,Pete Incaviglia (24),6,1988,R
466,419.,Pete Incaviglia (29),6,1993,R
467,419.,Jon Jay (33),6,2018,L
468,419.,Matthew Joyce (23),6,2008,R
469,419.,Steve Kemp (26),6,1981,L
470,419.,Ed Kirkpatrick (24),6,1969,R
471,419.,Andy Kosco (24),6,1966,R
472,419.,Harvey Kuenn (30),6,1961,R
473,419.,Leron Lee (26),6,1974,R
474,419.,Jeffrey Leonard (27),6,1983,R
475,419.,Fred Lewis (27),6,2008,R
476,419.,Adam Lind (23),6,2007,L
477,419.,Terrence Long (28),6,2004,L
478,419.,Ryan Ludwick (33),6,2012,L
479,419.,Shane Mack (27),6,1991,R
480,419.,Candy Maldonado (30),6,1991,R
481,419.,Hideki Matsui (33),6,2007,R
482,419.,Gary Matthews (25),6,2000,R
483,419.,Charlie Maxwell (33),6,1960,L
484,419.,Derrick May (29),6,1998,R
485,419.,Darnell McDonald (31),6,2010,R
486,419.,Hal McRae (28),6,1974,R
487,419.,Kevin McReynolds (29),6,1989,R
488,419.,Kevin Mench (26),6,2004,R
489,419.,Jason Michaels (30),6,2006,R
490,419.,Minnie Minoso (31),6,1957,R
491,419.,Minnie Minoso (32),6,1958,R
492,419.,Mike Morse (30),6,2012,R
493,419.,Curt Motton (27),6,1968,R
494,419.,Jerry Mumphrey (26),6,1979,R
495,419.,Stan Musial+ (40),6,1961,L
496,419.,Daniel Nava (29),6,2012,L
497,419.,Marc Newfield (22),6,1995,R
498,419.,Reid Nichols (27),6,1986,R
499,419.,Brandon Nimmo (24),6,2017,R
