,Rank,Player (age that year),Double Plays Turned as CF (s.1901),Year,Throws
47,48.,Tommie Agee (23),7,1966,R
48,48.,Jimmy Barrett (29),7,1904,R
49,48.,Johnny Bates (26),7,1910,L
50,48.,Ginger Beaumont (27),7,1904,R
51,48.,Ping Bodie (31),7,1919,R
52,48.,Melky Cabrera (26),7,2011,L
53,48.,Vin Campbell (24),7,1912,R
54,48.,Jose Cardenal (24),7,1968,R
55,48.,Ben Chapman (26),7,1935,R
56,48.,Ty Cobb+ (30),7,1917,R
57,48.,Earle Combs+ (29),7,1928,R
58,48.,Dom DiMaggio (25),7,1942,R
59,48.,Goose Goslin+ (25),7,1926,R
60,48.,Emmet Heidrick (27),7,1904,R
61,48.,Danny Hoffman (29),7,1909,L
62,48.,Charlie Jones (29),7,1905,R
63,48.,Charlie Jones (30),7,1906,R
64,48.,Benny Kauff (26),7,1916,L
65,48.,Tommy Leach (34),7,1912,R
66,48.,Tommy Leach (36),7,1914,R
67,48.,Armando Marsans (28),7,1916,R
68,48.,Terry Moore (24),7,1936,R
69,48.,Hi Myers (26),7,1915,R
70,48.,Burt Shotton (27),7,1912,R
71,48.,Homer Smoot (26),7,1904,R
72,48.,Fred Snodgrass (23),7,1911,R
73,48.,Denny Sothern (24),7,1928,R
74,48.,Tris Speaker+ (34),7,1922,L
75,48.,Chick Stahl (33),7,1906,L
76,48.,Jigger Statz (25),7,1923,R
77,48.,Bobby Thomson (26),7,1950,R
78,79.,Richie Ashburn+ (24),6,1951,R
79,79.,Richie Ashburn+ (30),6,1957,R
80,79.,Harry Bay (26),6,1904,L
81,79.,Fred Beck (23),6,1910,L
82,79.,Carlos Beltran (24),6,2001,R
83,79.,Carlos Beltran (29),6,2006,R
84,79.,Bob Bescher (30),6,1914,L
85,79.,Joe Birmingham (22),6,1907,R
86,79.,Ping Bodie (23),6,1911,R
87,79.,Roger Bresnahan+ (25),6,1904,R
88,79.,Bill Bruton (29),6,1955,R
89,79.,Max Carey+ (31),6,1921,R
90,79.,Chet Chadbourne (30),6,1915,R
91,79.,Ty Cobb+ (37),6,1924,R
92,79.,Doc Cramer (30),6,1936,R
93,79.,Doc Cramer (36),6,1942,R
94,79.,Leon Culberson (26),6,1945,R
95,79.,Chad Curtis (24),6,1993,R
96,79.,Kiddo Davis (30),6,1932,R
97,79.,Kiddo Davis (32),6,1934,R
98,79.,Chuck Diering (31),6,1954,R
99,79.,Larry Doby+ (30),6,1954,R
100,79.,J.D. Drew (23),6,1999,R
101,79.,Steve Finley (33),6,1998,L
102,79.,Ken Griffey Jr.+ (19),6,1989,L
103,79.,Tommy Holmes (27),6,1944,L
104,79.,Sam Jethroe (33),6,1950,R
105,79.,Adam Jones (24),6,2010,R
106,79.,Andruw Jones (21),6,1998,R
107,79.,Andruw Jones (24),6,2001,R
108,79.,Fielder Jones (33),6,1905,R
109,79.,Fielder Jones (34),6,1906,R
110,79.,Fielder Jones (35),6,1907,R
111,79.,Benny Kauff (25),6,1915,L
112,79.,Tommy Leach (29),6,1907,R
113,79.,Lee Magee (25),6,1914,R
114,79.,Willie Mays+ (25),6,1956,R
115,79.,Alex Metzler (24),6,1927,R
116,79.,Clyde Milan (21),6,1908,R
117,79.,Clyde Milan (25),6,1912,R
118,79.,Clyde Milan (26),6,1913,R
119,79.,Hi Myers (27),6,1916,R
120,79.,Bill North (25),6,1973,R
121,79.,Rebel Oakes (28),6,1912,R
122,79.,Rube Oldring (26),6,1910,R
123,79.,Amos Otis (23),6,1970,R
124,79.,Dode Paskert (29),6,1911,R
125,79.,Dave Philley (28),6,1948,R
126,79.,Harry Rice (27),6,1929,R
127,79.,Sam Rice+ (30),6,1920,R
128,79.,Edd Roush+ (26),6,1919,L
129,79.,Edd Roush+ (27),6,1920,L
130,79.,Fred Schulte (27),6,1928,R
131,79.,Cy Seymour (31),6,1904,L
132,79.,Cy Seymour (33),6,1906,L
133,79.,Burt Shotton (29),6,1914,R
134,79.,Jimmy Slagle (33),6,1907,R
135,79.,Homer Smoot (27),6,1905,R
136,79.,Tris Speaker+ (22),6,1910,L
137,79.,Tris Speaker+ (23),6,1911,L
138,79.,Tris Speaker+ (29),6,1917,L
139,79.,Tris Speaker+ (30),6,1918,L
140,79.,Amos Strunk (28),6,1917,L
141,79.,Roy Thomas (31),6,1905,L
142,79.,Roy Thomas (32),6,1906,L
143,79.,Lloyd Waner+ (23),6,1929,R
144,79.,Jimmy Welsh (24),6,1927,R
145,79.,Sam West (32),6,1937,L
146,79.,Cy Williams (29),6,1917,L
147,79.,Mookie Wilson (28),6,1984,R
148,79.,Chris Young (26),6,2010,R
149,79.,Gerald Young (24),6,1989,R
150,79.,Dutch Zwilling (26),6,1915,L
151,152.,Ethan Allen (31),5,1935,R
152,152.,Richie Ashburn+ (25),5,1952,R
153,152.,Earl Averill+ (28),5,1930,R
154,152.,Johnny Bates (22),5,1906,L
155,152.,Harry Bay (27),5,1905,L
156,152.,Ginger Beaumont (28),5,1905,R
157,152.,Gus Bell (24),5,1953,R
158,152.,Wally Berger (25),5,1931,R
159,152.,Ken Berry (31),5,1972,R
160,152.,Joe Birmingham (23),5,1908,R
161,152.,Paul Blair (25),5,1969,R
162,152.,Bill Bruton (27),5,1953,R
163,152.,Brett Butler (28),5,1985,L
164,152.,Rip Cannell (25),5,1905,R
165,152.,Cesar Cedeno (25),5,1976,R
166,152.,Sam Chapman (25),5,1941,R
167,152.,Endy Chavez (26),5,2004,L
168,152.,Ty Cobb+ (25),5,1912,R
169,152.,Earle Combs+ (30),5,1929,R
170,152.,Duff Cooley (32),5,1905,R
171,152.,Bert Daniels (28),5,1911,R
172,152.,Vic Davalillo (24),5,1964,L
173,152.,Joe DiMaggio+ (26),5,1941,R
174,152.,Vince DiMaggio (29),5,1942,R
175,152.,Mike Donlin (27),5,1905,L
176,152.,Vern Duncan (24),5,1914,R
177,152.,Lenny Dykstra (27),5,1990,L
178,152.,Jarrod Dyson (32),5,2017,R
179,152.,Jim Edmonds (33),5,2003,L
180,152.,Ike Eichrodt (24),5,1927,R
181,152.,Happy Felsch (24),5,1916,R
182,152.,Curt Flood (24),5,1962,R
183,152.,Cito Gaston (25),5,1969,R
184,152.,Cesar Geronimo (27),5,1975,L
185,152.,Carden Gillenwater (28),5,1945,R
186,152.,Ken Griffey Jr.+ (29),5,1999,L
187,152.,Johnny Groth (26),5,1953,R
188,152.,Mule Haas (26),5,1930,R
189,152.,Charlie Hanford (32),5,1914,R
190,152.,Billy Hatcher (26),5,1987,R
191,152.,Danny Hoffman (28),5,1908,L
192,152.,Solly Hofman (28),5,1911,R
193,152.,Adam Jones (25),5,2011,R
194,152.,Von Joshua (28),5,1976,L
195,152.,Matt Kemp (26),5,2011,R
196,152.,Tommy Leach (35),5,1913,R
197,152.,Don Lock (26),5,1963,R
198,152.,Garry Maddox (25),5,1975,R
199,152.,Billy Maloney (28),5,1906,R
200,152.,Billy Maloney (29),5,1907,R
201,152.,Les Mann (21),5,1914,R
202,152.,Mickey Mantle+ (22),5,1954,R
203,152.,Andrew McCutchen (24),5,2011,R
204,152.,Rick Monday (21),5,1967,L
205,152.,Rick Monday (28),5,1974,L
206,152.,Herbie Moran (28),5,1912,R
207,152.,Lloyd Moseby (30),5,1990,R
208,152.,Johnny Mostil (27),5,1923,R
209,152.,Johnny Mostil (29),5,1925,R
210,152.,Hi Myers (31),5,1920,R
211,152.,Hi Myers (32),5,1921,R
212,152.,Irv Noren (25),5,1950,L
213,152.,Rebel Oakes (27),5,1911,R
214,152.,Amos Otis (32),5,1979,R
215,152.,Dode Paskert (30),5,1912,R
216,152.,Corey Patterson (24),5,2004,R
217,152.,Albie Pearson (28),5,1963,L
218,152.,Gary Pettis (27),5,1985,R
219,152.,Juan Pierre (25),5,2003,L
220,152.,Ray Powell (31),5,1920,R
221,152.,Kirby Puckett+ (25),5,1985,R
222,152.,Kirby Puckett+ (31),5,1991,R
223,152.,Jim Rivera (31),5,1953,L
224,152.,Edd Roush+ (36),5,1929,L
225,152.,Johnny Rucker (24),5,1941,R
226,152.,Tony Scott (27),5,1979,R
227,152.,Al Simmons+ (24),5,1926,R
228,152.,Jimmy Slagle (32),5,1906,R
229,152.,Jack Smith (23),5,1918,L
230,152.,Fred Snodgrass (28),5,1916,R
231,152.,Tuck Stainback (33),5,1945,R
232,152.,Jigger Statz (26),5,1924,R
233,152.,Jigger Statz (29),5,1927,R
234,152.,Roy Thomas (30),5,1904,L
235,152.,Roy Thomas (34),5,1908,L
236,152.,Jack Tobin (26),5,1918,L
237,152.,Ty Tyson (34),5,1926,R
238,152.,Melvin Upton Jr. (23),5,2008,R
239,152.,Andy Van Slyke (28),5,1989,R
240,152.,Bill Virdon (28),5,1959,R
241,152.,Lloyd Waner+ (25),5,1931,R
242,152.,Lloyd Waner+ (32),5,1938,R
243,152.,Cy Williams (33),5,1921,L
244,152.,Hack Wilson+ (26),5,1926,R
245,152.,Jim Wynn (26),5,1968,R
246,152.,Jim Wynn (29),5,1971,R
247,152.,Ernie Young (26),5,1996,R
248,249.,Ethan Allen (24),4,1928,R
249,249.,Matty Alou (30),4,1969,L
250,249.,Tony Armas (23),4,1977,R
251,249.,Richie Ashburn+ (26),4,1953,R
252,249.,Harrison Bader (25),4,2019,R
253,249.,Bob Bailor (26),4,1978,R
254,249.,Rocco Baldelli (21),4,2003,R
255,249.,Brandon Barnes (27),4,2013,R
256,249.,Johnny Bates (27),4,1911,L
257,249.,Johnny Bates (28),4,1912,L
258,249.,Ginger Beaumont (31),4,1908,R
259,249.,Rich Becker (23),4,1995,L
260,249.,Derek Bell (24),4,1993,R
261,249.,Gus Bell (27),4,1956,R
262,249.,Wally Berger (27),4,1933,R
263,249.,Carson Bigbee (24),4,1919,R
264,249.,Joe Birmingham (26),4,1911,R
265,249.,Paul Blair (29),4,1973,R
266,249.,Rick Bosetti (25),4,1979,R
267,249.,Damon Buford (27),4,1997,R
268,249.,Al Burch (24),4,1908,R
269,249.,Jim Busby (24),4,1951,R
270,249.,Jim Busby (26),4,1953,R
271,249.,Brett Butler (27),4,1984,L
272,249.,Marlon Byrd (31),4,2009,R
273,249.,Max Carey+ (32),4,1922,R
274,249.,Max Carey+ (33),4,1923,R
275,249.,Cesar Cedeno (23),4,1974,R
276,249.,Ben Chapman (27),4,1936,R
277,249.,Sam Chapman (34),4,1950,R
278,249.,Brady Clark (32),4,2005,R
279,249.,Ty Cobb+ (23),4,1910,R
280,249.,Wayne Comer (25),4,1969,R
281,249.,Harry Craft (24),4,1939,R
282,249.,Harry Craft (27),4,1942,R
283,249.,Doc Cramer (31),4,1937,R
284,249.,Doc Cramer (39),4,1945,R
285,249.,Birdie Cree (31),4,1914,R
286,249.,Coco Crisp (27),4,2007,R
287,249.,Walton Cruise (27),4,1917,R
288,249.,Jose Cruz (24),4,1972,L
289,249.,Chili Davis (22),4,1982,R
290,249.,Willie Davis (30),4,1970,L
291,249.,Jim Delsing (25),4,1951,R
292,249.,Frank Demaree (25),4,1935,R
293,249.,Dom DiMaggio (30),4,1947,R
294,249.,Dom DiMaggio (31),4,1948,R
295,249.,Dom DiMaggio (35),4,1952,R
296,249.,Joe DiMaggio+ (22),4,1937,R
297,249.,Joe DiMaggio+ (23),4,1938,R
298,249.,Vince DiMaggio (31),4,1944,R
299,249.,Vince DiMaggio (32),4,1945,R
300,249.,Taylor Douthit (26),4,1927,R
301,249.,Taylor Douthit (27),4,1928,R
302,249.,Todd Dunwoody (23),4,1998,L
303,249.,Lenny Dykstra (29),4,1992,L
304,249.,Jarrod Dyson (27),4,2012,R
305,249.,Jim Edmonds (32),4,2002,L
306,249.,Jim Edmonds (37),4,2007,L
307,249.,Bobby Estalella (33),4,1944,R
308,249.,Carl Everett (29),4,2000,R
309,249.,Happy Felsch (25),4,1917,R
310,249.,Happy Felsch (26),4,1918,R
311,249.,Steve Finley (28),4,1993,L
312,249.,Ira Flagstead (32),4,1926,R
313,249.,Ira Flagstead (33),4,1927,R
314,249.,Ira Flagstead (34),4,1928,R
315,249.,Elmer Flick+ (30),4,1906,R
316,249.,Curt Flood (23),4,1961,R
317,249.,Curt Flood (30),4,1968,R
318,249.,Liz Funk (25),4,1930,L
319,249.,Liz Funk (27),4,1932,L
320,249.,Carl Furillo (24),4,1946,R
321,249.,Joey Gathright (25),4,2006,R
322,249.,Doug Glanville (29),4,2000,R
323,249.,Doug Glanville (31),4,2002,R
324,249.,Carlos Gomez (22),4,2008,R
325,249.,Carlos Gomez (26),4,2012,R
326,249.,Curtis Granderson (26),4,2007,R
327,249.,Ken Griffey Jr.+ (21),4,1991,L
328,249.,Ken Griffey Jr.+ (22),4,1992,L
329,249.,Mule Haas (27),4,1931,R
330,249.,Chick Hafey+ (30),4,1933,R
331,249.,Jimmie Hall (25),4,1963,R
332,249.,Billy Hamilton (25),4,2016,R
333,249.,Billy Hamilton (26),4,2017,R
334,249.,Tommy Harper (31),4,1972,R
335,249.,Charlie Hemphill (32),4,1908,L
336,249.,Dave Henderson (23),4,1982,R
337,249.,Dave Henderson (25),4,1984,R
338,249.,Larry Herndon (22),4,1976,R
339,249.,Odubel Herrera (24),4,2016,R
340,249.,Myril Hoag (36),4,1944,R
341,249.,Danny Hoffman (30),4,1910,L
342,249.,Solly Hofman (26),4,1909,R
343,249.,Solly Hofman (27),4,1910,R
344,249.,Solly Hofman (29),4,1912,R
345,249.,Torii Hunter (29),4,2005,R
346,249.,Torii Hunter (30),4,2006,R
347,249.,Ender Inciarte (25),4,2016,L
348,249.,Reggie Jackson+ (26),4,1972,L
349,249.,Baby Doll Jacobson (29),4,1920,R
350,249.,Baby Doll Jacobson (32),4,1923,R
351,249.,Hal Jeffcoat (26),4,1951,R
352,249.,Sam Jethroe (34),4,1951,R
353,249.,Jay Johnstone (23),4,1969,R
354,249.,Jimmy Johnston (24),4,1914,R
355,249.,Lance Johnson (26),4,1990,L
356,249.,Adam Jones (29),4,2015,R
357,249.,Fielder Jones (32),4,1904,R
358,249.,Fielder Jones (36),4,1908,R
359,249.,Ruppert Jones (24),4,1979,L
360,249.,Wally Judnich (24),4,1940,L
361,249.,John Kane (25),4,1908,R
362,249.,Benny Kauff (27),4,1917,L
363,249.,Benny Kauff (28),4,1918,L
364,249.,Matt Kemp (24),4,2009,R
365,249.,Mark Kotsay (27),4,2003,L
366,249.,Mark Kotsay (28),4,2004,L
367,249.,Mike Kreevich (29),4,1937,R
368,249.,Mike Kreevich (31),4,1939,R
369,249.,Tommy Leach (31),4,1909,R
370,249.,Tommy Leach (32),4,1910,R
371,249.,Ron LeFlore (30),4,1978,R
372,249.,Nemo Leibold (22),4,1914,R
373,249.,Kenny Lofton (31),4,1998,L
374,249.,Peanuts Lowrey (25),4,1943,R
375,249.,Fred Lynn (24),4,1976,L
376,249.,Fred Lynn (27),4,1979,L
377,249.,Fred Lynn (28),4,1980,L
378,249.,Fred Lynn (31),4,1983,L
379,249.,Felix Mackiewicz (27),4,1945,R
380,249.,Elliott Maddox (26),4,1974,R
381,249.,Garry Maddox (31),4,1981,R
382,249.,Garry Maddox (32),4,1982,R
383,249.,Sherry Magee (30),4,1915,R
384,249.,Mitch Maier (27),4,2009,R
385,249.,Billy Maloney (30),4,1908,R
386,249.,Mickey Mantle+ (20),4,1952,R
387,249.,Jerry Martin (30),4,1979,R
388,249.,Dave May (29),4,1973,R
389,249.,Willie Mays+ (26),4,1957,R
390,249.,Willie Mays+ (33),4,1964,R
391,249.,Willie Mays+ (34),4,1965,R
392,249.,Jack McCandless (24),4,1915,R
393,249.,Jack McCarthy (36),4,1905,L
394,249.,Oddibe McDowell (22),4,1985,L
395,249.,Willie McGee (25),4,1984,R
396,249.,Willie McGee (31),4,1990,R
397,249.,Nate McLouth (27),4,2009,R
398,249.,Clyde Milan (31),4,1918,R
399,249.,Rick Miller (30),4,1978,L
400,249.,Eddie Milner (29),4,1984,L
401,249.,Terry Moore (28),4,1940,R
402,249.,Omar Moreno (24),4,1977,L
403,249.,Omar Moreno (30),4,1983,L
404,249.,Johnny Mostil (30),4,1926,R
405,249.,Dale Murphy (25),4,1981,R
406,249.,Dale Murphy (29),4,1985,R
407,249.,Bill O'Hara (27),4,1909,R
408,249.,Rebel Oakes (29),4,1913,R
409,249.,Tom Oliver (28),4,1931,R
410,249.,Tom Oliver (29),4,1932,R
411,249.,Fred Osborn (25),4,1909,R
412,249.,Amos Otis (24),4,1971,R
413,249.,Amos Otis (26),4,1973,R
414,249.,Andy Pafko (23),4,1944,R
415,249.,Andy Pafko (25),4,1946,R
416,249.,Dode Paskert (28),4,1910,R
417,249.,Dode Paskert (32),4,1914,R
418,249.,Dode Paskert (34),4,1916,R
419,249.,Corey Patterson (26),4,2006,R
420,249.,Gary Pettis (26),4,1984,R
421,249.,Gary Pettis (32),4,1990,R
422,249.,Dave Philley (30),4,1950,R
423,249.,Dave Philley (31),4,1951,R
424,249.,Vada Pinson (20),4,1959,L
425,249.,Vada Pinson (22),4,1961,L
426,249.,Jake Powell (26),4,1935,R
427,249.,Kirby Puckett+ (24),4,1984,R
428,249.,Kirby Puckett+ (28),4,1988,R
429,249.,Lenny Randle (26),4,1975,R
430,249.,Carl Reynolds (35),4,1938,R
431,249.,Sam Rice+ (32),4,1922,R
432,249.,Mickey Rivers (31),4,1980,L
433,249.,Kevin Romine (28),4,1989,R
434,249.,Edd Roush+ (22),4,1915,L
435,249.,Edd Roush+ (31),4,1924,L
436,249.,Edd Roush+ (34),4,1927,L
437,249.,Johnny Rucker (27),4,1944,R
438,249.,Fred Schulte (30),4,1931,R
439,249.,Fred Schulte (32),4,1933,R
440,249.,Cy Seymour (34),4,1907,L
441,249.,Al Shaw (33),4,1914,R
442,249.,Jimmy Slagle (31),4,1905,R
443,249.,Jack Smith (21),4,1916,L
444,249.,Tris Speaker+ (39),4,1927,L
445,249.,Chick Stahl (32),4,1905,L
446,249.,Jigger Statz (24),4,1922,R
447,249.,Amos Strunk (27),4,1916,L
448,249.,Amos Strunk (29),4,1918,L
449,249.,Willie Tasby (26),4,1959,R
450,249.,Derrel Thomas (28),4,1979,R
451,249.,Gorman Thomas (31),4,1982,R
452,249.,Roy Thomas (33),4,1907,L
453,249.,Bobby Thomson (25),4,1949,R
454,249.,Mike Trout (26),4,2018,R
455,249.,Del Unser (28),4,1973,L
456,249.,Melvin Upton Jr. (27),4,2012,R
457,249.,Andy Van Slyke (26),4,1987,R
458,249.,Shane Victorino (29),4,2010,R
459,249.,Bill Virdon (30),4,1961,R
460,249.,Harry Walker (24),4,1943,R
461,249.,Tillie Walker (28),4,1916,R
462,249.,Tillie Walker (29),4,1917,R
463,249.,Tillie Walker (30),4,1918,R
464,249.,Joe Wallis (26),4,1978,R
465,249.,Lloyd Waner+ (22),4,1928,R
466,249.,Roy Weatherly (25),4,1940,R
467,249.,Roy Weatherly (27),4,1942,R
468,249.,Vernon Wells (26),4,2005,R
469,249.,Devon White (27),4,1990,R
470,249.,Cy Williams (30),4,1918,L
471,249.,Cy Williams (32),4,1920,L
472,249.,Gerald Williams (30),4,1997,R
473,249.,Bill Wilson (25),4,1954,R
474,249.,Chief Wilson (28),4,1912,R
475,249.,Hack Wilson+ (29),4,1929,R
476,249.,Mookie Wilson (26),4,1982,R
477,249.,Preston Wilson (26),4,2001,R
478,249.,Whitey Witt (27),4,1923,R
479,249.,Robin Yount+ (30),4,1986,R
480,481.,Tommie Agee (27),3,1970,R
481,481.,Mel Almada (24),3,1937,L
482,481.,Matty Alou (27),3,1966,L
483,481.,Matty Alou (28),3,1967,L
484,481.,Maurice Archdeacon (25),3,1924,L
485,481.,Richie Ashburn+ (28),3,1955,R
486,481.,Richie Ashburn+ (29),3,1956,R
487,481.,Earl Averill+ (27),3,1929,R
488,481.,Earl Averill+ (29),3,1931,R
489,481.,Earl Averill+ (30),3,1932,R
490,481.,Earl Averill+ (31),3,1933,R
491,481.,Earl Averill+ (32),3,1934,R
492,481.,Earl Averill+ (35),3,1937,R
493,481.,Rocco Baldelli (24),3,2006,R
494,481.,Red Barnes (26),3,1930,R
495,481.,Johnny Bates (25),3,1909,L
496,481.,Ginger Beaumont (32),3,1909,R
497,481.,Beals Becker (26),3,1913,L
498,481.,Buddy Bell (20),3,1972,R
499,481.,Carlos Beltran (26),3,2003,R
