,Rank,Player (age that year),Sit. Wins Saved (WPA/LI),Year,Throws
328,327.,Brandon Webb (27),3.87,2006,R
329,327.,Ted Wilks (28),3.87,1944,R
330,331.,Spud Chandler (38),3.86,1946,R
331,331.,David Cone (31),3.86,1994,R
332,331.,Lon Warneke (25),3.86,1934,R
333,334.,Roy Halladay+ (25),3.85,2002,R
334,334.,Max Lanier (28),3.85,1944,L
335,334.,Dave Stieb (27),3.85,1985,R
336,337.,Bert Blyleven+ (24),3.84,1975,R
337,337.,Catfish Hunter+ (26),3.84,1972,R
338,337.,Jim Palmer+ (30),3.84,1976,R
339,337.,Frank Sullivan (27),3.84,1957,R
340,341.,Charlie Root (30),3.83,1929,R
341,341.,Curt Schilling (31),3.83,1998,R
342,343.,Mark Langston (32),3.82,1993,L
343,343.,Bill Walker (27),3.82,1931,L
344,345.,Jim Bunning+ (34),3.81,1966,R
345,345.,Roy Halladay+ (26),3.81,2003,R
346,345.,Ubaldo Jimenez (26),3.81,2010,R
347,345.,Tim Lincecum (24),3.81,2008,R
348,345.,Ray Starr (36),3.81,1942,R
349,345.,Justin Thompson (24),3.81,1997,L
350,345.,Barry Zito (25),3.81,2003,L
351,352.,John Burkett (36),3.80,2001,R
352,352.,Patrick Corbin (28),3.80,2018,L
353,352.,Mariano Rivera+ (26),3.80,1996,R
354,352.,Red Ruffing+ (31),3.80,1936,R
355,352.,Tommy Thomas (27),3.80,1927,R
356,357.,Felix Hernandez (24),3.78,2010,R
357,357.,Sandy Koufax+ (26),3.78,1962,L
358,357.,Johnny Morrison (27),3.78,1923,R
359,360.,Bert Blyleven+ (26),3.77,1977,R
360,360.,Tom Candiotti (33),3.77,1991,R
361,360.,Bob Knepper (24),3.77,1978,L
362,363.,Roy Halladay+ (34),3.76,2011,R
363,363.,Felix Hernandez (23),3.76,2009,R
364,363.,Max Scherzer (30),3.76,2015,R
365,363.,John Smoltz+ (38),3.76,2005,R
366,367.,Bud Black (27),3.75,1984,L
367,367.,Jose Fernandez (20),3.75,2013,R
368,367.,Corey Kluber (32),3.75,2018,R
369,367.,Greg Maddux+ (35),3.75,2001,R
370,367.,Early Wynn+ (34),3.75,1954,R
371,372.,Jacob deGrom (27),3.74,2015,R
372,372.,Burleigh Grimes+ (34),3.74,1928,R
373,372.,Clayton Kershaw (29),3.74,2017,L
374,372.,Camilo Pascual (25),3.74,1959,R
375,372.,Bret Saberhagen (21),3.74,1985,R
376,377.,Roberto Hernandez (26),3.73,2007,R
377,377.,Chris Carpenter (31),3.73,2006,R
378,377.,Dave McNally (25),3.73,1968,L
379,380.,Bob Friend (29),3.72,1960,R
380,380.,Burleigh Grimes+ (27),3.72,1921,R
381,380.,Randy Jones (25),3.72,1975,L
382,383.,Bob Feller+ (29),3.71,1948,R
383,383.,Fergie Jenkins+ (26),3.71,1969,R
384,383.,Elmer Riddle (26),3.71,1941,R
385,383.,Nolan Ryan+ (26),3.71,1973,R
386,387.,Steve Carlton+ (24),3.70,1969,L
387,387.,Larry Jansen (29),3.70,1950,R
388,387.,Jim Maloney (25),3.70,1965,R
389,387.,Charlie Morton (35),3.70,2019,R
390,387.,Justin Verlander (26),3.70,2009,R
391,392.,Jim Bunning+ (28),3.69,1960,R
392,392.,Corey Kluber (30),3.69,2016,R
393,394.,Bob Gibson+ (26),3.68,1962,R
394,394.,Hideo Nomo (26),3.68,1995,R
395,394.,Jim Perry (34),3.68,1970,R
396,394.,Chris Sale (25),3.68,2014,L
397,394.,Curt Schilling (25),3.68,1992,R
398,399.,Tommy Bridges (29),3.67,1936,R
399,399.,Johnny Sain (30),3.67,1948,R
400,399.,Brandon Webb (28),3.67,2007,R
401,402.,Roy Halladay+ (33),3.66,2010,R
402,402.,Jerry Koosman (26),3.66,1969,L
403,404.,Josh Beckett (27),3.65,2007,R
404,404.,Joe Dobson (35),3.65,1952,R
405,404.,Nolan Ryan+ (42),3.65,1989,R
406,407.,Danny MacFayden (31),3.64,1936,R
407,407.,Jon Matlack (28),3.64,1978,L
408,407.,Jamie Moyer (39),3.64,2002,L
409,407.,Don Newcombe (23),3.64,1949,R
410,407.,Tom Seaver+ (24),3.64,1969,R
411,412.,Wilbur Cooper (26),3.63,1918,L
412,412.,Bob Feller+ (28),3.63,1947,R
413,412.,Pedro Martinez+ (29),3.63,2001,R
414,412.,Bob Shawkey (29),3.63,1920,R
415,416.,Johnny Cueto (30),3.62,2016,R
416,416.,Tom Glavine+ (25),3.62,1991,L
417,416.,Phil Niekro+ (39),3.62,1978,R
418,416.,Hyun Jin Ryu (32),3.62,2019,L
419,416.,Lon Warneke (24),3.62,1933,R
420,421.,Waite Hoyt+ (21),3.61,1921,R
421,421.,Carl Hubbell+ (29),3.61,1932,L
422,421.,Pedro Martinez+ (26),3.61,1998,R
423,421.,Jim Palmer+ (24),3.61,1970,R
424,421.,Don Sutton+ (30),3.61,1975,R
425,421.,Don Sutton+ (35),3.61,1980,R
426,421.,Barry Zito (24),3.61,2002,L
427,428.,Bert Blyleven+ (23),3.60,1974,R
428,428.,Mike Garcia (25),3.60,1949,R
429,428.,Juan Guzman (25),3.60,1992,R
430,428.,Al Leiter (32),3.60,1998,L
431,432.,Vern Law (35),3.59,1965,R
432,432.,Robin Roberts+ (24),3.59,1951,R
433,432.,Ralph Terry (26),3.59,1962,R
434,435.,Carl Hubbell+ (27),3.58,1930,L
435,435.,Gary Peters (26),3.58,1963,L
436,435.,Rick Rhoden (33),3.58,1986,R
437,435.,Mike Scott (32),3.58,1987,R
438,439.,Johnny Allen (31),3.57,1936,R
439,439.,Lefty Grove+ (26),3.57,1926,L
440,439.,Frank Lary (31),3.57,1961,R
441,439.,Kenny Rogers (33),3.57,1998,L
442,439.,Bret Saberhagen (23),3.57,1987,R
443,439.,Jarrod Washburn (27),3.57,2002,L
444,445.,Mark Buehrle (22),3.56,2001,L
445,445.,Burleigh Grimes+ (26),3.56,1920,R
446,445.,Thornton Lee (34),3.56,1941,L
447,445.,Jon Lester (32),3.56,2016,L
448,445.,Scott Perry (27),3.56,1918,R
449,445.,Tom Seaver+ (23),3.56,1968,R
450,451.,Roger Clemens (31),3.55,1994,R
451,451.,Gerrit Cole (27),3.55,2018,R
452,451.,Juan Guzman (29),3.55,1996,R
453,451.,Jeff Pfeffer (28),3.55,1916,R
454,451.,Virgil Trucks (37),3.55,1954,R
455,456.,Erik Bedard (28),3.54,2007,L
456,456.,Roy Halladay+ (28),3.54,2005,R
457,456.,Herb Pennock+ (34),3.54,1928,L
458,459.,Jim Abbott (23),3.53,1991,L
459,459.,Roger Clemens (41),3.53,2004,R
460,459.,Wes Ferrell (28),3.53,1936,R
461,459.,Burt Hooton (27),3.53,1977,R
462,459.,Randy Johnson+ (30),3.53,1994,L
463,459.,David Price (29),3.53,2015,L
464,459.,Allie Reynolds (34),3.53,1951,R
465,459.,Warren Spahn+ (31),3.53,1952,L
466,467.,Pete Alexander+ (30),3.52,1917,R
467,467.,Art Ditmar (30),3.52,1959,R
468,467.,Doug Drabek (27),3.52,1990,R
469,467.,Rich Harden (26),3.52,2008,R
470,467.,Ray Kremer (29),3.52,1924,R
471,467.,David Price (26),3.52,2012,L
472,467.,Rick Reuschel (38),3.52,1987,R
473,467.,Warren Spahn+ (30),3.52,1951,L
474,467.,Fernando Valenzuela (24),3.52,1985,L
475,467.,Frank Viola (30),3.52,1990,L
476,477.,Pete Alexander+ (33),3.51,1920,R
477,477.,Ed Brandt (28),3.51,1933,L
478,477.,Madison Bumgarner (25),3.51,2015,L
479,477.,Dennis Martinez (38),3.51,1992,R
480,477.,Roy Oswalt (28),3.51,2006,R
481,477.,Gary Peters (29),3.51,1966,L
482,477.,Dizzy Trout (29),3.51,1944,R
483,484.,Doug Corbett (27),3.50,1980,R
