,Rank,Player (age that year),Fielding Independent Pitching,Year,Throws
100,101.,Bobby Mitchell (22),2.099,1878,L
101,102.,Rube Waddell+ (29),2.100,1906,L
102,103.,Eddie Cicotte (33),2.103,1917,R
103,104.,Cy Falkenberg (34),2.106,1914,R
104,104.,Bill McGunnigle (24),2.106,1879,R
105,106.,Ed Karger (24),2.107,1907,L
106,106.,Deacon Phillippe (34),2.107,1906,R
107,106.,Bob Veale (29),2.107,1965,L
108,109.,Pete Alexander+ (32),2.109,1919,R
109,109.,Jack Chesbro+ (30),2.109,1904,R
110,109.,Jack Powell (33),2.109,1908,R
111,112.,Bill Gullickson (22),2.111,1981,R
112,113.,Tom Hughes (31),2.113,1915,R
113,114.,Tom Hughes (28),2.114,1907,R
114,115.,Dave Righetti (22),2.116,1981,L
115,116.,Smoky Joe Wood (19),2.117,1909,R
116,117.,Howie Camnitz (27),2.118,1909,R
117,117.,George Mullin (27),2.118,1908,R
118,119.,Pete Alexander+ (29),2.121,1916,R
119,120.,Jim McCormick (23),2.123,1880,R
120,121.,Dwight Gooden (20),2.128,1985,R
121,121.,Randy Johnson+ (37),2.128,2001,L
122,123.,Will White (23),2.130,1878,R
123,124.,Smoky Joe Wood (21),2.132,1911,R
124,125.,Addie Joss+ (24),2.133,1904,R
125,126.,Babe Adams (37),2.135,1919,R
126,127.,Jack Pfiester (29),2.139,1907,L
127,128.,George Bradley (23),2.141,1876,R
128,129.,Joe Lake (28),2.143,1909,R
129,130.,Nick Altrock (29),2.149,1906,L
130,130.,Deacon Phillippe (30),2.149,1902,R
131,130.,Dick Rudolph (28),2.149,1916,R
132,133.,Bobby Mathews (30),2.150,1882,R
133,134.,Sandy Koufax+ (26),2.151,1962,L
134,135.,Phil Douglas (25),2.154,1915,R
135,136.,Walter Johnson+ (21),2.156,1909,R
136,137.,Fred Anderson (31),2.157,1917,R
137,137.,Mike Scott (31),2.157,1986,R
138,137.,Don Sutton+ (26),2.157,1971,R
139,140.,Bob Feller+ (27),2.158,1946,R
140,141.,Tommy Bond (22),2.161,1878,R
141,142.,Jack Powell (34),2.163,1909,R
142,143.,Fred Glade (28),2.166,1904,R
143,143.,Bobby Mathews (33),2.166,1885,R
144,145.,Eddie Plank+ (38),2.167,1914,L
145,145.,Jack Powell (31),2.167,1906,R
146,147.,Mordecai Brown+ (33),2.168,1910,R
147,147.,Ed Walsh+ (30),2.168,1911,R
148,149.,Orval Overall (26),2.169,1907,R
149,150.,Pedro Martinez+ (28),2.171,2000,R
150,151.,Art Nehf (24),2.172,1917,L
151,151.,Doc White (29),2.172,1908,L
152,153.,Harry Howell (29),2.173,1906,R
153,153.,Cy Young+ (43),2.173,1910,R
154,155.,Roger Clemens (25),2.174,1988,R
155,156.,Al Demaree (31),2.176,1916,R
156,157.,Roger Clemens (27),2.177,1990,R
157,158.,Terry Larkin (22),2.178,1878,R
158,159.,Jack Chesbro+ (33),2.180,1907,R
159,159.,Dave Davenport (25),2.180,1915,R
160,161.,Red Donahue (31),2.181,1904,R
161,162.,Christy Mathewson+ (23),2.182,1904,R
162,163.,Candy Cummings+ (27),2.187,1876,R
163,163.,Bob Ewing (33),2.187,1906,R
164,165.,Jack Pfiester (30),2.188,1908,L
165,166.,Ron Guidry (27),2.190,1978,L
166,167.,Deacon Phillippe (33),2.191,1905,R
167,168.,Eddie Plank+ (31),2.195,1907,L
168,169.,Vida Blue (21),2.198,1971,L
169,169.,Eddie Cicotte (24),2.198,1908,R
170,171.,Roy Halladay+ (34),2.199,2011,R
171,172.,Dean Chance (27),2.200,1968,R
172,173.,Doc Ayers (24),2.201,1915,R
173,174.,Bob Ewing (34),2.204,1907,R
174,175.,J.R. Richard (29),2.205,1979,R
175,176.,Heinie Berger (26),2.206,1908,R
176,176.,George Bradley (27),2.206,1880,R
177,178.,Jesse Barnes (24),2.208,1917,R
178,178.,Doc White (27),2.208,1906,L
179,180.,Pedro Martinez+ (31),2.211,2003,R
180,181.,Jack Pfiester (28),2.212,1906,L
181,182.,Jeff Tesreau (27),2.213,1915,R
182,183.,George Winter (30),2.214,1908,R
183,184.,Eppa Rixey+ (26),2.216,1917,L
184,184.,Tom Seaver+ (23),2.216,1968,R
185,184.,Bill Singer (23),2.216,1967,R
186,187.,Kid Nichols+ (34),2.217,1904,R
187,188.,John Ward+ (19),2.219,1879,R
188,189.,Cy Falkenberg (29),2.223,1909,R
189,190.,Harry Howell (31),2.224,1908,R
190,191.,Joe Lake (29),2.230,1910,R
191,192.,Yu Darvish (33),2.231,2020,R
192,193.,Kevin Brown (33),2.232,1998,R
193,193.,Larry Corcoran (20),2.232,1880,R
194,195.,Jack Quinn (30),2.233,1914,R
195,196.,Bill Bernhard (33),2.238,1904,R
196,196.,Don Sutton+ (27),2.238,1972,R
197,198.,Lee Richmond (23),2.239,1880,L
198,198.,Ben Sanders (23),2.239,1888,R
199,200.,Pedro Martinez+ (30),2.240,2002,R
200,200.,Eddie Plank+ (37),2.240,1913,L
201,202.,Dick Rudolph (29),2.241,1917,R
202,203.,Eddie Plank+ (34),2.242,1910,L
203,203.,Nap Rucker (23),2.242,1908,L
204,205.,Mike Cuellar (31),2.244,1968,L
205,205.,Addie Joss+ (26),2.244,1906,R
206,205.,Lew Moren (24),2.244,1908,R
207,208.,Dutch Leonard (25),2.245,1917,L
208,209.,Tim Keefe+ (23),2.246,1880,R
209,209.,Smoky Joe Wood (22),2.246,1912,R
210,211.,Jimmy Dygert (23),2.248,1908,R
