,Rank,Player (age that year),Def. Games as LF (s.1901),Year,Throws
133,127.,Bibb Falk (26),153,1925,L
134,127.,George Foster (34),153,1983,R
135,127.,Ralph Garr (25),153,1971,R
136,127.,Jim Greengrass (25),153,1953,R
137,127.,Matt Holliday (26),153,2006,R
138,127.,Raul Ibanez (36),153,2008,R
139,127.,Joe Vosmik (22),153,1932,R
140,141.,Moises Alou (31),152,1998,R
141,141.,Dusty Baker (28),152,1977,R
142,141.,Albert Belle (29),152,1996,R
143,141.,Lou Brock+ (35),152,1974,L
144,141.,Bill Buckner (26),152,1976,L
145,141.,George Burns (27),152,1917,R
146,141.,Fred Clarke+ (36),152,1909,R
147,141.,Luis Gonzalez (37),152,2005,R
148,141.,Matt Holliday (32),152,2012,R
149,141.,Charlie Jamieson (30),152,1923,L
150,141.,Woody Jensen (28),152,1936,L
151,141.,Chipper Jones+ (30),152,2002,R
152,141.,Charlie Keller (25),152,1942,R
153,141.,Ralph Kiner+ (24),152,1947,R
154,141.,Ralph Kiner+ (26),152,1949,R
155,141.,Duffy Lewis (27),152,1915,R
156,141.,Minnie Minoso (31),152,1957,R
157,141.,Marcell Ozuna (26),152,2017,R
158,141.,Tim Raines+ (23),152,1983,R
159,141.,Bobby Veach (27),152,1915,R
160,141.,Gary Ward (29),152,1983,R
161,141.,Zack Wheat+ (34),152,1922,R
162,141.,Richie Zisk (27),152,1976,R
163,164.,John Anderson (32),151,1906,R
164,164.,Dusty Baker (31),151,1980,R
165,164.,Bob Bescher (32),151,1916,L
166,164.,Michael Brantley (26),151,2013,L
167,164.,Ryan Braun (28),151,2012,R
168,164.,Pat Duncan (28),151,1922,R
169,164.,Adam Duvall (28),151,2017,R
170,164.,Brian Giles (31),151,2002,L
171,164.,Bernard Gilkey (29),151,1996,R
172,164.,Goose Goslin+ (30),151,1931,R
173,164.,Harmon Killebrew+ (26),151,1962,R
174,164.,Whitey Lockman (22),151,1949,R
175,164.,Gary Matthews (23),151,1974,R
176,164.,Matty McIntyre (24),151,1904,L
177,164.,Matty McIntyre (28),151,1908,L
178,164.,Minnie Minoso (34),151,1960,R
179,164.,Jim Rice+ (30),151,1983,R
180,164.,Hank Sauer (35),151,1952,R
181,164.,Justin Upton (29),151,2017,R
182,164.,Greg Vaughn (32),151,1998,R
183,164.,Billy Williams+ (31),151,1969,R
184,164.,Billy Williams+ (33),151,1971,R
185,164.,Carl Yastrzemski+ (23),151,1963,R
186,164.,Delmon Young (22),151,2008,R
187,188.,Dusty Baker (30),150,1979,R
188,188.,Jason Bay (30),150,2009,R
189,188.,Albert Belle (26),150,1993,R
190,188.,Bob Bescher (26),150,1910,L
191,188.,Barry Bonds (26),150,1991,L
192,188.,Eddie Brown (35),150,1927,R
193,188.,Melky Cabrera (30),150,2015,L
194,188.,Fred Clarke+ (35),150,1908,R
195,188.,Rocky Colavito (27),150,1961,R
196,188.,Vince Coleman (25),150,1987,R
197,188.,Del Ennis (28),150,1953,R
198,188.,Cliff Floyd (32),150,2005,R
199,188.,Bob Ganley (33),150,1908,L
200,188.,Luis Gonzalez (38),150,2006,R
201,188.,Matt Holliday (34),150,2014,R
202,188.,Ralph Kiner+ (27),150,1950,R
203,188.,Hal Lee (31),150,1936,R
204,188.,Duffy Lewis (29),150,1917,R
205,188.,Shane Mack (28),150,1992,R
206,188.,Heinie Manush+ (31),150,1933,L
207,188.,Carmelo Martinez (24),150,1985,R
208,188.,Kevin McReynolds (27),150,1987,R
209,188.,Ben Oglivie (31),150,1980,L
210,188.,Tony Phillips (37),150,1996,R
211,188.,Juan Soto (20),150,2019,L
212,188.,Justin Upton (26),150,2014,R
213,188.,Bobby Veach (28),150,1916,R
214,188.,Ted Williams+ (27),150,1946,R
215,216.,George Bell (28),149,1988,R
216,216.,Barry Bonds (25),149,1990,L
217,216.,Barry Bonds (31),149,1996,L
218,216.,Ryan Braun (24),149,2008,R
219,216.,Lou Brock+ (26),149,1965,L
220,216.,Lou Brock+ (31),149,1970,L
221,216.,Lou Brock+ (33),149,1972,L
222,216.,Tommy Davis (28),149,1967,R
223,216.,Bibb Falk (22),149,1921,L
224,216.,Brett Gardner (27),149,2011,L
225,216.,Luis Gonzalez (25),149,1993,R
226,216.,Goose Goslin+ (31),149,1932,R
227,216.,Chipper Jones+ (31),149,2003,R
228,216.,Ralph Kiner+ (29),149,1952,R
229,216.,Carlos Lee (24),149,2000,R
230,216.,Carlos Lee (30),149,2006,R
231,216.,Duffy Lewis (22),149,1910,R
232,216.,Joe Medwick+ (27),149,1939,R
233,216.,Sam Mertes (32),149,1905,R
234,216.,Dale Mitchell (27),149,1949,L
235,216.,Jo-Jo Moore (27),149,1936,R
236,216.,Juan Pierre (32),149,2010,L
237,216.,Lou Piniella (28),149,1972,R
238,216.,Manny Ramirez (33),149,2005,R
239,216.,Chet Ross (23),149,1940,R
240,216.,Jimmy Sheckard (27),149,1906,R
241,216.,Enos Slaughter+ (33),149,1949,R
242,216.,Moose Solters (31),149,1937,R
243,216.,Bobby Veach (33),149,1921,R
244,216.,Zack Wheat+ (28),149,1916,R
245,216.,Zack Wheat+ (37),149,1925,R
246,216.,Ted Williams+ (23),149,1942,R
247,216.,Delmon Young (24),149,2010,R
248,249.,Brady Anderson (28),148,1992,L
249,249.,George Bell (27),148,1987,R
250,249.,John Briggs (30),148,1974,L
251,249.,Jesse Burkett+ (36),148,1905,L
252,249.,Max Carey+ (22),148,1912,R
253,249.,Carl Crawford (24),148,2006,L
254,249.,Tommy Davis (25),148,1964,R
255,249.,Rube Ellis (25),148,1911,L
256,249.,Ralph Garr (29),148,1975,R
257,249.,Kirk Gibson (31),148,1988,L
258,249.,Luis Gonzalez (31),148,1999,R
259,249.,Alex Gordon (27),148,2011,R
260,249.,Goose Goslin+ (22),148,1923,R
261,249.,Goose Goslin+ (29),148,1930,R
262,249.,Rusty Greer (28),148,1997,L
263,249.,Steve Kemp (22),148,1977,L
264,249.,Carlos Lee (28),148,2004,R
265,249.,Danny Litwhiler (24),148,1941,R
266,249.,Greg Luzinski (26),148,1977,R
267,249.,Minnie Minoso (30),148,1956,R
268,249.,Minnie Minoso (33),148,1959,R
269,249.,Lefty O'Doul (35),148,1932,L
270,249.,Jay Payton (30),148,2003,R
271,249.,Rick Reichardt (25),148,1968,R
272,249.,George Stone (31),148,1908,L
273,249.,B.J. Surhoff (34),148,1999,R
274,249.,Zack Wheat+ (32),148,1920,R
275,249.,Zack Wheat+ (33),148,1921,R
276,277.,George Bell (26),147,1986,R
277,277.,Carson Bigbee (27),147,1922,R
278,277.,Ryan Braun (27),147,2011,R
279,277.,Jesse Burkett+ (35),147,1904,L
280,277.,Melky Cabrera (31),147,2016,L
281,277.,Jeff Conine (27),147,1993,R
282,277.,Carl Crawford (23),147,2005,L
283,277.,Carl Crawford (28),147,2010,L
284,277.,Chili Davis (29),147,1989,R
285,277.,Patsy Dougherty (30),147,1907,R
286,277.,Brett Gardner (32),147,2016,L
287,277.,Hank Greenberg+ (29),147,1940,R
288,277.,Rickey Henderson+ (30),147,1989,L
289,277.,Bob Johnson (36),147,1942,R
290,277.,Ralph Kiner+ (31),147,1954,R
291,277.,Kevin McReynolds (28),147,1988,R
292,277.,Joe Medwick+ (21),147,1933,R
293,277.,Minnie Minoso (32),147,1958,R
294,277.,Minnie Minoso (35),147,1961,R
295,277.,Kevin Mitchell (27),147,1989,R
296,277.,Marcell Ozuna (27),147,2018,R
297,277.,Tim Raines+ (26),147,1986,R
298,277.,Joe Rudi (25),147,1972,R
299,277.,Jimmy Sheckard (30),147,1909,R
300,277.,Lonnie Smith (29),147,1985,R
301,277.,Riggs Stephenson (34),147,1932,R
302,277.,Joe Vosmik (21),147,1931,R
303,277.,Joe Vosmik (25),147,1935,R
304,277.,Gee Walker (31),147,1939,R
305,277.,Ted Williams+ (32),147,1951,R
306,307.,Jason Bay (26),146,2005,R
307,307.,George Bell (31),146,1991,R
308,307.,Pat Burrell (24),146,2001,R
309,307.,Jeff Burroughs (27),146,1978,R
310,307.,Chet Chadbourne (29),146,1914,R
311,307.,Cliff Floyd (25),146,1998,R
312,307.,Luis Gonzalez (29),146,1997,R
313,307.,Luis Gonzalez (34),146,2002,R
314,307.,Alex Gordon (35),146,2019,R
315,307.,Bob Johnson (29),146,1935,R
316,307.,Charlie Keller (29),146,1946,R
317,307.,Heinie Manush+ (30),146,1932,L
318,307.,Barney McCosky (25),146,1942,R
319,307.,Austin McHenry (25),146,1921,R
320,307.,Tim Raines+ (25),146,1985,R
321,307.,Frank Robinson+ (20),146,1956,R
322,307.,Frank Schulte (32),146,1915,R
323,307.,Kip Selbach (32),146,1904,R
324,307.,Riggs Stephenson (29),146,1927,R
325,307.,Justin Upton (27),146,2015,R
326,307.,Justin Upton (28),146,2016,R
327,307.,Joe Vosmik (28),146,1938,R
328,307.,Carl Yastrzemski+ (21),146,1961,R
329,307.,Carl Yastrzemski+ (31),146,1971,R
330,331.,Dusty Baker (29),145,1978,R
331,331.,Wally Berger (24),145,1930,R
332,331.,Marty Cordova (26),145,1996,R
333,331.,Bibb Falk (28),145,1927,L
334,331.,Augie Galan (27),145,1939,R
335,331.,Goose Goslin+ (26),145,1927,R
336,331.,Goose Goslin+ (33),145,1934,R
337,331.,Jack Graney (31),145,1917,L
338,331.,Rusty Greer (30),145,1999,L
339,331.,Bobby Higginson (29),145,2000,R
340,331.,Raul Ibanez (38),145,2010,R
341,331.,Jim Lemon (32),145,1960,R
342,331.,Greg Luzinski (21),145,1972,R
343,331.,Gary Matthews (26),145,1977,R
344,331.,Gary Matthews (33),145,1984,R
345,331.,Carlos May (24),145,1972,R
346,331.,Kevin McReynolds (29),145,1989,R
347,331.,Irish Meusel (30),145,1923,R
348,331.,Rafael Palmeiro (23),145,1988,L
349,331.,Jim Rice+ (29),145,1982,R
350,331.,Jimmy Sheckard (33),145,1912,R
351,331.,Gary Sheffield (30),145,1999,R
352,331.,Alfonso Soriano (36),145,2012,R
353,331.,Bobby Veach (26),145,1914,R
354,331.,Tillie Walker (26),145,1914,R
355,331.,Roy White (27),145,1971,R
356,331.,Ken Williams (31),145,1921,R
357,331.,Ken Williams (33),145,1923,R
358,359.,Garret Anderson (29),144,2001,L
359,359.,Garret Anderson (31),144,2003,L
360,359.,Dusty Baker (33),144,1982,R
361,359.,Dante Bichette (35),144,1999,R
362,359.,Ping Bodie (29),144,1917,R
363,359.,Max Carey+ (23),144,1913,R
364,359.,Fred Clarke+ (34),144,1907,R
365,359.,Birdie Cree (30),144,1913,R
366,359.,Pat Duncan (29),144,1923,R
367,359.,Adam Dunn (27),144,2007,R
368,359.,Goose Goslin+ (35),144,1936,R
369,359.,Jack Graney (27),144,1913,L
370,359.,Ben Grieve (24),144,2000,R
371,359.,Topsy Hartsel (32),144,1906,L
372,359.,Jeff Heath (27),144,1942,R
373,359.,Ryan Klesko (25),144,1996,L
374,359.,Duffy Lewis (26),144,1914,R
375,359.,Greg Luzinski (25),144,1976,R
376,359.,Gary Matthews (22),144,1973,R
377,359.,Kevin McReynolds (30),144,1990,R
378,359.,Joe Medwick+ (22),144,1934,R
379,359.,Joe Medwick+ (26),144,1938,R
380,359.,Al Simmons+ (31),144,1933,R
381,359.,Moose Solters (30),144,1936,R
382,359.,Elmer Valo (28),144,1949,R
383,359.,Greg Vaughn (33),144,1999,R
384,359.,Joe Vosmik (29),144,1939,R
385,359.,Zack Wheat+ (26),144,1914,R
386,359.,Zack Wheat+ (27),144,1915,R
387,359.,Billy Williams+ (34),144,1972,R
388,389.,Dusty Baker (34),143,1983,R
389,389.,Bob Bescher (28),143,1912,L
390,389.,Barry Bonds (30),143,1995,L
391,389.,Barry Bonds (36),143,2001,L
392,389.,Del Ennis (30),143,1955,R
393,389.,George Foster (28),143,1977,R
394,389.,Mike Greenwell (24),143,1988,R
395,389.,Mike Greenwell (27),143,1991,R
396,389.,Topsy Hartsel (33),143,1907,L
397,389.,Charlie Jamieson (33),143,1926,L
398,389.,Jacque Jones (27),143,2002,L
399,389.,Sherry Magee (24),143,1909,R
400,389.,Heinie Manush+ (29),143,1931,L
401,389.,Minnie Minoso (27),143,1953,R
402,389.,Luis Polonia (27),143,1991,L
403,389.,Jimmy Sheckard (31),143,1910,R
404,389.,Joe Vosmik (27),143,1937,R
405,389.,Bob Watson (26),143,1972,R
406,407.,Moises Alou (36),142,2003,R
407,407.,Jason Bay (28),142,2007,R
408,407.,Albert Belle (28),142,1995,R
409,407.,George Burns (25),142,1915,R
410,407.,Vince Coleman (27),142,1989,R
411,407.,Rube Ellis (23),142,1909,L
412,407.,Cliff Floyd (28),142,2001,R
413,407.,Sid Gordon (34),142,1952,R
414,407.,Goose Goslin+ (28),142,1929,R
415,407.,Rickey Henderson+ (39),142,1998,L
416,407.,Bobby Higginson (30),142,2001,R
417,407.,Bob Johnson (38),142,1944,R
418,407.,Roy Johnson (32),142,1935,R
419,407.,Sherry Magee (23),142,1908,R
420,407.,Al Martin (28),142,1996,L
421,407.,Carmelo Martinez (23),142,1984,R
422,407.,Rip Radcliff (29),142,1935,L
423,407.,Billy Sample (28),142,1983,R
424,407.,Al Simmons+ (27),142,1929,R
425,407.,Willie Stargell+ (33),142,1973,L
426,407.,Shannon Stewart (27),142,2001,R
427,407.,Tillie Walker (33),142,1921,R
428,407.,Bob Watson (27),142,1973,R
429,407.,Gus Zernial (28),142,1951,R
430,431.,Barry Bonds (35),141,2000,L
431,431.,Rocky Colavito (29),141,1963,R
432,431.,Rube Ellis (24),141,1910,L
433,431.,George Foster (31),141,1980,R
434,431.,George Foster (35),141,1984,R
435,431.,Frank Howard (30),141,1967,R
436,431.,Shoeless Joe Jackson (32),141,1920,R
437,431.,Alex Johnson (25),141,1968,R
438,431.,Heinie Manush+ (27),141,1929,L
439,431.,Starling Marte (26),141,2015,R
440,431.,Carlos May (22),141,1970,R
441,431.,Mike Menosky (25),141,1920,R
442,431.,Walt Moryn (32),141,1958,R
443,431.,Al Oliver (33),141,1980,L
444,431.,Luis Polonia (29),141,1993,L
445,431.,Jimmy Sheckard (28),141,1907,R
446,431.,Gary Sheffield (32),141,2001,R
447,431.,Bob Skinner (26),141,1958,R
448,431.,Bob Skinner (27),141,1959,R
449,431.,Bob Skinner (28),141,1960,R
450,431.,Gus Zernial (29),141,1952,R
451,431.,Gus Zernial (30),141,1953,R
452,453.,Garret Anderson (24),140,1996,L
453,453.,Phil Bradley (30),140,1989,R
454,453.,Pat Burrell (26),140,2003,R
455,453.,Jose Cardenal (31),140,1975,R
456,453.,Dan Gladden (30),140,1988,R
457,453.,Alex Gordon (33),140,2017,R
458,453.,Goose Goslin+ (24),140,1925,R
459,453.,Tommy Harper (32),140,1973,R
460,453.,Topsy Hartsel (31),140,1905,L
461,453.,Jeff Heath (32),140,1947,R
462,453.,Rickey Henderson+ (23),140,1982,L
463,453.,Rickey Henderson+ (25),140,1984,L
464,453.,Bob Johnson (39),140,1945,R
465,453.,Charlie Keller (26),140,1943,R
466,453.,Duffy Lewis (25),140,1913,R
467,453.,Duffy Lewis (31),140,1919,R
468,453.,Joe Medwick+ (28),140,1940,R
469,453.,Joe Medwick+ (30),140,1942,R
470,453.,Dale Mitchell (26),140,1948,L
471,453.,Jo-Jo Moore (28),140,1937,R
472,453.,Johnny Rizzo (25),140,1938,R
473,453.,Joe Rudi (27),140,1974,R
474,453.,Jim Russell (25),140,1944,R
475,453.,Kyle Schwarber (26),140,2019,R
476,453.,Spike Shannon (30),140,1905,R
477,453.,Lonnie Smith (28),140,1984,R
478,453.,Shannon Stewart (25),140,1999,R
479,453.,Justin Upton (30),140,2018,R
480,453.,Gee Walker (32),140,1940,R
481,453.,Bob Watson (28),140,1974,R
482,453.,Roy White (32),140,1976,R
483,453.,Possum Whitted (27),140,1917,R
484,453.,Carl Yastrzemski+ (29),140,1969,R
485,453.,Richie Zisk (26),140,1975,R
486,487.,Dick Allen (26),139,1968,R
487,487.,Bob Allison (32),139,1967,R
488,487.,Barry Bonds (27),139,1992,L
489,487.,George Burns (29),139,1919,R
490,487.,Max Carey+ (25),139,1915,R
491,487.,Carl Crawford (25),139,2007,L
492,487.,David DeJesus (29),139,2009,L
493,487.,Hoot Evers (29),139,1950,R
494,487.,Luis Gonzalez (28),139,1996,R
495,487.,Mike Greenwell (25),139,1989,R
496,487.,Matt Holliday (28),139,2008,R
497,487.,Willie Horton (25),139,1968,R
498,487.,Charlie Jamieson (31),139,1924,L
499,487.,Bob Johnson (28),139,1934,R
