,Rank,Player (age that year),At Bats,Year,Bats
225,225.,Ron LeFlore (29),652,1977,R
226,225.,Don Mattingly (24),652,1985,L
227,225.,Felix Millan (25),652,1969,R
228,225.,Ivy Olson (35),652,1921,R
229,225.,Vada Pinson (21),652,1960,L
230,225.,Vada Pinson (24),652,1963,L
231,225.,Pete Rose (33),652,1974,B
232,225.,Steve Sax (31),652,1991,R
233,225.,Jack Wilson (26),652,2004,R
234,235.,Dave Bancroft+ (31),651,1922,B
235,235.,Joe Carter (29),651,1989,R
236,235.,Jeff Francoeur (22),651,2006,R
237,235.,Francisco Lindor (23),651,2017,B
238,235.,Neifi Perez (27),651,2000,B
239,235.,Juan Pierre (32),651,2010,L
240,235.,Steve Sax (29),651,1989,R
241,235.,Rickie Weeks (27),651,2010,R
242,243.,Don Blasingame (25),650,1957,L
243,243.,Larry Bowa (25),650,1971,B
244,243.,Lou Brock+ (34),650,1973,L
245,243.,Dave Cash (29),650,1977,R
246,243.,Chuck Klein+ (27),650,1932,L
247,243.,Carl Lind (24),650,1928,R
248,243.,Willie Montanez (28),650,1976,L
249,243.,Hunter Pence (31),650,2014,R
250,243.,Brandon Phillips (26),650,2007,R
251,243.,Vada Pinson (28),650,1967,L
252,243.,Cal Ripken Jr.+ (30),650,1991,R
253,243.,Cesar Tovar (29),650,1970,R
254,243.,Maury Wills (32),650,1965,B
255,256.,Lou Bierbauer (26),649,1892,L
256,256.,George Case (25),649,1941,R
257,256.,Doc Cramer (28),649,1934,L
258,256.,Nellie Fox+ (28),649,1956,L
259,256.,Mark Grudzielanek (27),649,1997,R
260,256.,Jo-Jo Moore (27),649,1936,L
261,256.,Wally Moses (26),649,1937,L
262,256.,Sam Rice+ (35),649,1925,L
263,256.,Pete Rose (29),649,1970,B
264,256.,George Sisler+ (32),649,1925,L
265,256.,Cesar Tovar (26),649,1967,R
266,267.,Earle Combs+ (28),648,1927,L
267,267.,Dom DiMaggio (31),648,1948,R
268,267.,Taylor Douthit (27),648,1928,R
269,267.,Tony Fernandez (26),648,1988,B
270,267.,Nellie Fox+ (24),648,1952,L
271,267.,Steve Garvey (30),648,1979,R
272,267.,Adam Jones (26),648,2012,R
273,267.,Chuck Klein+ (25),648,1930,L
274,267.,Vada Pinson (20),648,1959,L
275,267.,Red Rolfe (28),648,1937,L
276,267.,Red Rolfe (30),648,1939,L
277,267.,Red Schoendienst+ (34),648,1957,B
278,267.,Miguel Tejada (32),648,2006,R
279,267.,Billy Williams+ (28),648,1966,L
280,281.,Sparky Adams (32),647,1927,R
281,281.,Garret Anderson (28),647,2000,L
282,281.,Hank Blalock (24),647,2005,L
283,281.,Al Dark (31),647,1953,R
284,281.,Rafael Devers (22),647,2019,L
285,281.,Patsy Dougherty (27),647,1904,L
286,281.,Chick Fullis (32),647,1933,R
287,281.,Neifi Perez (25),647,1998,B
288,281.,Tim Raines+ (22),647,1982,B
289,281.,Johnny Ray (25),647,1982,B
290,281.,Jose Reyes (23),647,2006,B
