,Rank,Player (age that year),Losses,Year,Throws
437,358.,Hugh Mulcahy (24),20,1938,R
438,358.,George Mullin (26),20,1907,R
439,358.,Jack Nabors (28),20,1916,R
440,358.,Bobo Newsom (26),20,1934,R
441,358.,Bobo Newsom (33),20,1941,R
442,358.,Bobo Newsom (37),20,1945,R
443,358.,Phil Niekro+ (38),20,1977,R
444,358.,Phil Niekro+ (40),20,1979,R
445,358.,Hank O'Day+ (27),20,1887,R
446,358.,Jim Pastorius (26),20,1908,L
447,358.,Orlando Pena (29),20,1963,R
448,358.,Ken Raffensberger (26),20,1944,L
449,358.,Pedro Ramos (26),20,1961,R
450,358.,Bill Reidy (27),20,1901,R
451,358.,Gordon Rhodes (28),20,1936,R
452,358.,Bob Rush (24),20,1950,R
453,358.,Amos Rusie+ (20),20,1891,R
454,358.,Jack Russell (24),20,1930,R
455,358.,Ed Scott (29),20,1900,R
456,358.,Billy Serad (22),20,1884,R
457,358.,Charlie Smith (27),20,1907,R
458,358.,Eddie Smith (28),20,1942,L
459,358.,George Smith (29),20,1921,R
460,358.,Phenomenal Smith (23),20,1888,L
461,358.,Tracy Stallard (26),20,1964,R
462,358.,Chuck Stobbs (27),20,1957,L
463,358.,Mel Stottlemyre (24),20,1966,R
464,358.,Willie Sudhoff (30),20,1905,R
465,358.,Jack Taylor (24),20,1897,R
466,358.,Luis Tiant (28),20,1969,R
467,358.,Lee Viau (22),20,1889,R
468,358.,Alex Voss (26),20,1884,R
469,358.,Ed Walsh+ (29),20,1910,R
470,358.,Gus Weyhing (24),20,1891,R
471,358.,Doc White (23),20,1902,L
472,358.,Wild Bill Widner (22),20,1889,R
473,358.,Stump Weidman (21),20,1882,R
474,358.,Bill Wight (26),20,1948,L
475,358.,Kaiser Wilhelm (27),20,1904,R
476,358.,Roy Wilkinson (28),20,1921,R
477,358.,Vic Willis+ (26),20,1902,R
478,358.,Wilbur Wood (31),20,1973,L
479,358.,Wilbur Wood (33),20,1975,L
480,358.,Clyde Wright (33),20,1974,L
481,358.,George Zettlein (31),20,1876,R
482,483.,Chris Archer (27),19,2016,R
483,483.,Steve Arlin (25),19,1971,R
484,483.,Kirtley Baker (21),19,1890,R
485,483.,Fred Beebe (27),19,1907,R
486,483.,Joe Benz (28),19,1914,R
487,483.,Jim Bibby (29),19,1974,R
488,483.,George Blaeholder (29),19,1933,R
489,483.,Vida Blue (27),19,1977,L
490,483.,Jeremy Bonderman (20),19,2003,R
491,483.,Tommy Bond (22),19,1878,R
492,483.,Tommy Bond (23),19,1879,R
493,483.,George Bradley (23),19,1876,R
494,483.,Ed Brandt (30),19,1935,L
495,483.,Theodore Breitenstein (23),19,1892,L
496,483.,Lou Brissie (26),19,1950,L
497,483.,George Brunet (32),19,1967,L
498,483.,Howie Camnitz (32),19,1914,R
499,483.,Steve Carlton+ (25),19,1970,L
500,483.,Ownie Carroll (29),19,1932,R
501,483.,George Caster (29),19,1937,R
502,483.,George Caster (32),19,1940,R
503,483.,Ken Chase (25),19,1939,L
504,483.,Eddie Cicotte (34),19,1918,R
505,483.,Galen Cisco (28),19,1964,R
506,483.,John Clarkson+ (27),19,1889,R
507,483.,John Clarkson+ (29),19,1891,R
508,483.,Watty Clark (27),19,1929,L
509,483.,Jim Conway (30),19,1889,R
510,483.,Wilbur Cooper (31),19,1923,L
511,483.,Ed Crane (28),19,1890,R
512,483.,Bert Cunningham (23),19,1889,R
513,483.,Omar Daal (28),19,2000,L
514,483.,Hugh Daily (35),19,1883,R
515,483.,Jose DeLeon (24),19,1985,R
516,483.,Jose DeLeon (29),19,1990,R
517,483.,Paul Derringer (29),19,1936,R
518,483.,Murry Dickson (36),19,1953,R
519,483.,Walt Dickson (33),19,1912,R
520,483.,Walt Dickson (35),19,1914,R
521,483.,Bill Dinneen (30),19,1906,R
522,483.,Ed Doheny (24),19,1898,L
523,483.,Gus Dorner (31),19,1908,R
524,483.,Bill Duggleby (32),19,1906,R
525,483.,Jesse Duryea (29),19,1889,R
526,483.,Red Ehret (26),19,1895,R
527,483.,Sammy Ellis (25),19,1966,R
528,483.,Scott Erickson (25),19,1993,R
529,483.,Roy Evans (28),19,1902,R
530,483.,Bob Ewing (34),19,1907,R
531,483.,Wes Ferrell (29),19,1937,R
532,483.,Howie Fox (28),19,1949,R
