,Rank,Player (age that year),Range Factor/9Inn as 2B,Year,Throws
195,196.,John Farrell (25),6.169,1902,R
196,196.,Bernie Friberg (25),6.169,1925,R
197,196.,Freddie Maguire (31),6.169,1930,R
198,199.,Rabbit Maranville+ (32),6.165,1924,R
199,200.,Hughie Critz (25),6.163,1926,R
200,200.,Joe Gerhardt (23),6.163,1878,R
201,202.,Hughie Critz (23),6.161,1924,R
202,203.,Lou Stringer (24),6.160,1941,R
203,204.,Fred Dunlap (27),6.158,1886,R
204,205.,Cupid Childs (30),6.156,1898,R
205,206.,Rocky Bridges (25),6.155,1953,R
206,206.,Snuffy Stirnweiss (26),6.155,1945,R
207,208.,Bucky Harris+ (26),6.154,1923,R
208,208.,Joe Quest (27),6.154,1880,R
209,210.,Tom Daly (33),6.153,1899,R
210,211.,Fresco Thompson (25),6.151,1927,R
211,212.,Gracie Pierce (22),6.150,1882,R
212,213.,Clyde Beck (27),6.144,1927,R
213,214.,George Strief (26),6.142,1883,R
214,215.,Hughie Critz (29),6.140,1930,R
215,215.,Bid McPhee+ (22),6.140,1882,R
216,217.,Emil Verban (31),6.138,1947,R
217,218.,Sam Bohne (25),6.134,1922,R
218,219.,Tom Carey (29),6.132,1936,R
219,220.,Bruno Betzel (21),6.131,1916,R
220,221.,Bobby Doerr+ (28),6.129,1946,R
221,222.,Ski Melillo (32),6.127,1932,R
222,223.,Frankie Frisch+ (30),6.126,1928,R
223,224.,Nap Lajoie+ (25),6.124,1900,R
224,225.,Burgess Whitehead (27),6.121,1937,R
225,226.,Boze Berger (25),6.118,1935,R
226,227.,Freddie Maguire (30),6.114,1929,R
227,227.,George Shoch (38),6.114,1897,R
228,229.,Sam Bohne (26),6.113,1923,R
229,230.,Pete Suder (35),6.112,1951,R
230,231.,Danny O'Connell (26),6.110,1955,R
231,232.,Jackie Hayes (30),6.109,1937,R
232,233.,Hobe Ferris (32),6.108,1907,R
233,234.,Footsie Blair (29),6.107,1930,R
234,234.,Cub Stricker (31),6.107,1890,R
235,236.,Nap Lajoie+ (23),6.106,1898,R
236,236.,Bill Regan (31),6.106,1930,R
237,238.,Red Schoendienst+ (29),6.105,1952,R
238,239.,Don Blasingame (24),6.104,1956,R
239,239.,Charlie Gehringer+ (33),6.104,1936,R
240,239.,Bobby Lowe (29),6.104,1895,R
241,242.,Rennie Stennett (22),6.101,1973,R
