,Rank,Player (age that year),Runs Batted In,Year,Bats
388,373.,Bug Holliday (27),123,1894,R
389,373.,Raul Ibanez (34),123,2006,L
390,373.,Ralph Kiner+ (25),123,1948,R
391,373.,Sherry Magee (25),123,1910,R
392,373.,Tino Martinez (30),123,1998,L
393,373.,Willie Mays+ (30),123,1961,R
394,373.,Mark McGwire (33),123,1997,R
395,373.,Stan Musial+ (28),123,1949,L
396,373.,Billy Nash (28),123,1893,R
397,373.,Tip O'Neill (27),123,1887,R
398,373.,Mel Ott+ (23),123,1932,L
399,373.,Rafael Palmeiro (36),123,2001,L
400,373.,Albert Pujols (24),123,2004,R
401,373.,Alex Rodriguez (20),123,1996,R
402,373.,Ron Santo+ (29),123,1969,R
403,373.,Gary Sheffield (36),123,2005,R
404,373.,Gorman Thomas (28),123,1979,R
405,373.,Larry Walker+ (34),123,2001,L
406,373.,Tim Wallach (29),123,1987,R
407,373.,Vic Wertz (25),123,1950,L
408,373.,Ted Williams+ (27),123,1946,L
409,373.,Hack Wilson+ (32),123,1932,R
410,411.,Jake Beckley+ (26),122,1894,L
411,411.,Dante Bichette (34),122,1998,R
412,411.,Barry Bonds (33),122,1998,L
413,411.,Jose Canseco (26),122,1991,R
414,411.,Ben Chapman (22),122,1931,R
415,411.,Ripper Collins (31),122,1935,B
416,411.,Cecil Cooper (30),122,1980,L
417,411.,Walker Cooper (32),122,1947,R
418,411.,Joe DiMaggio+ (35),122,1950,R
419,411.,Buck Ewing+ (33),122,1893,R
420,411.,Buck Freeman (27),122,1899,L
421,411.,Nomar Garciaparra (24),122,1998,R
422,411.,Jason Giambi (31),122,2002,L
423,411.,Gabby Hartnett+ (29),122,1930,R
424,411.,Richard Hidalgo (25),122,2000,R
425,411.,Gil Hodges (29),122,1953,R
426,411.,Baby Doll Jacobson (29),122,1920,R
427,411.,Jackie Jensen (31),122,1958,R
428,411.,Charlie Keller (24),122,1941,L
429,411.,High Pockets Kelly+ (25),122,1921,R
430,411.,Harmon Killebrew+ (25),122,1961,R
431,411.,Fred Lynn (27),122,1979,L
432,411.,Joe Medwick+ (26),122,1938,R
433,411.,Bill Nicholson (29),122,1944,L
434,411.,Lefty O'Doul (32),122,1929,L
435,411.,Tony Perez+ (27),122,1969,R
436,411.,Manny Ramirez (28),122,2000,R
437,411.,Jim Rice+ (31),122,1984,R
438,411.,Frank Robinson+ (30),122,1966,R
439,411.,George Sisler+ (27),122,1920,L
440,411.,Mark Teixeira (29),122,2009,B
441,411.,Billy Williams+ (34),122,1972,L
442,411.,Matt Williams (24),122,1990,R
443,444.,Adrian Beltre (25),121,2004,R
444,444.,Wally Berger (28),121,1934,R
445,444.,Jay Buhner (30),121,1995,R
446,444.,Joe Carter (26),121,1986,R
447,444.,Joe Carter (33),121,1993,R
448,444.,Cecil Cooper (32),121,1982,L
449,444.,George Foster (27),121,1976,R
450,444.,Buck Freeman (30),121,1902,L
451,444.,Freddie Freeman (29),121,2019,L
452,444.,Andres Galarraga (37),121,1998,R
453,444.,Johnny Hodapp (24),121,1930,R
454,444.,Monte Irvin+ (32),121,1951,R
455,444.,Shoeless Joe Jackson (32),121,1920,L
456,444.,Hughie Jennings+ (27),121,1896,R
457,444.,Bob Johnson (30),121,1936,R
458,444.,Jeff Kent (29),121,1997,R
459,444.,Chuck Klein+ (26),121,1931,L
460,444.,Tony Lazzeri+ (26),121,1930,R
461,444.,Dale Murphy (27),121,1983,R
462,444.,Rafael Palmeiro (33),121,1998,L
463,444.,Carlos Pena (29),121,2007,L
464,444.,Boog Powell (27),121,1969,L
465,444.,Kirby Puckett+ (28),121,1988,R
466,444.,Manny Ramirez (36),121,2008,R
467,444.,Alex Rodriguez (30),121,2006,R
468,444.,Hank Sauer (35),121,1952,R
469,444.,Mike Schmidt+ (30),121,1980,R
470,444.,Richie Sexson (30),121,2005,R
471,444.,Cy Seymour (32),121,1905,L
472,444.,Gary Sheffield (35),121,2004,R
473,444.,Rusty Staub (34),121,1978,L
474,444.,Jake Stenzel (27),121,1894,R
475,444.,Mark Teixeira (28),121,2008,B
476,444.,Bill Terry+ (28),121,1927,L
477,444.,Bernie Williams (31),121,2000,B
478,444.,Preston Wilson (25),121,2000,R
479,444.,Glenn Wright (24),121,1925,R
480,444.,Carl Yastrzemski+ (27),121,1967,L
481,482.,Hank Aaron+ (27),120,1961,R
482,482.,Roberto Alomar+ (31),120,1999,B
483,482.,Pete Alonso (24),120,2019,R
484,482.,Cap Anson+ (39),120,1891,R
485,482.,Garrett Atkins (26),120,2006,R
486,482.,Jeff Bagwell+ (28),120,1996,R
487,482.,Bobby Bonilla (27),120,1990,B
488,482.,Jim Bottomley+ (26),120,1926,L
489,482.,Dolph Camilli (34),120,1941,L
490,482.,Sam Crawford+ (30),120,1910,L
491,482.,Bobby Doerr+ (32),120,1950,R
492,482.,Jermaine Dye (32),120,2006,R
493,482.,Del Ennis (30),120,1955,R
494,482.,Prince Fielder (27),120,2011,L
495,482.,George Foster (29),120,1978,R
496,482.,Jimmie Foxx+ (23),120,1931,R
497,482.,Nomar Garciaparra (28),120,2002,R
498,482.,Larry Gardner (35),120,1921,L
499,482.,Lou Gehrig+ (32),120,1935,L
500,482.,Jason Giambi (30),120,2001,L
501,482.,Paul Goldschmidt (29),120,2017,R
502,482.,Goose Goslin+ (26),120,1927,L
503,482.,Harry Heilmann+ (32),120,1927,R
504,482.,Harry Heilmann+ (34),120,1929,R
505,482.,David Justice (27),120,1993,L
506,482.,Chuck Klein+ (28),120,1933,L
507,482.,Mike Lowell (33),120,2007,R
508,482.,Greg Luzinski (24),120,1975,R
509,482.,Hank Majeski (31),120,1948,R
510,482.,Rafael Palmeiro (35),120,2000,L
511,482.,Gary Sheffield (27),120,1996,R
512,482.,Robin Ventura (31),120,1999,L
513,482.,Ted Williams+ (22),120,1941,L
514,482.,Hack Wilson+ (28),120,1928,R
