,Rank,Player (age that year),Hit By Pitch,Year,Throws
522,481.,Ned Garvin (27),14,1901,R
523,481.,Harry Gaspar (28),14,1911,R
524,481.,Dillon Gee (25),14,2011,R
525,481.,Bill George (22),14,1887,L
526,481.,Bill Greif (24),14,1974,R
527,481.,Clark Griffith+ (24),14,1894,R
528,481.,Clark Griffith+ (29),14,1899,R
529,481.,Ad Gumbert (21),14,1889,R
530,481.,Ad Gumbert (24),14,1892,R
531,481.,Jeremy Guthrie (35),14,2014,R
532,481.,George Haddock (23),14,1890,R
533,481.,George Haddock (24),14,1891,R
534,481.,George Haddock (25),14,1892,R
535,481.,Tommy Hanson (23),14,2010,R
536,481.,Joe Horlen (30),14,1968,R
537,481.,Jay Hughes (25),14,1899,R
538,481.,Randy Johnson+ (34),14,1998,L
539,481.,Walter Johnson+ (29),14,1917,R
540,481.,Sam Jones (29),14,1955,R
541,481.,Kyle Kendrick (23),14,2008,R
542,481.,Ian Kennedy (27),14,2012,R
543,481.,Frank Killen (25),14,1896,L
544,481.,Byung-Hyun Kim (26),14,2005,R
545,481.,Ken Kravec (27),14,1979,L
546,481.,Lefty Leifield (22),14,1906,L
547,481.,Dutch Leonard (23),14,1915,L
548,481.,Mickey Lolich (28),14,1969,L
549,481.,Jim Lonborg (29),14,1971,R
550,481.,Greg Maddux+ (26),14,1992,R
551,481.,Pedro Martinez+ (28),14,2000,R
552,481.,Erskine Mayer (25),14,1915,R
553,481.,Jakie May (23),14,1919,L
554,481.,Jakie May (31),14,1927,L
555,481.,Al Mays (21),14,1886,R
556,481.,Carl Mays (25),14,1917,R
557,481.,Ken McBride (27),14,1963,R
558,481.,Danny McDevitt (26),14,1959,L
559,481.,Willie McGill (19),14,1893,L
560,481.,Joe McGinnity+ (34),14,1905,R
561,481.,Harry McIntire (27),14,1906,R
562,481.,Sadie McMahon (21),14,1889,R
563,481.,Lee Meadows (21),14,1916,R
564,481.,Pete Meegan (21),14,1884,
565,481.,Win Mercer (20),14,1894,R
566,481.,Roscoe Miller (25),14,1902,R
567,481.,Ed Morris (22),14,1885,L
568,481.,Matt Morris (31),14,2006,R
569,481.,George Mullin (29),14,1910,R
570,481.,Elmer Myers (22),14,1916,R
571,481.,Kid Nichols+ (28),14,1898,R
572,481.,Bud Norris (29),14,2014,R
573,481.,Ivan Nova (26),14,2013,R
574,481.,Ole Olsen (27),14,1922,R
575,481.,Orval Overall (24),14,1905,R
576,481.,Micah Owings (24),14,2007,R
577,481.,Chan Ho Park (26),14,1999,R
578,481.,Roy Parmelee (26),14,1933,R
579,481.,George Pechiney (24),14,1886,R
580,481.,Bill Phillips (30),14,1899,R
581,481.,Bill Piercy (27),14,1923,R
582,481.,Togie Pittinger (32),14,1904,R
583,481.,Eddie Plank+ (35),14,1911,L
584,481.,Bob Purkey (32),14,1962,R
585,481.,Old Hoss Radbourn+ (32),14,1887,R
586,481.,Bugs Raymond (26),14,1908,R
587,481.,Bob Rhoads (27),14,1907,R
588,481.,Ricky Romero (26),14,2011,L
589,481.,Nap Rucker (24),14,1909,L
590,481.,Chris Sale (24),14,2013,L
591,481.,Chris Sale (29),14,2018,L
592,481.,Ray Scarborough (33),14,1951,R
593,481.,Crazy Schmit (33),14,1899,L
594,481.,Scott Schoeneweis (27),14,2001,L
595,481.,Ed Scott (29),14,1900,R
596,481.,Mike Smithson (31),14,1986,R
597,481.,Phenomenal Smith (22),14,1887,L
598,481.,Tully Sparks (26),14,1901,R
599,481.,Ed Stein (24),14,1894,R
600,481.,Dave Stieb (25),14,1983,R
601,481.,Otis Stocksdale (22),14,1894,R
602,481.,Bill Stoneman (26),14,1970,R
603,481.,Elmer Stricklett (28),14,1905,R
604,481.,George Suggs (27),14,1910,R
605,481.,Mike Sullivan (30),14,1897,R
606,481.,Jesse Tannehill (24),14,1899,L
607,481.,Julio Teheran (28),14,2019,R
608,481.,Ledell Titcomb (23),14,1890,L
609,481.,Lefty Tyler (24),14,1914,L
610,481.,Jose Urena (25),14,2017,R
611,481.,Justin Verlander (25),14,2008,R
612,481.,Edinson Volquez (24),14,2008,R
613,481.,Edinson Volquez (30),14,2014,R
614,481.,Rube Waddell+ (27),14,1904,L
615,481.,Tim Wakefield (31),14,1998,R
616,481.,Jeff Weaver (24),14,2001,R
617,481.,Jeff Weaver (27),14,2004,R
618,481.,Mickey Welch+ (28),14,1888,R
619,481.,Doc White (22),14,1901,L
620,481.,Doc White (24),14,1903,L
621,481.,Ed Willett (24),14,1908,R
