,Rank,Player (age that year),Errors Committed as RF (s.1901),Year,Throws
238,212.,Goose Goslin+ (32),10,1933,R
239,212.,Vladimir Guerrero+ (25),10,2000,R
240,212.,Vladimir Guerrero+ (27),10,2002,R
241,212.,Jose Guillen (22),10,1998,R
242,212.,Ned Harris (25),10,1942,L
243,212.,Harry Heilmann+ (27),10,1922,R
244,212.,Harry Heilmann+ (29),10,1924,R
245,212.,Glenallen Hill (30),10,1995,R
246,212.,Harry Hooper+ (23),10,1911,R
247,212.,Harry Hooper+ (28),10,1916,R
248,212.,Clint Hurdle (22),10,1980,R
249,212.,Reggie Jackson+ (23),10,1969,L
250,212.,Reggie Jackson+ (28),10,1974,L
251,212.,Jackie Jensen (30),10,1957,R
252,212.,Davy Jones (24),10,1904,R
253,212.,Chuck Klein+ (30),10,1935,R
254,212.,Chuck Klein+ (33),10,1938,R
255,212.,Jim Lemon (28),10,1956,R
256,212.,Jeffrey Leonard (23),10,1979,R
257,212.,Candy Maldonado (27),10,1988,R
258,212.,Willard Marshall (26),10,1947,R
259,212.,Gary Matthews (29),10,1980,R
260,212.,Matty McIntyre (31),10,1911,L
261,212.,Bud Metheny (29),10,1944,L
262,212.,Bing Miller (34),10,1929,R
263,212.,Red Murray (25),10,1909,R
264,212.,Mel Ott+ (20),10,1929,R
265,212.,Don Padgett (25),10,1937,R
266,212.,Dave Parker (34),10,1985,R
267,212.,Dave Parker (36),10,1987,R
268,212.,Carlos Paula (27),10,1955,R
269,212.,Wally Post (26),10,1956,R
270,212.,Wally Post (28),10,1958,R
271,212.,Carl Reynolds (26),10,1929,R
272,212.,Carl Reynolds (28),10,1931,R
273,212.,Lance Richbourg (31),10,1929,R
274,212.,Jim Rivera (32),10,1954,L
275,212.,Dave Robertson (25),10,1915,L
276,212.,Braggo Roth (27),10,1920,R
277,212.,Babe Ruth+ (29),10,1924,L
278,212.,Babe Ruth+ (32),10,1927,L
279,212.,Hank Sauer (37),10,1954,R
280,212.,Ruben Sierra (24),10,1990,R
281,212.,Enos Slaughter+ (25),10,1941,R
282,212.,Sammy Sosa (27),10,1996,R
283,212.,Sammy Sosa (31),10,2000,R
284,212.,Charlie Spikes (23),10,1974,R
285,212.,Leroy Stanton (29),10,1975,R
286,212.,Rusty Staub (21),10,1965,R
287,212.,Rusty Staub (25),10,1969,R
288,212.,Casey Stengel+ (24),10,1915,L
289,212.,John Stone (27),10,1933,R
290,212.,Jack Tobin (23),10,1915,L
291,212.,Jack Tobin (31),10,1923,L
292,212.,Ellis Valentine (23),10,1978,R
293,212.,Elmer Valo (21),10,1942,R
294,212.,Sammy Vick (24),10,1919,R
295,212.,Curt Walker (32),10,1929,R
296,212.,Dixie Walker (36),10,1947,R
297,212.,Paul Waner+ (29),10,1932,L
298,212.,George Watkins (32),10,1932,R
299,212.,Earl Webb (32),10,1930,R
300,212.,Frank Welch (24),10,1922,R
301,212.,Vic Wertz (25),10,1950,R
302,212.,Chief Wilson (24),10,1908,R
303,212.,Chief Wilson (29),10,1913,R
304,212.,Hack Wilson+ (32),10,1932,R
305,306.,Harold Baines+ (21),9,1980,L
306,306.,Harold Baines+ (24),9,1983,L
307,306.,Jesse Barfield (22),9,1982,R
308,306.,Jesse Barfield (24),9,1984,R
309,306.,Dante Bichette (29),9,1993,R
310,306.,Dante Bichette (32),9,1996,R
311,306.,Bobby Bonds (32),9,1978,R
312,306.,Glenn Braggs (24),9,1987,R
313,306.,Hubie Brooks (31),9,1988,R
314,306.,Hubie Brooks (32),9,1989,R
315,306.,Jay Bruce (21),9,2008,L
316,306.,Jeromy Burnitz (29),9,1998,R
317,306.,Jeromy Burnitz (33),9,2002,R
318,306.,Jeff Burroughs (24),9,1975,R
319,306.,Rip Cannell (24),9,1904,R
320,306.,Jose Canseco (26),9,1991,R
321,306.,George Case (22),9,1938,R
322,306.,Carmelo Castillo (26),9,1984,R
323,306.,Jack Clark (27),9,1983,R
324,306.,Roberto Clemente+ (26),9,1961,R
325,306.,Roberto Clemente+ (32),9,1967,R
326,306.,Shano Collins (30),9,1916,R
327,306.,Doc Cook (29),9,1915,R
328,306.,Bob Coulson (24),9,1911,R
329,306.,Sam Crawford+ (30),9,1910,L
330,306.,Jose Cruz (29),9,1977,L
331,306.,Rob Deer (28),9,1989,R
332,306.,Larry Doby+ (24),9,1948,R
333,306.,Cozy Dolan (31),9,1904,L
334,306.,Bob Elliott (24),9,1941,R
335,306.,Del Ennis (25),9,1950,R
336,306.,Del Ennis (26),9,1951,R
337,306.,Junior Felix (22),9,1990,R
338,306.,Ira Flagstead (29),9,1923,R
339,306.,Dan Ford (24),9,1976,R
340,306.,Pete Fox (30),9,1939,R
341,306.,Jeff Francoeur (22),9,2006,R
342,306.,Doug Frobel (25),9,1984,R
343,306.,Carl Furillo (32),9,1954,R
344,306.,Avisail Garcia (26),9,2017,R
345,306.,Doc Gessler (27),9,1908,L
346,306.,Doc Gessler (29),9,1910,L
347,306.,Frank Gilhooley (26),9,1918,R
348,306.,Danny Green (27),9,1904,R
349,306.,Ken Griffey (28),9,1978,L
350,306.,Tommy Griffith (26),9,1916,R
351,306.,Tommy Griffith (32),9,1922,R
352,306.,Art Griggs (26),9,1910,R
353,306.,Vladimir Guerrero+ (29),9,2004,R
354,306.,Vladimir Guerrero+ (32),9,2007,R
355,306.,Jose Guillen (21),9,1997,R
356,306.,Roy Hartzell (27),9,1909,R
357,306.,Brad Hawpe (29),9,2008,L
358,306.,Harry Heilmann+ (30),9,1925,R
359,306.,Charlie Hemphill (28),9,1904,L
360,306.,Jeremy Hermida (23),9,2007,R
361,306.,Glenallen Hill (32),9,1997,R
362,306.,Harry Hooper+ (24),9,1912,R
363,306.,Harry Hooper+ (25),9,1913,R
364,306.,Harry Hooper+ (30),9,1918,R
