,Rank,Player (age that year),Games Started,Year,Throws
320,290.,Jack Sanford (34),42,1963,R
321,290.,Pete Schneider (21),42,1917,R
322,290.,Ed Stein (22),42,1892,R
323,290.,Fred Toney (28),42,1917,R
324,290.,Lee Viau (21),42,1888,R
325,290.,Lee Viau (22),42,1889,R
326,290.,Gus Weyhing (31),42,1898,R
327,290.,Wilbur Wood (29),42,1971,L
328,290.,Wilbur Wood (32),42,1974,L
329,290.,Cy Young+ (32),42,1899,R
330,290.,Irv Young (27),42,1905,L
331,332.,Stan Bahnsen (27),41,1972,R
332,332.,Jim Bibby (29),41,1974,R
333,332.,Charlie Buffinton (22),41,1883,R
334,332.,Jim Bunning+ (34),41,1966,R
335,332.,Steve Carlton+ (27),41,1972,L
336,332.,Bill Carrick (26),41,1900,R
337,332.,Joe Coleman (27),41,1974,R
338,332.,Don Drysdale+ (25),41,1962,R
339,332.,Frank Dwyer (23),41,1891,R
340,332.,Frank Foreman (28),41,1891,R
341,332.,Clark Griffith+ (25),41,1895,R
342,332.,Bill Hands (29),41,1969,R
343,332.,Bob Harmon (23),41,1911,R
344,332.,Bill Hart (30),41,1896,R
345,332.,Pink Hawley (21),41,1894,R
346,332.,Egyptian Healy (19),41,1886,R
347,332.,Egyptian Healy (20),41,1887,R
348,332.,Catfish Hunter+ (28),41,1974,R
349,332.,Fergie Jenkins+ (31),41,1974,R
350,332.,Oscar Jones (24),41,1904,R
351,332.,Jim Kaat (27),41,1966,L
352,332.,Jim Kaat (36),41,1975,L
353,332.,John Keefe (22),41,1890,L
354,332.,Brickyard Kennedy (26),41,1894,R
355,332.,Frank Killen (26),41,1897,L
356,332.,Sam Kimber (31),41,1884,R
357,332.,John Kirby (21),41,1886,R
358,332.,Sandy Koufax+ (29),41,1965,L
359,332.,Sandy Koufax+ (30),41,1966,L
360,332.,Mickey Lolich (31),41,1972,L
361,332.,Mickey Lolich (33),41,1974,L
362,332.,Tom Lovett (26),41,1890,R
363,332.,Jim McCormick (26),41,1883,R
364,332.,Joe McGinnity+ (28),41,1899,R
365,332.,Denny McLain (24),41,1968,R
366,332.,Denny McLain (25),41,1969,R
367,332.,Jouett Meekin (29),41,1896,R
368,332.,Frank Mountain (24),41,1884,R
369,332.,George Mullin (24),41,1905,R
370,332.,Cinders O'Brien (22),41,1889,R
371,332.,Claude Osteen (29),41,1969,L
372,332.,Gaylord Perry+ (31),41,1970,R
373,332.,Gaylord Perry+ (34),41,1973,R
374,332.,Eddie Plank+ (29),41,1905,L
375,332.,Jack Powell (23),41,1898,R
376,332.,Robin Roberts+ (26),41,1953,R
377,332.,Nolan Ryan+ (27),41,1974,R
378,332.,Bill Stemmyer (21),41,1886,R
379,332.,Don Sutton+ (24),41,1969,R
380,332.,Jack Taylor (23),41,1896,R
381,332.,Jeff Tesreau (26),41,1914,R
382,332.,Bill Voiselle (25),41,1944,R
383,332.,Ed Walsh+ (31),41,1912,R
384,332.,Sam Weaver (26),41,1882,R
385,332.,Mickey Welch+ (29),41,1889,R
386,332.,Vic Willis+ (29),41,1905,R
387,332.,Bill Wise (23),41,1884,
388,332.,Cy Young+ (31),41,1898,R
389,332.,Cy Young+ (34),41,1901,R
390,332.,Cy Young+ (37),41,1904,R
391,332.,Irv Young (28),41,1906,L
392,393.,Pete Alexander+ (33),40,1920,R
393,393.,Mark Baldwin (29),40,1893,R
394,393.,Jack Billingham (30),40,1973,R
395,393.,Vida Blue (24),40,1974,L
396,393.,Bert Blyleven+ (22),40,1973,R
397,393.,Tom Bradley (25),40,1972,R
398,393.,Jim Bunning+ (35),40,1967,R
399,393.,Dick Burns (20),40,1884,L
400,393.,Steve Carlton+ (28),40,1973,L
401,393.,Kid Carsey (22),40,1895,R
402,393.,George Caster (30),40,1938,R
403,393.,Larry Cheney (28),40,1914,R
404,393.,Jim Clancy (26),40,1982,R
405,393.,Dad Clarke (31),40,1896,R
406,393.,Joe Coleman (26),40,1973,R
407,393.,Jack Coombs (28),40,1911,R
408,393.,Stan Coveleski+ (31),40,1921,R
409,393.,Mike Cuellar (33),40,1970,L
410,393.,Nig Cuppy (25),40,1895,R
411,393.,Nig Cuppy (26),40,1896,R
412,393.,Chuck Dobson (26),40,1970,R
413,393.,Denny Driscoll (27),40,1883,L
414,393.,Don Drysdale+ (27),40,1964,R
415,393.,Don Drysdale+ (29),40,1966,R
416,393.,Bob Feller+ (22),40,1941,R
417,393.,Mike Flanagan (26),40,1978,L
418,393.,Pud Galvin+ (32),40,1889,R
419,393.,Pretzels Getzien (26),40,1890,R
420,393.,Bob Groom (27),40,1912,R
421,393.,Henry Gruber (27),40,1891,R
422,393.,Ken Holtzman (27),40,1973,L
423,393.,Charlie Hough (39),40,1987,R
424,393.,Mickey Hughes (21),40,1888,R
425,393.,Catfish Hunter+ (24),40,1970,R
426,393.,Bill Hutchison (33),40,1893,R
427,393.,Fergie Jenkins+ (25),40,1968,R
428,393.,Walter Johnson+ (26),40,1914,R
429,393.,Randy Jones (26),40,1976,L
430,393.,Brickyard Kennedy (29),40,1897,R
431,393.,Matt Kilroy (22),40,1888,L
432,393.,Sandy Koufax+ (27),40,1963,L
433,393.,Dennis Leonard (27),40,1978,R
434,393.,Juan Marichal+ (25),40,1963,R
435,393.,Al Mays (21),40,1886,R
436,393.,Jumbo McGinnis (30),40,1884,
437,393.,Sadie McMahon (25),40,1893,R
438,393.,Dave McNally (26),40,1969,L
439,393.,Dave McNally (27),40,1970,L
440,393.,Andy Messersmith (29),40,1975,R
441,393.,Mike Morrison (20),40,1887,R
442,393.,George Mullin (25),40,1906,R
443,393.,Bobo Newsom (30),40,1938,R
444,393.,Kid Nichols+ (27),40,1897,R
445,393.,Hank O'Day+ (24),40,1884,R
446,393.,Claude Osteen (25),40,1965,L
447,393.,Jim Palmer+ (30),40,1976,R
448,393.,George Pechiney (24),40,1886,R
449,393.,Gaylord Perry+ (33),40,1972,R
450,393.,Jim Perry (34),40,1970,R
451,393.,Togie Pittinger (30),40,1902,R
452,393.,Eddie Plank+ (27),40,1903,L
453,393.,Eddie Plank+ (31),40,1907,L
454,393.,Johnny Podres (29),40,1962,L
455,393.,Henry Porter (29),40,1887,R
456,393.,Toad Ramsey (23),40,1888,L
457,393.,Toad Ramsey (25),40,1890,L
458,393.,Jerry Reuss (24),40,1973,L
459,393.,Steve Rogers (27),40,1977,R
460,393.,Babe Ruth+ (21),40,1916,L
461,393.,Ben Sanders (25),40,1890,R
462,393.,Chris Short (27),40,1965,L
463,393.,Bill Singer (25),40,1969,R
464,393.,Bill Singer (29),40,1973,R
465,393.,Mike Smith (20),40,1888,L
466,393.,Frank Smith (29),40,1909,R
467,393.,Ed Stein (24),40,1894,R
468,393.,Scott Stratton (22),40,1892,R
469,393.,Don Sutton+ (29),40,1974,R
470,393.,Dick Tidrow (26),40,1973,R
471,393.,Dizzy Trout (29),40,1944,R
472,393.,George Uhle (23),40,1922,R
473,393.,Mickey Welch+ (21),40,1881,R
474,393.,Mickey Welch+ (27),40,1887,R
475,393.,Gus Weyhing (26),40,1893,R
476,393.,Lefty Williams (26),40,1919,L
477,393.,Cy Young+ (28),40,1895,R
478,479.,Pete Alexander+ (27),39,1914,R
479,479.,Mark Baldwin (23),39,1887,R
480,479.,Rube Benton (22),39,1912,L
481,479.,Vern Bickford (29),39,1950,R
482,479.,Vida Blue (21),39,1971,L
483,479.,Henry Boyle (24),39,1885,R
484,479.,Tom Bradley (24),39,1971,R
485,479.,Theodore Breitenstein (28),39,1897,L
486,479.,Tom Browning (26),39,1986,L
487,479.,Ron Bryant (25),39,1973,L
